office-name,official-title,ocd-division,division-description,homepage-url,phone,email,street,directions,city,state,zip,start_time,end_time,start_date,end_date,Must apply for mail-in ballot at county clerk's office (online or in person),Notes
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road Room G-22",,Mount Holly,NJ,08060-1397,800,1600,10/3/16,10/7/16,Yes,
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road Room G-22",,Mount Holly,NJ,08060-1397,800,1600,10/10/16,10/14/16,Yes,
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road Room G-22",,Mount Holly,NJ,08060-1397,800,1600,10/17/16,10/21/16,Yes,
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road Room G-22",,Mount Holly,NJ,08060-1397,800,1600,10/24/16,10/28/16,Yes,
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road Room G-22",,Mount Holly,NJ,08060-1397,800,1600,10/31/16,11/4/16,Yes,
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road Room G-22",,Mount Holly,NJ,08060-1397,800,1500,11/7/16,11/7/16,Yes,
Camden County,County Clerk,ocd-division/country:us/state:nj/county:camden,Camden County NJ,http://www.camdencounty.com/clerk,(856) 225-7219,countyclerk@camdencounty.com,"Courthouse, Room 102, 520 Market Street",,Camden,NJ,08101-0150,830,1600,9/26/16,9/30/16,Yes,
Camden County,County Clerk,ocd-division/country:us/state:nj/county:camden,Camden County NJ,http://www.camdencounty.com/clerk,(856) 225-7219,countyclerk@camdencounty.com,"Courthouse, Room 102, 520 Market Street",,Camden,NJ,08101-0150,830,1600,10/3/16,10/7/16,Yes,
Camden County,County Clerk,ocd-division/country:us/state:nj/county:camden,Camden County NJ,http://www.camdencounty.com/clerk,(856) 225-7219,countyclerk@camdencounty.com,"Courthouse, Room 102, 520 Market Street",,Camden,NJ,08101-0150,830,1600,10/10/16,10/14/16,Yes,
Camden County,County Clerk,ocd-division/country:us/state:nj/county:camden,Camden County NJ,http://www.camdencounty.com/clerk,(856) 225-7219,countyclerk@camdencounty.com,"Courthouse, Room 102, 520 Market Street",,Camden,NJ,08101-0150,830,1600,10/17/16,10/21/16,Yes,
Camden County,County Clerk,ocd-division/country:us/state:nj/county:camden,Camden County NJ,http://www.camdencounty.com/clerk,(856) 225-7219,countyclerk@camdencounty.com,"Courthouse, Room 102, 520 Market Street",,Camden,NJ,08101-0150,830,1600,10/24/16,10/28/16,Yes,
Camden County,County Clerk,ocd-division/country:us/state:nj/county:camden,Camden County NJ,http://www.camdencounty.com/clerk,(856) 225-7219,countyclerk@camdencounty.com,"Courthouse, Room 102, 520 Market Street",,Camden,NJ,08101-0150,830,1600,10/31/16,11/4/16,Yes,
Camden County,County Clerk,ocd-division/country:us/state:nj/county:camden,Camden County NJ,http://www.camdencounty.com/clerk,(856) 225-7219,countyclerk@camdencounty.com,"Courthouse, Room 102, 520 Market Street",,Camden,NJ,08101-0150,830,1500,11/7/16,11/7/16,Yes,
Camden County,Elections and Achive Center - Election Division,ocd-division/country:us/state:nj/county:camden,Camden County NJ,,(856) 225-7219,countyclerk@camdencounty.com,100 University Court,,Blackwood,NJ,8012,830,1600,9/26/16,9/30/16,Yes,
Camden County,Elections and Achive Center - Election Division,ocd-division/country:us/state:nj/county:camden,Camden County NJ,,(856) 225-7219,countyclerk@camdencounty.com,100 University Court,,Blackwood,NJ,8012,830,1600,10/3/16,10/7/16,Yes,
Camden County,Elections and Achive Center - Election Division,ocd-division/country:us/state:nj/county:camden,Camden County NJ,,(856) 225-7219,countyclerk@camdencounty.com,100 University Court,,Blackwood,NJ,8012,830,1600,10/10/16,10/14/16,Yes,
Camden County,Elections and Achive Center - Election Division,ocd-division/country:us/state:nj/county:camden,Camden County NJ,,(856) 225-7219,countyclerk@camdencounty.com,100 University Court,,Blackwood,NJ,8012,830,1600,10/17/16,10/21/16,Yes,
Camden County,Elections and Achive Center - Election Division,ocd-division/country:us/state:nj/county:camden,Camden County NJ,,(856) 225-7219,countyclerk@camdencounty.com,100 University Court,,Blackwood,NJ,8012,830,1600,10/24/16,10/28/16,Yes,
Camden County,Elections and Achive Center - Election Division,ocd-division/country:us/state:nj/county:camden,Camden County NJ,,(856) 225-7219,countyclerk@camdencounty.com,100 University Court,,Blackwood,NJ,8012,830,1600,10/31/16,11/4/16,Yes,
Camden County,Elections and Achive Center - Election Division,ocd-division/country:us/state:nj/county:camden,Camden County NJ,,(856) 225-7219,countyclerk@camdencounty.com,100 University Court,,Blackwood,NJ,8012,830,1500,11/7/16,11/7/16,Yes,
Cape May County,Board of Elections,ocd-division/country:us/state:nj/county:cape_may,Cape May County NJ,http://www.capemaycountyvotes.com/,(609) 465-1050,coclerk@co.cape-may.nj.us,10 W. Mechanic Street,,Cape May Courthouse,NJ,08210-5000,830,1630,9/26/16,9/30/16,Yes,"There are limited hours for applying in person for absentee ballot at county clerk's office: Applicants may apply in person or by authorized messenger at the County Clerk‰Ûªs Office:
Wednesday, November 2, 2016 8:30 a.m. to 4:30 p.m.
Thursday, November 3, 2016 8:30 a.m. to 4:30 p.m.
Friday, November 4, 2016 8:30 a.m. to 4:30 p.m.
Saturday, November 5, 2016 9:00 a.m. to 1:00 p.m.
Monday, November 7, 2016 8:30 a.m. to 3:00 p.m.  "
Cape May County,Board of Elections,ocd-division/country:us/state:nj/county:cape_may,Cape May County NJ,http://www.capemaycountyvotes.com/,(609) 465-1050,coclerk@co.cape-may.nj.us,10 W. Mechanic Street,,Cape May Courthouse,NJ,08210-5000,830,1630,10/3/16,10/7/16,Yes,
Cape May County,Board of Elections,ocd-division/country:us/state:nj/county:cape_may,Cape May County NJ,http://www.capemaycountyvotes.com/,(609) 465-1050,coclerk@co.cape-may.nj.us,10 W. Mechanic Street,,Cape May Courthouse,NJ,08210-5000,830,1630,10/10/16,10/14/16,Yes,
Cape May County,Board of Elections,ocd-division/country:us/state:nj/county:cape_may,Cape May County NJ,http://www.capemaycountyvotes.com/,(609) 465-1050,coclerk@co.cape-may.nj.us,10 W. Mechanic Street,,Cape May Courthouse,NJ,08210-5000,830,1630,10/17/16,10/21/16,Yes,
Cape May County,Board of Elections,ocd-division/country:us/state:nj/county:cape_may,Cape May County NJ,http://www.capemaycountyvotes.com/,(609) 465-1050,coclerk@co.cape-may.nj.us,10 W. Mechanic Street,,Cape May Courthouse,NJ,08210-5000,830,1630,10/24/16,10/28/16,Yes,
Cape May County,Board of Elections,ocd-division/country:us/state:nj/county:cape_may,Cape May County NJ,http://www.capemaycountyvotes.com/,(609) 465-1050,coclerk@co.cape-may.nj.us,10 W. Mechanic Street,,Cape May Courthouse,NJ,08210-5000,830,1630,10/31/16,11/4/16,Yes,
Cape May County,Board of Elections,ocd-division/country:us/state:nj/county:cape_may,Cape May County NJ,http://www.capemaycountyvotes.com/,(609) 465-1050,coclerk@co.cape-may.nj.us,10 W. Mechanic Street,,Cape May Courthouse,NJ,08210-5000,830,1500,11/7/16,11/7/16,Yes,"I couldn't get the BOE to tell me hours, so even though the clerk told  me they were open until 8pm on election day, I'm using the state standard deadline of  11/7 at 3pm."
Cumberland County,Board of Elections,ocd-division/country:us/state:nj/county:cumberland,Cumberland County NJ,http://ccclerknj.com/election-information/,(856) 453-5801,,555 Shiloh Pike,,Bridgeton,NJ,08302-2665,830,1600,9/26/16,9/30/16,Yes,Cumberland anticipates adding hours as it gets closer to election day
Cumberland County,Board of Elections,ocd-division/country:us/state:nj/county:cumberland,Cumberland County NJ,http://ccclerknj.com/election-information/,(856) 453-5801,,555 Shiloh Pike,,Bridgeton,NJ,08302-2665,830,1600,10/3/16,10/7/16,Yes,
Cumberland County,Board of Elections,ocd-division/country:us/state:nj/county:cumberland,Cumberland County NJ,http://ccclerknj.com/election-information/,(856) 453-5801,,555 Shiloh Pike,,Bridgeton,NJ,08302-2665,830,1600,10/10/16,10/14/16,Yes,
Cumberland County,Board of Elections,ocd-division/country:us/state:nj/county:cumberland,Cumberland County NJ,http://ccclerknj.com/election-information/,(856) 453-5801,,555 Shiloh Pike,,Bridgeton,NJ,08302-2665,830,1600,10/17/16,10/21/16,Yes,
Cumberland County,Board of Elections,ocd-division/country:us/state:nj/county:cumberland,Cumberland County NJ,http://ccclerknj.com/election-information/,(856) 453-5801,,555 Shiloh Pike,,Bridgeton,NJ,08302-2665,830,1600,10/24/16,10/28/16,Yes,
Cumberland County,Board of Elections,ocd-division/country:us/state:nj/county:cumberland,Cumberland County NJ,http://ccclerknj.com/election-information/,(856) 453-5801,,555 Shiloh Pike,,Bridgeton,NJ,08302-2665,830,1600,10/31/16,11/4/16,Yes,
Cumberland County,Board of Elections,ocd-division/country:us/state:nj/county:cumberland,Cumberland County NJ,http://ccclerknj.com/election-information/,(856) 453-5801,,555 Shiloh Pike,,Bridgeton,NJ,08302-2665,830,1500,11/7/16,11/7/16,Yes,
Essex County,Board of Elections,ocd-division/country:us/state:nj/county:essex,Essex County NJ,http://essexboardofelections.com/vote-by-mail/,(973) 621-4921,info@essexclerk.com,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411",,Newark,NJ,07101-0690,900,1600,9/26/16,9/30/16,Yes,
Essex County,Board of Elections,ocd-division/country:us/state:nj/county:essex,Essex County NJ,http://essexboardofelections.com/vote-by-mail/,(973) 621-4921,info@essexclerk.com,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411",,Newark,NJ,07101-0690,900,1600,10/3/16,10/7/16,Yes,
Essex County,Board of Elections,ocd-division/country:us/state:nj/county:essex,Essex County NJ,http://essexboardofelections.com/vote-by-mail/,(973) 621-4921,info@essexclerk.com,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411",,Newark,NJ,07101-0690,900,1600,10/10/16,10/14/16,Yes,
Essex County,Board of Elections,ocd-division/country:us/state:nj/county:essex,Essex County NJ,http://essexboardofelections.com/vote-by-mail/,(973) 621-4921,info@essexclerk.com,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411",,Newark,NJ,07101-0690,900,1600,10/17/16,10/21/16,Yes,
Essex County,Board of Elections,ocd-division/country:us/state:nj/county:essex,Essex County NJ,http://essexboardofelections.com/vote-by-mail/,(973) 621-4921,info@essexclerk.com,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411",,Newark,NJ,07101-0690,900,1600,10/24/16,10/28/16,Yes,
Essex County,Board of Elections,ocd-division/country:us/state:nj/county:essex,Essex County NJ,http://essexboardofelections.com/vote-by-mail/,(973) 621-4921,info@essexclerk.com,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411",,Newark,NJ,07101-0690,900,1600,10/31/16,11/4/16,Yes,
Essex County,Board of Elections,ocd-division/country:us/state:nj/county:essex,Essex County NJ,http://essexboardofelections.com/vote-by-mail/,(973) 621-4921,info@essexclerk.com,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411",,Newark,NJ,07101-0690,900,1500,11/7/16,11/7/16,Yes,
Gloucester County,Clerk's Office - Election Division,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,http://www.gloucestercountynj.gov/depts/c/cclerk/elecserv/default.asp,(856) 384-4500,tpindale@co.gloucester.nj.us,550 Grove Road,,West Deptford,NJ,8066,830,1630,9/26/16,9/30/16,Yes,
Gloucester County,Clerk's Office - Election Division,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,http://www.gloucestercountynj.gov/depts/c/cclerk/elecserv/default.asp,(856) 384-4500,tpindale@co.gloucester.nj.us,550 Grove Road,,West Deptford,NJ,8066,830,1630,10/3/16,10/7/16,Yes,
Gloucester County,Clerk's Office - Election Division,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,http://www.gloucestercountynj.gov/depts/c/cclerk/elecserv/default.asp,(856) 384-4500,tpindale@co.gloucester.nj.us,550 Grove Road,,West Deptford,NJ,8066,830,1630,10/10/16,10/14/16,Yes,
Gloucester County,Clerk's Office - Election Division,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,http://www.gloucestercountynj.gov/depts/c/cclerk/elecserv/default.asp,(856) 384-4500,tpindale@co.gloucester.nj.us,550 Grove Road,,West Deptford,NJ,8066,830,1630,10/17/16,10/21/16,Yes,
Gloucester County,Clerk's Office - Election Division,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,http://www.gloucestercountynj.gov/depts/c/cclerk/elecserv/default.asp,(856) 384-4500,tpindale@co.gloucester.nj.us,550 Grove Road,,West Deptford,NJ,8066,830,1630,10/24/16,10/28/16,Yes,
Gloucester County,Clerk's Office - Election Division,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,http://www.gloucestercountynj.gov/depts/c/cclerk/elecserv/default.asp,(856) 384-4500,tpindale@co.gloucester.nj.us,550 Grove Road,,West Deptford,NJ,8066,830,1630,10/31/16,11/4/16,Yes,
Gloucester County,Clerk's Office - Election Division,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,http://www.gloucestercountynj.gov/depts/c/cclerk/elecserv/default.asp,(856) 384-4500,tpindale@co.gloucester.nj.us,550 Grove Road,,West Deptford,NJ,8066,900,1400,11/6/16,11/6/16,Yes,
Gloucester County,Clerk's Office - Election Division,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,http://www.gloucestercountynj.gov/depts/c/cclerk/elecserv/default.asp,(856) 384-4500,tpindale@co.gloucester.nj.us,550 Grove Road,,West Deptford,NJ,8066,830,1500,11/7/16,11/7/16,Yes,
Gloucester County,Clerk's Office - County Store,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,,,tpindale@co.gloucester.nj.us,1750 Deptford Center Rd,Located in the Deptford Mall (Upper level next to Boscov‰Ûªs),Deptford Township,NJ,8096,1000,2100,10/3/16,10/7/16,Yes,
Gloucester County,Clerk's Office - County Store,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,,,tpindale@co.gloucester.nj.us,1750 Deptford Center Rd,Located in the Deptford Mall (Upper level next to Boscov‰Ûªs),Deptford Township,NJ,8096,1000,1730,10/8/16,10/8/16,Yes,
Gloucester County,Clerk's Office - County Store,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,,,tpindale@co.gloucester.nj.us,1750 Deptford Center Rd,Located in the Deptford Mall (Upper level next to Boscov‰Ûªs),Deptford Township,NJ,8096,1000,2100,10/10/16,10/14/16,Yes,
Gloucester County,Clerk's Office - County Store,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,,,tpindale@co.gloucester.nj.us,1750 Deptford Center Rd,Located in the Deptford Mall (Upper level next to Boscov‰Ûªs),Deptford Township,NJ,8096,1000,1730,10/15/16,10/15/16,Yes,
Gloucester County,Clerk's Office - County Store,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,,,tpindale@co.gloucester.nj.us,1750 Deptford Center Rd,Located in the Deptford Mall (Upper level next to Boscov‰Ûªs),Deptford Township,NJ,8096,1000,2100,10/17/16,10/21/16,Yes,
Gloucester County,Clerk's Office - County Store,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,,,tpindale@co.gloucester.nj.us,1750 Deptford Center Rd,Located in the Deptford Mall (Upper level next to Boscov‰Ûªs),Deptford Township,NJ,8096,1000,1730,10/22/16,10/22/16,Yes,
Gloucester County,Clerk's Office - County Store,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,,,tpindale@co.gloucester.nj.us,1750 Deptford Center Rd,Located in the Deptford Mall (Upper level next to Boscov‰Ûªs),Deptford Township,NJ,8096,1000,2100,10/24/16,10/28/16,Yes,
Gloucester County,Clerk's Office - County Store,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,,,tpindale@co.gloucester.nj.us,1750 Deptford Center Rd,Located in the Deptford Mall (Upper level next to Boscov‰Ûªs),Deptford Township,NJ,8096,1000,1730,10/29/16,10/29/16,Yes,
Gloucester County,Clerk's Office - County Store,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,,,tpindale@co.gloucester.nj.us,1750 Deptford Center Rd,Located in the Deptford Mall (Upper level next to Boscov‰Ûªs),Deptford Township,NJ,8096,1000,2100,10/31/16,11/4/16,Yes,
Gloucester County,Clerk's Office - County Store,ocd-division/country:us/state:nj/county:gloucester,Gloucester County NJ,,,tpindale@co.gloucester.nj.us,1750 Deptford Center Rd,Located in the Deptford Mall (Upper level next to Boscov‰Ûªs),Deptford Township,NJ,8096,1000,1730,11/5/16,11/5/16,Yes,
Hudson County,Board of Elections,ocd-division/country:us/state:nj/county:hudson,Hudson County NJ,http://www.hudsoncountyclerk.org/elections/default.htm,(201) 369-3435,,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor",,Jersey City,NJ,7302,830,1630,9/26/16,9/30/16,Yes,
Hudson County,Board of Elections,ocd-division/country:us/state:nj/county:hudson,Hudson County NJ,http://www.hudsoncountyclerk.org/elections/default.htm,(201) 369-3435,,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor",,Jersey City,NJ,7302,830,1630,10/3/16,10/7/16,Yes,
Hudson County,Board of Elections,ocd-division/country:us/state:nj/county:hudson,Hudson County NJ,http://www.hudsoncountyclerk.org/elections/default.htm,(201) 369-3435,,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor",,Jersey City,NJ,7302,830,1630,10/10/16,10/14/16,Yes,
Hudson County,Board of Elections,ocd-division/country:us/state:nj/county:hudson,Hudson County NJ,http://www.hudsoncountyclerk.org/elections/default.htm,(201) 369-3435,,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor",,Jersey City,NJ,7302,830,1630,10/17/16,10/21/16,Yes,
Hudson County,Board of Elections,ocd-division/country:us/state:nj/county:hudson,Hudson County NJ,http://www.hudsoncountyclerk.org/elections/default.htm,(201) 369-3435,,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor",,Jersey City,NJ,7302,830,1630,10/24/16,10/28/16,Yes,
Hudson County,Board of Elections,ocd-division/country:us/state:nj/county:hudson,Hudson County NJ,http://www.hudsoncountyclerk.org/elections/default.htm,(201) 369-3435,,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor",,Jersey City,NJ,7302,830,1630,10/31/16,11/4/16,Yes,
Hudson County,Board of Elections,ocd-division/country:us/state:nj/county:hudson,Hudson County NJ,http://www.hudsoncountyclerk.org/elections/default.htm,(201) 369-3435,,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor",,Jersey City,NJ,7302,830,1500,11/7/16,11/7/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,900,1300,9/24/16,9/24/16,Yes,"You can vote when you apply for a ballot or take it with you and return it to the BOE (same building). All ballots MUST be returned to the Board of
 Elections by the close of the polls at 8PM on November 8th, 2016. We
 offer Thursday evening and Saturday hours throughout October and
 November leading up to Election Day."
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,830,1630,9/26/16,9/30/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,900,1300,10/1/16,10/1/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,830,1630,10/3/16,10/7/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,900,1300,10/8/16,10/8/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,830,1630,10/10/16,10/14/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,900,1300,10/15/16,10/15/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,830,1630,10/17/16,10/21/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,900,1300,10/22/16,10/22/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,830,1630,10/24/16,10/28/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,900,1300,10/29/16,10/29/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,830,1630,10/31/16,11/2/16,Yes,
Hunterdon County,County Clerk,ocd-division/country:us/state:nj/county:hunterdon,Hunterdon County NJ,http://www.co.hunterdon.nj.us/countyclerk.htm,(908) 788-1378,countyclerk@co.hunterdon.nj.us,"71 Main Street, Hall of Records",,Flemington,NJ,8822,830,1900,11/3/16,11/3/16,Yes,
