Town/City,Clerk,Address,Phone (area code 603),Fax,E-Mail,Town Website Address,Polling Place,Polling Hours,ElectionName,,
BATH,PATRICIA M WOODS,PO BOX 88 BATH 03740,747-2454,747-0497,bathnh@myfairpoint.net,bath-nh.org,Bath Village School 61 Lisbon Rd Bath 03740,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BEDFORD,LORI A RADKE,24 NORTH AMHERST RD BEDFORD 03110,472-3550,472-4573,lradke@bedfordnh.org,www.bedfordnh.org,Bedford High School 47 Nashua Rd Bedford 03110,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BELMONT,CYNTHIA M DEROY,PO BOX 310 BELMONT 03220,267-8300,267-8305,tctc@belmontnh.org,www.belmontnh.org,Belmont High School 255 Seavey Rd Belmont 03220,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BENNINGTON,DEBRA L BELCHER,7 SCHOOL STREET BENNINGTON 03444,588-2189,588-8005,townclerk@townofbennington.com,http://townofbennington.com/,Pierce School 19 Main St Bennington 03442,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BENTON,MICHAEL P STIEBITZ,110 FLANDERS ROAD BENTON 03785,787-6541,,mstiebitz@att.net,,Benton Town Building 221 Coventry Rd Benton 03785,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BERLIN WARD 01,ELAINE L RIENDEAU,168 MAIN STREET BERLIN 03570,752-2340,,eriendeau@berlinnh.gov,www.berlinnh.gov,WARD 01 - Precinct  1 - Berlin Recreation Center - First Avenue Entrance 672 First Ave Berlin 03570,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BERLIN WARD 02,ELAINE L RIENDEAU,168 MAIN STREET BERLIN 03570,752-2340,,eriendeau@berlinnh.gov,www.berlinnh.gov,WARD 02 - New: Precinct 3 - St Anne Hall - 304 School Street Entrance 304 School St Berlin 03570,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BERLIN WARD 04,ELAINE L RIENDEAU,168 MAIN STREET BERLIN 03570,752-2340,,eriendeau@berlinnh.gov,www.berlinnh.gov,WARD 04 - Precinct 4 - Community Bible Church - Sullivan Street Entrance 593 Sullivan St Berlin 03570,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BETHLEHEM,MARY  JACKSON,PO BOX 185 BETHLEHEM 03574,869-2293,869-5500,townclerk@bethlehemnh.org,bethlehemnh.org,Bethlehem Town Hall 2155 Main St Bethlehem 03574,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BOSCAWEN,MICHELLE MARIE BROCHU,116 N MAIN STREET BOSCAWEN 03303,753-9188,753-9184,mbrochu@townofboscawen.org,http://www.townofboscawen.org,Boscawen Town Hall 12 High St Boscawen 03303,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BOW,MRIDULA SUDHIR NAIK,10 GRANDVIEW ROAD BOW 03304,228-1187,225-5428,townclerk@bow-nh.gov,www.bow-nh.gov,Bow Memorial School 20 Bow Center Rd Bow 03304,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BRADFORD,CAMILA  DEVLIN,PO BOX 607 BRADFORD 03221,938-2288,938-5694,tc@bradfordnh.org,www.bradfordnh.org,Bradford Town Hall 75 West Main St Bradford 03221,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BRENTWOOD,PHYLLIS  THOMPSON,1 DALTON ROAD BRENTWOOD 03833,642-6400,642-6310,townclerk@brentwoodnh.gov,www.brentwoodnh.gov,Brentwood Recreation Center 190 Rte 125 Brentwood 03833,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BRIDGEWATER,COLLEEN MARIE KENNY,PO BOX 419 PLYMOUTH 03264,968-7911,968-3506,cmkenny@plymouth.edu,http://www.bridgewater-nh.com,Bridgewater Town Hall 297 Mayhew Tpke Bridgewater 03222,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BRISTOL,RAYMAH W SIMPSON,230 LAKE STREET BRISTOL 03222,744-3354,744-2521,rsimpson@townofbristolnh.org,www.townofbristolnh.org,Marian Center 17 West Shore Rd Bristol 03222,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BROOKFIELD,VIRGINIA A MCGINLEY,267 WENTWORTH RD BROOKFIELD 03872,522-3688,522-6245,brookfieldnhtc@hotmail.com,www.brookfieldnh.org,Brookfield Office Building 267 Wentworth Rd Brookfield 03872,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BROOKLINE,PATRICIA A HOWARD-BARNETT,PO BOX 336 BROOKLINE 03033,673-8855,673-8802,patti@brookline.nh.us,http://www.brookline.nh.us/,Captain Samuel Douglas Academy 24 Townsend Hill Rd Brookline 03033,7:00 AM - 7:30 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CAMBRIDGE,YVETTE  BILODEAU,33 PO BOX 100 ERROL 03579,482-3351,482-3804,erroltownclerk@gmail.com,none available,Errol Town Hall 33 Main St Cambridge 03579,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CAMPTON,HANNAH B JOYCE,10 GEARTY WAY CAMPTON 03223,726-3223,726-9817,toc.hj@camptonnh.org,www.camptonnh.org,Campton Municipal Building 12 Gearty Way Campton 03223,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CANAAN,VICKY J MCALISTER,PO BOX 38 CANAAN 03741,523-7106,523-4526,vmcalister@canaannh.org,www.canaannh.org,Canaan Hall 18 Orange Rd Canaan 03741,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CANDIA,CHRISTINE  DUPERE,74 HIGH STREET CANDIA 03034,483-5573,483-0252,cdupere@townofcandia.org,www.candianh.org,Henry W Moore School 12 Deerfield Rd Candia 03034,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CANTERBURY,BENJAMIN A BYNUM,PO BOX 500 CANTERBURY 03224,783-0153,783-0501,bbynum@canterbury-nh.org,www.canterbury-nh.org,Old Town Hall 11 Center Rd Canterbury 03224,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CARROLL,REBECCA J PEDERSON,PO BOX 88 TWIN MOUNTAIN 03595,846-5494,846-5713,townclerk@townofcarroll.org,town of carroll,Carroll Town Hall/Twin Mountain 92 School St Carroll 03595,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CENTER HARBOR,MARY  RICHARDSON,PO BOX 140 CENTER HARBOR 03226,253-4561,253-8420,chtownclerk@metrocast.net,www.centerharbornh.org,Center Harbor Town Office 36 Main St Center Harbor 03226,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CHARLESTOWN,KELLY J STODDART,P O BOX 834 CHARLESTOWN 03603,826-5821,826-5181,kelly@charlestown-nh.gov,www.charlestown-nh.gov,Library-Municipal Building 26 Railroad St Charlestown 03603,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CHATHAM,PATRICIA  PITMAN,1681 MAIN ROAD CHATHAM 03813,694-2043,694-2043,mpitman@fairpoint.net,n/a,Chatham Town Hall 1071 Main Rd Chatham 03813,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CHESTER,ERIN M NEWNAN,84 CHESTER STREET CHESTER 03036,887-3636,887-4334,chester9@gsinet.net,www.chesternh.org,Chester Municipal Office 84 Chester St Chester 03036,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CHESTERFIELD,BARBARA  GIRS,PO BOX 64 CHESTERFIELD 03443,363-8071,363-8047,chesterfieldtownclerk@yahoo.com,www.nhchesterfield.com,Chesterfield Town Hall 518 Route 63 Chesterfield 03443,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CHICHESTER,EVELYN  PIKE,54 MAIN CHICHESTER 03258,798-5808,798-3170,townclerk@chichesternh.org,www.chichesternh.org,Chichester Town Hall 54 Main St Chichester 03258,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CLAREMONT WARD 01,GWENDOLYN R MELCHER,58 OPERA HOUSE SQ CLAREMONT 03743,542-7003,542-7038,cityclerk@claremontnh.com,www.claremontnh.com,WARD 01 - Claremont Middle School 107 South St Claremont 03743,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CLAREMONT WARD 02,GWENDOLYN R MELCHER,58 OPERA HOUSE SQ CLAREMONT 03743,542-7003,542-7038,cityclerk@claremontnh.com,www.claremontnh.com,WARD 02 - Claremont Middle School 107 South St Claremont 03743,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CLAREMONT WARD 03,GWENDOLYN R MELCHER,58 OPERA HOUSE SQ CLAREMONT 03743,542-7003,542-7038,cityclerk@claremontnh.com,www.claremontnh.com,WARD 03 - Disnard Elementary School 160 Hanover St Claremont 03743,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CLARKSVILLE,HELENE L DIONNE,408 NH ROUTE 145 CLARKSVILLE 03592,246-7751,246-3480,twnclark@yahoo.com,none,Clarksville Town Hall 408 Nh Rt 145 Clarksville 03592,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
COLEBROOK,SHEILA M BEAUCHEMIN,17 BRIDGE STREET COLEBROOK 03576,237-5200,237-5069,sbeauchemin@myfairpoint.net,www.colebrook-nh.com,Colebrook Elementary School Gym 27 Dumont St Colebrook 03576,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
COLUMBIA,MARCIA LYNN PARKHURST,PO BOX 157 COLEBROOK 03576,237-5255,237-8270,towncolumbia@myfairpoint.net,www.columbianh.org,Columbia Town Hall 1919 Us Route 3 Columbia 03576,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONCORD WARD 01,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,WARD 01 - Immaculate Conception Church 9 Bonney St Concord 03303,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONCORD WARD 02,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,WARD 02 - West Congregational Church 499 North State St Concord 03301,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONCORD WARD 03,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,WARD 03 - Beaver Meadow Golf Course 1 Beaver Meadow St Concord 03301,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONCORD WARD 04,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,WARD 04 - Boys & Girls Club Of Greater Concord 55 Bradley - Polling Place Only St Concord 03301,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONCORD WARD 05,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,WARD 05 - Green Street Community Center 39 Green St Concord 03301,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONCORD WARD 06,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,WARD 06 - St John's Church 72 South Main St Concord 03301,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONCORD WARD 07,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,WARD 07 - West Street Ward House 41 West St Concord 03301,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONCORD WARD 08,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,WARD 08 - Bektash Temple 189 Pembroke Rd Concord 03301,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONCORD WARD 09,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,WARD 09 - Havenwood 33 Christian Ave Concord 03301,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONCORD WARD 10,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,WARD 10 - Broken Ground School 123 Portsmouth St Concord 03301,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CONWAY,RHODA A QUINT,1634 EAST MAIN STREET CENTER CONWAY 03813,447-3811,447-1348,rquint@conwaynh.org,www.conwaynh.org,Conway Community Building 1808 East Main St Conway 03813,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CORNISH,PAULA  HARTHAN,PO BOX 183 CORNISH FLAT 03746,675-5207,675-5605,cornishtownclerk@comcast.net,www.cornishnh.net,Cornish Elementary School 994 Town House Rd Cornish 03745,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
CROYDON,CHARLEEN  LITTLE,879 NH RTE 10 CROYDON 03773,863-7830,863-2601,croydon@myfairpoint.net,none available,Croydon Town Hall 879 Nh Route 10 Croydon 03773,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DALTON,JESSIE  WENTWORTH,756 DALTON ROAD DALTON 03598,837-2092,873-9642,town.clerk@townofdalton.com,http://www.townofdalton.com/,Dalton Municipal Building 756 Dalton Rd Dalton 03598,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DANBURY,TRICIA J TAYLOR,23 HIGH ST DANBURY 03230,768-5448,768-5448,danburyclerk@comcast.net,www.townofdanburynh.com,Danbury Town Hall 23 High St Danbury 03230,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DANVILLE,CHRISTINE  TRACY,210 MAIN STREET DANVILLE 03819,382-8253,382-3363,ctracy@townofdanville.org,www.townofdanville.org,Danville Community Center 169 Main St Danville 03819,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DEERFIELD,KEVIN  BARRY,PO BOX 159 DEERFIELD 03037,463-8811,463-2820,twn@townofdeerfieldnh.com,www.townofdeerfieldnh.com,Deerfield Town Hall 10 Church St Deerfield 03037,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DEERING,CAROL MICHELLE BAKER,762 DEERING CENTER ROAD DEERING 03244,464-3224,,townclerk@deering.nh.us,www.deering.nh.us,Deering Town Hall 762 Deering Center Rd Deering 03244,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DERRY WARD 01,DANIEL R HEALEY,14 MANNING STREET DERRY 03038,432-6105,432-8176,danielhealey@derrynh.org,www.derrynh.org,WARD 01 - Pinkerton Academy Dist #1 5 Pinkerton Academy St Derry 03038,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DERRY WARD 02,DANIEL R HEALEY,14 MANNING STREET DERRY 03038,432-6105,432-8176,danielhealey@derrynh.org,www.derrynh.org,WARD 02 - Calvary Bible School  #2 145 Hampstead Rd Derry 03038,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DERRY WARD 03,DANIEL R HEALEY,14 MANNING STREET DERRY 03038,432-6105,432-8176,danielhealey@derrynh.org,www.derrynh.org,WARD 03 - West Running Brook Middle School Dist #3 1 West Running Brook Ln Derry 03038,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DERRY WARD 04,DANIEL R HEALEY,14 MANNING STREET DERRY 03038,432-6105,432-8176,danielhealey@derrynh.org,www.derrynh.org,WARD 04 - Gilbert H Hood Middle School Dist #4 5 Hood Rd Derry 03038,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DIXVILLE,DEBORAH  TILLOTSON,1 WILDERNESS ROAD DIXVILLE 03576,255-3851,255-4200,debtt@tango175.com,none available,Wilderness Ski Lodge 10 Wilderness Rd Dixville 03576,12:00 AM - 12:05 AM,9/13/2016,2016 STATE PRIMARY ELECTION,
DORCHESTER,DARLENE E OAKS,1097 N. DORCHESTER ROAD DORCHESTER 03266,786-9476,786-9476,town.clerk@townofdorchester.net,townofdorchester.net,Dorchester Town House 24 Town House Rd Dorchester 03266,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DOVER WARD 01,KAREN  LAVERTU,288 CENTRAL AVE DOVER 03820,516-6020,516-6666,k.lavertu@dover.nh.gov,www.dover.nh.gov,WARD 01 - Saint Mary's Church Hall 21 Chestnut St Dover 03820,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DOVER WARD 02,KAREN  LAVERTU,288 CENTRAL AVE DOVER 03820,516-6020,516-6666,k.lavertu@dover.nh.gov,www.dover.nh.gov,WARD 02 - First Parish Congregational Church 218 Central Ave Dover 03820,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DOVER WARD 03,KAREN  LAVERTU,288 CENTRAL AVE DOVER 03820,516-6020,516-6666,k.lavertu@dover.nh.gov,www.dover.nh.gov,WARD 03 - Langdon Place 60 Middle Rd Dover 03820,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DOVER WARD 04,KAREN  LAVERTU,288 CENTRAL AVE DOVER 03820,516-6020,516-6666,k.lavertu@dover.nh.gov,www.dover.nh.gov,WARD 04 - Elks Lodge 282 Durham Rd Dover 03820,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DOVER WARD 05,KAREN  LAVERTU,288 CENTRAL AVE DOVER 03820,516-6020,516-6666,k.lavertu@dover.nh.gov,www.dover.nh.gov,WARD 05 - Saint John's Methodist Church 28 Cataract Ave Dover 03820,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DOVER WARD 06,KAREN  LAVERTU,288 CENTRAL AVE DOVER 03820,516-6020,516-6666,k.lavertu@dover.nh.gov,www.dover.nh.gov,WARD 06 - Riverside Rest Home 276 County Farm Rd Dover 03820,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DUBLIN,JEANNINE ROBIN DUNNE,PO BOX 62 DUBLIN 03444,563-8859,563-9221,townclerk@townofdublin.org,www.townofdublin.org,Dublin Town Hall 1120 Main St Dublin 03444,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DUMMER,MARIANN  LETARTE,75 HILL ROAD DUMMER 03588,449-2006,449-2315,townofdummer@gmail.com,www.dummernh.org,Dummer Town Hall 75 Hill Rd Dummer 03588,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DUNBARTON,LINDA L LANDRY,1011 SCHOOL STREET DUNBARTON 03046,774-3547,774-5541,townclerk@dunbartonnh.org,http://dunbartonnh.org,Dunbarton Community Center 20 Robert Rogers Rd Dunbarton 03046,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
DURHAM,LORRIE  PITT,8 NEWMARKET ROAD DURHAM 03824,868-5577,,lpitt@ci.durham.nh.us,http://www.ci.durham.nh.us,Oyster River High School 55 Coe Dr Durham 03824,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
EAST KINGSTON,BARBARA ANN CLARK,PO BOX 249 E KINGSTON 03827,642-8794,642-5096,bclark@eastkingstonnh.gov,www.eknh.org,East Kingston Elementary School (Multi-Purpose Room) 5 Andrews Ln East Kingston 03827,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
EASTON,TONI  WOODRUFF,1060 EASTON VALLEY ROAD EASTON 03580,823-8017,823-7780,eastontownclerk@aaahawk.com,townofeastonnh.org,Easton Town Hall 1060 Easton Valley Rd Easton 03580,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
EATON,SUZANNE ANNETTE RAICHE,PO BOX 118 EATON CENTER 03832,447-2840,447-2560,eatonnhtc@gmail.com,http://eatonnh.org,Evans Memorial Bldg - Eaton Town Hall 83 Brownfield Rd Eaton 03849,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
EFFINGHAM,DEANNA  AMARAL,68 SCHOOL STREET EFFINGHAM 03882,539-7551,539-7637,townclerk.taxcollector@effinghamnh.net,effinghamnh.net,Effingham Elementary School 6 Partridge Cove Rd Effingham 03882,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ELLSWORTH,DONNA MARIE O'BRIEN,3 ELLSWORTH POND RD ELLSWORTH 03223,726-3551,,dob7159@gmail.com,,Ellsworth Town Hall 3 Ellsworth Pond Rd Ellsworth 03223,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ENFIELD,CAROLEE T EISENER,PO BOX 373 ENFIELD 03748,632-4201,632-5182,ceisener@enfield.nh.us,www.enfield.nh.us,Whitney Hall 23 Main St Enfield 03748,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
EPPING,ERIKA LEIGH PETHIC-ROBINSON,157 MAIN ST EPPING 03042,679-8288,679-3002,clerkandtax@townofepping.com,www.townofepping.com,Epping Middle School Gym 21 Academy St Epping 03042,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
EPSOM,DAWN E BLACKWELL,PO BOX 10 EPSOM 03234,736-4825,736-8539,dawnepsom@metrocast.net,www.epsomnh.org,Epsom Central School 282 Black Hall Rd Epsom 03234,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ERROL,YVETTE  BILODEAU,PO BOX 100 ERROL 03579,482-3351,482-3804,erroltownclerk@gmail.com,n/a,Errol Town Hall 33 Main St Errol 03579,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
EXETER,ANDREA J KOHLER,10 FRONT STREET EXETER 03833,778-0591,418-6424,akohler@exeternh.gov,www.exeternh.gov,Talbot Gym 30 Linden St Exeter 03833,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
FARMINGTON WARD 01,KATHY L SEAVER,356 MAIN STREET FARMINGTON 03835,755-3657,755-9128,tctc@metrocast.net,www.farmington.nh.us,WARD 01 - Farmington Town Hall Gymnasium 531 Main St Farmington 03835,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
