office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,08:00:00 - 06:00,12:00:00 - 06:00,10/11/16,10/14/16
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,13:00:00 - 06:00,17:00:00 - 06:00,10/11/16,10/14/16
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,08:00:00 - 06:00,12:00:00 - 06:00,10/17/16,10/21/16
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,13:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/21/16
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,08:00:00 - 06:00,12:00:00 - 06:00,10/24/16,10/28/16
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,13:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/28/16
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,08:00:00 - 06:00,12:00:00 - 06:00,10/31/16,11/4/16
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,13:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,08:00:00 - 07:00,12:00:00 - 07:00,11/7/16,11/7/16
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,13:00:00 - 07:00,17:00:00 - 07:00,11/7/16,11/7/16
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,08:00:00 - 06:00,12:00:00 - 06:00,10/11/16,10/14/16
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,13:00:00 - 06:00,16:30:00 - 06:00,10/11/16,10/14/16
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,08:00:00 - 06:00,12:00:00 - 06:00,10/17/16,10/21/16
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,13:00:00 - 06:00,16:30:00 - 06:00,10/17/16,10/21/16
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,08:00:00 - 06:00,12:00:00 - 06:00,10/24/16,10/28/16
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,13:00:00 - 06:00,16:30:00 - 06:00,10/24/16,10/28/16
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,08:00:00 - 06:00,12:00:00 - 06:00,10/31/16,11/4/16
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,13:00:00 - 06:00,16:30:00 - 06:00,10/31/16,11/4/16
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,08:00:00 - 07:00,12:00:00 - 07:00,11/7/16,11/7/16
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,13:00:00 - 07:00,16:30:00 - 07:00,11/7/16,11/7/16
Blaine County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:blaine,Blaine County NE,http://www.blainecounty.ne.gov/election.html,"(308) 547-2222, ext. 201",clerk@blaine.nacone.org,145 Lincoln Ave.,Brewster,NE,68821,08:00:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16
Blaine County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:blaine,Blaine County NE,http://www.blainecounty.ne.gov/election.html,"(308) 547-2222, ext. 201",clerk@blaine.nacone.org,145 Lincoln Ave.,Brewster,NE,68821,08:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16
Blaine County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:blaine,Blaine County NE,http://www.blainecounty.ne.gov/election.html,"(308) 547-2222, ext. 201",clerk@blaine.nacone.org,145 Lincoln Ave.,Brewster,NE,68821,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16
Blaine County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:blaine,Blaine County NE,http://www.blainecounty.ne.gov/election.html,"(308) 547-2222, ext. 201",clerk@blaine.nacone.org,145 Lincoln Ave.,Brewster,NE,68821,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16
Blaine County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:blaine,Blaine County NE,http://www.blainecounty.ne.gov/election.html,"(308) 547-2222, ext. 201",clerk@blaine.nacone.org,145 Lincoln Ave.,Brewster,NE,68821,08:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16
Boone County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boone,Boone County NE,http://www.co.boone.ne.us/webpages/election/election.html,(402) 395-2055,clerk@boone.nacone.org,222 S. 4th Street,Albion,NE,68620,08:00:00 - 05:00,17:00:00 - 05:00,10/11/16,10/14/16
Boone County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boone,Boone County NE,http://www.co.boone.ne.us/webpages/election/election.html,(402) 395-2055,clerk@boone.nacone.org,222 S. 4th Street,Albion,NE,68620,08:00:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16
Boone County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boone,Boone County NE,http://www.co.boone.ne.us/webpages/election/election.html,(402) 395-2055,clerk@boone.nacone.org,222 S. 4th Street,Albion,NE,68620,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16
Boone County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boone,Boone County NE,http://www.co.boone.ne.us/webpages/election/election.html,(402) 395-2055,clerk@boone.nacone.org,222 S. 4th Street,Albion,NE,68620,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16
Boone County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boone,Boone County NE,http://www.co.boone.ne.us/webpages/election/election.html,(402) 395-2055,clerk@boone.nacone.org,222 S. 4th Street,Albion,NE,68620,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16
Box Butte County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:box_butte,Box Butte County NE,http://www.co.box-butte.ne.us/election.html,(308) 762-6565,boxbutteclerk@yahoo.com,515 Box Butte Avenue ,Alliance,NE,69301,08:00:00 - 06:00,16:00:00 - 06:00,10/11/16,10/14/16
Box Butte County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:box_butte,Box Butte County NE,http://www.co.box-butte.ne.us/election.html,(308) 762-6565,boxbutteclerk@yahoo.com,515 Box Butte Avenue ,Alliance,NE,69301,08:00:00 - 06:00,16:00:00 - 06:00,10/17/16,10/21/16
Box Butte County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:box_butte,Box Butte County NE,http://www.co.box-butte.ne.us/election.html,(308) 762-6565,boxbutteclerk@yahoo.com,515 Box Butte Avenue ,Alliance,NE,69301,08:00:00 - 06:00,16:00:00 - 06:00,10/24/16,10/28/16
Box Butte County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:box_butte,Box Butte County NE,http://www.co.box-butte.ne.us/election.html,(308) 762-6565,boxbutteclerk@yahoo.com,515 Box Butte Avenue ,Alliance,NE,69301,08:00:00 - 06:00,16:00:00 - 06:00,10/31/16,11/4/16
Box Butte County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:box_butte,Box Butte County NE,http://www.co.box-butte.ne.us/election.html,(308) 762-6565,boxbutteclerk@yahoo.com,515 Box Butte Avenue ,Alliance,NE,69301,08:00:00 - 07:00,16:00:00 - 07:00,11/7/16,11/7/16
Boyd County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boyd,Boyd County NE,http://www.boydcounty.ne.gov/webpages/election/election.html,(402) 775-2391,clerk@boyd.nacone.org,401 Thayer,Butte,NE,68722,08:15:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16
Boyd County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boyd,Boyd County NE,http://www.boydcounty.ne.gov/webpages/election/election.html,(402) 775-2391,clerk@boyd.nacone.org,401 Thayer,Butte,NE,68722,08:15:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16
Boyd County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boyd,Boyd County NE,http://www.boydcounty.ne.gov/webpages/election/election.html,(402) 775-2391,clerk@boyd.nacone.org,401 Thayer,Butte,NE,68722,08:15:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16
Boyd County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boyd,Boyd County NE,http://www.boydcounty.ne.gov/webpages/election/election.html,(402) 775-2391,clerk@boyd.nacone.org,401 Thayer,Butte,NE,68722,08:15:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16
Boyd County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boyd,Boyd County NE,http://www.boydcounty.ne.gov/webpages/election/election.html,(402) 775-2391,clerk@boyd.nacone.org,401 Thayer,Butte,NE,68722,08:15:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16
Brown County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:brown,Brown County NE,http://www.county-clerk.net/countyclerk.asp?state=Nebraska&county=Brown,(402) 387-2705,bcclerk@threeriver.net,148 W. 4th Street,Ainsworth,NE,69210,08:00:00 - 05:00,17:00:00 - 05:00,10/11/16,10/14/16
Brown County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:brown,Brown County NE,http://www.county-clerk.net/countyclerk.asp?state=Nebraska&county=Brown,(402) 387-2705,bcclerk@threeriver.net,148 W. 4th Street,Ainsworth,NE,69210,08:00:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16
Brown County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:brown,Brown County NE,http://www.county-clerk.net/countyclerk.asp?state=Nebraska&county=Brown,(402) 387-2705,bcclerk@threeriver.net,148 W. 4th Street,Ainsworth,NE,69210,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16
Brown County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:brown,Brown County NE,http://www.county-clerk.net/countyclerk.asp?state=Nebraska&county=Brown,(402) 387-2705,bcclerk@threeriver.net,148 W. 4th Street,Ainsworth,NE,69210,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16
Brown County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:brown,Brown County NE,http://www.county-clerk.net/countyclerk.asp?state=Nebraska&county=Brown,(402) 387-2705,bcclerk@threeriver.net,148 W. 4th Street,Ainsworth,NE,69210,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16
Buffalo County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:buffalo,Buffalo County NE,http://www.buffalogov.org/ELECTION-COMMISSION,(308) 236-1233,elections@buffalocounty.ne.gov,1512 Central Ave.,Kearney,NE,68848,08:00:00 - 05:00,17:00:00 - 05:00,10/11/16,10/14/16
Buffalo County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:buffalo,Buffalo County NE,http://www.buffalogov.org/ELECTION-COMMISSION,(308) 236-1233,elections@buffalocounty.ne.gov,1512 Central Ave.,Kearney,NE,68848,08:00:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16
Buffalo County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:buffalo,Buffalo County NE,http://www.buffalogov.org/ELECTION-COMMISSION,(308) 236-1233,elections@buffalocounty.ne.gov,1512 Central Ave.,Kearney,NE,68848,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16
Buffalo County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:buffalo,Buffalo County NE,http://www.buffalogov.org/ELECTION-COMMISSION,(308) 236-1233,elections@buffalocounty.ne.gov,1512 Central Ave.,Kearney,NE,68848,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16
Buffalo County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:buffalo,Buffalo County NE,http://www.buffalogov.org/ELECTION-COMMISSION,(308) 236-1233,elections@buffalocounty.ne.gov,1512 Central Ave.,Kearney,NE,68848,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16
Burt County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:burt,Burt County NE,http://www.burtcounty.ne.gov/webpages/election/election.html,(402) 374-2955,burtcoclerk@abbnebraska.com,"111 N. 13th St., Ste 8",Tekamah,NE,68061,08:00:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16
Burt County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:burt,Burt County NE,http://www.burtcounty.ne.gov/webpages/election/election.html,(402) 374-2955,burtcoclerk@abbnebraska.com,"111 N. 13th St., Ste 8",Tekamah,NE,68061,08:00:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16
Burt County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:burt,Burt County NE,http://www.burtcounty.ne.gov/webpages/election/election.html,(402) 374-2955,burtcoclerk@abbnebraska.com,"111 N. 13th St., Ste 8",Tekamah,NE,68061,08:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16
Burt County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:burt,Burt County NE,http://www.burtcounty.ne.gov/webpages/election/election.html,(402) 374-2955,burtcoclerk@abbnebraska.com,"111 N. 13th St., Ste 8",Tekamah,NE,68061,08:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16
Burt County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:burt,Burt County NE,http://www.burtcounty.ne.gov/webpages/election/election.html,(402) 374-2955,burtcoclerk@abbnebraska.com,"111 N. 13th St., Ste 8",Tekamah,NE,68061,08:00:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16
Butler County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:butler,Butler County NE,http://www.co.butler.ne.us/webpages/clerk/clerk.html,(402) 367-7430,clerk@butler.nacone.org,451 N. 5th St.,David City,NE,68632,08:30:00 - 05:00,17:00:00 - 05:00,10/11/16,10/14/16
Butler County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:butler,Butler County NE,http://www.co.butler.ne.us/webpages/clerk/clerk.html,(402) 367-7430,clerk@butler.nacone.org,451 N. 5th St.,David City,NE,68632,08:30:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16
Butler County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:butler,Butler County NE,http://www.co.butler.ne.us/webpages/clerk/clerk.html,(402) 367-7430,clerk@butler.nacone.org,451 N. 5th St.,David City,NE,68632,08:30:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16
Butler County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:butler,Butler County NE,http://www.co.butler.ne.us/webpages/clerk/clerk.html,(402) 367-7430,clerk@butler.nacone.org,451 N. 5th St.,David City,NE,68632,08:30:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16
Butler County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:butler,Butler County NE,http://www.co.butler.ne.us/webpages/clerk/clerk.html,(402) 367-7430,clerk@butler.nacone.org,451 N. 5th St.,David City,NE,68632,08:30:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16
Cass County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:cass,Cass County NE,http://www.cassne.org/election.html,(402) 296-9309,nancyj@cassne.org,201 Main St,Plattsmouth,NE,68048,08:00:00 - 05:00,17:00:00 - 05:00,10/11/16,10/14/16
Cass County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:cass,Cass County NE,http://www.cassne.org/election.html,(402) 296-9309,nancyj@cassne.org,201 Main St,Plattsmouth,NE,68048,08:00:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16
Cass County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:cass,Cass County NE,http://www.cassne.org/election.html,(402) 296-9309,nancyj@cassne.org,201 Main St,Plattsmouth,NE,68048,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16
Cass County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:cass,Cass County NE,http://www.cassne.org/election.html,(402) 296-9309,nancyj@cassne.org,201 Main St,Plattsmouth,NE,68048,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16
Cass County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:cass,Cass County NE,http://www.cassne.org/election.html,(402) 296-9309,nancyj@cassne.org,201 Main St,Plattsmouth,NE,68048,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16
Cedar County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cedar,Cedar County NE,http://www.co.cedar.ne.us/webpages/clerk/clerk.html,(402) 254-7411,cedarclk@hartel.net,101 S. Broadway,Hartington,NE,68739,08:00:00 - 05:00,17:00:00 - 05:00,10/11/16,10/14/16
Cedar County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cedar,Cedar County NE,http://www.co.cedar.ne.us/webpages/clerk/clerk.html,(402) 254-7411,cedarclk@hartel.net,101 S. Broadway,Hartington,NE,68739,08:00:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16
Cedar County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cedar,Cedar County NE,http://www.co.cedar.ne.us/webpages/clerk/clerk.html,(402) 254-7411,cedarclk@hartel.net,101 S. Broadway,Hartington,NE,68739,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16
Cedar County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cedar,Cedar County NE,http://www.co.cedar.ne.us/webpages/clerk/clerk.html,(402) 254-7411,cedarclk@hartel.net,101 S. Broadway,Hartington,NE,68739,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16
Cedar County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cedar,Cedar County NE,http://www.co.cedar.ne.us/webpages/clerk/clerk.html,(402) 254-7411,cedarclk@hartel.net,101 S. Broadway,Hartington,NE,68739,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16
Chase County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:chase,Chase County NE,http://www.co.chase.ne.us/clerk.html,(308) 882-7500,ccclerk@chase3000.com,921 Broadway St.,Imperial,NE,69033,08:00:00 - 06:00,16:00:00 - 06:00,10/11/16,10/14/16
Chase County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:chase,Chase County NE,http://www.co.chase.ne.us/clerk.html,(308) 882-7500,ccclerk@chase3000.com,921 Broadway St.,Imperial,NE,69033,08:00:00 - 06:00,16:00:00 - 06:00,10/17/16,10/21/16
Chase County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:chase,Chase County NE,http://www.co.chase.ne.us/clerk.html,(308) 882-7500,ccclerk@chase3000.com,921 Broadway St.,Imperial,NE,69033,08:00:00 - 06:00,16:00:00 - 06:00,10/24/16,10/28/16
Chase County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:chase,Chase County NE,http://www.co.chase.ne.us/clerk.html,(308) 882-7500,ccclerk@chase3000.com,921 Broadway St.,Imperial,NE,69033,08:00:00 - 06:00,16:00:00 - 06:00,10/31/16,11/4/16
Chase County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:chase,Chase County NE,http://www.co.chase.ne.us/clerk.html,(308) 882-7500,ccclerk@chase3000.com,921 Broadway St.,Imperial,NE,69033,08:00:00 - 07:00,16:00:00 - 07:00,11/7/16,11/7/16
Cherry County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cherry,Cherry County NE,http://www.co.cherry.ne.us/webpages/election/election.html,(402) 376-2771,clerk@cherry.nacone.org,"365 N. Main Street, #5",Valentine,NE,69201,08:30:00 - 05:00,12:00:00 - 05:00,10/11/16,10/14/16
Cherry County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cherry,Cherry County NE,http://www.co.cherry.ne.us/webpages/election/election.html,(402) 376-2771,clerk@cherry.nacone.org,"365 N. Main Street, #5",Valentine,NE,69201,13:00:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16
Cherry County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cherry,Cherry County NE,http://www.co.cherry.ne.us/webpages/election/election.html,(402) 376-2771,clerk@cherry.nacone.org,"365 N. Main Street, #5",Valentine,NE,69201,08:30:00 - 05:00,12:00:00 - 05:00,10/17/16,10/21/16
Cherry County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cherry,Cherry County NE,http://www.co.cherry.ne.us/webpages/election/election.html,(402) 376-2771,clerk@cherry.nacone.org,"365 N. Main Street, #5",Valentine,NE,69201,13:00:00 - 05:00,13:30:00 - 05:00,10/17/16,10/21/16
Cherry County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cherry,Cherry County NE,http://www.co.cherry.ne.us/webpages/election/election.html,(402) 376-2771,clerk@cherry.nacone.org,"365 N. Main Street, #5",Valentine,NE,69201,08:30:00 - 05:00,12:00:00 - 05:00,10/24/16,10/28/16
Cherry County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:cherry,Cherry County NE,http://www.co.cherry.ne.us/webpages/election/election.html,(402) 376-2771,clerk@cherry.nacone.org,"365 N. Main Street, #5",Valentine,NE,69201,13:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16
