office-name,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2050 Bonnie Lane ,Las Vegas,NV,89156,08:00:00 - 07:00,18:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6200 W Lone Mountain Rd,Las Vegas,NV,89130,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3200 East Cheyenne Ave,North Las Vegas,NV,89030,08:00:00 - 07:00,18:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,Dr. William U. Pearson Comm. Ctr. 1625 W. Carey Ave. @ M.L. King Blvd,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,300 S. Racetrack Rd,Henderson,NV,89015,08:00:00 - 07:00,18:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6670 W Cheyenne Ave, Las Vegas,NV,89108,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 4120 S Rainbow , Las Vegas,NV,89103,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4775 McLeod Dr, Las Vegas,NV,89121,08:00:00 - 07:00,18:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9600 W Sahara Ave, Las Vegas,NV,89117,10:00:00  - 07:00,19:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3050 E Centennial Pkwy,North Las Vegas,NV,89081,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1950 Village Center Cir , Las Vegas,NV,89134,08:00:00 - 07:00,18:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 6450 Sky Pointe Dr , Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"2835 S. Nellis Bl., ", Las Vegas,NV,89121,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1755 W Alexander Rd (Martin Luther King Blvd),North Las Vegas,NV,89032,10:30:00 - 07:00,19:30:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2050 Bonnie Lane ,Las Vegas,NV,89156,08:00:00 - 07:00,18:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6200 W Lone Mountain Rd,Las Vegas,NV,89130,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3200 East Cheyenne Ave,North Las Vegas,NV,89030,08:00:00 - 07:00,18:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10360 Sun City Blvd,Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,Dr. William U. Pearson Comm. Ctr. 1625 W. Carey Ave. @ M.L. King Blvd,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6670 W Cheyenne Ave,Las Vegas,NV,89108,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 4120 S Rainbow , Las Vegas,NV,89103,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9600 W Sahara Ave, Las Vegas,NV,89117,10:00:00  - 07:00,19:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2401 Somersworth Dr,Henderson,NV,89044,08:00:00 - 07:00,18:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7390 Aliante Pkwy ,North Las Vegas,NV,89084,08:00:00 - 07:00,18:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 6450 Sky Pointe Dr , Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"1970 VILLAGE CENTER CIRCLE, STE. 7, ", Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3130 McLeod Dr, Las Vegas,NV,89121,10:00:00  - 07:00,20:00:00 - 07:00,10/27/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 5881 E. Charleston Blvd, Las Vegas,NV,89142,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10250 West Charleston Blvd, Las Vegas,NV,89135,08:00:00 - 07:00,18:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,575 College Drive,Henderson,NV,89015,08:00:00 - 07:00,18:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 7271 S. Eastern Avenue, Las Vegas,NV,89119,08:00:00 - 07:00,18:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8410 Farm Road, Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 6885 E Lake Mead Blvd , Las Vegas,NV,89156,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2835 S. Nellis Bl., Las Vegas,NV,89121,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,5975 W. Tropicana Avenue, Las Vegas,NV,89103,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6200 W Lone Mountain Rd,Las Vegas,NV,89130,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10360 Sun City Blvd,Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,Dr. William U. Pearson Comm. Ctr. 1625 W. Carey Ave. @ M.L. King Blvd,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2671 Las Vegas Blvd,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7390 Aliante Pkwy ,North Las Vegas,NV,89084,08:00:00 - 07:00,18:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"1970 VILLAGE CENTER CIRCLE, STE. 7, ", Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,5881 E. Charleston Blvd, Las Vegas,NV,89142,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10250 West Charleston Blvd, Las Vegas,NV,89135,08:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,575 College Drive,Henderson,NV,89015,08:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 7271 S. Eastern Avenue, Las Vegas,NV,89119,08:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8410 Farm Road, Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 6885 E Lake Mead Blvd , Las Vegas,NV,89156,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2835 S. Nellis Bl., Las Vegas,NV,89121,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,5975 W. Tropicana Avenue, Las Vegas,NV,89103,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4215 Spring Mountain Rd , Las Vegas,NV,89102,10:00:00  - 07:00,18:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1950 J St (Lake Mead Blvd), Las Vegas,NV,89106,09:00:00 - 07:00,17:00:00  - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2671 Las Vegas Blvd,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"2570 E Craig Rd,",North Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 9107 Del Webb Blvd ,Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9125 S Buffalo Dr,Las Vegas,NV,89113,09:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7390 Aliante Pkwy ,North Las Vegas,NV,89084,08:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"1970 VILLAGE CENTER CIRCLE, STE. 7, ", Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,5881 E. Charleston Blvd, Las Vegas,NV,89142,09:00:00 - 07:00,19:00:00 - 07:00,10/30/16,10/30/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10250 West Charleston Blvd, Las Vegas,NV,89135,08:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,575 College Drive,Henderson,NV,89015,08:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 6885 E Lake Mead Blvd , Las Vegas,NV,89156,09:00:00 - 07:00,19:00:00 - 07:00,10/30/16,10/30/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4215 Spring Mountain Rd , Las Vegas,NV,89102,10:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,25 E. Shelbourne Ave.., Las Vegas,NV,89123,10:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2671 Las Vegas Blvd,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/30/16,10/30/16
