office-name,official-title,ocd-division,division - description,homepage - url,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date
Chicot County,County Clerk,ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,108 Main St.,Lake Village,AR,71653,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Chicot County,County Clerk,ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,108 Main St.,Lake Village,AR,71653,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Chicot County,County Clerk,ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,108 Main St.,Lake Village,AR,71653,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Chicot County,County Clerk,ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,108 Main St.,Lake Village,AR,71653,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Chicot County,County Clerk,ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,108 Main St.,Lake Village,AR,71653,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Clark County,County Clerk,ocd-division/country:us/state:ar/county:clark,Clark County AR,,(870) 246-4491,clarkclerk@arkansasclerks.com,401 Clay St.,Arkadelphia,AR,71923,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Clark County,County Clerk,ocd-division/country:us/state:ar/county:clark,Clark County AR,,(870) 246-4491,clarkclerk@arkansasclerks.com,401 Clay St.,Arkadelphia,AR,71923,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Clark County,County Clerk,ocd-division/country:us/state:ar/county:clark,Clark County AR,,(870) 246-4491,clarkclerk@arkansasclerks.com,401 Clay St.,Arkadelphia,AR,71923,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Clark County,County Clerk,ocd-division/country:us/state:ar/county:clark,Clark County AR,,(870) 246-4491,clarkclerk@arkansasclerks.com,401 Clay St.,Arkadelphia,AR,71923,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Clark County,County Clerk,ocd-division/country:us/state:ar/county:clark,Clark County AR,,(870) 246-4491,clarkclerk@arkansasclerks.com,401 Clay St.,Arkadelphia,AR,71923,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Clay County,Piggott and Corning Courthouse,ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,151 South Second Ave. AND 800 W Second St,Piggott and Corning,AR,72454,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Clay County,Piggott and Corning Courthouse,ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,151 South Second Ave. AND 800 W Second St,Piggott and Corning,AR,72454,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Clay County,Piggott and Corning Courthouse,ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,151 South Second Ave. AND 800 W Second St,Piggott and Corning,AR,72454,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Clay County,Piggott and Corning Courthouse,ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,151 South Second Ave. AND 800 W Second St,Piggott and Corning,AR,72454,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Clay County,Piggott and Corning Courthouse,ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,151 South Second Ave. AND 800 W Second St,Piggott and Corning,AR,72454,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Clay County,Piggott and Corning Courthouse,ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,800 Sw 2nd St,Corning,AR,72422,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Clay County,Piggott and Corning Courthouse,ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,800 Sw 2nd St,Corning,AR,72422,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Clay County,Piggott and Corning Courthouse,ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,800 Sw 2nd St,Corning,AR,72422,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Clay County,Piggott and Corning Courthouse,ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,800 Sw 2nd St,Corning,AR,72422,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Clay County,Piggott and Corning Courthouse,ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,800 Sw 2nd St,Corning,AR,72422,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Cleburne County,County Clerk,ocd-division/country:us/state:ar/county:cleburne,Cleburne County AR,,(501) 362-4620,cleburneclerk@arkansasclerks.com,301 West Main St,Heber Springs,AR,72543,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Cleburne County,County Clerk,ocd-division/country:us/state:ar/county:cleburne,Cleburne County AR,,(501) 362-4620,cleburneclerk@arkansasclerks.com,301 West Main St,Heber Springs,AR,72543,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Cleburne County,County Clerk,ocd-division/country:us/state:ar/county:cleburne,Cleburne County AR,,(501) 362-4620,cleburneclerk@arkansasclerks.com,301 West Main St,Heber Springs,AR,72543,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Cleburne County,County Clerk,ocd-division/country:us/state:ar/county:cleburne,Cleburne County AR,,(501) 362-4620,cleburneclerk@arkansasclerks.com,301 West Main St,Heber Springs,AR,72543,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Cleburne County,County Clerk,ocd-division/country:us/state:ar/county:cleburne,Cleburne County AR,,(501) 362-4620,cleburneclerk@arkansasclerks.com,301 West Main St,Heber Springs,AR,72543,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Cleveland County,County Clerk,ocd-division/country:us/state:ar/county:cleveland,Cleveland County AR,,(870) 325-6521,clevelandclerk@arkansasclerks.com,20 Magnolia Street,Rison,AR,71665,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Cleveland County,County Clerk,ocd-division/country:us/state:ar/county:cleveland,Cleveland County AR,,(870) 325-6521,clevelandclerk@arkansasclerks.com,20 Magnolia Street,Rison,AR,71665,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Cleveland County,County Clerk,ocd-division/country:us/state:ar/county:cleveland,Cleveland County AR,,(870) 325-6521,clevelandclerk@arkansasclerks.com,20 Magnolia Street,Rison,AR,71665,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Cleveland County,County Clerk,ocd-division/country:us/state:ar/county:cleveland,Cleveland County AR,,(870) 325-6521,clevelandclerk@arkansasclerks.com,20 Magnolia Street,Rison,AR,71665,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Cleveland County,County Clerk,ocd-division/country:us/state:ar/county:cleveland,Cleveland County AR,,(870) 325-6521,clevelandclerk@arkansasclerks.com,20 Magnolia Street,Rison,AR,71665,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Columbia County,County Clerk,ocd-division/country:us/state:ar/county:columbia,Columbia County AR,,(870) 235-3774,columbiaclerk@arkansasclerks.com,"1 Court Square, Suite 1",Magnolia,AR,71753,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Columbia County,County Clerk,ocd-division/country:us/state:ar/county:columbia,Columbia County AR,,(870) 235-3774,columbiaclerk@arkansasclerks.com,"1 Court Square, Suite 1",Magnolia,AR,71753,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Columbia County,County Clerk,ocd-division/country:us/state:ar/county:columbia,Columbia County AR,,(870) 235-3774,columbiaclerk@arkansasclerks.com,"1 Court Square, Suite 1",Magnolia,AR,71753,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Columbia County,County Clerk,ocd-division/country:us/state:ar/county:columbia,Columbia County AR,,(870) 235-3774,columbiaclerk@arkansasclerks.com,"1 Court Square, Suite 1",Magnolia,AR,71753,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Columbia County,County Clerk,ocd-division/country:us/state:ar/county:columbia,Columbia County AR,,(870) 235-3774,columbiaclerk@arkansasclerks.com,"1 Court Square, Suite 1",Magnolia,AR,71753,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Conway County,County Courthouse,ocd-division/country:us/state:ar/county:conway,Conway County AR,,(501) 354-9621,conwayclerk@arkansasclerks.com,"4th Floor Courthouse, 115 South Moose St.",Morrilton,AR,72110,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Conway County,County Courthouse,ocd-division/country:us/state:ar/county:conway,Conway County AR,,(501) 354-9621,conwayclerk@arkansasclerks.com,"4th Floor Courthouse, 115 South Moose St.",Morrilton,AR,72110,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Conway County,County Courthouse,ocd-division/country:us/state:ar/county:conway,Conway County AR,,(501) 354-9621,conwayclerk@arkansasclerks.com,"4th Floor Courthouse, 115 South Moose St.",Morrilton,AR,72110,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Conway County,County Courthouse,ocd-division/country:us/state:ar/county:conway,Conway County AR,,(501) 354-9621,conwayclerk@arkansasclerks.com,"4th Floor Courthouse, 115 South Moose St.",Morrilton,AR,72110,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Conway County,County Courthouse,ocd-division/country:us/state:ar/county:conway,Conway County AR,,(501) 354-9621,conwayclerk@arkansasclerks.com,"4th Floor Courthouse, 115 South Moose St.",Morrilton,AR,72110,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Craighead County,County Clerk,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,(870) 933-4520,craigheadclerk@arkansasclerks.com,"511 South Main, Room 202",Jonesboro,AR,72401,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Craighead County,County Clerk,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,(870) 933-4520,craigheadclerk@arkansasclerks.com,"511 South Main, Room 202",Jonesboro,AR,72401,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Craighead County,County Clerk,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,(870) 933-4520,craigheadclerk@arkansasclerks.com,"511 South Main, Room 202",Jonesboro,AR,72401,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Craighead County,County Clerk,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,(870) 933-4520,craigheadclerk@arkansasclerks.com,"511 South Main, Room 202",Jonesboro,AR,72401,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Craighead County,County Clerk,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,(870) 933-4520,craigheadclerk@arkansasclerks.com,"511 South Main, Room 202",Jonesboro,AR,72401,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Craighead County,Craighead County Election Annex,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,,,315 W Jefferson,Jonesboro,AR,72401,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Craighead County,Craighead County Election Annex,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,,,315 W Jefferson,Jonesboro,AR,72401,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Craighead County,Craighead County Election Annex,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,,,315 W Jefferson,Jonesboro,AR,72401,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Craighead County,Craighead County Election Annex,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,,,315 W Jefferson,Jonesboro,AR,72401,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Craighead County,Craighead County Election Annex,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,,,315 W Jefferson,Jonesboro,AR,72401,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Craighead County,Lake City Courthouse,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,,,107 Cobean Blvd,Lake City,AR,72437,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Craighead County,Lake City Courthouse,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,,,107 Cobean Blvd,Lake City,AR,72437,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Craighead County,Lake City Courthouse,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,,,107 Cobean Blvd,Lake City,AR,72437,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Craighead County,Lake City Courthouse,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,,,107 Cobean Blvd,Lake City,AR,72437,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Craighead County,Lake City Courthouse,ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,,,107 Cobean Blvd,Lake City,AR,72437,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Crawford County,County Clerk,ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,(479) 474-1312,crawfordclerk@arkansasclerks.com,"300 Main St., Room 7",Van Buren,AR,72956,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Crawford County,County Clerk,ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,(479) 474-1312,crawfordclerk@arkansasclerks.com,"300 Main St., Room 7",Van Buren,AR,72956,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Crawford County,County Clerk,ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,(479) 474-1312,crawfordclerk@arkansasclerks.com,"300 Main St., Room 7",Van Buren,AR,72956,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Crawford County,County Clerk,ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,(479) 474-1312,crawfordclerk@arkansasclerks.com,"300 Main St., Room 7",Van Buren,AR,72956,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Crawford County,County Clerk,ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,(479) 474-1312,crawfordclerk@arkansasclerks.com,"300 Main St., Room 7",Van Buren,AR,72956,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Crawford County,County Clerk,ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,,,1820 Chestnut St,Van Buren,AR,72956,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Crawford County,County Clerk,ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,,,1820 Chestnut St,Van Buren,AR,72956,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Crawford County,County Clerk,ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,,,1820 Chestnut St,Van Buren,AR,72956,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Crawford County,County Clerk,ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,,,1820 Chestnut St,Van Buren,AR,72956,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Crawford County,County Clerk,ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,,,1820 Chestnut St,Van Buren,AR,72956,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Crittenden County,County Clerk,ocd-division/country:us/state:ar/county:crittenden,Crittenden County AR,,(870) 739-4434,crittendenclerk@arkansasclerks.com,100 Court Square,Marion,AR,72364,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Crittenden County,County Clerk,ocd-division/country:us/state:ar/county:crittenden,Crittenden County AR,,(870) 739-4434,crittendenclerk@arkansasclerks.com,100 Court Square,Marion,AR,72364,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Crittenden County,County Clerk,ocd-division/country:us/state:ar/county:crittenden,Crittenden County AR,,(870) 739-4434,crittendenclerk@arkansasclerks.com,100 Court Square,Marion,AR,72364,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Crittenden County,County Clerk,ocd-division/country:us/state:ar/county:crittenden,Crittenden County AR,,(870) 739-4434,crittendenclerk@arkansasclerks.com,100 Court Square,Marion,AR,72364,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Crittenden County,County Clerk,ocd-division/country:us/state:ar/county:crittenden,Crittenden County AR,,(870) 739-4434,crittendenclerk@arkansasclerks.com,100 Court Square,Marion,AR,72364,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Cross County,County Clerk,ocd-division/country:us/state:ar/county:cross,Cross County AR,,(870) 238-5735,crossclerk@arkansasclerks.com,705 East Union St,Wynne,AR,72396,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Cross County,County Clerk,ocd-division/country:us/state:ar/county:cross,Cross County AR,,(870) 238-5735,crossclerk@arkansasclerks.com,705 East Union St,Wynne,AR,72396,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
