office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date,notes,Merge status
Clay County,Piggott and Corning Courthouse,":election,:registration",ocd-division/country:us/state:ar/county:clay,Clay County AR,,(870) 598-2813,clayclerk@arkansasclerks.com,151 South Second Ave. AND 800 W Second St,Piggott and Corning,AR,72454,,,10/24/16,11/7/16,"Early voting is in the Corning and Piggott Courthouse from 8:00 to 6:00 and Saturdays from 10:00 to 4:00. Eastern and Western parts of the county, 800 W Second st",EMAIL_SENT
Cleburne County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:cleburne,Cleburne County AR,,(501) 362-4620,cleburneclerk@arkansasclerks.com,301 West Main St,Heber Springs,AR,72543,,,10/24/16,11/7/16,,EMAIL_SENT
Cleveland County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:cleveland,Cleveland County AR,,(870) 325-6521,clevelandclerk@arkansasclerks.com,20 Magnolia Street,Rison,AR,71665,,,10/24/16,11/7/16,,EMAIL_SENT
Columbia County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:columbia,Columbia County AR,,(870) 235-3774,columbiaclerk@arkansasclerks.com,"1 Court Square, Suite 1",Magnolia,AR,71753,,,10/24/16,11/7/16,"M-F 8:00 am to 6:00 p.m.; Saturdays October 27 & November 9, 10:00 am to 4:00 pm",EMAIL_SENT
Conway County,County Courthouse,":election,:registration",ocd-division/country:us/state:ar/county:conway,Conway County AR,,(501) 354-9621,conwayclerk@arkansasclerks.com,"4th Floor Courthouse, 115 South Moose St.",Morrilton,AR,72110,,,10/24/16,11/7/16,"8:00- 6:00 p.m. M-F/ 10:00-to 4:00 p.m. on both Saturdays before the General Election and on Nov 7, 8:00 a.m. to 5:00 p.m.",EMAIL_SENT
Craighead County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:craighead,Craighead County AR,,(870) 933-4520,craigheadclerk@arkansasclerks.com,"511 South Main, Room 202",Jonesboro,AR,72401,,,10/24/16,11/7/16,,EMAIL_SENT
Crawford County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:crawford,Crawford County AR,,(479) 474-1312,crawfordclerk@arkansasclerks.com,"300 Main St., Room 7",Van Buren,AR,72956,,,10/24/16,11/7/16,,EMAIL_SENT
Crittenden County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:crittenden,Crittenden County AR,,(870) 739-4434,crittendenclerk@arkansasclerks.com,100 Court Square,Marion,AR,72364,,,10/24/16,11/7/16,"Monday-Friday 8am-6pm; Saturday 10am-4pm and on Monday, November 7th, 8am-5pm",EMAIL_SENT
Cross County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:cross,Cross County AR,,(870) 238-5735,crossclerk@arkansasclerks.com,705 East Union St,Wynne,AR,72396,,,10/24/16,11/7/16,courthouse - 8-6 Monday - Friday and on Saturday 10-4,EMAIL_SENT
Dallas County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:dallas,Dallas County AR,,(870) 352-2307,dallasclerk@arkansasclerks.com,206 West 3rd,Fordyce,AR,72364,,,10/24/16,11/7/16,,EMAIL_SENT
Desha County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:desha,Desha County AR,,(870) 877-2323,deshaclerk@arkansasclerks.com,608 Robert Moore Street,Arkansas City,AR,71630,,,10/24/16,11/7/16,,EMAIL_SENT
Drew County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:drew,Drew County AR,,(870) 460-6260,drewclerk@arkansasclerks.com,210 South Main St.,Monticello,AR,71655,,,10/24/16,11/7/16,,EMAIL_SENT
Faulkner County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:faulkner,Faulkner County AR,,(501) 450-4909,faulknerclerk@arkansasclerks.com,801 Locust St.,Conway,AR,72034,,,10/24/16,11/7/16,,EMAIL_SENT
Franklin County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:franklin,Franklin County AR,,(479) 667-3607,franklinclerk@arkansasclerks.com,211 West Commercial,Ozark,AR,72949,,,10/24/16,11/7/16,"M-F 8am-6pm, Saturday the 29th of October and Saturday the 5th of November 10am- 4pm Monday November 7th early voting is 8am-5pm. ",EMAIL_SENT
Fulton County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:fulton,Fulton County AR,,(870) 895-3310,fultonclerk@arkansasclerks.com,123 South Main Street,Salem,AR,72576,,,10/24/16,11/7/16,,EMAIL_SENT
Garland County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:garland,Garland County AR,,(501) 622-3610,garlandclerk@arkansasclerks.com,"501 Ouachita, Room 103",Hot Springs,AR,71901,,,10/24/16,11/7/16,,EMAIL_SENT
Grant County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:grant,Grant County AR,,(870) 942-2631,grantclerk@arkansasclerks.com,"101 West Center, Room 106",Sheridan,AR,72150,,,10/24/16,11/7/16,"At this time, in Grant County we hold early voting in the courthouse only. The starting date is October 24th and will run through November 7th. Week day hours are 8 am until 6pm and we are open both Saturdays from 10 am until 4 pm. If we can help with any other questions, please feel free to contact us.",EMAIL_SENT
Greene County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:greene,Greene County AR,,(870) 239-6311,greeneclerk@arkansasclerks.com,"320 West Court Street, Room 102",Paragould,AR,72450,,,10/24/16,11/7/16,"We are open 8 a.m. - 6 p.m. with the exception of November 7th, on that day we close at 5 p.m.
We are also open on Saturdays during those two weeks from 10 a.m.- 4p.m.",EMAIL_OPENED
Hempstead County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:hempstead,Hempstead County AR,,(870) 777-2241,hempsteadclerk@arkansasclerks.com,400 South Washington,Hope,AR,71801,,,10/24/16,11/7/16,,EMAIL_SENT
Hot Spring County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:hot_spring,Hot Spring County AR,,(501) 332-2291,hotspringclerk@arkansasclerks.com,210 Locust St.,Malvern,AR,72104,,,10/24/16,11/7/16,,EMAIL_SENT
Howard County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:howard,Howard County AR,,(870) 845-7502,howardclerk@arkansasclerks.com,"421 North Main St., Room 10",Nashville,AR,71852,,,10/24/16,11/7/16,,EMAIL_SENT
Independence County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:independence,Independence County AR,,(870) 793-8828,independenceclerk@arkansasclerks.com,192 East Main Street,Batesville,AR,72501,,,10/24/16,11/7/16,,EMAIL_SENT
Izard County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:izard,Izard County AR,,(870) 368-4316,izardclerk@arkansasclerks.com,500 Main St.,Melbourne,AR,72556,,,10/24/16,11/7/16,,EMAIL_SENT
Jackson County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:jackson,Jackson County AR,,(870) 523-7420,jacksonclerk@arkansasclerks.com,208 Main St,Newport,AR,72112,,,10/24/16,11/7/16,"Need to confirm location, but hours are weekdays 8 a.m. until 6 p.m. and on Saturdays 10 a.m. until 4 p.m",EMAIL_SENT
Jefferson County,Jefferson County Courthouse,":election,:registration",ocd-division/country:us/state:ar/county:jefferson,Jefferson County AR,,(870) 541-5322,jeffersonclerk@arkansasclerks.com,101 East Barraque Street,Pine Bluff,AR,71601,,,10/24/16,11/7/16,8:00 am- 6:00 pm Monday - Friday and 10 am until 4pm on Saturdays with the exception of Monday November 7 day before election will be normal office hours 8:00 am until 5:00 pm.,EMAIL_SENT
Johnson County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:johnson,Johnson County AR,,(479) 754-3967,johnsonclerk@arkansasclerks.com,215 West Main Street,Clarksville,AR,72830,,,10/24/16,11/7/16,8-6 M-F and 10-4 pm on Saturday. It will end on Monday 11-7-16 at 5:00 pm,EMAIL_SENT
Lafayette County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:lafayette,Lafayette County AR,,(870) 921-4633,lafayetteclerk@arkansasclerks.com,#2 Courthouse Square,Lewisville,AR,71845,,,10/24/16,11/7/16,,EMAIL_SENT
Lawrence County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:lawrence,Lawrence County AR,,(870) 886-1111,lawrenceclerk@arkansasclerks.com,315 West Main Street,Walnut Ridge,AR,72476,,,10/24/16,11/7/16,,EMAIL_SENT
Lee County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:lee,Lee County AR,,(870) 295-7715,leeclerk@arkansasclerks.com,"15 East Chestnut Street, Room 4",Marianna,AR,72360,,,10/24/16,11/7/16,Monday thru Friday 8:00 a.m. 6:00 p.m. and on Saturdays 10:00 a.m. to 4:00 p.m,EMAIL_SENT
Lincoln County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:lincoln,Lincoln County AR,,(870) 628-5114,lincolnclerk@arkansasclerks.com,300 South Drew St.,Star City,AR,71667,,,10/24/16,11/7/16,8:00am to 6:00pm Monday through Friday and from 10:00am to 4:00pm on Saturday and 8:00am to 5:30pm on the Monday before election day,EMAIL_SENT
Little River County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:little_river,Little River County AR,,(870) 898-7210,littleriverclerk@arkansasclerks.com,351 North 2nd St.,Ashdown,AR,71822,,,10/24/16,11/7/16,,EMAIL_SENT
Logan County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:logan,Logan County AR,,(479) 963-2618,loganclerk@arkansasclerks.com,#25 West Walnut St.,Paris,AR,72855,,,10/24/16,11/7/16,M-F 8-6 Sat 10-4 Nov 7th 8-5,EMAIL_SENT
Lonoke County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:lonoke,Lonoke County AR,,(501) 676-3020,lonokeclerk@arkansasclerks.com,301 North Center St,Lonoke,AR,72086,,,10/24/16,11/7/16,,EMAIL_SENT
Madison County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:madison,Madison County AR,,(479) 738-2747,madisonclerk@arkansasclerks.com,"201 West Main St., Suite 202",Huntsville,AR,72740,,,10/24/16,11/7/16,"Monday - Friday 8:00am till 6:00pm
Saturday 10:00am till 4:00pm
Only Exception is Monday, November 7th. 8:00am till 5:00pm
",EMAIL_SENT
Marion County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:marion,Marion County AR,,(870) 449-6226,marionclerk@arkansasclerks.com,300 East Old Main,Yellville,AR,72687,,,10/24/16,11/7/16,,EMAIL_SENT
Miller County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:miller,Miller County AR,,(870) 774-1501,millerclerk@arkansasclerks.com,"400 Laurel St., Room 105",Texarkana,AR,71854,,,10/24/16,11/7/16,,EMAIL_SENT
Mississippi County,Osceola Courthouse,":election,:registration",ocd-division/country:us/state:ar/county:mississippi,Mississippi County AR,,(870) 762-2411,mississippiclerk@arkansasclerks.com,200 West Hale,Osceola,AR,72370,,,10/24/16,11/7/16,"8 a.m. - 6 p.m. Monday - Friday, October 24 - November 4. Sat hours are 10 a.m. - 4 p.m., October 29 and November 5; Nov 7 are 8 a.m. - 5 p.m. *Mississippi County Election Center in Blytheville. Satellite locations are Manila Depot for one week and the Leachville Library for one week.*",EMAIL_SENT
Monroe County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:monroe,Monroe County AR,,(870) 747-3632,monroeclerk@arkansasclerks.com,123 Madison Street,Clarendon,AR,72029,,,10/24/16,11/7/16,,EMAIL_SENT
Montgomery County,Montgomery County Annex,":election,:registration",ocd-division/country:us/state:ar/county:montgomery,Montgomery County AR,,(870) 867-3521,montgomeryclerk@arkansasclerks.com,117 Ray Drive,Mount Ida,AR,71957,,,10/24/16,11/7/16,M-F 8am-6pm Sat10am-4pm and Monday Nov. 7 8am-5pm,EMAIL_SENT
Nevada County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:nevada,Nevada County AR,,(870) 887-2710,nevadaclerk@arkansasclerks.com,215 East 2nd St. South,Prescott,AR,71857,,,10/24/16,11/7/16,,EMAIL_SENT
Newton County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:newton,Newton County AR,,(870) 446-5125,newtonclerk@arkansasclerks.com,100 East Court St,Jasper,AR,72641,,,10/24/16,11/7/16,,EMAIL_SENT
Ouachita County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:ouachita,Ouachita County AR,,(870) 837-2220,ouachitaclerk@arkansasclerks.com,145 Jefferson St.,Camden,AR,71701,,,10/24/16,11/7/16,,EMAIL_SENT
Perry County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:perry,Perry County AR,,(501) 889-5126,perryclerk@arkansasclerks.com,310 West Main St.,Perryville,AR,72126,,,10/24/16,11/7/16,,EMAIL_SENT
Phillips County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:phillips,Phillips County AR,,(870) 338-5505,phillipsclerk@arkansasclerks.com,"620 Cherry St., Suite 202",Helena,AR,72342,,,10/24/16,11/7/16,,EMAIL_SENT
Pike County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:pike,Pike County AR,,(870) 285-2743,pikeclerk@arkansasclerks.com,112 North Washington,Murfeesboro,AR,71958,,,10/24/16,11/7/16,8:00 A.M.- 6:00 P.M. M-F. Nov 7th 8-5pm. The two Saturdays of early voting we are open from 10:00 A. M. until 4:00 P.M. *We do hold early voting at an offsite location which is in Glenwood. The election commission sets these hours and that meeting will be on August 26,EMAIL_SENT
Poinsett County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:poinsett,Poinsett County AR,,(870) 578-4412,poinsettclerk@arkansasclerks.com,401 Market St.,Harrisburg,AR,72432,,,10/24/16,11/7/16,,EMAIL_SENT
Polk County,Offsite,":election,:registration",ocd-division/country:us/state:ar/county:polk,Polk County AR,,(479) 394-8123,polkclerk@arkansasclerks.com,606 Pine Street,Mena,AR,71953,,,10/24/16,11/7/16,8:00 a.m. -- 6:00 p.m. on weekdays and 10:00 a.m. -- 4:00 p.m. on the two Saturdays preceding the Election,EMAIL_OPENED
Pope County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:pope,Pope County AR,,(479) 968-6064,popeclerk@arkansasclerks.com,"100 West Main St., Suite 6",Russellville,AR,72801,,,10/24/16,11/7/16,"Pope County Election Commission Head Quarters 1509 East Main St, Suite 7, Russellville, AR 72801 479-280-1905 PH 479-280-1907 Fax pcec@suddenlinkmail.com 
Oct. 24 thru Oct. 28, 2016 8:00 AM to 6:00 PM
Oct. 29, 2016 10:00 AM to 4:00 PM
October 31 thru November 4, 2016 8:00 AM to 6:00 PM
Nov. 5, 2016 10:00 AM to 4:00 PM
Nov. 7, 2016 8:00 AM to 5:00 PM",EMAIL_SENT
Prairie County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:prairie,Prairie County AR,,(870) 256-4434,prairieclerk@arkansasclerks.com,"200 Courthouse Square, Suite 104; DeValls Bluff 183 Prairie St 72041",Des Arc,AR,72040,,,10/24/16,11/7/16,M-F 8:00am to 6:00pm and Saturday 10:00am- 4:00pm.  November 7th at 8-5:00pm.,EMAIL_SENT
Pulaski County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:pulaski,Pulaski County AR,,(501) 340-8500,pulaskiclerk@arkansasclerks.com,401 West Markham,Little Rock,AR,72201,,,10/24/16,11/7/16,,EMAIL_SENT
Randolph County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:randolph,Randolph County AR,,(870) 892-5822,randolphclerk@arkansasclerks.com,"101 East Broadway, Suite A",Pocahontas,AR,72455,,,10/24/16,11/7/16,"No, Early Voting does not take place directly in the county clerk's office. It will take place at First Baptist Church between the hours of 8:00 a.m. and 6:00 p.m., Monday through Friday, and 10:00 a.m. - 4:00 p.m. on Saturday. Early Voting ends at 5:00 p.m. on the Monday prior to the election.",EMAIL_SENT
Saline County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:saline,Saline County AR,,(501) 303-5630,salineclerk@arkansasclerks.com,"215 North Main, Suite 9",Benton,AR,72015,,,10/24/16,11/7/16,"M-F 8-6 pm, Sat 10-4, Nov 7, 8-5; http://dpnfam.net/elecprep/wp-content/downloads/AR/Saline/EV/Early%20Voting-General.pdf for other voting locations",EMAIL_OPENED
Scott County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:scott,Scott County AR,,(479) 637-2642,scottclerk@arkansasclerks.com,190 West 1st St.,Waldron,AR,72958,,,10/24/16,11/7/16,,EMAIL_SENT
Searcy County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:searcy,Searcy County AR,,(870) 448-3807,searcyclerk@arkansasclerks.com,200 South Highway 27,Marshall,AR,72650,,,10/24/16,11/7/16,,EMAIL_SENT
Sebastian County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:sebastian,Sebastian County AR,,(479) 782-5065,sebastianclerk@arkansasclerks.com,"35 South 6th St., Room 102",Fort Smith,AR,72901,,,10/24/16,11/7/16,,EMAIL_SENT
Sevier County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:sevier,Sevier County AR,,(870) 642-2852,sevierclerk@arkansasclerks.com,"115 North 3rd St., Room 102",De Queen,AR,71832,,,10/24/16,11/7/16,Hours are 8:00 a.m. - 6:00 p.m. Monday through Friday and 10:00 a.m. - 4:00 p.m. on Saturdays,EMAIL_SENT
Sharp County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:sharp,Sharp County AR,,(870) 994-7361,sharpclerk@arkansasclerks.com,718 Ash Flat Drive,Ash Flat,AR,72513,,,10/24/16,11/7/16,,EMAIL_SENT
St. Francis County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:st_francis,St. Francis County AR,,(870) 261-1725,stfrancisclerk@arkansasclerks.com,313 South Izard,Forrest City,AR,72335,,,10/24/16,11/7/16,,EMAIL_SENT
Stone County,Stone County Main Election Office,":election,:registration",ocd-division/country:us/state:ar/county:stone,Stone County AR,,(870) 269-5550,stoneclerk@arkansasclerks.com,111 N Peabody Ave,Mountain View,AR,72560,,,10/24/16,11/7/16,M-thru-F 8 a.m.-6p.m. Sat. 10 a.m.-4 p.m. Nov. 7th 8-5 p.m.,EMAIL_SENT
Union County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:union,Union County AR,,(870) 864-1910,unionclerk@arkansasclerks.com,"101 North Washington, Suite 102",El Dorado,AR,71730,,,10/24/16,11/7/16,8:00 a.m.- 6:00 p.m. M-F and 10:00 a.m. to 4:00 p.m. both Saturdays during the weeks of early voting.,EMAIL_SENT
Van Buren County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:van_buren,Van Buren County AR,,(501) 745-6995,vanburenclerk@arkansasclerks.com,"1414 Hwy 65 S, Suite 131",Clinton,AR,72031,,,10/24/16,11/7/16,,EMAIL_SENT
Washington County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:washington,Washington County AR,,(479) 444-1711,washingtonclerk@arkansasclerks.com,"280 North College, Suite 300",Fayetteville,AR,72701,,,10/24/16,11/7/16,"Monday through Friday from 8:00 am to 6:00pm. and Saturday from 10:00am to 4:00pm ending at 5:00 on the Monday before the election. There will be satellite locations, TBD.",EMAIL_SENT
White County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:white,White County AR,,(501) 279-6204,whiteclerk@arkansasclerks.com,315 North Spruce St,Searcy,AR,72143,,,10/24/16,11/7/16,,EMAIL_SENT
Woodruff County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:woodruff,Woodruff County AR,,(870) 347-2871,woodruffclerk@arkansasclerks.com,500 North Third St.,Augusta,AR,72006,,,10/24/16,11/7/16,"Early voting is conducted at the courthouse from 8am-6pm on Monday, October 24-November 4. Monday, November 7 hours are 8am-5pm. Saturday's October 29 & November 5, early voting is open from 10am-4pm. No satellite locations for this county.",EMAIL_SENT
Yell County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:yell,Yell County AR,,(479) 495-4850,yellclerk@arkansasclerks.com,101 East 5th Street,Danville,AR,72833,,,10/24/16,11/7/16,,EMAIL_SENT
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
