office-name,official-title,,homepage-url,phone,email,PRECINCT,location name,address1,directions,city,state,zip,start time,end time,start_date,end_date
Bon Homme County,Auditor's Office,ocd-division/country:us/state:sd/county:bon_homme,,(605) 589-4212,tamara.brunken@state.sd.us,1,,105 E 1st Ave,,Avon,SD,57315,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Bon Homme County,Auditor's Office,ocd-division/country:us/state:sd/county:bon_homme,,(605) 589-4212,tamara.brunken@state.sd.us,2,,1389 N Lidice Ave,,Tyndall,SD,57063,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Bon Homme County,Auditor's Office,ocd-division/country:us/state:sd/county:bon_homme,,(605) 589-4212,tamara.brunken@state.sd.us,3,,1609 Laurel St,,Tyndall,SD,57066,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Bon Homme County,Auditor's Office,ocd-division/country:us/state:sd/county:bon_homme,,(605) 589-4212,tamara.brunken@state.sd.us,4,,530 Juniper St.,,Scotland,SD,57059,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Bon Homme County,Auditor's Office,ocd-division/country:us/state:sd/county:bon_homme,,(605) 589-4212,tamara.brunken@state.sd.us,5,,807 8th St.,,Springfield,SD,57062,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brookings County,Town Clerk,ocd-division/country:us/state:sd/county:brookings,,(605) 696-8250,vbuseth@brookingscountysd.gov,VOTE CENTER,Bruce Community Room,507 Jay St,,Bruce,SD ,57220,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brookings County,Town Clerk,ocd-division/country:us/state:sd/county:brookings,,(605) 696-8250,vbuseth@brookingscountysd.gov,VOTE CENTER,Volga Community Center,109 Samara Ave,,Volga,SD,57071,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brookings County,Town Clerk,ocd-division/country:us/state:sd/county:brookings,,(605) 696-8250,vbuseth@brookingscountysd.gov,VOTE CENTER,Sinai American Legion Hall,309 Main Ave,,Sinai,SD,57061,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brookings County,Town Clerk,ocd-division/country:us/state:sd/county:brookings,,(605) 696-8250,vbuseth@brookingscountysd.gov,VOTE CENTER,Trinity Lutheran,321 S Main,,Arlington,SD,57212,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brookings County,Town Clerk,ocd-division/country:us/state:sd/county:brookings,,(605) 696-8250,vbuseth@brookingscountysd.gov,VOTE CENTER,Brookings Activity Center,320 5th Ave,,Brookings,SD,57006,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brookings County,Town Clerk,ocd-division/country:us/state:sd/county:brookings,,(605) 696-8250,vbuseth@brookingscountysd.gov,VOTE CENTER,Swiftel Center,824 32nd Ave,,Brookings,SD,57006,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brookings County,Town Clerk,ocd-division/country:us/state:sd/county:brookings,,(605) 696-8250,vbuseth@brookingscountysd.gov,VOTE CENTER,Bethel Baptist Church,714 17th Ave S,,Brookings,SD,57006,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brookings County,Town Clerk,ocd-division/country:us/state:sd/county:brookings,,(605) 696-8250,vbuseth@brookingscountysd.gov,VOTE CENTER,Holy Life Tabernacle,241 Mustang Pass,,Brookings,SD,57006,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brookings County,Town Clerk,ocd-division/country:us/state:sd/county:brookings,,(605) 696-8250,vbuseth@brookingscountysd.gov,VOTE CENTER,Aurora Little Hall,101 Nicolett St,,Aurora,SD,57002,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brookings County,Town Clerk,ocd-division/country:us/state:sd/county:brookings,,(605) 696-8250,vbuseth@brookingscountysd.gov,VOTE CENTER,Elkton Community Center,109 Elk St,,Elkton,SD,57026,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,AmericInn Convention Center,301 Centennial St. S.,Aberdeen,Aberdeen,SD,57401,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,Best Western Ramkota Hotel and Convention Center,1400 8th Ave NW,Aberdeen,Aberdeen,SD,57401,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,Courthouse Community Room,25 Market St.,Aberdeen,Aberdeen,SD,57401,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,Columbia Legion,102 N Broadway,Columbia,Columbia,SD,57433,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,Westport Town Hall,13 W. Main,Westport,Westport,SD,57481,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,Warner Community Center,11 W. Main St.,Warner,Warner,SD,57479,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,Stratford Community Center,293 E. Rondell Ave,Stratford,Stratford,SD,57474,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,Groton Community Center,109 N. 3rd St.,Groton,Groton,SD,57445,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,Claremont Fire Station,505 6th St.,Claremont,Claremont,SD,57432,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,Hecla Community Center,206 Main St.,Hecla,Hecla,SD,57446,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brown County,Brown County Auditor,ocd-division/country:us/state:sd/county:brown,,(605) 626-7110,maxine.fischer@browncounty.sd.gov,VOTE CENTER,Frederick Community Center,2nd Ave,Frederick,Frederick,SD,57441,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brule County,Town Clerk,ocd-division/country:us/state:sd/county:brule,,(605) 234-4430,brulaud@midstatesd.net,1,Brule County Courthouse,300 S Courtland,,Chamberlain City,SD,57325,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brule County,Town Clerk,ocd-division/country:us/state:sd/county:brule,,(605) 234-4430,brulaud@midstatesd.net,2,American Legion Auxilary,36163 244th St,,Kimball,SD,57355-6603,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brule County,Town Clerk,ocd-division/country:us/state:sd/county:brule,,(605) 234-4430,brulaud@midstatesd.net,3,Brule County Co-Op,20 Main St,,Pukwana,SD,57370,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brule County,Town Clerk,ocd-division/country:us/state:sd/county:brule,,(605) 234-4430,brulaud@midstatesd.net,4,Academy Fire Hall,35514 Sd Highway 50,,Platte,SD,57369,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Brule County,Town Clerk,ocd-division/country:us/state:sd/county:brule,,(605) 234-4430,brulaud@midstatesd.net,5,Ola Township,35111 260th St,,Pukwana,SD,57370,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Buffalo County,Auditors Office,ocd-division/country:us/state:sd/county:buffalo,,(605) 293-3217,elaine.wulff@state.sd.us,1,,210 A Avenue,,Pukwana,SD,57370,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Buffalo County,Auditors Office,ocd-division/country:us/state:sd/county:buffalo,,(605) 293-3217,elaine.wulff@state.sd.us,2,,35190 South Dakota Hwy 34,,Gann Valley,SD,57341,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Buffalo County,Auditors Office,ocd-division/country:us/state:sd/county:buffalo,,(605) 293-3217,elaine.wulff@state.sd.us,3,St. Josephs Catholic Hall,817 South Dakota Hwy 47,,Fort Thompson,SD,57339,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,20,,108 3rd St,,Newell,SD,57760,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,8,,108 3rd St,,Newell,SD,57760,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,13,,108 3rd St,,Newell,SD,57760,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,14,,108 3rd St,,Newell,SD,57760,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,6,Moreau River Hall,16108 Old Hwy 79,,Newell,SD,57760,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,12,,306 1st St,,Nisland,SD,57762,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,18,,306 1st St,,Nisland,SD,57762,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,21,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,22,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,23,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,24,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,25,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,26,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,27,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,28,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,11,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,16,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Butte County,Auditor's Office,ocd-division/country:us/state:sd/county:butte,,(605) 892-4485,auditor@buttesd.org,17,Belle Fourche Community Hall,508 6th Ave,,Belle Fourche,SD,57717,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Campbell County,Town Clerk,ocd-division/country:us/state:sd/county:campbell,,(605) 955-3366,lisa.schaefbauer@state.sd.us,1,Herreid Good Samaritan Center,US Highway 83,,Herreid,SD ,57632,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Campbell County,Town Clerk,ocd-division/country:us/state:sd/county:campbell,,(605) 955-3366,lisa.schaefbauer@state.sd.us,2,Pollock Visitors Center,,,Pollock,SD ,57648,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Campbell County,Town Clerk,ocd-division/country:us/state:sd/county:campbell,,(605) 955-3366,lisa.schaefbauer@state.sd.us,3,Herreid Good Samaritan Center,US Highway 83,,Herreid,SD ,57632,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Campbell County,Town Clerk,ocd-division/country:us/state:sd/county:campbell,,(605) 955-3366,lisa.schaefbauer@state.sd.us,4,Mound City Community Center,349 Campbell St NW,,Mound City,SD ,57646,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Campbell County,Town Clerk,ocd-division/country:us/state:sd/county:campbell,,(605) 955-3366,lisa.schaefbauer@state.sd.us,5,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD ,57646,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,1,Atp National Guard Armory,610 East Hwy 46,,Wagner,SD ,57380,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,10,Academy Fire Department,35514 SD Highway 50,,Platte ,SD ,57369,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,11,Platte Community Bulding,314 S MAIN ST,,Platte,SD ,57369,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,12,Multi-purpose building ,409 Michigan Avenue,,Geddes,SD ,57342,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,13,Ravinia Fire Department,200 3RD ST,,Ravinia,SD ,57356,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,2,Assumption of The Blessed Virgin Church,416 Haines St,,Dante,SD ,57329,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,3,Atp National Guard Armory,610 East Hwy 46,,Wagner,SD ,57380,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,4,Marty College Campus,5001 W 41st St,,Sioux Falls,SD ,57106,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,5,4-H Club Charles Mix County,37660 296th St,,Lake Andes,SD ,57356,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,6,4-H Club Charles Mix County,37660 296th St,,Lake Andes,SD ,57356,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,7,Pickstown Rainbow Room,310 WHITE SWAN ST,,Pickstown,SD ,57367,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,8,Multi-purpose building ,409 Michigan Avenue,,Geddes,SD ,57342,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Charles Mix County,Auditor's Office,ocd-division/country:us/state:sd/county:charles_mix,,(605) 487-7131,cmixaud@hcinet.net,9,Platte Community Bulding,314 S MAIN ST,,Platte,SD ,57369,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,4,,110 1st St. NE,,Garden City,SD,57236,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,11,,120 N Commercial St.,,Clark,SD,57225,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,12,,120 N Commercial St.,,Clark,SD,57225,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,13,,120 N Commercial St.,,Clark,SD,57225,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,7,,135 SD Hwy 28,,Willow Lake,SD,57278,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,2,,200 N Commercial St,,Clark,SD,57225,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,5,,200 N Commercial St,,Clark,SD,57225,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,6,,200 N Commercial St,,Clark,SD,57225,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,3,,201 Flower St,,Raymond,SD,57278,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,8,Willow Lake Community Center,213 Garfield Ave,,Willow Lake,SD,57278,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,1,,2224 Main Street,,Bradley,SD,57217,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,9,Vienna Town Hall,228 Main St,,Vienna,SD,57271,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Clark County,Auditor's Office,ocd-division/country:us/state:sd/county:clark,,(605) 532-5921,,10,,524 415th Ave,,Carpenter,SD,57322,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Codington County,Codington County Auditor,ocd-division/country:us/state:sd/county:codington,,(605) 882-6297,cbrugman@codington.org,A1,County Extension Complex,1910 W Kemp Ave,,Watertown,SD,57201,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Codington County,Codington County Auditor,ocd-division/country:us/state:sd/county:codington,,(605) 882-6297,cbrugman@codington.org,A2,County Extension Complex,1910 W Kemp Ave,,Watertown,SD,57201,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Codington County,Codington County Auditor,ocd-division/country:us/state:sd/county:codington,,(605) 882-6297,cbrugman@codington.org,A3,County Extension Complex,1910 W Kemp Ave,,Watertown,SD,57201,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Codington County,Codington County Auditor,ocd-division/country:us/state:sd/county:codington,,(605) 882-6297,cbrugman@codington.org,A4,County Extension Complex,1910 W Kemp Ave,,Watertown,SD,57201,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Codington County,Codington County Auditor,ocd-division/country:us/state:sd/county:codington,,(605) 882-6297,cbrugman@codington.org,B1,County Extension Complex,1910 W Kemp Ave,,Watertown,SD,57201,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Codington County,Codington County Auditor,ocd-division/country:us/state:sd/county:codington,,(605) 882-6297,cbrugman@codington.org,B2,County Extension Complex,1910 W Kemp Ave,,Watertown,SD,57201,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Codington County,Codington County Auditor,ocd-division/country:us/state:sd/county:codington,,(605) 882-6297,cbrugman@codington.org,B3,County Extension Complex,1910 W Kemp Ave,,Watertown,SD,57201,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
