office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appt,notes,notes for hand collection
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,09:00:00 - 04:00,19:00:00 - 04:00,11/3/16,11/3/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/3/16,10/3/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,14:00:00 - 04:00,17:00:00 - 04:00,10/3/16,10/3/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,12:00:00 - 04:00,18:00:00 - 04:00,10/4/16,10/4/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/5/16,10/5/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/6/16,10/6/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,14:00:00 - 04:00,17:00:00 - 04:00,10/6/16,10/6/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/7/16,10/7/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,12:00:00 - 04:00,18:00:00 - 04:00,10/11/16,10/11/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/12/16,10/12/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/13/16,10/13/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,14:00:00 - 04:00,17:00:00 - 04:00,10/13/16,10/13/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/14/16,10/14/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/17/16,10/17/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,14:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/17/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,12:00:00 - 04:00,18:00:00 - 04:00,10/18/16,10/18/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/19/16,10/19/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/20/16,10/20/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,14:00:00 - 04:00,17:00:00 - 04:00,10/20/16,10/20/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/21/16,10/21/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/24/16,10/24/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,14:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/24/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,12:00:00 - 04:00,18:00:00 - 04:00,10/25/16,10/25/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/26/16,10/26/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/27/16,10/27/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,14:00:00 - 04:00,17:00:00 - 04:00,10/27/16,10/27/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/28/16,10/28/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,10/31/16,10/31/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,14:00:00 - 04:00,17:00:00 - 04:00,10/31/16,10/31/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,12:00:00 - 04:00,18:00:00 - 04:00,11/1/16,11/1/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,11/2/16,11/2/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,08:00:00 - 04:00,12:00:00 - 04:00,11/3/16,11/3/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Sorrento Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:sorrento,Sorrento Town ME,,(207) 422-6889,,79 Pomola Ave,Sorrento,ME,4677,02:00:00 - 04:00,17:00:00 - 04:00,11/3/16,11/3/16,,"Oct 3 - Nov 3, M/TH 8-12, 2-5; T 12-6, W/FR 8-12",
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,10/11/16,10/11/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,17:00:00 - 04:00,10/12/16,10/12/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,10/13/16,10/13/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,10/14/16,10/14/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/17/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,10/18/16,10/18/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,17:00:00 - 04:00,10/19/16,10/19/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,10/20/16,10/20/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,10/21/16,10/21/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/24/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,10/25/16,10/25/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,17:00:00 - 04:00,10/26/16,10/26/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,10/27/16,10/27/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,10/28/16,10/28/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,10/31/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,11/1/16,11/1/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,17:00:00 - 04:00,11/2/16,11/2/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Skowhegan Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:skowhegan,Skowhegan Town ME,,(207) 365-4260,,36 School St Suite 1,Sherman,ME,4776,08:00:00 - 04:00,16:00:00 - 04:00,11/3/16,11/3/16,,"Oct 11 - nov 3, 8-5 M/W, 8-4 T/TH/F",please check me
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,09:00:00 - 04:00,13:00:00 - 04:00,10/3/16,10/3/16,,"Oct 3 - Nov 3, 9-1 M-TH, Monday evening 6-8pm",
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,18:00:00 - 04:00,20:00:00 - 04:00,10/3/16,10/3/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,09:00:00 - 04:00,13:00:00 - 04:00,10/4/16,10/6/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,09:00:00 - 04:00,13:00:00 - 04:00,10/11/16,10/13/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,09:00:00 - 04:00,13:00:00 - 04:00,10/17/16,10/17/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,18:00:00 - 04:00,20:00:00 - 04:00,10/17/16,10/17/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,09:00:00 - 04:00,13:00:00 - 04:00,10/18/16,10/20/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,09:00:00 - 04:00,13:00:00 - 04:00,10/24/16,10/24/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,18:00:00 - 04:00,20:00:00 - 04:00,10/24/16,10/24/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,09:00:00 - 04:00,13:00:00 - 04:00,10/25/16,10/27/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,09:00:00 - 04:00,13:00:00 - 04:00,10/31/16,10/31/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,18:00:00 - 04:00,20:00:00 - 04:00,10/31/16,10/31/16,,,
Southport Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:southport,Southport Town ME,,(207) 633-3318,,361 Hendricks Hill Road,Southport,ME,4576,09:00:00 - 04:00,13:00:00 - 04:00,11/1/16,11/3/16,,,
Anson Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:anson,Anson Town ME,,(207) 696-3979,,5 Kennebec Street,Anson,ME,4911,08:00:00 - 04:00,16:00:00 - 04:00,10/11/16,10/14/16,,"Oct 11 - Nov 3, M-F 8-4.",
Anson Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:anson,Anson Town ME,,(207) 696-3979,,5 Kennebec Street,Anson,ME,4911,08:00:00 - 04:00,16:00:00 - 04:00,10/17/16,10/21/16,,"Oct 11 - Nov 3, M-F 8-4.",
Anson Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:anson,Anson Town ME,,(207) 696-3979,,5 Kennebec Street,Anson,ME,4911,08:00:00 - 04:00,16:00:00 - 04:00,10/24/16,10/28/16,,"Oct 11 - Nov 3, M-F 8-4.",
Anson Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:anson,Anson Town ME,,(207) 696-3979,,5 Kennebec Street,Anson,ME,4911,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/3/16,,"Oct 11 - Nov 3, M-F 8-4.",
Benton Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benton,Benton Town ME,,(207) 453-7191,,1279 Clinton Ave,Benton,ME,4901,09:00:00 - 04:00,16:00:00 - 04:00,10/11/16,10/12/16,,"Oct 11 - Nov 3, M/T/W/F 9-4, TH 11-6",
Benton Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benton,Benton Town ME,,(207) 453-7191,,1279 Clinton Ave,Benton,ME,4901,11:00:00 - 04:00,18:00:00 - 04:00,10/13/16,10/13/16,,,
Benton Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benton,Benton Town ME,,(207) 453-7191,,1279 Clinton Ave,Benton,ME,4901,09:00:00 - 04:00,16:00:00 - 04:00,10/14/16,10/14/16,,,
Benton Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benton,Benton Town ME,,(207) 453-7191,,1279 Clinton Ave,Benton,ME,4901,09:00:00 - 04:00,16:00:00 - 04:00,10/17/16,10/19/16,,,
Benton Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benton,Benton Town ME,,(207) 453-7191,,1279 Clinton Ave,Benton,ME,4901,11:00:00 - 04:00,18:00:00 - 04:00,10/20/16,10/20/16,,,
Benton Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benton,Benton Town ME,,(207) 453-7191,,1279 Clinton Ave,Benton,ME,4901,09:00:00 - 04:00,16:00:00 - 04:00,10/21/16,10/21/16,,,
Benton Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benton,Benton Town ME,,(207) 453-7191,,1279 Clinton Ave,Benton,ME,4901,09:00:00 - 04:00,16:00:00 - 04:00,10/24/16,10/26/16,,,
Benton Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benton,Benton Town ME,,(207) 453-7191,,1279 Clinton Ave,Benton,ME,4901,11:00:00 - 04:00,18:00:00 - 04:00,10/27/16,10/27/16,,,
Benton Town,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benton,Benton Town ME,,(207) 453-7191,,1279 Clinton Ave,Benton,ME,4901,09:00:00 - 04:00,16:00:00 - 04:00,10/28/16,10/28/16,,,
