county,ocd_division,homepage_url,phone,email,street,city,state,zip_code,start_time,end_time,start_date,end_date,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Cochise County,ocd-division/country:us/state:az/county:cochise,http://www.co.cochise.az.us/recorders/,(520) 432-8354,voterreg@cochise.az.gov,"1415 W. Melody Lane, Bldg. B",Bisbee,AZ,85603,8:00:00 - 07:00,17:00:00 - 07:00,10-13-16,10-14-16,11,"1415 W. Melody Lane, Bldg. B, Bisbee, AZ 85603",,08:00 AM-05:00 PM,,ho39716982,false,AZ,,,,poll87575508
Cochise County,ocd-division/country:us/state:az/county:cochise,http://www.co.cochise.az.us/recorders/,(520) 432-8354,voterreg@cochise.az.gov,"1415 W. Melody Lane, Bldg. B",Bisbee,AZ,85603,8:00:00 - 07:00,17:00:00 - 07:00,10-17-16,10-21-16,12,"1415 W. Melody Lane, Bldg. B, Bisbee, AZ 85603",,08:00 AM-05:00 PM,,ho39716982,false,AZ,,,,poll87575508
Cochise County,ocd-division/country:us/state:az/county:cochise,http://www.co.cochise.az.us/recorders/,(520) 432-8354,voterreg@cochise.az.gov,"1415 W. Melody Lane, Bldg. B",Bisbee,AZ,85603,8:00:00 - 07:00,17:00:00 - 07:00,10-24-16,10-28-16,13,"1415 W. Melody Lane, Bldg. B, Bisbee, AZ 85603",,08:00 AM-05:00 PM,,ho39716982,false,AZ,,,,poll87575508
Cochise County,ocd-division/country:us/state:az/county:cochise,http://www.co.cochise.az.us/recorders/,(520) 432-8354,voterreg@cochise.az.gov,"1415 W. Melody Lane, Bldg. B",Bisbee,AZ,85603,8:00:00 - 07:00,17:00:00 - 07:00,10-31-16,11-04-16,14,"1415 W. Melody Lane, Bldg. B, Bisbee, AZ 85603",,08:00 AM-05:00 PM,,ho39716982,false,AZ,,,,poll87575508
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,110 E. Cherry Ave.,Flagstaff,AZ,86001,08:00:00 - 07:00,17:00:00 - 07:00,10-12-16,10-14-16,15,"110 E. Cherry Ave., Flagstaff, AZ 86001",,08:00 AM-05:00 PM,,ho91486104,false,AZ,,,,poll95650011
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,110 E. Cherry Ave.,Flagstaff,AZ,86001,08:00:00 - 07:00,17:00:00 - 07:00,10-17-16,10-21-16,16,"110 E. Cherry Ave., Flagstaff, AZ 86001",,08:00 AM-05:00 PM,,ho91486104,false,AZ,,,,poll95650011
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,110 E. Cherry Ave.,Flagstaff,AZ,86001,08:00:00 - 07:00,17:00:00 - 07:00,10-24-16,10-28-16,17,"110 E. Cherry Ave., Flagstaff, AZ 86001",,08:00 AM-05:00 PM,,ho91486104,false,AZ,,,,poll95650011
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,110 E. Cherry Ave.,Flagstaff,AZ,86001,08:00:00 - 07:00,17:00:00 - 07:00,10-31-16,11-04-16,18,"110 E. Cherry Ave., Flagstaff, AZ 86001",,08:00 AM-05:00 PM,,ho91486104,false,AZ,,,,poll95650011
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,78 Main St,Tuba City,AZ,86045,08:00:00 - 07:00,17:00:00 - 07:00,10-12-16,10-14-16,19,"78 Main St, Tuba City, AZ 86045",,08:00 AM-05:00 PM,,ho61272318,false,AZ,,,,poll4629691
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,78 Main St,Tuba City,AZ,86045,08:00:00 - 07:00,17:00:00 - 07:00,10-17-16,10-21-16,20,"78 Main St, Tuba City, AZ 86045",,08:00 AM-05:00 PM,,ho61272318,false,AZ,,,,poll4629691
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,78 Main St,Tuba City,AZ,86045,08:00:00 - 07:00,17:00:00 - 07:00,10-24-16,10-28-16,21,"78 Main St, Tuba City, AZ 86045",,08:00 AM-05:00 PM,,ho61272318,false,AZ,,,,poll4629691
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,78 Main St,Tuba City,AZ,86045,08:00:00 - 07:00,17:00:00 - 07:00,10-31-16,11-04-16,22,"78 Main St, Tuba City, AZ 86045",,08:00 AM-05:00 PM,,ho61272318,false,AZ,,,,poll4629691
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,113 S 1st St,Williams,AZ,86046,07:30:00 - 07:00,17:00:00 - 07:00,10-12-16,10-13-16,23,"113 S 1st St, Williams, AZ 86046",,07:30 AM-05:00 PM,,ho20912467,false,AZ,,,,poll52341613
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,113 S 1st St,Williams,AZ,86046,07:30:00 - 07:00,17:00:00 - 07:00,10-17-16,10-20-16,24,"113 S 1st St, Williams, AZ 86046",,07:30 AM-05:00 PM,,ho20912467,false,AZ,,,,poll52341613
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,113 S 1st St,Williams,AZ,86046,07:30:00 - 07:00,17:00:00 - 07:00,10-24-16,10-27-16,25,"113 S 1st St, Williams, AZ 86046",,07:30 AM-05:00 PM,,ho20912467,false,AZ,,,,poll52341613
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,113 S 1st St,Williams,AZ,86046,07:30:00 - 07:00,17:00:00 - 07:00,10-31-16,11-03-16,26,"113 S 1st St, Williams, AZ 86046",,07:30 AM-05:00 PM,,ho20912467,false,AZ,,,,poll52341613
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,102 Roadrunner Dr,Sedona,AZ,86336,07:00:00 - 07:00,18:00:00 - 07:00,10-12-16,10-13-16,27,"102 Roadrunner Dr, Sedona, AZ 86336",,07:00 AM-06:00 PM,,ho44815321,false,AZ,,,,poll70688167
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,102 Roadrunner Dr,Sedona,AZ,86336,07:00:00 - 07:00,18:00:00 - 07:00,10-17-16,10-20-16,28,"102 Roadrunner Dr, Sedona, AZ 86336",,07:00 AM-06:00 PM,,ho44815321,false,AZ,,,,poll70688167
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,102 Roadrunner Dr,Sedona,AZ,86336,07:00:00 - 07:00,18:00:00 - 07:00,10-24-16,10-27-16,29,"102 Roadrunner Dr, Sedona, AZ 86336",,07:00 AM-06:00 PM,,ho44815321,false,AZ,,,,poll70688167
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,102 Roadrunner Dr,Sedona,AZ,86336,07:00:00 - 07:00,18:00:00 - 07:00,10-31-16,11-03-16,30,"102 Roadrunner Dr, Sedona, AZ 86336",,07:00 AM-06:00 PM,,ho44815321,false,AZ,,,,poll70688167
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,697 Vista Ave,Page,AZ,86040,07:00:00 - 07:00,17:30:00 - 07:00,10-12-16,10-13-16,31,"697 Vista Ave, Page, AZ 86040",,07:00 AM-05:30 PM,,ho14261187,false,AZ,,,,poll92121385
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,697 Vista Ave,Page,AZ,86040,07:00:00 - 07:00,17:30:00 - 07:00,10-17-16,10-20-16,32,"697 Vista Ave, Page, AZ 86040",,07:00 AM-05:30 PM,,ho14261187,false,AZ,,,,poll92121385
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,697 Vista Ave,Page,AZ,86040,07:00:00 - 07:00,17:30:00 - 07:00,10-24-16,10-27-16,33,"697 Vista Ave, Page, AZ 86040",,07:00 AM-05:30 PM,,ho14261187,false,AZ,,,,poll92121385
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,697 Vista Ave,Page,AZ,86040,07:00:00 - 07:00,17:30:00 - 07:00,10-31-16,11-03-16,34,"697 Vista Ave, Page, AZ 86040",,07:00 AM-05:30 PM,,ho14261187,false,AZ,,,,poll92121385
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,25 N Main St,Fredonia,AZ,84741,07:30:00 - 07:00,17:30:00 - 07:00,10-12-16,10-13-16,35,"25 N Main St, Fredonia, AZ 84741",,07:30 AM-05:30 PM,,ho15939255,false,AZ,,,,poll89259334
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,25 N Main St,Fredonia,AZ,84741,07:30:00 - 07:00,17:30:00 - 07:00,10-17-16,10-20-16,36,"25 N Main St, Fredonia, AZ 84741",,07:30 AM-05:30 PM,,ho15939255,false,AZ,,,,poll89259334
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,25 N Main St,Fredonia,AZ,84741,07:30:00 - 07:00,17:30:00 - 07:00,10-24-16,10-27-16,37,"25 N Main St, Fredonia, AZ 84741",,07:30 AM-05:30 PM,,ho15939255,false,AZ,,,,poll89259334
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,25 N Main St,Fredonia,AZ,84741,07:30:00 - 07:00,17:30:00 - 07:00,10-31-16,11-03-16,38,"25 N Main St, Fredonia, AZ 84741",,07:30 AM-05:30 PM,,ho15939255,false,AZ,,,,poll89259334
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,1 Boulder St,Grand Canyon Village,AZ,86023,06:00:00 - 07:00,16:30:00 - 07:00,10-12-16,10-13-16,39,"1 Boulder St, Grand Canyon Village, AZ 86023",,06:00 AM-04:30 PM,,ho71953709,false,AZ,,,,poll61662464
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,1 Boulder St,Grand Canyon Village,AZ,86023,06:00:00 - 07:00,16:30:00 - 07:00,10-17-16,10-20-16,40,"1 Boulder St, Grand Canyon Village, AZ 86023",,06:00 AM-04:30 PM,,ho71953709,false,AZ,,,,poll61662464
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,1 Boulder St,Grand Canyon Village,AZ,86023,06:00:00 - 07:00,16:30:00 - 07:00,10-24-16,10-27-16,41,"1 Boulder St, Grand Canyon Village, AZ 86023",,06:00 AM-04:30 PM,,ho71953709,false,AZ,,,,poll61662464
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,1 Boulder St,Grand Canyon Village,AZ,86023,06:00:00 - 07:00,16:30:00 - 07:00,10-31-16,11-03-16,42,"1 Boulder St, Grand Canyon Village, AZ 86023",,06:00 AM-04:30 PM,,ho71953709,false,AZ,,,,poll61662464
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,1400 E. Ash St.,Globe,AZ,85501,8:00:00 - 07:00,17:00:00 - 07:00,10-12-16,10-14-16,43,"1400 E. Ash St., Globe, AZ 85501",,08:00 AM-05:00 PM,,ho9398961,false,AZ,,,,poll55533018
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,1400 E. Ash St.,Globe,AZ,85501,8:00:00 - 07:00,17:00:00 - 07:00,10-17-16,10-21-16,44,"1400 E. Ash St., Globe, AZ 85501",,08:00 AM-05:00 PM,,ho9398961,false,AZ,,,,poll55533018
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,1400 E. Ash St.,Globe,AZ,85501,8:00:00 - 07:00,17:00:00 - 07:00,10-24-16,10-28-16,45,"1400 E. Ash St., Globe, AZ 85501",,08:00 AM-05:00 PM,,ho9398961,false,AZ,,,,poll55533018
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,1400 E. Ash St.,Globe,AZ,85501,8:00:00 - 07:00,17:00:00 - 07:00,10-31-16,11-04-16,46,"1400 E. Ash St., Globe, AZ 85501",,08:00 AM-05:00 PM,,ho9398961,false,AZ,,,,poll55533018
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,201 W. Frontier St.,Payson,AZ,85541,8:00:00 - 07:00,12:00:00 - 07:00,10-12-16,10-14-16,47,"201 W. Frontier St., Payson, AZ 85541",,08:00 AM-12:00 PM,,ho42993316,false,AZ,,,,poll80494999
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,201 W. Frontier St.,Payson,AZ,85541,13:00:00 - 07:00,17:00:00 - 07:00,10-12-16,10-14-16,48,"201 W. Frontier St., Payson, AZ 85541",,01:00 PM-05:00 PM,,ho42993316,false,AZ,,,,poll80494999
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,201 W. Frontier St.,Payson,AZ,85541,8:00:00 - 07:00,12:00:00 - 07:00,10-17-16,10-21-16,49,"201 W. Frontier St., Payson, AZ 85541",,08:00 AM-12:00 PM,,ho42993316,false,AZ,,,,poll80494999
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,201 W. Frontier St.,Payson,AZ,85541,13:00:00 - 07:00,17:00:00 - 07:00,10-17-16,10-21-16,50,"201 W. Frontier St., Payson, AZ 85541",,01:00 PM-05:00 PM,,ho42993316,false,AZ,,,,poll80494999
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,201 W. Frontier St.,Payson,AZ,85541,8:00:00 - 07:00,12:00:00 - 07:00,10-24-16,10-28-16,51,"201 W. Frontier St., Payson, AZ 85541",,08:00 AM-12:00 PM,,ho42993316,false,AZ,,,,poll80494999
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,201 W. Frontier St.,Payson,AZ,85541,13:00:00 - 07:00,17:00:00 - 07:00,10-24-16,10-28-16,52,"201 W. Frontier St., Payson, AZ 85541",,01:00 PM-05:00 PM,,ho42993316,false,AZ,,,,poll80494999
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,201 W. Frontier St.,Payson,AZ,85541,8:00:00 - 07:00,12:00:00 - 07:00,10-31-16,11-04-16,53,"201 W. Frontier St., Payson, AZ 85541",,08:00 AM-12:00 PM,,ho42993316,false,AZ,,,,poll80494999
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,201 W. Frontier St.,Payson,AZ,85541,13:00:00 - 07:00,17:00:00 - 07:00,10-31-16,11-04-16,54,"201 W. Frontier St., Payson, AZ 85541",,01:00 PM-05:00 PM,,ho42993316,false,AZ,,,,poll80494999
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,206 Giffin Ave,Winkelman,AZ,85192,10:00:00 - 07:00,14:00:00 - 07:00,10-18-16,10-18-16,55,"206 Giffin Ave, Winkelman, AZ 85192",,10:00 AM-02:00 PM,,ho1784886,false,AZ,,,,poll52794427
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,4621 S 9th St,Whiteriver,AZ,85941,10:00:00 - 07:00,14:00:00 - 07:00,10-19-16,10-19-16,56,"4621 S 9th St, Whiteriver, AZ 85941",,10:00 AM-02:00 PM,,ho16635994,false,AZ,,,,poll67721847
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov, Hwy 188 ,Roosevelt,AZ,85545,09:00:00 - 07:00,11:00:00 - 07:00,10-20-16,10-20-16,57,"Hwy 188, Roosevelt, AZ 85545",,09:00 AM-11:00 AM,,ho2146192,false,AZ,,,,poll96755569
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,45675 N Hwy 188,Tonto Basin,AZ,85553,13:00:00 - 07:00,15:00:00 - 07:00,10-20-16,10-20-16,58,"45675 N Hwy 188, Tonto Basin, AZ 85553",,01:00 PM-03:00 PM,,ho61379892,false,AZ,,,,poll51220575
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,4039 N Az Highway 87,Pine,AZ,85544,10:00:00 - 07:00,14:00:00 - 07:00,10-25-16,10-25-16,59,"4039 N Az Highway 87, Pine, AZ 85544",,10:00 AM-02:00 PM,,ho23972466,false,AZ,,,,poll24493783
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,89 San Carlos Ave, San Carlos,AZ,85550,10:00:00 - 07:00,14:00:00 - 07:00,10-26-16,10-26-16,60,"89 San Carlos Ave, San Carlos, AZ 85550",,10:00 AM-02:00 PM,,ho57909833,false,AZ,,,,poll84848348
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,"Pleasant Valley Community Center, Hwy 288  ",Young,AZ,85554,10:00:00 - 07:00,14:00:00 - 07:00,10-27-16,10-27-16,61,"Pleasant Valley Community Center, Hwy 288, Young, AZ 85554",,10:00 AM-02:00 PM,,ho13654959,false,AZ,,,,poll71052178
Graham County,ocd-division/country:us/state:az/county:graham,http://www.graham.az.gov/county-recorder/,(928) 428-3560,recorder@graham.az.gov,921 Thatcher Blvd.,Safford,AZ,85546,7:00:00 - 07:00,18:00:00 - 07:00,10-12-16,10-13-16,62,"921 Thatcher Blvd., Safford, AZ 85546",,07:00 AM-06:00 PM,,ho37176100,false,AZ,,,,poll7643297
Graham County,ocd-division/country:us/state:az/county:graham,http://www.graham.az.gov/county-recorder/,(928) 428-3560,recorder@graham.az.gov,921 Thatcher Blvd.,Safford,AZ,85546,7:00:00 - 07:00,18:00:00 - 07:00,10-17-16,10-20-16,63,"921 Thatcher Blvd., Safford, AZ 85546",,07:00 AM-06:00 PM,,ho37176100,false,AZ,,,,poll7643297
Graham County,ocd-division/country:us/state:az/county:graham,http://www.graham.az.gov/county-recorder/,(928) 428-3560,recorder@graham.az.gov,921 Thatcher Blvd.,Safford,AZ,85546,7:00:00 - 07:00,18:00:00 - 07:00,10-24-16,10-27-16,64,"921 Thatcher Blvd., Safford, AZ 85546",,07:00 AM-06:00 PM,,ho37176100,false,AZ,,,,poll7643297
Graham County,ocd-division/country:us/state:az/county:graham,http://www.graham.az.gov/county-recorder/,(928) 428-3560,recorder@graham.az.gov,921 Thatcher Blvd.,Safford,AZ,85546,7:00:00 - 07:00,18:00:00 - 07:00,10-31-16,11-03-16,65,"921 Thatcher Blvd., Safford, AZ 85546",,07:00 AM-06:00 PM,,ho37176100,false,AZ,,,,poll7643297
Graham County,ocd-division/country:us/state:az/county:graham,http://www.graham.az.gov/county-recorder/,(928) 428-3560,recorder@graham.az.gov,921 Thatcher Blvd.,Safford,AZ,85546,8:00:00 - 07:00,17:00:00 - 07:00,11-04-16,11-04-16,66,"921 Thatcher Blvd., Safford, AZ 85546",,08:00 AM-05:00 PM,,ho37176100,false,AZ,,,,poll7643297
Greenlee County,ocd-division/country:us/state:az/county:greenlee,http://www.co.greenlee.az.us/recorder/,(928) 865-2632,bmanuz@co.greenlee.az.us,253 5th Street,Clifton,AZ,85533,8:00:00 - 07:00,17:00:00 - 07:00,10-12-16,10-14-16,67,"253 5th Street, Clifton, AZ 85533",,08:00 AM-05:00 PM,,ho13764713,false,AZ,,,,poll51968319
Greenlee County,ocd-division/country:us/state:az/county:greenlee,http://www.co.greenlee.az.us/recorder/,(928) 865-2632,bmanuz@co.greenlee.az.us,253 5th Street,Clifton,AZ,85533,8:00:00 - 07:00,17:00:00 - 07:00,10-17-16,10-21-16,68,"253 5th Street, Clifton, AZ 85533",,08:00 AM-05:00 PM,,ho13764713,false,AZ,,,,poll51968319
Greenlee County,ocd-division/country:us/state:az/county:greenlee,http://www.co.greenlee.az.us/recorder/,(928) 865-2632,bmanuz@co.greenlee.az.us,253 5th Street,Clifton,AZ,85533,8:00:00 - 07:00,17:00:00 - 07:00,10-24-16,10-28-16,69,"253 5th Street, Clifton, AZ 85533",,08:00 AM-05:00 PM,,ho13764713,false,AZ,,,,poll51968319
Greenlee County,ocd-division/country:us/state:az/county:greenlee,http://www.co.greenlee.az.us/recorder/,(928) 865-2632,bmanuz@co.greenlee.az.us,253 5th Street,Clifton,AZ,85533,8:00:00 - 07:00,17:00:00 - 07:00,10-31-16,11-04-16,70,"253 5th Street, Clifton, AZ 85533",,08:00 AM-05:00 PM,,ho13764713,false,AZ,,,,poll51968319
