office_name,office_title,ocd_division,description,homepage,phone,email,name,address_one,address_two,city,state,zip,start_time,end_time,start_date,end_date,appointment_one,appointment_two,appointment_three,subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,Bannock County Elections Office,141 N. 6th,,Pocatello,ID,83201,9:00:00 - 06:00,17:00:00 - 06:00,11/4/16,11/4/16,no,no,,,11,"Bannock County Elections Office, 141 N. 6th, Pocatello, ID 83201",,09:00 AM - 05:00 PM,,ho97705391,false,true,,,,poll59729618
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,Bannock County Elections Office,141 N. 6th,,Pocatello,ID,83201,8:00:00 - 06:00,16:30:00 - 06:00,9/26/16,9/30/16,no,no,,,12,"Bannock County Elections Office, 141 N. 6th, Pocatello, ID 83201",,08:00 AM - 04:30 PM,,ho97705391,false,true,,,,poll59729618
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,Bannock County Elections Office,141 N. 6th,,Pocatello,ID,83201,8:00:00 - 06:00,16:30:00 - 06:00,10/3/16,10/7/16,no,no,,,13,"Bannock County Elections Office, 141 N. 6th, Pocatello, ID 83201",,08:00 AM - 04:30 PM,,ho97705391,false,true,,,,poll59729618
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,Bannock County Elections Office,141 N. 6th,,Pocatello,ID,83201,8:00:00 - 06:00,16:30:00 - 06:00,10/11/16,10/14/16,no,no,,,14,"Bannock County Elections Office, 141 N. 6th, Pocatello, ID 83201",,08:00 AM - 04:30 PM,,ho97705391,false,true,,,,poll59729618
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,Bannock County Elections Office,141 N. 6th,,Pocatello,ID,83201,8:00:00 - 06:00,16:30:00 - 06:00,10/17/16,10/21/16,no,no,,,15,"Bannock County Elections Office, 141 N. 6th, Pocatello, ID 83201",,08:00 AM - 04:30 PM,,ho97705391,false,true,,,,poll59729618
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,Bannock County Elections Office,141 N. 6th,,Pocatello,ID,83201,8:00:00 - 06:00,16:30:00 - 06:00,10/24/16,10/28/16,no,no,,,16,"Bannock County Elections Office, 141 N. 6th, Pocatello, ID 83201",,08:00 AM - 04:30 PM,,ho97705391,false,true,,,,poll59729618
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,Bannock County Elections Office,141 N. 6th,,Pocatello,ID,83201,8:00:00 - 06:00,16:30:00 - 06:00,10/31/16,11/3/16,no,no,,,17,"Bannock County Elections Office, 141 N. 6th, Pocatello, ID 83201",,08:00 AM - 04:30 PM,,ho97705391,false,true,,,,poll59729618
Bear Lake County,County Clerk,ocd-division/country:us/state:id/county:bear_lake,Bear Lake County ID,http://www.bearlakecounty.info/,(208) 945-2212,blclean@dcdi.net,Bear Lake County Courthouse,7 East Center,,Paris,ID,83261-0190,8:00:00 - 06:00,16:30:00 - 06:00,9/23/16,9/23/16,no,no,,,18,"Bear Lake County Courthouse, 7 East Center, Paris, ID 83261",,08:00 AM - 04:30 PM,,ho93937395,false,true,,,,poll19431024
Bear Lake County,County Clerk,ocd-division/country:us/state:id/county:bear_lake,Bear Lake County ID,http://www.bearlakecounty.info/,(208) 945-2212,blclean@dcdi.net,Bear Lake County Courthouse,7 East Center,,Paris,ID,83261-0190,8:00:00 - 06:00,16:30:00 - 06:00,9/26/16,9/30/16,no,no,,,19,"Bear Lake County Courthouse, 7 East Center, Paris, ID 83261",,08:00 AM - 04:30 PM,,ho93937395,false,true,,,,poll19431024
Bear Lake County,County Clerk,ocd-division/country:us/state:id/county:bear_lake,Bear Lake County ID,http://www.bearlakecounty.info/,(208) 945-2212,blclean@dcdi.net,Bear Lake County Courthouse,7 East Center,,Paris,ID,83261-0190,8:00:00 - 06:00,16:30:00 - 06:00,10/3/16,10/7/16,no,no,,,20,"Bear Lake County Courthouse, 7 East Center, Paris, ID 83261",,08:00 AM - 04:30 PM,,ho93937395,false,true,,,,poll19431024
Bear Lake County,County Clerk,ocd-division/country:us/state:id/county:bear_lake,Bear Lake County ID,http://www.bearlakecounty.info/,(208) 945-2212,blclean@dcdi.net,Bear Lake County Courthouse,7 East Center,,Paris,ID,83261-0190,8:00:00 - 06:00,16:30:00 - 06:00,10/11/16,10/14/16,no,no,,,21,"Bear Lake County Courthouse, 7 East Center, Paris, ID 83261",,08:00 AM - 04:30 PM,,ho93937395,false,true,,,,poll19431024
Bear Lake County,County Clerk,ocd-division/country:us/state:id/county:bear_lake,Bear Lake County ID,http://www.bearlakecounty.info/,(208) 945-2212,blclean@dcdi.net,Bear Lake County Courthouse,7 East Center,,Paris,ID,83261-0190,8:00:00 - 06:00,16:30:00 - 06:00,10/17/16,10/21/16,no,no,,,22,"Bear Lake County Courthouse, 7 East Center, Paris, ID 83261",,08:00 AM - 04:30 PM,,ho93937395,false,true,,,,poll19431024
Bear Lake County,County Clerk,ocd-division/country:us/state:id/county:bear_lake,Bear Lake County ID,http://www.bearlakecounty.info/,(208) 945-2212,blclean@dcdi.net,Bear Lake County Courthouse,7 East Center,,Paris,ID,83261-0190,8:00:00 - 06:00,16:30:00 - 06:00,10/24/16,10/28/16,no,no,,,23,"Bear Lake County Courthouse, 7 East Center, Paris, ID 83261",,08:00 AM - 04:30 PM,,ho93937395,false,true,,,,poll19431024
Bear Lake County,County Clerk,ocd-division/country:us/state:id/county:bear_lake,Bear Lake County ID,http://www.bearlakecounty.info/,(208) 945-2212,blclean@dcdi.net,Bear Lake County Courthouse,7 East Center,,Paris,ID,83261-0190,8:00:00 - 06:00,16:30:00 - 06:00,10/31/16,11/4/16,no,no,,,24,"Bear Lake County Courthouse, 7 East Center, Paris, ID 83261",,08:00 AM - 04:30 PM,,ho93937395,false,true,,,,poll19431024
Benewah County,County Clerk,ocd-division/country:us/state:id/county:benewah,Benewah County ID,,(208) 245-3212,lragan@benewahcounty.org,Benewah County Courthouse,701 W College Ave,Suite 101,St Maries,ID,83861-1852,9:00:00 - 07:00,17:00:00 - 07:00,10/3/16,10/7/16,no,no,,,25,"Benewah County Courthouse, 701 W College Ave, Suite 101, St Maries, ID 83861",,09:00 AM - 05:00 PM,,ho64127484,false,true,,,,poll36293406
Benewah County,County Clerk,ocd-division/country:us/state:id/county:benewah,Benewah County ID,,(208) 245-3212,lragan@benewahcounty.org,Benewah County Courthouse,701 W College Ave,Suite 101,St Maries,ID,83861-1852,9:00:00 - 07:00,17:00:00 - 07:00,10/11/16,10/14/16,no,no,,,26,"Benewah County Courthouse, 701 W College Ave, Suite 101, St Maries, ID 83861",,09:00 AM - 05:00 PM,,ho64127484,false,true,,,,poll36293406
Benewah County,County Clerk,ocd-division/country:us/state:id/county:benewah,Benewah County ID,,(208) 245-3212,lragan@benewahcounty.org,Benewah County Courthouse,701 W College Ave,Suite 101,St Maries,ID,83861-1852,9:00:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,no,no,,,27,"Benewah County Courthouse, 701 W College Ave, Suite 101, St Maries, ID 83861",,09:00 AM - 05:00 PM,,ho64127484,false,true,,,,poll36293406
Benewah County,County Clerk,ocd-division/country:us/state:id/county:benewah,Benewah County ID,,(208) 245-3212,lragan@benewahcounty.org,Benewah County Courthouse,701 W College Ave,Suite 101,St Maries,ID,83861-1852,9:00:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,no,no,,,28,"Benewah County Courthouse, 701 W College Ave, Suite 101, St Maries, ID 83861",,09:00 AM - 05:00 PM,,ho64127484,false,true,,,,poll36293406
Benewah County,County Clerk,ocd-division/country:us/state:id/county:benewah,Benewah County ID,,(208) 245-3212,lragan@benewahcounty.org,Benewah County Courthouse,701 W College Ave,Suite 101,St Maries,ID,83861-1852,9:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,no,no,,,29,"Benewah County Courthouse, 701 W College Ave, Suite 101, St Maries, ID 83861",,09:00 AM - 05:00 PM,,ho64127484,false,true,,,,poll36293406
Bingham County,County Clerk,ocd-division/country:us/state:id/county:bingham,Bingham County ID,http://www.co.bingham.id.us/,(208) 782-3164,mjensen@co.bingham.id.us,Bingham County Courthouse,501 N Maple St,Room 105,Blackfoot,ID,83221-1776,8:30:00 - 06:00,16:30:00 - 06:00,10/17/16,10/21/16,no,no,,,30,"Bingham County Courthouse, 501 N Maple St, Room 105, Blackfoot, ID 83221",,08:30 AM - 04:30 PM,,ho28319272,false,true,,,,poll98362131
Bingham County,County Clerk,ocd-division/country:us/state:id/county:bingham,Bingham County ID,http://www.co.bingham.id.us/,(208) 782-3164,mjensen@co.bingham.id.us,Bingham County Courthouse,501 N Maple St,Room 105,Blackfoot,ID,83221-1776,8:30:00 - 06:00,16:30:00 - 06:00,10/24/16,10/28/16,no,no,,,31,"Bingham County Courthouse, 501 N Maple St, Room 105, Blackfoot, ID 83221",,08:30 AM - 04:30 PM,,ho28319272,false,true,,,,poll98362131
Bingham County,County Clerk,ocd-division/country:us/state:id/county:bingham,Bingham County ID,http://www.co.bingham.id.us/,(208) 782-3164,mjensen@co.bingham.id.us,Bingham County Courthouse,501 N Maple St,Room 105,Blackfoot,ID,83221-1776,8:30:00 - 06:00,16:30:00 - 06:00,10/31/16,11/4/16,no,no,,,32,"Bingham County Courthouse, 501 N Maple St, Room 105, Blackfoot, ID 83221",,08:30 AM - 04:30 PM,,ho28319272,false,true,,,,poll98362131
Blaine County,County Clerk,ocd-division/country:us/state:id/county:blaine,Blaine County ID,http://www.co.blaine.id.us/,(208) 788-5510,election@co.blaine.id.us,Old County Courthouse,206 1st Ave South,#200,Hailey,ID,83333-8429,8:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/21/16,no,no,,,33,"Old County Courthouse, 206 1st Ave South, #200, Hailey, ID 83333",,08:00 AM - 05:00 PM,,ho52312425,false,true,,,,poll19290959
Blaine County,County Clerk,ocd-division/country:us/state:id/county:blaine,Blaine County ID,http://www.co.blaine.id.us/,(208) 788-5510,election@co.blaine.id.us,Old County Courthouse,206 1st Ave South,#200,Hailey,ID,83333-8429,8:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/28/16,no,no,,,34,"Old County Courthouse, 206 1st Ave South, #200, Hailey, ID 83333",,08:00 AM - 05:00 PM,,ho52312425,false,true,,,,poll19290959
Blaine County,County Clerk,ocd-division/country:us/state:id/county:blaine,Blaine County ID,http://www.co.blaine.id.us/,(208) 788-5510,election@co.blaine.id.us,Old County Courthouse,206 1st Ave South,#200,Hailey,ID,83333-8429,8:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,no,no,,,35,"Old County Courthouse, 206 1st Ave South, #200, Hailey, ID 83333",,08:00 AM - 05:00 PM,,ho52312425,false,true,,,,poll19290959
Boise County,County Clerk,ocd-division/country:us/state:id/county:boise,Boise County ID,http://www.boisecounty.us/,(208) 392-4431,sloya@co.boise.id.us,Boise County Recorders Office,420 Main St,,Idaho City,ID,83631,8:00:00 - 06:00,17:00:00 - 06:00,9/26/16,9/30/16,no,no,,,36,"Boise County Recorders Office, 420 Main St, Idaho City, ID 83631",,08:00 AM - 05:00 PM,,ho24754417,false,true,,,,poll56454085
Boise County,County Clerk,ocd-division/country:us/state:id/county:boise,Boise County ID,http://www.boisecounty.us/,(208) 392-4431,sloya@co.boise.id.us,Boise County Recorders Office,420 Main St,,Idaho City,ID,83631,8:00:00 - 06:00,17:00:00 - 06:00,10/3/16,10/7/16,no,no,,,37,"Boise County Recorders Office, 420 Main St, Idaho City, ID 83631",,08:00 AM - 05:00 PM,,ho24754417,false,true,,,,poll56454085
Boise County,County Clerk,ocd-division/country:us/state:id/county:boise,Boise County ID,http://www.boisecounty.us/,(208) 392-4431,sloya@co.boise.id.us,Boise County Recorders Office,420 Main St,,Idaho City,ID,83631,8:00:00 - 06:00,17:00:00 - 06:00,10/10/16,10/14/16,no,no,,,38,"Boise County Recorders Office, 420 Main St, Idaho City, ID 83631",,08:00 AM - 05:00 PM,,ho24754417,false,true,,,,poll56454085
Boise County,County Clerk,ocd-division/country:us/state:id/county:boise,Boise County ID,http://www.boisecounty.us/,(208) 392-4431,sloya@co.boise.id.us,Boise County Recorders Office,420 Main St,,Idaho City,ID,83631,8:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/21/16,no,no,,,39,"Boise County Recorders Office, 420 Main St, Idaho City, ID 83631",,08:00 AM - 05:00 PM,,ho24754417,false,true,,,,poll56454085
Boise County,County Clerk,ocd-division/country:us/state:id/county:boise,Boise County ID,http://www.boisecounty.us/,(208) 392-4431,sloya@co.boise.id.us,Boise County Recorders Office,420 Main St,,Idaho City,ID,83631,8:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/28/16,no,no,,,40,"Boise County Recorders Office, 420 Main St, Idaho City, ID 83631",,08:00 AM - 05:00 PM,,ho24754417,false,true,,,,poll56454085
Boise County,County Clerk,ocd-division/country:us/state:id/county:boise,Boise County ID,http://www.boisecounty.us/,(208) 392-4431,sloya@co.boise.id.us,Boise County Recorders Office,420 Main St,,Idaho City,ID,83631,8:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,no,no,,,41,"Boise County Recorders Office, 420 Main St, Idaho City, ID 83631",,08:00 AM - 05:00 PM,,ho24754417,false,true,,,,poll56454085
Bonner County,County Clerk,ocd-division/country:us/state:id/county:bonner,Bonner County ID,bonnercounty.us,(208) 255-3631,cwrum@bonnercountyid.gov,,1500 Hwy 2,Suite 124,Sandpoint,ID,83864-1794,9:00:00 - 07:00,17:00:00 - 07:00,10/3/16,10/7/16,no,no,,,42,"1500 Hwy 2, Suite 124, Sandpoint, ID 83864",,09:00 AM - 05:00 PM,,ho48307151,false,true,,,,poll15853240
Bonner County,County Clerk,ocd-division/country:us/state:id/county:bonner,Bonner County ID,bonnercounty.us,(208) 255-3631,cwrum@bonnercountyid.gov,,1500 Hwy 2,Suite 124,Sandpoint,ID,83864-1794,9:00:00 - 07:00,17:00:00 - 07:00,10/11/16,10/14/16,no,no,,,43,"1500 Hwy 2, Suite 124, Sandpoint, ID 83864",,09:00 AM - 05:00 PM,,ho48307151,false,true,,,,poll15853240
Bonner County,County Clerk,ocd-division/country:us/state:id/county:bonner,Bonner County ID,bonnercounty.us,(208) 255-3631,cwrum@bonnercountyid.gov,,1500 Hwy 2,Suite 124,Sandpoint,ID,83864-1794,9:00:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,no,no,,,44,"1500 Hwy 2, Suite 124, Sandpoint, ID 83864",,09:00 AM - 05:00 PM,,ho48307151,false,true,,,,poll15853240
Bonner County,County Clerk,ocd-division/country:us/state:id/county:bonner,Bonner County ID,bonnercounty.us,(208) 255-3631,cwrum@bonnercountyid.gov,,1500 Hwy 2,Suite 124,Sandpoint,ID,83864-1794,9:00:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,no,no,,,45,"1500 Hwy 2, Suite 124, Sandpoint, ID 83864",,09:00 AM - 05:00 PM,,ho48307151,false,true,,,,poll15853240
Bonner County,County Clerk,ocd-division/country:us/state:id/county:bonner,Bonner County ID,bonnercounty.us,(208) 255-3631,cwrum@bonnercountyid.gov,,1500 Hwy 2,Suite 124,Sandpoint,ID,83864-1794,9:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,no,no,,,46,"1500 Hwy 2, Suite 124, Sandpoint, ID 83864",,09:00 AM - 05:00 PM,,ho48307151,false,true,,,,poll15853240
Bonneville County,County Clerk,ocd-division/country:us/state:id/county:bonneville,Bonneville County ID,http://www.co.bonneville.id.us/,(208) 529-1363,vote@co.bonneville.id.us,Bonneville County Elections,825 Shoup Ave,,Idaho Falls,ID,83402-3582,8:00:00 - 06:00,17:00:00 - 06:00,10/3/16,10/7/16,no,no,,,47,"Bonneville County Elections, 825 Shoup Ave, Idaho Falls, ID 83402",,08:00 AM - 05:00 PM,,ho53733814,false,true,,,,poll17158115
Bonneville County,County Clerk,ocd-division/country:us/state:id/county:bonneville,Bonneville County ID,http://www.co.bonneville.id.us/,(208) 529-1363,vote@co.bonneville.id.us,Bonneville County Elections,825 Shoup Ave,,Idaho Falls,ID,83402-3582,8:00:00 - 06:00,17:00:00 - 06:00,10/11/16,10/14/16,no,no,,,48,"Bonneville County Elections, 825 Shoup Ave, Idaho Falls, ID 83402",,08:00 AM - 05:00 PM,,ho53733814,false,true,,,,poll17158115
Bonneville County,County Clerk,ocd-division/country:us/state:id/county:bonneville,Bonneville County ID,http://www.co.bonneville.id.us/,(208) 529-1363,vote@co.bonneville.id.us,Bonneville County Elections,825 Shoup Ave,,Idaho Falls,ID,83402-3582,8:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/21/16,no,no,,,49,"Bonneville County Elections, 825 Shoup Ave, Idaho Falls, ID 83402",,08:00 AM - 05:00 PM,,ho53733814,false,true,,,,poll17158115
Bonneville County,County Clerk,ocd-division/country:us/state:id/county:bonneville,Bonneville County ID,http://www.co.bonneville.id.us/,(208) 529-1363,vote@co.bonneville.id.us,Bonneville County Elections,825 Shoup Ave,,Idaho Falls,ID,83402-3582,8:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/28/16,no,no,,,50,"Bonneville County Elections, 825 Shoup Ave, Idaho Falls, ID 83402",,08:00 AM - 05:00 PM,,ho53733814,false,true,,,,poll17158115
Bonneville County,County Clerk,ocd-division/country:us/state:id/county:bonneville,Bonneville County ID,http://www.co.bonneville.id.us/,(208) 529-1363,vote@co.bonneville.id.us,Bonneville County Elections,825 Shoup Ave,,Idaho Falls,ID,83402-3582,8:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,no,no,,,51,"Bonneville County Elections, 825 Shoup Ave, Idaho Falls, ID 83402",,08:00 AM - 05:00 PM,,ho53733814,false,true,,,,poll17158115
Boundary County,County Clerk,ocd-division/country:us/state:id/county:boundary,Boundary County ID,http://www.boundarycountyid.org/,(208) 267-2242,gposton@boundarycountyid.org,,6452 Kootenai Street,,Bonners Ferry,ID,83805,9:00:00 - 07:00,17:00:00 - 07:00,9/23/16,9/23/16,no,no,,,52,"6452 Kootenai Street, Bonners Ferry, ID 83805",,09:00 AM - 05:00 PM,,ho3823232,false,true,,,,poll30445305
Boundary County,County Clerk,ocd-division/country:us/state:id/county:boundary,Boundary County ID,http://www.boundarycountyid.org/,(208) 267-2242,gposton@boundarycountyid.org,,6452 Kootenai Street,,Bonners Ferry,ID,83805,9:00:00 - 07:00,17:00:00 - 07:00,9/26/16,9/30/16,no,no,,,53,"6452 Kootenai Street, Bonners Ferry, ID 83805",,09:00 AM - 05:00 PM,,ho3823232,false,true,,,,poll30445305
Boundary County,County Clerk,ocd-division/country:us/state:id/county:boundary,Boundary County ID,http://www.boundarycountyid.org/,(208) 267-2242,gposton@boundarycountyid.org,,6452 Kootenai Street,,Bonners Ferry,ID,83805,9:00:00 - 07:00,17:00:00 - 07:00,10/3/16,10/7/16,no,no,,,54,"6452 Kootenai Street, Bonners Ferry, ID 83805",,09:00 AM - 05:00 PM,,ho3823232,false,true,,,,poll30445305
Boundary County,County Clerk,ocd-division/country:us/state:id/county:boundary,Boundary County ID,http://www.boundarycountyid.org/,(208) 267-2242,gposton@boundarycountyid.org,,6452 Kootenai Street,,Bonners Ferry,ID,83805,9:00:00 - 07:00,17:00:00 - 07:00,10/10/16,10/14/16,no,no,,,55,"6452 Kootenai Street, Bonners Ferry, ID 83805",,09:00 AM - 05:00 PM,,ho3823232,false,true,,,,poll30445305
Boundary County,County Clerk,ocd-division/country:us/state:id/county:boundary,Boundary County ID,http://www.boundarycountyid.org/,(208) 267-2242,gposton@boundarycountyid.org,,6452 Kootenai Street,,Bonners Ferry,ID,83805,9:00:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,no,no,,,56,"6452 Kootenai Street, Bonners Ferry, ID 83805",,09:00 AM - 05:00 PM,,ho3823232,false,true,,,,poll30445305
Boundary County,County Clerk,ocd-division/country:us/state:id/county:boundary,Boundary County ID,http://www.boundarycountyid.org/,(208) 267-2242,gposton@boundarycountyid.org,,6452 Kootenai Street,,Bonners Ferry,ID,83805,9:00:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,no,no,,,57,"6452 Kootenai Street, Bonners Ferry, ID 83805",,09:00 AM - 05:00 PM,,ho3823232,false,true,,,,poll30445305
Boundary County,County Clerk,ocd-division/country:us/state:id/county:boundary,Boundary County ID,http://www.boundarycountyid.org/,(208) 267-2242,gposton@boundarycountyid.org,,6452 Kootenai Street,,Bonners Ferry,ID,83805,9:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,no,no,,,58,"6452 Kootenai Street, Bonners Ferry, ID 83805",,09:00 AM - 05:00 PM,,ho3823232,false,true,,,,poll30445305
Camas County,County Clerk,ocd-division/country:us/state:id/county:camas,Camas County ID,,(208) 764-2242,camasclerk@rtci.net,Camas County Clerk,501 Soldier Road,,Fairfield,ID,83327,8:30:00 - 06:00,17:00:00 - 06:00,9/22/16,9/23/16,,,,,59,"Camas County Clerk, 501 Soldier Road, Fairfield, ID 83327",,08:30 AM - 05:00 PM,,ho17928732,false,true,,,,poll38683800
Camas County,County Clerk,ocd-division/country:us/state:id/county:camas,Camas County ID,,(208) 764-2242,camasclerk@rtci.net,Camas County Clerk,501 Soldier Road,,Fairfield,ID,83327,8:30:00 - 06:00,17:00:00 - 06:00,9/26/16,9/30/16,,,,,60,"Camas County Clerk, 501 Soldier Road, Fairfield, ID 83327",,08:30 AM - 05:00 PM,,ho17928732,false,true,,,,poll38683800
Camas County,County Clerk,ocd-division/country:us/state:id/county:camas,Camas County ID,,(208) 764-2242,camasclerk@rtci.net,Camas County Clerk,501 Soldier Road,,Fairfield,ID,83327,8:30:00 - 06:00,17:00:00 - 06:00,10/3/16,10/7/16,,,,,61,"Camas County Clerk, 501 Soldier Road, Fairfield, ID 83327",,08:30 AM - 05:00 PM,,ho17928732,false,true,,,,poll38683800
Camas County,County Clerk,ocd-division/country:us/state:id/county:camas,Camas County ID,,(208) 764-2242,camasclerk@rtci.net,Camas County Clerk,501 Soldier Road,,Fairfield,ID,83327,8:30:00 - 06:00,17:00:00 - 06:00,10/10/16,10/14/16,,,,,62,"Camas County Clerk, 501 Soldier Road, Fairfield, ID 83327",,08:30 AM - 05:00 PM,,ho17928732,false,true,,,,poll38683800
