office-name,ocd-division,homepage-url,phone,email,DIRECTIONS,name,address1,address2,city,state,zip,start_time,end_time,start_date,end_date,is_subject_to_change,notes
Aransas County,ocd-division/country:us/state:tx/county:aransas,http://www.aransascountytx.gov/electionadmin/,(361) 729-7431,elections@aransascounty.org,,,602 East Concho,,Rockport,TX,78382,07:00:00 - 05:00,19:00:00 - 05:00,10-31-2016,10-31-2016,,"Early voting hours: Monday, October 24 8:00 a.m. to 5:00 p.m. Sunday, October 30 CLOSED/CERRADO Tuesday, October 25 8:00 a.m. to 5:00 p.m. Monday, October 31 7:00 a.m. to 7:00 p.m. Wednesday, October 26 8:00 a.m. to 5:00 p.m.Tuesday, November 1 8:00 a.m. to 5:00 p.m.Thursday, October 27 8:00 a.m. to 5:00 p.m. Wednesday, November 2 7:00 a.m. to 7:00 p.m. Friday, October 28 8:00 a.m. to 5:00 p.m. Thursday, November 3 8:00 a.m. to 5:00 p.m.Saturday, October 29 8:00 a.m. to 5:00 p.m. Friday, November 4 7:00 a.m. to 7:00 p.m"
Aransas County,ocd-division/country:us/state:tx/county:aransas,http://www.aransascountytx.gov/electionadmin/,(361) 729-7431,elections@aransascounty.org,,,602 East Concho,,Rockport,TX,78382,08:00:00 - 05:00,17:00:00 - 05:00,11-01-2016,11-01-2016,,"Early voting hours: Monday, October 24 8:00 a.m. to 5:00 p.m. Sunday, October 30 CLOSED/CERRADO Tuesday, October 25 8:00 a.m. to 5:00 p.m. Monday, October 31 7:00 a.m. to 7:00 p.m. Wednesday, October 26 8:00 a.m. to 5:00 p.m.Tuesday, November 1 8:00 a.m. to 5:00 p.m.Thursday, October 27 8:00 a.m. to 5:00 p.m. Wednesday, November 2 7:00 a.m. to 7:00 p.m. Friday, October 28 8:00 a.m. to 5:00 p.m. Thursday, November 3 8:00 a.m. to 5:00 p.m.Saturday, October 29 8:00 a.m. to 5:00 p.m. Friday, November 4 7:00 a.m. to 7:00 p.m"
Aransas County,ocd-division/country:us/state:tx/county:aransas,http://www.aransascountytx.gov/electionadmin/,(361) 729-7431,elections@aransascounty.org,,,602 East Concho,,Rockport,TX,78382,07:00:00 - 05:00,19:00:00 - 05:00,11-02-2016,11-02-2016,,"Early voting hours: Monday, October 24 8:00 a.m. to 5:00 p.m. Sunday, October 30 CLOSED/CERRADO Tuesday, October 25 8:00 a.m. to 5:00 p.m. Monday, October 31 7:00 a.m. to 7:00 p.m. Wednesday, October 26 8:00 a.m. to 5:00 p.m.Tuesday, November 1 8:00 a.m. to 5:00 p.m.Thursday, October 27 8:00 a.m. to 5:00 p.m. Wednesday, November 2 7:00 a.m. to 7:00 p.m. Friday, October 28 8:00 a.m. to 5:00 p.m. Thursday, November 3 8:00 a.m. to 5:00 p.m.Saturday, October 29 8:00 a.m. to 5:00 p.m. Friday, November 4 7:00 a.m. to 7:00 p.m"
Aransas County,ocd-division/country:us/state:tx/county:aransas,http://www.aransascountytx.gov/electionadmin/,(361) 729-7431,elections@aransascounty.org,,,602 East Concho,,Rockport,TX,78382,08:00:00 - 05:00,17:00:00 - 05:00,11-03-2016,11-03-2016,,"Early voting hours: Monday, October 24 8:00 a.m. to 5:00 p.m. Sunday, October 30 CLOSED/CERRADO Tuesday, October 25 8:00 a.m. to 5:00 p.m. Monday, October 31 7:00 a.m. to 7:00 p.m. Wednesday, October 26 8:00 a.m. to 5:00 p.m.Tuesday, November 1 8:00 a.m. to 5:00 p.m.Thursday, October 27 8:00 a.m. to 5:00 p.m. Wednesday, November 2 7:00 a.m. to 7:00 p.m. Friday, October 28 8:00 a.m. to 5:00 p.m. Thursday, November 3 8:00 a.m. to 5:00 p.m.Saturday, October 29 8:00 a.m. to 5:00 p.m. Friday, November 4 7:00 a.m. to 7:00 p.m"
Aransas County,ocd-division/country:us/state:tx/county:aransas,http://www.aransascountytx.gov/electionadmin/,(361) 729-7431,elections@aransascounty.org,,,602 East Concho,,Rockport,TX,78382,07:00:00 - 05:00,19:00:00 - 05:00,11-04-2016,11-04-2016,,"Early voting hours: Monday, October 24 8:00 a.m. to 5:00 p.m. Sunday, October 30 CLOSED/CERRADO Tuesday, October 25 8:00 a.m. to 5:00 p.m. Monday, October 31 7:00 a.m. to 7:00 p.m. Wednesday, October 26 8:00 a.m. to 5:00 p.m.Tuesday, November 1 8:00 a.m. to 5:00 p.m.Thursday, October 27 8:00 a.m. to 5:00 p.m. Wednesday, November 2 7:00 a.m. to 7:00 p.m. Friday, October 28 8:00 a.m. to 5:00 p.m. Thursday, November 3 8:00 a.m. to 5:00 p.m.Saturday, October 29 8:00 a.m. to 5:00 p.m. Friday, November 4 7:00 a.m. to 7:00 p.m"
Bailey County,ocd-division/country:us/state:tx/county:bailey,http://www.co.bailey.tx.us/default.aspx?Bailey_County/County.Clerk,(806) 272-3044,elections@co.bailey.tx.us,,,300 South First St.,Ste 200,Muleshoe,TX,79347,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,10-28-2016,,"Early Voting at Bailey County Courthouse 300 S. First, Suite 200 hours 8:00 am - 5:00 p.m. extended hours to vote on November 3, 2016 8:00 to 6:00 (all precincts) Election Day all precincts vote at the Bailey County Coliseum 2206 West American Blvd. 7:00 am to 7:00 pm."
Bailey County,ocd-division/country:us/state:tx/county:bailey,http://www.co.bailey.tx.us/default.aspx?Bailey_County/County.Clerk,(806) 272-3044,elections@co.bailey.tx.us,,,300 South First St.,Ste 200,Muleshoe,TX,79347,08:00:00 - 05:00,17:00:00 - 05:00,10-31-2016,11-02-2016,,"Early Voting at Bailey County Courthouse 300 S. First, Suite 200 hours 8:00 am - 5:00 p.m. extended hours to vote on November 3, 2016 8:00 to 6:00 (all precincts) Election Day all precincts vote at the Bailey County Coliseum 2206 West American Blvd. 7:00 am to 7:00 pm."
Bailey County,ocd-division/country:us/state:tx/county:bailey,http://www.co.bailey.tx.us/default.aspx?Bailey_County/County.Clerk,(806) 272-3044,elections@co.bailey.tx.us,,,300 South First St.,Ste 200,Muleshoe,TX,79347,08:00:00 - 05:00,18:00:00 - 05:00,11-03-2016,11-03-2016,,"Early Voting at Bailey County Courthouse 300 S. First, Suite 200 hours 8:00 am - 5:00 p.m. extended hours to vote on November 3, 2016 8:00 to 6:00 (all precincts) Election Day all precincts vote at the Bailey County Coliseum 2206 West American Blvd. 7:00 am to 7:00 pm."
Bailey County,ocd-division/country:us/state:tx/county:bailey,http://www.co.bailey.tx.us/default.aspx?Bailey_County/County.Clerk,(806) 272-3044,elections@co.bailey.tx.us,,,300 South First St.,Ste 200,Muleshoe,TX,79347,08:00:00 - 05:00,17:00:00 - 05:00,11-04-2016,11-04-2016,,"Early Voting at Bailey County Courthouse 300 S. First, Suite 200 hours 8:00 am - 5:00 p.m. extended hours to vote on November 3, 2016 8:00 to 6:00 (all precincts) Election Day all precincts vote at the Bailey County Coliseum 2206 West American Blvd. 7:00 am to 7:00 pm."
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,403 12th Street,,Bandera,TX,78003,07:00:00 - 05:00,19:00:00 - 05:00,10-24-2016,10-24-2016,,"EARLY VOTING: Open from Monday thru Friday, October 24-November 4, 2016. 7:30 A.M. to 5:30 P.M. (WEEKDAYS ONLY), RAY F. MAUER ANNEX 403 12TH STREET, BANDERA, TX 78003, MEDINA ANNEX – 161 E. Parker St. MEDINA, TX 78055, LAKEHILLS AREA LIBRARY –7200 F.M. 1283 LAKEHILLS, TX 78063"
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,403 12th Street,,Bandera,TX,78003,07:30:00 - 05:00,17:30:00 - 05:00,10-25-2016,10-28-2016,,
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,403 12th Street,,Bandera,TX,78003,09:00:00 - 05:00,12:00:00 - 05:00,10-29-2016,10-29-2016,,
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,403 12th Street,,Bandera,TX,78003,07:00:00 - 05:00,19:00:00 - 05:00,10-31-2016,11-04-2016,,
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,Medina Annex,161 E.Parker St.,,Medina,TX,78055,07:30:00 - 05:00,17:30:00 - 05:00,10-24-2016,10-28-2016,,"EARLY VOTING: Open from Monday thru Friday, October 24-November 4, 2016. 7:30 A.M. to 5:30 P.M. (WEEKDAYS ONLY), RAY F. MAUER ANNEX – 403 12TH STREET, BANDERA, TX 78003, MEDINA ANNEX – 161 E. Parker St. MEDINA, TX 78055, LAKEHILLS AREA LIBRARY – 7200 F.M. 1283 LAKEHILLS, TX 78063"
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,Medina Annex,161 E.Parker St.,,Medina,TX,78055,07:30:00 - 05:00,17:30:00 - 05:00,10-31-2016,11-04-2016,,
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,7200 F.M. 1283,,Lakehills,TX,78063,07:30:00 - 05:00,17:30:00 - 05:00,10-24-2016,10-28-2016,,"EARLY VOTING: Open from Monday thru Friday, October 24-November 4, 2016. 7:30 A.M. to 5:30 P.M. (WEEKDAYS ONLY), RAY F. MAUER ANNEX – 403 12TH STREET, BANDERA, TX 78003, MEDINA ANNEX – 161 E. Parker St. MEDINA, TX 78055, LAKEHILLS AREA LIBRARY – 7200 F.M. 1283 LAKEHILLS, TX 78063"
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,7200 F.M. 1283,,Lakehills,TX,78063,07:30:00 - 05:00,17:30:00 - 05:00,10-31-2016,11-04-2016,,
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,804 Pecan,,Bastrop,TX,78602,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,11-02-2016,,"https://secure.helpscout.net/conversation/249260800/1714/?folderId=994864 - 317 Main St., Smithville 78957, 5630 FM 535, Cedar Creek 78612, 404 N. Main St., Elgin 78621"
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,804 Pecan,,Bastrop,TX,78602,07:00:00 - 05:00,19:00:00 - 05:00,11-03-2016,11-04-2016,,"https://secure.helpscout.net/conversation/249260800/1714/?folderId=994864 - 317 Main St., Smithville 78957, 5630 FM 535, Cedar Creek 78612, 404 N. Main St., Elgin 78621"
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,317 Main St.,,Smithville,TX,78957,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,11-02-2016,,"https://secure.helpscout.net/conversation/249260800/1714/?folderId=994864 - 317 Main St., Smithville 78957, 5630 FM 535, Cedar Creek 78612, 404 N. Main St., Elgin 78621"
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,317 Main St.,,Smithville,TX,78957,07:00:00 - 05:00,19:00:00 - 05:00,11-03-2016,11-04-2016,,"https://secure.helpscout.net/conversation/249260800/1714/?folderId=994864 - 317 Main St., Smithville 78957, 5630 FM 535, Cedar Creek 78612, 404 N. Main St., Elgin 78621"
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,5630 FM535,,Cedar Creek,TX,78612,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,11-02-2016,,"https://secure.helpscout.net/conversation/249260800/1714/?folderId=994864 - 317 Main St., Smithville 78957, 5630 FM 535, Cedar Creek 78612, 404 N. Main St., Elgin 78621"
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,5630 FM535,,Cedar Creek,TX,78612,07:00:00 - 05:00,19:00:00 - 05:00,11-03-2016,11-04-2016,,"https://secure.helpscout.net/conversation/249260800/1714/?folderId=994864 - 317 Main St., Smithville 78957, 5630 FM 535, Cedar Creek 78612, 404 N. Main St., Elgin 78621"
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,404 N. Main St.,,Elgin,TX,78621,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,11-02-2016,,"https://secure.helpscout.net/conversation/249260800/1714/?folderId=994864 - 317 Main St., Smithville 78957, 5630 FM 535, Cedar Creek 78612, 404 N. Main St., Elgin 78621"
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,404 N. Main St.,,Elgin,TX,78621,07:00:00 - 05:00,19:00:00 - 05:00,11-03-2016,11-04-2016,,"https://secure.helpscout.net/conversation/249260800/1714/?folderId=994864 - 317 Main St., Smithville 78957, 5630 FM 535, Cedar Creek 78612, 404 N. Main St., Elgin 78621"
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,1103 S. Frio Street,Ste 100,San Antonio,TX,78207,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,,See emailed sheet (200+ early voting sites) https://secure.helpscout.net/conversation/248366427/1549/?folderId=987167
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,1103 S. Frio Street,Ste 100,San Antonio,TX,78207,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,1103 S. Frio Street,Ste 100,San Antonio,TX,78207,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,1103 S. Frio Street,Ste 100,San Antonio,TX,78207,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,110 Tuleta Dr,,San Antonio,TX,78212,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,110 Tuleta Dr,,San Antonio,TX,78212,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,110 Tuleta Dr,,San Antonio,TX,78212,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,110 Tuleta Dr,,San Antonio,TX,78212,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,530 Heimer Rd,,San Antonio,TX,78232,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,530 Heimer Rd,,San Antonio,TX,78232,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,530 Heimer Rd,,San Antonio,TX,78232,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,530 Heimer Rd,,San Antonio,TX,78232,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,209 Lemonwood Dr,,Castle Hills,TX,78213,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,209 Lemonwood Dr,,Castle Hills,TX,78213,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,209 Lemonwood Dr,,Castle Hills,TX,78213,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,209 Lemonwood Dr,,Castle Hills,TX,78213,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,2805 E Commerce St,,San Antonio,TX,78202,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,2805 E Commerce St,,San Antonio,TX,78202,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,2805 E Commerce St,,San Antonio,TX,78202,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,2805 E Commerce St,,San Antonio,TX,78202,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,,
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,11441 Vance Jackson Rd,,San Antonio,TX,78230,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,,
