ocd-division,County,Location Name,Address 1,Address 2,dirs,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office,2850 Fairlane Ct,,,Placerville,CA,95667,8:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office,2850 Fairlane Ct,,,Placerville,CA,95667,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office,2850 Fairlane Ct,,,Placerville,CA,95667,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office,2850 Fairlane Ct,,,Placerville,CA,95667,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office,2850 Fairlane Ct,,,Placerville,CA,95667,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office Branch,3368 Lake Tahoe Blvd 108,,,South Lake Tahoe,CA,96150,8:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office Branch,3368 Lake Tahoe Blvd 108,,,South Lake Tahoe,CA,96150,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office Branch,3368 Lake Tahoe Blvd 108,,,South Lake Tahoe,CA,96150,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office Branch,3368 Lake Tahoe Blvd 108,,,South Lake Tahoe,CA,96150,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office Branch,3368 Lake Tahoe Blvd 108,,,South Lake Tahoe,CA,96150,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:fresno,Fresno County,County Clerk-Registrar of Voters,2221 Kern Street,,,Fresno,CA,93721,8:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:fresno,Fresno County,County Clerk-Registrar of Voters,2221 Kern Street,,,Fresno,CA,93721,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:fresno,Fresno County,County Clerk-Registrar of Voters,2221 Kern Street,,,Fresno,CA,93721,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:fresno,Fresno County,County Clerk-Registrar of Voters,2221 Kern Street,,,Fresno,CA,93721,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:fresno,Fresno County,County Clerk-Registrar of Voters,2221 Kern Street,,,Fresno,CA,93721,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:glenn,Glenn County,County Clerk-Recorder,516 W. Sycamore Street,,,Willows,CA,95988,7:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:glenn,Glenn County,County Clerk-Recorder,516 W. Sycamore Street,,,Willows,CA,95988,7:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:glenn,Glenn County,County Clerk-Recorder,516 W. Sycamore Street,,,Willows,CA,95988,7:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:glenn,Glenn County,County Clerk-Recorder,516 W. Sycamore Street,,,Willows,CA,95988,7:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:glenn,Glenn County,County Clerk-Recorder,516 W. Sycamore Street,,,Willows,CA,95988,6:00:00,20:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:humboldt,Humboldt County,County Clerk-Recorder-Registrar of Voters,"3033 H Street, Room 20",,,Eureka,CA,95501,8:30:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:humboldt,Humboldt County,County Clerk-Recorder-Registrar of Voters,"3033 H Street, Room 20",,,Eureka,CA,95501,8:30:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:humboldt,Humboldt County,County Clerk-Recorder-Registrar of Voters,"3033 H Street, Room 20",,,Eureka,CA,95501,8:30:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:humboldt,Humboldt County,County Clerk-Recorder-Registrar of Voters,"3033 H Street, Room 20",,,Eureka,CA,95501,8:30:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:humboldt,Humboldt County,County Clerk-Recorder-Registrar of Voters,"3033 H Street, Room 20",,,Eureka,CA,95501,8:30:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:imperial,Imperial County,Registrar of Voters,"940 Main Street, Ste 206",,,El Centro,CA,92243,8:00:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:imperial,Imperial County,Registrar of Voters,"940 Main Street, Ste 206",,,El Centro,CA,92243,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:imperial,Imperial County,Registrar of Voters,"940 Main Street, Ste 206",,,El Centro,CA,92243,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:imperial,Imperial County,Registrar of Voters,"940 Main Street, Ste 206",,,El Centro,CA,92243,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:imperial,Imperial County,Registrar of Voters,"940 Main Street, Ste 206",,,El Centro,CA,92243,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:inyo,Inyo County,Inyo County Courthouse,168 N. Edwards St,Inyo County Elections,,Independence,CA,93526,8:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:inyo,Inyo County,Inyo County Courthouse,168 N. Edwards St,Inyo County Elections,,Independence,CA,93526,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:inyo,Inyo County,Inyo County Courthouse,168 N. Edwards St,Inyo County Elections,,Independence,CA,93526,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:inyo,Inyo County,Inyo County Courthouse,168 N. Edwards St,Inyo County Elections,,Independence,CA,93526,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:inyo,Inyo County,Inyo County Courthouse,168 N. Edwards St,Inyo County Elections,,Independence,CA,93526,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:kern,Kern County,Auditor-Controller-County Clerk-Registrar of Voters,1115 Truxtun Avenue,,,Bakersfield,CA,93301,8:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:kern,Kern County,Auditor-Controller-County Clerk-Registrar of Voters,1115 Truxtun Avenue,,,Bakersfield,CA,93301,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:kern,Kern County,Auditor-Controller-County Clerk-Registrar of Voters,1115 Truxtun Avenue,,,Bakersfield,CA,93301,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:kern,Kern County,Auditor-Controller-County Clerk-Registrar of Voters,1115 Truxtun Avenue,,,Bakersfield,CA,93301,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:kern,Kern County,Auditor-Controller-County Clerk-Registrar of Voters,1115 Truxtun Avenue,,,Bakersfield,CA,93301,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:kings,Kings County,Registrar of Voters-Recorder-County Clerk,1400 W. Lacey Blvd.,,,Hanford,CA,93230,8:00:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:kings,Kings County,Registrar of Voters-Recorder-County Clerk,1400 W. Lacey Blvd.,,,Hanford,CA,93230,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:kings,Kings County,Registrar of Voters-Recorder-County Clerk,1400 W. Lacey Blvd.,,,Hanford,CA,93230,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:kings,Kings County,Registrar of Voters-Recorder-County Clerk,1400 W. Lacey Blvd.,,,Hanford,CA,93230,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:kings,Kings County,Registrar of Voters-Recorder-County Clerk,1400 W. Lacey Blvd.,,,Hanford,CA,93230,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,9:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,9:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,9:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,9:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,9:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,8:00:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,8:00:00,16:00:00,10/29/16,10/29/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,8:00:00,16:00:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:madera,Madera County,Office of the County Clerk-Recorder,200 W. 4th Street,,,Madera,CA,93637,8:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:madera,Madera County,Office of the County Clerk-Recorder,200 W. 4th Street,,,Madera,CA,93637,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:madera,Madera County,Office of the County Clerk-Recorder,200 W. 4th Street,,,Madera,CA,93637,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:madera,Madera County,Office of the County Clerk-Recorder,200 W. 4th Street,,,Madera,CA,93637,8:00:00,17:00:00,10/31/16,11/1/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:madera,Madera County,Office of the County Clerk-Recorder,200 W. 4th Street,,,Madera,CA,93637,10:00:00,15:00:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:madera,Madera County,Sheriff's Office,48267 Liberty Lane,,,Oakhurst ,CA,93644,10:00:00,15:00:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:marin,Marin County,Registrar of Voters,"3501 Civic Center, Room 121",,,San Rafael,CA,94903,8:00:00,16:30:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:marin,Marin County,Registrar of Voters,"3501 Civic Center, Room 121",,,San Rafael,CA,94903,8:00:00,16:30:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:marin,Marin County,Registrar of Voters,"3501 Civic Center, Room 121",,,San Rafael,CA,94903,8:00:00,16:30:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:marin,Marin County,Registrar of Voters,"3501 Civic Center, Room 121",,,San Rafael,CA,94903,8:00:00,16:30:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:marin,Marin County,Registrar of Voters,"3501 Civic Center, Room 121",,,San Rafael,CA,94903,8:00:00,16:30:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mariposa,Mariposa County,County Clerk,4982 10th Street,,,Mariposa,CA,95338,8:00:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mariposa,Mariposa County,County Clerk,4982 10th Street,,,Mariposa,CA,95338,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mariposa,Mariposa County,County Clerk,4982 10th Street,,,Mariposa,CA,95338,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mariposa,Mariposa County,County Clerk,4982 10th Street,,,Mariposa,CA,95338,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mariposa,Mariposa County,County Clerk,4982 10th Street,,,Mariposa,CA,95338,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mendocino,Mendocino County,Assessor-County Clerk-Recorder,"501 Low Gap Rd., Room 1020",,,Ukiah,CA,95482,8:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mendocino,Mendocino County,Assessor-County Clerk-Recorder,"501 Low Gap Rd., Room 1020",,,Ukiah,CA,95482,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mendocino,Mendocino County,Assessor-County Clerk-Recorder,"501 Low Gap Rd., Room 1020",,,Ukiah,CA,95482,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mendocino,Mendocino County,Assessor-County Clerk-Recorder,"501 Low Gap Rd., Room 1020",,,Ukiah,CA,95482,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mendocino,Mendocino County,Assessor-County Clerk-Recorder,"501 Low Gap Rd., Room 1020",,,Ukiah,CA,95482,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:merced,Merced County,County Clerk,"2222 M Street, Room 14",,,Merced,CA,95340,8:00:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:merced,Merced County,County Clerk,"2222 M Street, Room 14",,,Merced,CA,95340,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:merced,Merced County,County Clerk,"2222 M Street, Room 14",,,Merced,CA,95340,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:merced,Merced County,County Clerk,"2222 M Street, Room 14",,,Merced,CA,95340,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:merced,Merced County,County Clerk,"2222 M Street, Room 14",,,Merced,CA,95340,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:modoc,Modoc County,County Auditor-Clerk-Recorder,108 E. Modoc Street,,,Alturas,CA,96101,8:30:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:modoc,Modoc County,County Auditor-Clerk-Recorder,108 E. Modoc Street,,,Alturas,CA,96101,8:30:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:modoc,Modoc County,County Auditor-Clerk-Recorder,108 E. Modoc Street,,,Alturas,CA,96101,8:30:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:modoc,Modoc County,County Auditor-Clerk-Recorder,108 E. Modoc Street,,,Alturas,CA,96101,8:30:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:modoc,Modoc County,County Auditor-Clerk-Recorder,108 E. Modoc Street,,,Alturas,CA,96101,8:30:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mono,Mono County,County Clerk-Recorder-Registrar,74 N. School Street,,Annex I,Bridgeport,CA,93517,8:00:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mono,Mono County,County Clerk-Recorder-Registrar,74 N. School Street,,Annex I,Bridgeport,CA,93517,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mono,Mono County,County Clerk-Recorder-Registrar,74 N. School Street,,Annex I,Bridgeport,CA,93517,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mono,Mono County,County Clerk-Recorder-Registrar,74 N. School Street,,Annex I,Bridgeport,CA,93517,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:mono,Mono County,County Clerk-Recorder-Registrar,74 N. School Street,,Annex I,Bridgeport,CA,93517,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:ca/county:monterey,Monterey County,Registrar of Voters,1370 S. Main St # B,,,Salinas,CA,93901,8:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
