ocd-division,email,County,Location Name,Address 1,Address 2,City,state,Zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,10-11-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,09-29-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,10-10-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,10-10-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,10-11-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,10-10-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,09-23-2016,09-23-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,09-26-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,10-11-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 7:00,16:00:00 - 7:00,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,10-11-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:johnson,clerk@johnsoncowy.us,Johnson County,Johnson County Courthouse,76 North Main Street,,Buffalo,WY,82834-1883,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:johnson,clerk@johnsoncowy.us,Johnson County,Johnson County Courthouse,76 North Main Street,,Buffalo,WY,82834-1883,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:johnson,clerk@johnsoncowy.us,Johnson County,Johnson County Courthouse,76 North Main Street,,Buffalo,WY,82834-1883,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:johnson,clerk@johnsoncowy.us,Johnson County,Johnson County Courthouse,76 North Main Street,,Buffalo,WY,82834-1883,8:00:00 - 6:00,17:00:00 - 6:00 ,10-11-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:johnson,clerk@johnsoncowy.us,Johnson County,Johnson County Courthouse,76 North Main Street,,Buffalo,WY,82834-1883,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:johnson,clerk@johnsoncowy.us,Johnson County,Johnson County Courthouse,76 North Main Street,,Buffalo,WY,82834-1883,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:johnson,clerk@johnsoncowy.us,Johnson County,Johnson County Courthouse,76 North Main Street,,Buffalo,WY,82834-1883,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:johnson,clerk@johnsoncowy.us,Johnson County,Johnson County Courthouse,76 North Main Street,,Buffalo,WY,82834-1883,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:laramie,dlathrop@laramiecountyclerk.com,Laramie County,Laramie County Courthouse,309 West 20th Street,,Cheyenne,WY,82001,8:30:00 - 6:00,16:45:00 - 6:00 ,09-23-2016,09-23-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:laramie,dlathrop@laramiecountyclerk.com,Laramie County,Laramie County Courthouse,309 West 20th Street,,Cheyenne,WY,82001,8:30:00 - 6:00,16:45:00 - 6:00 ,09-26-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:laramie,dlathrop@laramiecountyclerk.com,Laramie County,Laramie County Courthouse,309 West 20th Street,,Cheyenne,WY,82001,8:30:00 - 6:00,16:45:00 - 6:00 ,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:laramie,dlathrop@laramiecountyclerk.com,Laramie County,Laramie County Courthouse,309 West 20th Street,,Cheyenne,WY,82001,8:30:00 - 6:00,16:45:00 - 6:00 ,10-10-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:laramie,dlathrop@laramiecountyclerk.com,Laramie County,Laramie County Courthouse,309 West 20th Street,,Cheyenne,WY,82001,8:30:00 - 6:00,16:45:00 - 6:00 ,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:laramie,dlathrop@laramiecountyclerk.com,Laramie County,Laramie County Courthouse,309 West 20th Street,,Cheyenne,WY,82001,8:30:00 - 6:00,16:45:00 - 6:00 ,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:laramie,dlathrop@laramiecountyclerk.com,Laramie County,Laramie County Courthouse,309 West 20th Street,,Cheyenne,WY,82001,8:30:00 - 6:00,16:45:00 - 6:00 ,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:laramie,dlathrop@laramiecountyclerk.com,Laramie County,Laramie County Courthouse,309 West 20th Street,,Cheyenne,WY,82001,8:30:00 - 6:00,16:45:00 - 6:00 ,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:lincoln,jwagner@lcwy.org,Lincoln County,Lincoln County Courthouse,925 Sage Avenue,Ste 101,Kemmerer,WY,83101,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:lincoln,jwagner@lcwy.org,Lincoln County,Lincoln County Courthouse,925 Sage Avenue,Ste 101,Kemmerer,WY,83101,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:lincoln,jwagner@lcwy.org,Lincoln County,Lincoln County Courthouse,925 Sage Avenue,Ste 101,Kemmerer,WY,83101,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:lincoln,jwagner@lcwy.org,Lincoln County,Lincoln County Courthouse,925 Sage Avenue,Ste 101,Kemmerer,WY,83101,8:00:00 - 6:00,17:00:00 - 6:00 ,10-10-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:lincoln,jwagner@lcwy.org,Lincoln County,Lincoln County Courthouse,925 Sage Avenue,Ste 101,Kemmerer,WY,83101,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:lincoln,jwagner@lcwy.org,Lincoln County,Lincoln County Courthouse,925 Sage Avenue,Ste 101,Kemmerer,WY,83101,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:lincoln,jwagner@lcwy.org,Lincoln County,Lincoln County Courthouse,925 Sage Avenue,Ste 101,Kemmerer,WY,83101,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:lincoln,jwagner@lcwy.org,Lincoln County,Lincoln County Courthouse,925 Sage Avenue,Ste 101,Kemmerer,WY,83101,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:natrona,rvitto@natronacounty-wy.gov,Natrona County,Natrona County Courthouse,200 North Center Street,Suite 154,Casper,WY,82601,8:00:00 - 6:00,17:00:00 - 6:00 ,09-29-2016,09-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:wy/county:natrona,rvitto@natronacounty-wy.gov,Natrona County,Natrona County Courthouse,200 North Center Street,Suite 154,Casper,WY,82601,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,FALSE,FALSE,FALSE,FALSE
