county,officer,email,blank,phone,fax,address_one,address_two,city,state,zip,times,start_date,end_date,time_zone,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,Medicine Lodge,KS,67104,8:30-5:00,10/17/2016,10/21/2016,central,17,"120 E Washington, Medicine Lodge, KS 67104",,8:30 AM-5:00 PM,,ho13751350,false,True,,,,poll0017
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,Medicine Lodge,KS,67104,8:30-5:00,10/24/2016,10/28/2016,central,18,"120 E Washington, Medicine Lodge, KS 67104",,8:30 AM-5:00 PM,,ho13751350,false,True,,,,poll0018
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,Medicine Lodge,KS,67104,8:30-5:00,10/31/2016,11/4/2016,central,19,"120 E Washington, Medicine Lodge, KS 67104",,8:30 AM-5:00 PM,,ho13751350,false,True,,,,poll0019
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,Medicine Lodge,KS,67104,8:30-5:00,11/7/2016,11/7/2016,central,20,"120 E Washington, Medicine Lodge, KS 67104",,8:30 AM-5:00 PM,,ho13751350,false,True,,,,poll0020
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,Great Bend,KS,67530,8:00-5:00,10/11/2016,10/14/2016,central,21,"1400 Main Street Room 202, Great Bend, KS 67530",,8:00 AM-5:00 PM,,ho92877893,false,True,,,,poll0021
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,Great Bend,KS,67530,8:00-5:00,10/17/2016,10/21/2016,central,22,"1400 Main Street Room 202, Great Bend, KS 67530",,8:00 AM-5:00 PM,,ho92877893,false,True,,,,poll0022
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,Great Bend,KS,67530,8:00-5:00,10/24/2016,10/28/2016,central,23,"1400 Main Street Room 202, Great Bend, KS 67530",,8:00 AM-5:00 PM,,ho92877893,false,True,,,,poll0023
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,Great Bend,KS,67530,8:00-5:00,10/31/2016,11/4/2016,central,24,"1400 Main Street Room 202, Great Bend, KS 67530",,8:00 AM-5:00 PM,,ho92877893,false,True,,,,poll0024
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,Great Bend,KS,67530,8:00-5:00,11/7/2016,11/7/2016,central,25,"1400 Main Street Room 202, Great Bend, KS 67530",,8:00 AM-5:00 PM,,ho92877893,false,True,,,,poll0025
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832,210 S National,,Ft Scott,KS,66701,8:30-4:30,10/11/2016,10/14/2016,central,26,"210 S National, Ft Scott, KS 66701",,8:30 AM-4:30 PM,,ho49681936,false,True,,,,poll0026
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832,210 S National,,Ft Scott,KS,66701,8:30-4:30,10/17/2016,10/21/2016,central,27,"210 S National, Ft Scott, KS 66701",,8:30 AM-4:30 PM,,ho49681936,false,True,,,,poll0027
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832,210 S National,,Ft Scott,KS,66701,8:30-4:30,10/24/2016,10/28/2016,central,28,"210 S National, Ft Scott, KS 66701",,8:30 AM-4:30 PM,,ho49681936,false,True,,,,poll0028
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832,210 S National,,Ft Scott,KS,66701,8:30-4:30,10/31/2016,11/4/2016,central,29,"210 S National, Ft Scott, KS 66701",,8:30 AM-4:30 PM,,ho49681936,false,True,,,,poll0029
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832,210 S National,,Ft Scott,KS,66701,8:30-4:30,11/7/2016,11/7/2016,central,30,"210 S National, Ft Scott, KS 66701",,8:30 AM-4:30 PM,,ho49681936,false,True,,,,poll0030
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705,601 Oregon St,,Hiawatha,KS,66434,8:00-5:00,10/11/2016,10/14/2016,central,31,"601 Oregon St, Hiawatha, KS 66434",,8:00 AM-5:00 PM,,ho11298506,false,True,,,,poll0031
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705,601 Oregon St,,Hiawatha,KS,66434,8:00-5:00,10/17/2016,10/21/2016,central,32,"601 Oregon St, Hiawatha, KS 66434",,8:00 AM-5:00 PM,,ho11298506,false,True,,,,poll0032
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705,601 Oregon St,,Hiawatha,KS,66434,8:00-5:00,10/24/2016,10/28/2016,central,33,"601 Oregon St, Hiawatha, KS 66434",,8:00 AM-5:00 PM,,ho11298506,false,True,,,,poll0033
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705,601 Oregon St,,Hiawatha,KS,66434,8:00-5:00,10/31/2016,11/4/2016,central,34,"601 Oregon St, Hiawatha, KS 66434",,8:00 AM-5:00 PM,,ho11298506,false,True,,,,poll0034
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705,601 Oregon St,,Hiawatha,KS,66434,8:00-5:00,11/7/2016,11/7/2016,central,35,"601 Oregon St, Hiawatha, KS 66434",,8:00 AM-5:00 PM,,ho11298506,false,True,,,,poll0035
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,205 W Central,,El Dorado,KS,67042,8:00-5:00,10/11/2016,10/14/2016,central,36,"205 W Central, El Dorado, KS 67042",,8:00 AM-5:00 PM,,ho90630924,false,True,,,,poll0036
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,205 W Central,,El Dorado,KS,67042,8:00-5:00,10/17/2016,10/21/2016,central,37,"205 W Central, El Dorado, KS 67042",,8:00 AM-5:00 PM,,ho90630924,false,True,,,,poll0037
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,205 W Central,,El Dorado,KS,67042,8:00-5:00,10/24/2016,10/28/2016,central,38,"205 W Central, El Dorado, KS 67042",,8:00 AM-5:00 PM,,ho90630924,false,True,,,,poll0038
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,205 W Central,,El Dorado,KS,67042,8:00-5:00,10/31/2016,11/4/2016,central,39,"205 W Central, El Dorado, KS 67042",,8:00 AM-5:00 PM,,ho90630924,false,True,,,,poll0039
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,205 W Central,,El Dorado,KS,67042,8:00-5:00,11/7/2016,11/7/2016,central,40,"205 W Central, El Dorado, KS 67042",,8:00 AM-5:00 PM,,ho90630924,false,True,,,,poll0040
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,Cottonwood Falls,KS,66845-0547,8:00-5:00,10/11/2016,10/14/2016,central,41,"300 Pearl St, Cottonwood Falls, KS 66845-0547",,8:00 AM-5:00 PM,,ho18175681,false,True,,,,poll0041
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,Cottonwood Falls,KS,66845-0547,8:00-5:00,10/17/2016,10/21/2016,central,42,"300 Pearl St, Cottonwood Falls, KS 66845-0547",,8:00 AM-5:00 PM,,ho18175681,false,True,,,,poll0042
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,Cottonwood Falls,KS,66845-0547,8:00-5:00,10/24/2016,10/28/2016,central,43,"300 Pearl St, Cottonwood Falls, KS 66845-0547",,8:00 AM-5:00 PM,,ho18175681,false,True,,,,poll0043
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,Cottonwood Falls,KS,66845-0547,8:00-5:00,10/31/2016,11/4/2016,central,44,"300 Pearl St, Cottonwood Falls, KS 66845-0547",,8:00 AM-5:00 PM,,ho18175681,false,True,,,,poll0044
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,Cottonwood Falls,KS,66845-0547,8:00-5:00,11/7/2016,11/7/2016,central,45,"300 Pearl St, Cottonwood Falls, KS 66845-0547",,8:00 AM-5:00 PM,,ho18175681,false,True,,,,poll0045
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,Sedan,KS,67361,8:00-4:00,10/11/2016,10/14/2016,central,46,"215 N Chautauqua, Sedan, KS 67361",,8:00 AM-4:00 PM,,ho76569633,false,True,,,,poll0046
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,Sedan,KS,67361,8:00-4:00,10/17/2016,10/21/2016,central,47,"215 N Chautauqua, Sedan, KS 67361",,8:00 AM-4:00 PM,,ho76569633,false,True,,,,poll0047
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,Sedan,KS,67361,8:00-4:00,10/24/2016,10/28/2016,central,48,"215 N Chautauqua, Sedan, KS 67361",,8:00 AM-4:00 PM,,ho76569633,false,True,,,,poll0048
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,Sedan,KS,67361,8:00-4:00,10/31/2016,11/4/2016,central,49,"215 N Chautauqua, Sedan, KS 67361",,8:00 AM-4:00 PM,,ho76569633,false,True,,,,poll0049
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,Sedan,KS,67361,8:00-4:00,11/7/2016,11/7/2016,central,50,"215 N Chautauqua, Sedan, KS 67361",,8:00 AM-4:00 PM,,ho76569633,false,True,,,,poll0050
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,Columbus,KS,66725,8:00-5:00,10/11/2016,10/14/2016,central,51,"110 W. Maple St #31, Columbus, KS 66725",,8:00 AM-5:00 PM,,ho12349079,false,True,,,,poll0051
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,Columbus,KS,66725,8:00-5:00,10/17/2016,10/21/2016,central,52,"110 W. Maple St #31, Columbus, KS 66725",,8:00 AM-5:00 PM,,ho12349079,false,True,,,,poll0052
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,Columbus,KS,66725,8:00-5:00,10/24/2016,10/28/2016,central,53,"110 W. Maple St #31, Columbus, KS 66725",,8:00 AM-5:00 PM,,ho12349079,false,True,,,,poll0053
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,Columbus,KS,66725,8:00-5:00,10/31/2016,11/4/2016,central,54,"110 W. Maple St #31, Columbus, KS 66725",,8:00 AM-5:00 PM,,ho12349079,false,True,,,,poll0054
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,Columbus,KS,66725,8:00-5:00,11/7/2016,11/7/2016,central,55,"110 W. Maple St #31, Columbus, KS 66725",,8:00 AM-5:00 PM,,ho12349079,false,True,,,,poll0055
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,8:00-12:00 ,10/11/2016,10/14/2016,central,56,"212 Washington St, St Francis, KS 67756",,8:00 AM-12:00 PM,,ho65099163,false,True,,,,poll0056
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,1:00-5:00,10/11/2016,10/14/2016,central,57,"212 Washington St, St Francis, KS 67756",,1:00 AM-5:00 PM,,ho65099163,false,True,,,,poll0057
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,8:00-12:00 ,10/17/2016,10/21/2016,central,58,"212 Washington St, St Francis, KS 67756",,8:00 AM-12:00 PM,,ho65099163,false,True,,,,poll0058
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,1:00-5:00,10/17/2016,10/21/2016,central,59,"212 Washington St, St Francis, KS 67756",,1:00 AM-5:00 PM,,ho65099163,false,True,,,,poll0059
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,8:00-12:00 ,10/24/2016,10/28/2016,central,60,"212 Washington St, St Francis, KS 67756",,8:00 AM-12:00 PM,,ho65099163,false,True,,,,poll0060
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,1:00-5:00,10/24/2016,10/28/2016,central,61,"212 Washington St, St Francis, KS 67756",,1:00 AM-5:00 PM,,ho65099163,false,True,,,,poll0061
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,8:00-12:00 ,10/31/2016,11/4/2016,central,62,"212 Washington St, St Francis, KS 67756",,8:00 AM-12:00 PM,,ho65099163,false,True,,,,poll0062
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,1:00-5:00,10/31/2016,11/4/2016,central,63,"212 Washington St, St Francis, KS 67756",,1:00 AM-5:00 PM,,ho65099163,false,True,,,,poll0063
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,8:00-12:00 ,11/7/2016,11/7/2016,central,64,"212 Washington St, St Francis, KS 67756",,8:00 AM-12:00 PM,,ho65099163,false,True,,,,poll0064
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,1:00-5:00,11/7/2016,11/7/2016,central,65,"212 Washington St, St Francis, KS 67756",,1:00 AM-5:00 PM,,ho65099163,false,True,,,,poll0065
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,Ashland,KS,67831,8:00-5:00,10/11/2016,10/14/2016,central,66,"913 Highland, Ashland, KS 67831",,8:00 AM-5:00 PM,,ho83974220,false,True,,,,poll0066
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,Ashland,KS,67831,8:00-5:00,10/17/2016,10/21/2016,central,67,"913 Highland, Ashland, KS 67831",,8:00 AM-5:00 PM,,ho83974220,false,True,,,,poll0067
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,Ashland,KS,67831,8:00-5:00,10/24/2016,10/28/2016,central,68,"913 Highland, Ashland, KS 67831",,8:00 AM-5:00 PM,,ho83974220,false,True,,,,poll0068
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,Ashland,KS,67831,8:00-5:00,10/31/2016,11/4/2016,central,69,"913 Highland, Ashland, KS 67831",,8:00 AM-5:00 PM,,ho83974220,false,True,,,,poll0069
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,Ashland,KS,67831,8:00-5:00,11/7/2016,11/7/2016,central,70,"913 Highland, Ashland, KS 67831",,8:00 AM-5:00 PM,,ho83974220,false,True,,,,poll0070
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,Clay Center,KS,67432,8:00-5:00,10/11/2016,10/14/2016,central,71,"712 5th Street Suite 102, Clay Center, KS 67432",,8:00 AM-5:00 PM,,ho73396200,false,True,,,,poll0071
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,Clay Center,KS,67432,8:00-5:00,10/17/2016,10/21/2016,central,72,"712 5th Street Suite 102, Clay Center, KS 67432",,8:00 AM-5:00 PM,,ho73396200,false,True,,,,poll0072
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,Clay Center,KS,67432,8:00-5:00,10/24/2016,10/28/2016,central,73,"712 5th Street Suite 102, Clay Center, KS 67432",,8:00 AM-5:00 PM,,ho73396200,false,True,,,,poll0073
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,Clay Center,KS,67432,8:00-5:00,10/31/2016,11/4/2016,central,74,"712 5th Street Suite 102, Clay Center, KS 67432",,8:00 AM-5:00 PM,,ho73396200,false,True,,,,poll0074
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,Clay Center,KS,67432,8:00-5:00,11/7/2016,11/7/2016,central,75,"712 5th Street Suite 102, Clay Center, KS 67432",,8:00 AM-5:00 PM,,ho73396200,false,True,,,,poll0075
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,Concordia,KS,66901,8:00-4:30,10/11/2016,10/14/2016,central,76,"811 Washington, Concordia, KS 66901",,8:00 AM-4:30 PM,,ho78837689,false,True,,,,poll0076
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,Concordia,KS,66901,8:00-4:30,10/17/2016,10/21/2016,central,77,"811 Washington, Concordia, KS 66901",,8:00 AM-4:30 PM,,ho78837689,false,True,,,,poll0077
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,Concordia,KS,66901,8:00-4:30,10/24/2016,10/28/2016,central,78,"811 Washington, Concordia, KS 66901",,8:00 AM-4:30 PM,,ho78837689,false,True,,,,poll0078
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,Concordia,KS,66901,8:00-4:30,10/31/2016,11/4/2016,central,79,"811 Washington, Concordia, KS 66901",,8:00 AM-4:30 PM,,ho78837689,false,True,,,,poll0079
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,Concordia,KS,66901,8:00-4:30,11/7/2016,11/7/2016,central,80,"811 Washington, Concordia, KS 66901",,8:00 AM-4:30 PM,,ho78837689,false,True,,,,poll0080
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,Room 202,110 S 6th,Burlington,KS,66839,8:00-5:00,10/11/2016,10/14/2016,central,81,"Room 202 110 S 6th, Burlington, KS 66839",,8:00 AM-5:00 PM,,ho56118502,false,True,,,,poll0081
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,Room 202,110 S 6th,Burlington,KS,66839,8:00-5:00,10/17/2016,10/21/2016,central,82,"Room 202 110 S 6th, Burlington, KS 66839",,8:00 AM-5:00 PM,,ho56118502,false,True,,,,poll0082
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,Room 202,110 S 6th,Burlington,KS,66839,8:00-5:00,10/24/2016,10/28/2016,central,83,"Room 202 110 S 6th, Burlington, KS 66839",,8:00 AM-5:00 PM,,ho56118502,false,True,,,,poll0083
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,Room 202,110 S 6th,Burlington,KS,66839,8:00-5:00,10/31/2016,11/4/2016,central,84,"Room 202 110 S 6th, Burlington, KS 66839",,8:00 AM-5:00 PM,,ho56118502,false,True,,,,poll0084
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,Room 202,110 S 6th,Burlington,KS,66839,8:00-5:00,11/7/2016,11/7/2016,central,85,"Room 202 110 S 6th, Burlington, KS 66839",,8:00 AM-5:00 PM,,ho56118502,false,True,,,,poll0085
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,Coldwater,KS,67029,9:00-12:00 ,10/11/2016,10/14/2016,central,86,"201 S New York Avenue, Coldwater, KS 67029",,9:00 AM-12:00 PM,,ho37839255,false,True,,,,poll0086
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,Coldwater,KS,67029,1:00-5:00,10/11/2016,10/14/2016,central,87,"201 S New York Avenue, Coldwater, KS 67029",,1:00 AM-5:00 PM,,ho37839255,false,True,,,,poll0087
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,Coldwater,KS,67029,9:00-12:00 ,10/17/2016,10/21/2016,central,88,"201 S New York Avenue, Coldwater, KS 67029",,9:00 AM-12:00 PM,,ho37839255,false,True,,,,poll0088
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,Coldwater,KS,67029,1:00-5:00,10/17/2016,10/21/2016,central,89,"201 S New York Avenue, Coldwater, KS 67029",,1:00 AM-5:00 PM,,ho37839255,false,True,,,,poll0089
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,Coldwater,KS,67029,9:00-12:00 ,10/24/2016,10/28/2016,central,90,"201 S New York Avenue, Coldwater, KS 67029",,9:00 AM-12:00 PM,,ho37839255,false,True,,,,poll0090
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,Coldwater,KS,67029,1:00-5:00,10/24/2016,10/28/2016,central,91,"201 S New York Avenue, Coldwater, KS 67029",,1:00 AM-5:00 PM,,ho37839255,false,True,,,,poll0091
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,Coldwater,KS,67029,9:00-12:00 ,10/31/2016,11/4/2016,central,92,"201 S New York Avenue, Coldwater, KS 67029",,9:00 AM-12:00 PM,,ho37839255,false,True,,,,poll0092
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,Coldwater,KS,67029,1:00-5:00,10/31/2016,11/4/2016,central,93,"201 S New York Avenue, Coldwater, KS 67029",,1:00 AM-5:00 PM,,ho37839255,false,True,,,,poll0093
