county,officer,email,blank,phone,fax,address_one,address_two,dirs,city,state,zip,start_time,end_time,start_date,end_date,time_zone,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227.0,423 N 5th,,,Atchison,KS,66002-1861,8:30:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,11,"423 N 5th, Atchison, KS 66002",,08:30 AM - 12:00 PM,,ho91894833,false,true,,,,poll91894833
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425.0,120 E Washington,,,Medicine Lodge,KS,67104,8:30:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,Starts 10-19-2016 8:30 - 5 except on the 7th it closes at noon ,12,"120 E Washington, Medicine Lodge, KS 67104",,08:30 AM - 05:00 PM,,ho13751350,false,true,,,,poll13751350
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425.0,120 E Washington,,,Medicine Lodge,KS,67104,8:30:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,,13,"120 E Washington, Medicine Lodge, KS 67104",,08:30 AM - 05:00 PM,,ho13751350,false,true,,,,poll13751350
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425.0,120 E Washington,,,Medicine Lodge,KS,67104,8:30:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,14,"120 E Washington, Medicine Lodge, KS 67104",,08:30 AM - 05:00 PM,,ho13751350,false,true,,,,poll13751350
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425.0,120 E Washington,,,Medicine Lodge,KS,67104,8:30:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,15,"120 E Washington, Medicine Lodge, KS 67104",,08:30 AM - 12:00 PM,,ho13751350,false,true,,,,poll13751350
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990.0,1400 Main Street,Room 202,,Great Bend,KS,67530,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,10-19-2016 8  - 5 M - F except until noon on 11/ 7,16,"1400 Main Street Room 202, Great Bend, KS 67530",,08:00 AM - 05:00 PM,,ho92877893,false,true,,,,poll92877893
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990.0,1400 Main Street,Room 202,,Great Bend,KS,67530,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,,17,"1400 Main Street Room 202, Great Bend, KS 67530",,08:00 AM - 05:00 PM,,ho92877893,false,true,,,,poll92877893
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990.0,1400 Main Street,Room 202,,Great Bend,KS,67530,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,18,"1400 Main Street Room 202, Great Bend, KS 67530",,08:00 AM - 05:00 PM,,ho92877893,false,true,,,,poll92877893
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990.0,1400 Main Street,Room 202,,Great Bend,KS,67530,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,19,"1400 Main Street Room 202, Great Bend, KS 67530",,08:00 AM - 12:00 PM,,ho92877893,false,true,,,,poll92877893
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832.0,210 S National,,,Ft Scott,KS,66701,8:30:00 - 05:00,16:30:00 - 05:00,11/1/16,11/4/16,central,Target Start: 10-24-2016 8:30 - 4:30 M - F except close at noon on the 7th ,20,"210 S National, Ft Scott, KS 66701",,08:30 AM - 04:30 PM,,ho49681936,false,true,,,,poll49681936
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832.0,210 S National,,,Ft Scott,KS,66701,8:30:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,21,"210 S National, Ft Scott, KS 66701",,08:30 AM - 12:00 PM,,ho49681936,false,true,,,,poll49681936
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705.0,601 Oregon St,,,Hiawatha,KS,66434,8:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,central,10-24-2016 8 - 4:30 except on the 7th ends at noon,22,"601 Oregon St, Hiawatha, KS 66434",,08:00 AM - 04:30 PM,,ho11298506,false,true,,,,poll11298506
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705.0,601 Oregon St,,,Hiawatha,KS,66434,8:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,central,,23,"601 Oregon St, Hiawatha, KS 66434",,08:00 AM - 04:30 PM,,ho11298506,false,true,,,,poll11298506
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705.0,601 Oregon St,,,Hiawatha,KS,66434,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,24,"601 Oregon St, Hiawatha, KS 66434",,08:00 AM - 12:00 PM,,ho11298506,false,true,,,,poll11298506
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011.0,205 W Central,,,El Dorado,KS,67042,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,starts 10-24-2016. 8 - 5 M - F except noon on Nov 7. Also have Satellite at Andover EV beginning: Nov 1. 123 North andover Rd. Andover Kansas @ St. Vincent de Paul Catholic Church. Nov 1 noon - 7. Nov 2 noon - 5. Nov 3 & 4 noon - 7. Nov 5th - 9 - 4.  ,25,"205 W Central, El Dorado, KS 67042",,08:00 AM - 05:00 PM,,ho90630924,false,true,,,,poll90630924
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011.0,205 W Central,,,El Dorado,KS,67042,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,26,"205 W Central, El Dorado, KS 67042",,08:00 AM - 05:00 PM,,ho90630924,false,true,,,,poll90630924
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011.0,205 W Central,,,El Dorado,KS,67042,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,27,"205 W Central, El Dorado, KS 67042",,08:00 AM - 12:00 PM,,ho90630924,false,true,,,,poll90630924
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011.0,123 N Andover Rd,,,Andover,KS,67002,12:00:00 - 05:00,19:00:00 - 05:00,11/1/16,11/1/16,central,,28,"123 N Andover Rd, Andover, KS 67002",,12:00 PM - 07:00 PM,,ho35100449,false,true,,,,poll35100449
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011.0,123 N Andover Rd,,,Andover,KS,67002,12:00:00 - 05:00,17:00:00 - 05:00,11/2/16,11/2/16,central,,29,"123 N Andover Rd, Andover, KS 67002",,12:00 PM - 05:00 PM,,ho35100449,false,true,,,,poll35100449
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011.0,123 N Andover Rd,,,Andover,KS,67002,12:00:00 - 05:00,19:00:00 - 05:00,11/3/16,11/4/16,central,,30,"123 N Andover Rd, Andover, KS 67002",,12:00 PM - 07:00 PM,,ho35100449,false,true,,,,poll35100449
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011.0,123 N Andover Rd,,,Andover,KS,67002,9:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,central,,31,"123 N Andover Rd, Andover, KS 67002",,09:00 AM - 04:00 PM,,ho35100449,false,true,,,,poll35100449
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617.0,300 Pearl St,,,Cottonwood Falls,KS,66845-0547,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,starts: 10/19/2016 8 - 5 M - F and closes at noon on the 7th ,32,"300 Pearl St, Cottonwood Falls, KS 66845",,08:00 AM - 05:00 PM,,ho79817034,false,true,,,,poll79817034
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617.0,300 Pearl St,,,Cottonwood Falls,KS,66845-0547,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,,33,"300 Pearl St, Cottonwood Falls, KS 66845",,08:00 AM - 05:00 PM,,ho79817034,false,true,,,,poll79817034
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617.0,300 Pearl St,,,Cottonwood Falls,KS,66845-0547,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,34,"300 Pearl St, Cottonwood Falls, KS 66845",,08:00 AM - 05:00 PM,,ho79817034,false,true,,,,poll79817034
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617.0,300 Pearl St,,,Cottonwood Falls,KS,66845-0547,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,35,"300 Pearl St, Cottonwood Falls, KS 66845",,08:00 AM - 12:00 PM,,ho79817034,false,true,,,,poll79817034
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801.0,215 N Chautauqua,,,Sedan,KS,67361,8:00:00 - 05:00,16:00:00 - 05:00,10/19/16,10/21/16,central,10-19-2016 8 - 4 every day M  - F. Closes on noon on the 7th ,36,"215 N Chautauqua, Sedan, KS 67361",,08:00 AM - 04:00 PM,,ho76569633,false,true,,,,poll76569633
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801.0,215 N Chautauqua,,,Sedan,KS,67361,8:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,central,,37,"215 N Chautauqua, Sedan, KS 67361",,08:00 AM - 04:00 PM,,ho76569633,false,true,,,,poll76569633
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801.0,215 N Chautauqua,,,Sedan,KS,67361,8:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,central,,38,"215 N Chautauqua, Sedan, KS 67361",,08:00 AM - 04:00 PM,,ho76569633,false,true,,,,poll76569633
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801.0,215 N Chautauqua,,,Sedan,KS,67361,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,39,"215 N Chautauqua, Sedan, KS 67361",,08:00 AM - 12:00 PM,,ho76569633,false,true,,,,poll76569633
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042.0,110 W. Maple St,#31,,Columbus,KS,66725,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,begins: 10-19-2016 8 - 5. Closes at noon on the 7th. ,40,"110 W. Maple St #31, Columbus, KS 66725",,08:00 AM - 05:00 PM,,ho12349079,false,true,,,,poll12349079
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042.0,110 W. Maple St,#31,,Columbus,KS,66725,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,,41,"110 W. Maple St #31, Columbus, KS 66725",,08:00 AM - 05:00 PM,,ho12349079,false,true,,,,poll12349079
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042.0,110 W. Maple St,#31,,Columbus,KS,66725,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,42,"110 W. Maple St #31, Columbus, KS 66725",,08:00 AM - 05:00 PM,,ho12349079,false,true,,,,poll12349079
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042.0,110 W. Maple St,#31,,Columbus,KS,66725,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,43,"110 W. Maple St #31, Columbus, KS 66725",,08:00 AM - 12:00 PM,,ho12349079,false,true,,,,poll12349079
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825.0,212 Washington St,,,St Francis,KS,67756,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,,44,"212 Washington St, St Francis, KS 67756",,08:00 AM - 05:00 PM,,ho65099163,false,true,,,,poll65099163
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825.0,212 Washington St,,,St Francis,KS,67756,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,,45,"212 Washington St, St Francis, KS 67756",,08:00 AM - 05:00 PM,,ho65099163,false,true,,,,poll65099163
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825.0,212 Washington St,,,St Francis,KS,67756,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,46,"212 Washington St, St Francis, KS 67756",,08:00 AM - 05:00 PM,,ho65099163,false,true,,,,poll65099163
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825.0,212 Washington St,,,St Francis,KS,67756,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,47,"212 Washington St, St Francis, KS 67756",,08:00 AM - 12:00 PM,,ho65099163,false,true,,,,poll65099163
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051.0,913 Highland,,,Ashland,KS,67831,8:30:00 - 05:00,12:00:00 - 05:00,10/19/16,10/21/16,central,,48,"913 Highland, Ashland, KS 67831",,08:30 AM - 12:00 PM,,ho83974220,false,true,,,,poll83974220
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051.0,913 Highland,,,Ashland,KS,67831,13:00:00 - 05:00,16:30:00 - 05:00,10/19/16,10/21/16,central,,49,"913 Highland, Ashland, KS 67831",,01:00 PM - 04:30 PM,,ho83974220,false,true,,,,poll83974220
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051.0,913 Highland,,,Ashland,KS,67831,8:30:00 - 05:00,12:00:00 - 05:00,10/24/16,10/28/16,central,,50,"913 Highland, Ashland, KS 67831",,08:30 AM - 12:00 PM,,ho83974220,false,true,,,,poll83974220
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051.0,913 Highland,,,Ashland,KS,67831,13:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,central,,51,"913 Highland, Ashland, KS 67831",,01:00 PM - 04:30 PM,,ho83974220,false,true,,,,poll83974220
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051.0,913 Highland,,,Ashland,KS,67831,8:30:00 - 05:00,12:00:00 - 05:00,10/31/16,11/4/16,central,,52,"913 Highland, Ashland, KS 67831",,08:30 AM - 12:00 PM,,ho83974220,false,true,,,,poll83974220
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051.0,913 Highland,,,Ashland,KS,67831,13:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,central,,53,"913 Highland, Ashland, KS 67831",,01:00 PM - 04:30 PM,,ho83974220,false,true,,,,poll83974220
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051.0,913 Highland,,,Ashland,KS,67831,8:30:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,54,"913 Highland, Ashland, KS 67831",,08:30 AM - 12:00 PM,,ho83974220,false,true,,,,poll83974220
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856.0,712 5th Street,Suite 102,,Clay Center,KS,67432,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,begin: 10-19-2016. 8  - 5. close at noon on the 7th ,55,"712 5th Street Suite 102, Clay Center, KS 67432",,08:00 AM - 05:00 PM,,ho73396200,false,true,,,,poll73396200
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856.0,712 5th Street,Suite 102,,Clay Center,KS,67432,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,,56,"712 5th Street Suite 102, Clay Center, KS 67432",,08:00 AM - 05:00 PM,,ho73396200,false,true,,,,poll73396200
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856.0,712 5th Street,Suite 102,,Clay Center,KS,67432,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,57,"712 5th Street Suite 102, Clay Center, KS 67432",,08:00 AM - 05:00 PM,,ho73396200,false,true,,,,poll73396200
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856.0,712 5th Street,Suite 102,,Clay Center,KS,67432,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,58,"712 5th Street Suite 102, Clay Center, KS 67432",,08:00 AM - 12:00 PM,,ho73396200,false,true,,,,poll73396200
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123.0,811 Washington,,,Concordia,KS,66901,8:00:00 - 05:00,16:30:00 - 05:00,10/19/16,10/21/16,central,10-19-2016. 8 - 4:30 M - F. Close at noon on the 7th ,59,"811 Washington, Concordia, KS 66901",,08:00 AM - 04:30 PM,,ho78837689,false,true,,,,poll78837689
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123.0,811 Washington,,,Concordia,KS,66901,8:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,central,,60,"811 Washington, Concordia, KS 66901",,08:00 AM - 04:30 PM,,ho78837689,false,true,,,,poll78837689
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123.0,811 Washington,,,Concordia,KS,66901,8:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,central,,61,"811 Washington, Concordia, KS 66901",,08:00 AM - 04:30 PM,,ho78837689,false,true,,,,poll78837689
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123.0,811 Washington,,,Concordia,KS,66901,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,62,"811 Washington, Concordia, KS 66901",,08:00 AM - 12:00 PM,,ho78837689,false,true,,,,poll78837689
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975.0,110 S 6th,Room 202,,Burlington,KS,66839,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,"Earliest we can start is 10-19-2016. Latest is 11/1. Will probably be more between the 10-19 and the 10-23 start date. Will probably have some late nights, too, but those havent been set. we are open 8 - 5 every day. Will close at noon on 11/7 ",63,"110 S 6th Room 202, Burlington, KS 66839",,08:00 AM - 05:00 PM,,ho20391107,false,true,,,,poll20391107
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975.0,110 S 6th,Room 202,,Burlington,KS,66839,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,,64,"110 S 6th Room 202, Burlington, KS 66839",,08:00 AM - 05:00 PM,,ho20391107,false,true,,,,poll20391107
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975.0,110 S 6th,Room 202,,Burlington,KS,66839,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,65,"110 S 6th Room 202, Burlington, KS 66839",,08:00 AM - 05:00 PM,,ho20391107,false,true,,,,poll20391107
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975.0,110 S 6th,Room 202,,Burlington,KS,66839,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,66,"110 S 6th Room 202, Burlington, KS 66839",,08:00 AM - 12:00 PM,,ho20391107,false,true,,,,poll20391107
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426.0,201 S New York Avenue,,,Coldwater,KS,67029,9:00:00 - 05:00,12:00:00 - 05:00,10/19/16,10/21/16,central,,67,"201 S New York Avenue, Coldwater, KS 67029",,09:00 AM - 12:00 PM,,ho37839255,false,true,,,,poll37839255
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426.0,201 S New York Avenue,,,Coldwater,KS,67029,13:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,,68,"201 S New York Avenue, Coldwater, KS 67029",,01:00 PM - 05:00 PM,,ho37839255,false,true,,,,poll37839255
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426.0,201 S New York Avenue,,,Coldwater,KS,67029,9:00:00 - 05:00,12:00:00 - 05:00,10/24/16,10/28/16,central,,69,"201 S New York Avenue, Coldwater, KS 67029",,09:00 AM - 12:00 PM,,ho37839255,false,true,,,,poll37839255
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426.0,201 S New York Avenue,,,Coldwater,KS,67029,13:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,,70,"201 S New York Avenue, Coldwater, KS 67029",,01:00 PM - 05:00 PM,,ho37839255,false,true,,,,poll37839255
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426.0,201 S New York Avenue,,,Coldwater,KS,67029,9:00:00 - 05:00,12:00:00 - 05:00,10/31/16,11/4/16,central,,71,"201 S New York Avenue, Coldwater, KS 67029",,09:00 AM - 12:00 PM,,ho37839255,false,true,,,,poll37839255
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426.0,201 S New York Avenue,,,Coldwater,KS,67029,13:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,72,"201 S New York Avenue, Coldwater, KS 67029",,01:00 PM - 05:00 PM,,ho37839255,false,true,,,,poll37839255
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426.0,201 S New York Avenue,,,Coldwater,KS,67029,9:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,73,"201 S New York Avenue, Coldwater, KS 67029",,09:00 AM - 12:00 PM,,ho37839255,false,true,,,,poll37839255
COWLEY,Karen Madison,kmadison@cowleycounty.org,,6202215495,6202215498.0,321 E. 10th Avenue,,,Winfield,KS,67156,7:30:00 - 05:00,17:30:00 - 05:00,10/24/16,10/28/16,central,,74,"321 E. 10th Avenue, Winfield, KS 67156",,07:30 AM - 05:30 PM,,ho19711793,false,true,,,,poll19711793
COWLEY,Karen Madison,kmadison@cowleycounty.org,,6202215495,6202215498.0,321 E. 10th Avenue,,,Winfield,KS,67156,7:30:00 - 05:00,17:30:00 - 05:00,10/31/16,11/4/16,central,,75,"321 E. 10th Avenue, Winfield, KS 67156",,07:30 AM - 05:30 PM,,ho19711793,false,true,,,,poll19711793
COWLEY,Karen Madison,kmadison@cowleycounty.org,,6202215495,6202215498.0,321 E. 10th Avenue,,,Winfield,KS,67156,7:30:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,76,"321 E. 10th Avenue, Winfield, KS 67156",,07:30 AM - 12:00 PM,,ho19711793,false,true,,,,poll19711793
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007.0,111 E Forest Avenue,,,Girard,KS,66743-0249,8:00:00 - 05:00,16:30:00 - 05:00,10/19/16,10/21/16,central,,77,"111 E Forest Avenue, Girard, KS 66743",,08:00 AM - 04:30 PM,,ho7960686,false,true,,,,poll7960686
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007.0,111 E Forest Avenue,,,Girard,KS,66743-0249,8:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,central,,78,"111 E Forest Avenue, Girard, KS 66743",,08:00 AM - 04:30 PM,,ho7960686,false,true,,,,poll7960686
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007.0,111 E Forest Avenue,,,Girard,KS,66743-0249,8:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,central,,79,"111 E Forest Avenue, Girard, KS 66743",,08:00 AM - 04:30 PM,,ho7960686,false,true,,,,poll7960686
