date,name,election_type,state_id,is_statewide,registration_info,absentee_ballot_info,results_uri,polling_hours,has_election_day_registration,registration_deadline,absentee_request_deadline,hours_open_id
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho82388413
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho24914065
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho45754666
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho45754666
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:30 PM,no,2016-10-18,2016-11-04,ho85119386
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:30 PM,no,2016-10-18,2016-11-04,ho95871056
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-12:00 PM,no,2016-10-18,2016-11-04,ho31269569
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-4:30 PM,no,2016-10-18,2016-11-04,ho31269569
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho65784832
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho48011121
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho73638989
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-12:00 PM,no,2016-10-18,2016-11-04,ho24892030
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho24892030
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho87186618
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho25637587
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho99781800
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho10791726
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:00 PM,no,2016-10-18,2016-11-04,ho53208996
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho35937091
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho91932231
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho93723938
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho14727303
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho43927063
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho19823926
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho19823926
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:30 PM,no,2016-10-18,2016-11-04,ho35035398
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho39808350
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-12:00 PM,no,2016-10-18,2016-11-04,ho606214
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho606214
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho29403476
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho10227693
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:30 PM,no,2016-10-18,2016-11-04,ho13473456
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:30 PM,no,2016-10-18,2016-11-04,ho10592309
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho4964011
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho4964011
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho27872103
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho38412410
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho3045406
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho58907627
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho58907627
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho70160908
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho9764972
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-4:30 PM,no,2016-10-18,2016-11-04,ho20735871
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho90758429
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho80890185
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho10151601
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho20966287
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho32829058
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho30902449
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho88652434
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho88652434
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-12:00 PM,no,2016-10-18,2016-11-04,ho54482322
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho54482322
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho47284691
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho75726451
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho12576203
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho30439346
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho25374915
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho91387856
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho5808555
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho5808555
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho73030319
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho73030319
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho12746312
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho12746312
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho64183587
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho64183587
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho50080543
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho50080543
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho58413211
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho88872326
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho77877776
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho23730737
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:30 PM,no,2016-10-18,2016-11-04,ho58876664
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho68324648
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho68324648
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho212146
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho61345820
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho61345820
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho84042329
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho74342879
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho74342879
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho41720604
