county,officer,email,blank,phone,fax,address_one,address_two,city,state,zip,start_time,end_time,start_date,end_date,time_zone,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
OTTAWA,Mary Arganbright,occlerk@nckcn.com,,7853922279,7853922011,307 N Concord Suite 130,,Minneapolis,KS,67467,13:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,12,"307 N Concord Suite 130, Minneapolis, KS 67467",,01:00 PM - 05:00 PM,,ho58907627,false,true,,,,poll58907627
ROOKS,Clara Strutt,ro_county_clerk@wan.kdor.state.ks.us,,7854256391,7854256015,115 N Walnut,,Stockton,KS,67669,13:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,13,"115 N Walnut, Stockton, KS 67669",,01:00 PM - 05:00 PM,,ho88652434,false,true,,,,poll88652434
RUSH,Corinne Baldwin,rushclerk@gbta.net,,7852222731,7852223559,715 Elm St,,LaCrosse,KS,67548,13:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,14,"715 Elm St, LaCrosse, KS 67548",,01:00 PM - 05:00 PM,,ho54482322,false,true,,,,poll54482322
SHERIDAN,Heather Bracht,sdcoclk@ruraltel.net,,7856753361,7856753487,925 9th Street,,Hoxie,KS,67740,13:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,15,"925 9th Street, Hoxie, KS 67740",,01:00 PM - 05:00 PM,,ho5808555,false,true,,,,poll5808555
SHERMAN,Ashley Mannis,amannis@shermancounty.org,,7858904802,7858904809,813 Broadway,Rm 102,Goodland,KS,67735,13:00:00 - 06:00,17:00:00 - 06:00,10/11/2016,10/14/2016,mountain,16,"813 Broadway Rm 102, Goodland, KS 67735",,01:00 PM - 05:00 PM,,ho73030319,false,true,,,,poll73030319
SMITH,Sharon Wolters,sm_county_clerk@wan.kdor.state.ks.us,,7852825110,7852825114,218 S Grant,,Smith Center,KS,66967,13:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,17,"218 S Grant, Smith Center, KS 66967",,01:00 PM - 05:00 PM,,ho12746312,false,true,,,,poll12746312
STAFFORD,Nita Keenan,coclerk@gbta.net,,6205493509,6205493481,209 N Broadway,,St. John,KS,67576,13:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,18,"209 N Broadway, St. John, KS 67576",,01:00 PM - 05:00 PM,,ho64183587,false,true,,,,poll64183587
STANTON,Sandy Barton,ST_county_clerk@wan.kdor.state.ks.us,,6204922140,6204922688,201 N Main St,,Johnson,KS,67855,13:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,19,"201 N Main St, Johnson, KS 67855",,01:00 PM - 05:00 PM,,ho50080543,false,true,,,,poll50080543
WALLACE,Jacalyn Mai,WA_county_clerk@wan.kdor.state.ks.us,,7858524282,7858524783,313 N Main St,,Sharon Springs,KS,67758,13:00:00 - 06:00,17:00:00 - 06:00,10/11/2016,10/14/2016,mountain,20,"313 N Main St, Sharon Springs, KS 67758",,01:00 PM - 05:00 PM,,ho68324648,false,true,,,,poll68324648
WICHITA,Lynda Goodrich,coclerk@wbsnet.org,,6203752731,6203754350,206 S Fourth St,,Leoti,KS,67861,13:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,21,"206 S Fourth St, Leoti, KS 67861",,01:00 PM - 05:00 PM,,ho61345820,false,true,,,,poll61345820
WOODSON,Denice Julian,wococlerk@woodsoncounty.net,,6206258605,6206258670,105 W Rutledge,Room 103,Yates Center,KS,66783,13:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,22,"105 W Rutledge Room 103, Yates Center, KS 66783",,01:00 PM - 05:00 PM,,ho74342879,false,true,,,,poll74342879
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,Lola,KS,66749,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,23,"1 N Washington, Lola, KS 66749",,08:00 AM - 05:00 PM,,ho46088214,false,true,,,,poll46088214
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,Garnett,KS,66032,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,24,"100 E 4th, Garnett, KS 66032",,08:00 AM - 05:00 PM,,ho22014036,false,true,,,,poll22014036
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,Great Bend,KS,67530,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,25,"1400 Main Street Room 202, Great Bend, KS 67530",,08:00 AM - 05:00 PM,,ho92877893,false,true,,,,poll92877893
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705,601 Oregon St,,Hiawatha,KS,66434,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,26,"601 Oregon St, Hiawatha, KS 66434",,08:00 AM - 05:00 PM,,ho11298506,false,true,,,,poll11298506
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,205 W Central,,El Dorado,KS,67042,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,27,"205 W Central, El Dorado, KS 67042",,08:00 AM - 05:00 PM,,ho90630924,false,true,,,,poll90630924
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,Cottonwood Falls,KS,66845-0547,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,28,"300 Pearl St, Cottonwood Falls, KS 66845-0547",,08:00 AM - 05:00 PM,,ho18175681,false,true,,,,poll18175681
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,Sedan,KS,67361,8:00:00 - 05:00,16:00:00 - 05:00,10/11/2016,10/14/2016,central,29,"215 N Chautauqua, Sedan, KS 67361",,08:00 AM - 04:00 PM,,ho76569633,false,true,,,,poll76569633
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,Columbus,KS,66725,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,30,"110 W. Maple St #31, Columbus, KS 66725",,08:00 AM - 05:00 PM,,ho12349079,false,true,,,,poll12349079
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,Ashland,KS,67831,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,32,"913 Highland, Ashland, KS 67831",,08:00 AM - 05:00 PM,,ho83974220,false,true,,,,poll83974220
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,Clay Center,KS,67432,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,33,"712 5th Street Suite 102, Clay Center, KS 67432",,08:00 AM - 05:00 PM,,ho73396200,false,true,,,,poll73396200
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,Concordia,KS,66901,8:00:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,34,"811 Washington, Concordia, KS 66901",,08:00 AM - 04:30 PM,,ho78837689,false,true,,,,poll78837689
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,Room 202,110 S 6th,Burlington,KS,66839,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,35,"Room 202 110 S 6th, Burlington, KS 66839",,08:00 AM - 05:00 PM,,ho56118502,false,true,,,,poll56118502
COWLEY,Karen Madison,kmadison@cowleycounty.org,,6202215495,6202215498,321 E. 10th Avenue,,Winfield,KS,67156,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,36,"321 E. 10th Avenue, Winfield, KS 67156",,08:00 AM - 05:00 PM,,ho19711793,false,true,,,,poll19711793
DECATUR,Colleen Geihsler,DC_county_clerk@wan.kdor.state.ks.us,,7854758102,7854758150,120 E Hall St #4,,Oberlin,KS,67749,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,37,"120 E Hall St #4, Oberlin, KS 67749",,08:00 AM - 05:00 PM,,ho88393637,false,true,,,,poll88393637
DICKINSON,Barb Jones,DK_county_clerk@wan.kdor.state.ks.us,,7852633774,7852632045,"109 E 1st, Ste. 207",,Abilene,KS,67410,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,38,"109 E 1st, Ste. 207, Abilene, KS 67410",,08:00 AM - 05:00 PM,,ho87225355,false,true,,,,poll87225355
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,1100 Massachusetts St,,Lawrence,KS,66044,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,39,"1100 Massachusetts St, Lawrence, KS 66044",,08:00 AM - 05:00 PM,,ho85480065,false,true,,,,poll85480065
EDWARDS,Gina Schuette,edwardsclerk@edwards.kscoxmail.com,,6206593000,6206592583,312 Massachusetts,,Kinsley,KS,67547,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,40,"312 Massachusetts, Kinsley, KS 67547",,08:00 AM - 05:00 PM,,ho63905830,false,true,,,,poll63905830
ELK,Vicky D. Wedman,ekclerk@sktc.net,,6203742490,6203742771,127 N Pine St,,Howard,KS,67349,8:00:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,41,"127 N Pine St, Howard, KS 67349",,08:00 AM - 04:30 PM,,ho97967978,false,true,,,,poll97967978
ELLIS,Donna Maskus,dclerk@ellisco.net,,7856289410,7856289413,"1204 Fort St,",,Hays,KS,67601,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,42,"1204 Fort St,, Hays, KS 67601",,08:00 AM - 05:00 PM,,ho19994593,false,true,,,,poll19994593
ELLSWORTH,Shelly Vopat,EWCLERK@KANS.COM,,7854724161,7854723818,210 N Kansas,,Ellsworth,KS,67439,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,43,"210 N Kansas, Ellsworth, KS 67439",,08:00 AM - 05:00 PM,,ho84040399,false,true,,,,poll84040399
FINNEY,Elsa Ulrich,eulrich@finneycounty.org,,6202723575,6202723890,Finney Co. Admin. Center,311 N. 9th St.,Garden City,KS,67846,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,44,"Finney Co. Admin. Center 311 N. 9th St., Garden City, KS 67846",,08:00 AM - 05:00 PM,,ho14459408,false,true,,,,poll14459408
FRANKLIN,Janet Paddock,jpaddock@franklincoks.org,,7852293410,7852293419,315 S Main,,Ottawa,KS,66067,8:00:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,45,"315 S Main, Ottawa, KS 66067",,08:00 AM - 04:30 PM,,ho45551726,false,true,,,,poll45551726
GRAY,Ashley Rogers,arogers@grayco.org,,6208553618,6208553107,33 South Main Street,,Cimarron,KS,67835-0487,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,47,"33 South Main Street, Cimarron, KS 67835-0487",,08:00 AM - 05:00 PM,,ho2233058,false,true,,,,poll2233058
GREENWOOD,Kathy Robison,GW_county_clerk@wan.kdor.state.ks.us,,6205838121,6205838124,311 N Main,,Eureka,KS,67045,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,48,"311 N Main, Eureka, KS 67045",,08:00 AM - 05:00 PM,,ho36479759,false,true,,,,poll36479759
HARVEY,Rick Piepho,rpiepho@harveycounty.com,,3162846842,3162846856,800 N Main St,,Newton,KS,67114,8:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,central,50,"800 N Main St, Newton, KS 67114",,08:00 AM - 05:00 PM,,ho82388413,false,true,,,,poll82388413
JACKSON,Kathy Mick,JA_county_clerk@wan.kdor.state.ks.us,,7853642891,7853644204,400 New York,,Holton,KS,66436,8:00:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,52,"400 New York, Holton, KS 66436",,08:00 AM - 04:30 PM,,ho85119386,false,true,,,,poll85119386
JEFFERSON,Linda Buttron,lbuttron@jfcountyks.com,,7858632272,7858633135,300 Jefferson St,,Oskaloosa,KS,66066,8:00:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,53,"300 Jefferson St, Oskaloosa, KS 66066",,08:00 AM - 04:30 PM,,ho95871056,false,true,,,,poll95871056
JOHNSON,Ronnie Metsker,Ronnie.Metsker@jocogov.org,,9137823441,9137911753,2101 E Kansas City Rd,,Olathe,KS,66061,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,54,"2101 E Kansas City Rd, Olathe, KS 66061",,08:00 AM - 05:00 PM,,ho65784832,false,true,,,,poll65784832
KEARNY,Jana G. Jenkinson,keclerk@pld.com,,6203556422,6203557382,304 N Main St,,Lakin,KS,67860,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,55,"304 N Main St, Lakin, KS 67860",,08:00 AM - 05:00 PM,,ho48011121,false,true,,,,poll48011121
KINGMAN,Carol Noblit,KM_county_clerk@wan.kdor.state.ks.us,,6205322521,6205322037,130 N Spruce,,Kingman,KS,67068,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,56,"130 N Spruce, Kingman, KS 67068",,08:00 AM - 05:00 PM,,ho73638989,false,true,,,,poll73638989
LABETTE,Peggy Minor,pminor@labettecounty.com,,6207952138,6207952928,501 Merchant St #9,,Oswego,KS,67356,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,57,"501 Merchant St #9, Oswego, KS 67356",,08:00 AM - 05:00 PM,,ho87186618,false,true,,,,poll87186618
LANE,Stephanie M. Benzel,LE_county_clerk@wan.kdor.state.ks.us,,6203975356,6203975419,144 S Lane St,,Dighton,KS,67839,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,58,"144 S Lane St, Dighton, KS 67839",,08:00 AM - 05:00 PM,,ho25637587,false,true,,,,poll25637587
LEAVENWORTH,Janet Klasinski,jklasinski@leavenworthcounty.org,,9136840422,9136801489,300 Walnut,,Leavenworth,KS,66048,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,59,"300 Walnut, Leavenworth, KS 66048",,08:00 AM - 05:00 PM,,ho99781800,false,true,,,,poll99781800
LINCOLN,Dawn Harlow,lcclerk@lincolncoks.org,,7855244757,7855245008,216 E Lincoln Ave,,Lincoln,KS,67455,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,60,"216 E Lincoln Ave, Lincoln, KS 67455",,08:00 AM - 05:00 PM,,ho10791726,false,true,,,,poll10791726
LINN,David L. Lamb,dlamb@linncountyks.com,,9137952668,9137952889,315 Main St,,Mound City,KS,66056,8:00:00 - 05:00,16:00:00 - 05:00,10/11/2016,10/14/2016,central,61,"315 Main St, Mound City, KS 66056",,08:00 AM - 04:00 PM,,ho53208996,false,true,,,,poll53208996
LOGAN,Crystal Rucker,LG_County_Clerk@wan.kdor.state.ks.us,,7856714244,7856713341,710 W 2nd,,Oakley,KS,67748,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,62,"710 W 2nd, Oakley, KS 67748",,08:00 AM - 05:00 PM,,ho35937091,false,true,,,,poll35937091
LYON,Tammy Vopat,lyclerk@lyoncounty.org,,6203413245,6203413415,430 Commercial,,Emporia,KS,66801,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,63,"430 Commercial, Emporia, KS 66801",,08:00 AM - 05:00 PM,,ho91932231,false,true,,,,poll91932231
MCPHERSON,Cathy Schmidt,cschmidt@mcphersoncountyks.us,,6202413656,6202411168,117 N. Maple,,McPherson,KS,67460,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,64,"117 N. Maple, McPherson, KS 67460",,08:00 AM - 05:00 PM,,ho93723938,false,true,,,,poll93723938
MIAMI,Janet White,countyclerk@miamicountyks.org,,9132943976,9132949544,201 S. Pearl,Suite 102,Paola,KS,66071,8:00:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,66,"201 S. Pearl Suite 102, Paola, KS 66071",,08:00 AM - 04:30 PM,,ho35035398,false,true,,,,poll35035398
MORRIS,Michelle Garrett,morris@cgtelco.net,,6207675518,6207676861,501 West Main,,Council Grove,KS,66846,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,67,"501 West Main, Council Grove, KS 66846",,08:00 AM - 05:00 PM,,ho29403476,false,true,,,,poll29403476
NEMAHA,Mary Kay Schultejans,nmclerk@carsoncomm.com,,7853362170,7853363373,607 Nemaha,,Seneca,KS,66538,8:00:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,68,"607 Nemaha, Seneca, KS 66538",,08:00 AM - 04:30 PM,,ho13473456,false,true,,,,poll13473456
NEOSHO,Randal E. Neely,NO_county_clerk@wan.kdor.state.ks.us,,6202443811,6202443810,100 S Main St.,,Erie,KS,66733,8:00:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,69,"100 S Main St., Erie, KS 66733",,08:00 AM - 04:30 PM,,ho10592309,false,true,,,,poll10592309
NORTON,Robert D. Wyatt,NT_county_clerk@wan.kdor.state.ks.us,,7858775710,7858775794,105 S Kansas Ave,,Norton,KS,67654,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,71,"105 S Kansas Ave, Norton, KS 67654",,08:00 AM - 05:00 PM,,ho27872103,false,true,,,,poll27872103
OSAGE,Rhonda Beets,rbeets@osageco.org,,7858284812,7858284749,717 Topeka Ave,,Lyndon,KS,66451-0226,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,72,"717 Topeka Ave, Lyndon, KS 66451-0226",,08:00 AM - 05:00 PM,,ho38412410,false,true,,,,poll38412410
PHILLIPS,Linda McDowell,PL_county_clerk@wan.kdor.state.ks.us,,7855436825,7855436827,301 State Street,,Phillipsburg,KS,67661,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,74,"301 State Street, Phillipsburg, KS 67661",,08:00 AM - 05:00 PM,,ho9764972,false,true,,,,poll9764972
PRATT,Sherry Kruse,clerk@prattcounty.org,,6206724110,6206729541,300 S Ninnescah St,,Pratt,KS,67124,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,75,"300 S Ninnescah St, Pratt, KS 67124",,08:00 AM - 05:00 PM,,ho90758429,false,true,,,,poll90758429
RENO,Donna Patton,donna.patton@renogov.org,,6206942732,6206942534,206 West 1st,,Hutchinson,KS,67501,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,76,"206 West 1st, Hutchinson, KS 67501",,08:00 AM - 05:00 PM,,ho10151601,false,true,,,,poll10151601
REPUBLIC,Kathleen L. Marsicek,kmarsicek@republiccounty.org,,7855277231,7855272668,1815 M. Street,,Belleville,KS,66935-0429,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,77,"1815 M. Street, Belleville, KS 66935-0429",,08:00 AM - 05:00 PM,,ho20966287,false,true,,,,poll20966287
RICE,Alicia Showalter,ashow@ricecocthse.com,,6202572232,6202573039,101 W Commercial,,Lyons,KS,67554,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,78,"101 W Commercial, Lyons, KS 67554",,08:00 AM - 05:00 PM,,ho32829058,false,true,,,,poll32829058
RILEY,Rich Vargo,rvargo@rileycountyks.gov,,7855376300,7855376394,110 Courthouse Plaza,,Manhattan,KS,66502,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,79,"110 Courthouse Plaza, Manhattan, KS 66502",,08:00 AM - 05:00 PM,,ho30902449,false,true,,,,poll30902449
SALINE,Donald R. Merriman,don.merriman@saline.org,,7853095820,7853095826,300 W Ash,Ste. #215,Salina,KS,67401,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,81,"300 W Ash Ste. #215, Salina, KS 67401",,08:00 AM - 05:00 PM,,ho75726451,false,true,,,,poll75726451
SCOTT,Alice Brokofsky,SC_county_clerk@wan.kdor.state.ks.us,,6208722420,6208727145,303 Court,,Scott City,KS,67871,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,82,"303 Court, Scott City, KS 67871",,08:00 AM - 05:00 PM,,ho12576203,false,true,,,,poll12576203
SEDGWICK,Tabitha Lehman,tlehman@sedgwick.gov,,3166607100,3166607125,510 N Main,,Wichita,KS,67203-3798,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,83,"510 N Main, Wichita, KS 67203-3798",,08:00 AM - 05:00 PM,,ho30439346,false,true,,,,poll30439346
SHAWNEE,Andrew Howell,electionoffice@snco.us,,7852515900,7852660299,3420 SW Van Buren,,Topeka,KS,66611,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,84,"3420 SW Van Buren, Topeka, KS 66611",,08:00 AM - 05:00 PM,,ho91387856,false,true,,,,poll91387856
SUMNER,Debra Norris,dnorris@co.sumner.ks.us,,6203263395,6203262116,501 N Washington Ave,,Wellington,KS,67152,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,89,"501 N Washington Ave, Wellington, KS 67152",,08:00 AM - 05:00 PM,,ho88872326,false,true,,,,poll88872326
THOMAS,Shelly Harms,TH_county_clerk@wan.kdor.state.ks.us,,7854604500,7854604503,300 N Court,,Colby,KS,67701,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,90,"300 N Court, Colby, KS 67701",,08:00 AM - 05:00 PM,,ho77877776,false,true,,,,poll77877776
WABAUNSEE,Jennifer Savage,jensavage@embarqmail.com,,7857652421,7857653704,215 Kansas Ave,,Alma,KS,66401,8:00:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,91,"215 Kansas Ave, Alma, KS 66401",,08:00 AM - 04:30 PM,,ho58876664,false,true,,,,poll58876664
WASHINGTON,Denae Jueneman,djueneman@washingtoncountyks.gov,,7853252974,7853252303,214 C St,,Washington,KS,66968,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,93,"214 C St, Washington, KS 66968",,08:00 AM - 05:00 PM,,ho212146,false,true,,,,poll212146
WYANDOTTE,Bruce Newby,bnewby@wycokck.org,,9135738500,9135738580,850 State Avenue,,Kansas City,KS,66101,8:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,96,"850 State Avenue, Kansas City, KS 66101",,08:00 AM - 05:00 PM,,ho41720604,false,true,,,,poll41720604
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227,423 N 5th,,Atchison,KS,66002-1861,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,97,"423 N 5th, Atchison, KS 66002-1861",,08:30 AM - 05:00 PM,,ho94568803,false,true,,,,poll94568803
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,Medicine Lodge,KS,67104,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,98,"120 E Washington, Medicine Lodge, KS 67104",,08:30 AM - 05:00 PM,,ho13751350,false,true,,,,poll13751350
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832,210 S National,,Ft Scott,KS,66701,8:30:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,99,"210 S National, Ft Scott, KS 66701",,08:30 AM - 04:30 PM,,ho49681936,false,true,,,,poll49681936
