COUNTY,OFFICER,EMAIL,,PHONE,FAX,ADDRESS1,ADDRESS2,DIRS,CITY,STATE,ZIP,START TIME,END TIME,START,END,TIME ZONE,NOTES 
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,,Great Bend,KS,67530,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832,210 S National,,,Ft Scott,KS,66701,8:30:00 - 05:00,16:30:00 - 05:00,11/1/16,11/4/16,central,Target Start: 10-24-2016 8:30 - 4:30 M - F except close at noon on the 7th 
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832,210 S National,,,Ft Scott,KS,66701,8:30:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705,601 Oregon St,,,Hiawatha,KS,66434,8:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,central,10-24-2016 8 - 4:30 except on the 7th ends at noon
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705,601 Oregon St,,,Hiawatha,KS,66434,8:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,central,
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705,601 Oregon St,,,Hiawatha,KS,66434,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,205 W Central,,,El Dorado,KS,67042,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,starts 10-24-2016. 8 - 5 M - F except noon on Nov 7. Also have Satellite at Andover EV beginning: Nov 1. 123 North andover Rd. Andover Kansas @ St. Vincent de Paul Catholic Church. Nov 1 noon - 7. Nov 2 noon - 5. Nov 3 & 4 noon - 7. Nov 5th - 9 - 4.  
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,205 W Central,,,El Dorado,KS,67042,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,205 W Central,,,El Dorado,KS,67042,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,123 N Andover Rd,,,Andover,KS,67002,12:00:00 - 05:00,19:00:00 - 05:00,11/1/16,11/1/16,central,
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,123 N Andover Rd,,,Andover,KS,67002,12:00:00 - 05:00,17:00:00 - 05:00,11/2/16,11/2/16,central,
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,123 N Andover Rd,,,Andover,KS,67002,12:00:00 - 05:00,19:00:00 - 05:00,11/3/16,11/4/16,central,
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,123 N Andover Rd,,,Andover,KS,67002,9:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,central,
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,,Cottonwood Falls,KS,66845-0547,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,starts: 10/19/2016 8 - 5 M - F and closes at noon on the 7th 
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,,Cottonwood Falls,KS,66845-0547,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,,Cottonwood Falls,KS,66845-0547,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,,Cottonwood Falls,KS,66845-0547,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,,Sedan,KS,67361,8:00:00 - 05:00,16:00:00 - 05:00,10/19/16,10/21/16,central,10-19-2016 8 - 4 every day M  - F. Closes on noon on the 7th 
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,,Sedan,KS,67361,8:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,central,
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,,Sedan,KS,67361,8:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,central,
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,,Sedan,KS,67361,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,,Columbus,KS,66725,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,begins: 10-19-2016 8 - 5. Closes at noon on the 7th. 
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,,Columbus,KS,66725,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,,Columbus,KS,66725,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,,Columbus,KS,66725,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,,St Francis,KS,67756,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,,St Francis,KS,67756,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,,St Francis,KS,67756,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,,St Francis,KS,67756,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,,Ashland,KS,67831,8:30:00 - 05:00,12:00:00 - 05:00,10/19/16,10/21/16,central,
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,,Ashland,KS,67831,13:00:00 - 05:00,16:30:00 - 05:00,10/19/16,10/21/16,central,
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,,Ashland,KS,67831,8:30:00 - 05:00,12:00:00 - 05:00,10/24/16,10/28/16,central,
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,,Ashland,KS,67831,13:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,central,
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,,Ashland,KS,67831,8:30:00 - 05:00,12:00:00 - 05:00,10/31/16,11/4/16,central,
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,,Ashland,KS,67831,13:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,central,
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,,Ashland,KS,67831,8:30:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,,Clay Center,KS,67432,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,begin: 10-19-2016. 8  - 5. close at noon on the 7th 
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,,Clay Center,KS,67432,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,,Clay Center,KS,67432,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,,Clay Center,KS,67432,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,,Concordia,KS,66901,8:00:00 - 05:00,16:30:00 - 05:00,10/19/16,10/21/16,central,10-19-2016. 8 - 4:30 M - F. Close at noon on the 7th 
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,,Concordia,KS,66901,8:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,central,
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,,Concordia,KS,66901,8:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,central,
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,,Concordia,KS,66901,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,110 S 6th,Room 202,,Burlington,KS,66839,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,"Earliest we can start is 10-19-2016. Latest is 11/1. Will probably be more between the 10-19 and the 10-23 start date. Will probably have some late nights, too, but those havent been set. we are open 8 - 5 every day. Will close at noon on 11/7 "
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,110 S 6th,Room 202,,Burlington,KS,66839,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,110 S 6th,Room 202,,Burlington,KS,66839,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,110 S 6th,Room 202,,Burlington,KS,66839,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,,Coldwater,KS,67029,9:00:00 - 05:00,12:00:00 - 05:00,10/19/16,10/21/16,central,
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,,Coldwater,KS,67029,13:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,,Coldwater,KS,67029,9:00:00 - 05:00,12:00:00 - 05:00,10/24/16,10/28/16,central,
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,,Coldwater,KS,67029,13:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,,Coldwater,KS,67029,9:00:00 - 05:00,12:00:00 - 05:00,10/31/16,11/4/16,central,
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,,Coldwater,KS,67029,13:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,,Coldwater,KS,67029,9:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
COWLEY,Karen Madison,kmadison@cowleycounty.org,,6202215495,6202215498,321 E. 10th Avenue,,,Winfield,KS,67156,7:30:00 - 05:00,17:30:00 - 05:00,10/24/16,10/28/16,central,
COWLEY,Karen Madison,kmadison@cowleycounty.org,,6202215495,6202215498,321 E. 10th Avenue,,,Winfield,KS,67156,7:30:00 - 05:00,17:30:00 - 05:00,10/31/16,11/4/16,central,
COWLEY,Karen Madison,kmadison@cowleycounty.org,,6202215495,6202215498,321 E. 10th Avenue,,,Winfield,KS,67156,7:30:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007,111 E Forest Avenue,,,Girard,KS,66743-0249,8:00:00 - 05:00,16:30:00 - 05:00,10/19/16,10/21/16,central,
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007,111 E Forest Avenue,,,Girard,KS,66743-0249,8:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,central,
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007,111 E Forest Avenue,,,Girard,KS,66743-0249,8:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,central,
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007,111 E Forest Avenue,,,Girard,KS,66743-0249,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007,3003 N Joplin St,,,Pittsburg,KS,66762,11:00:00 - 05:00,19:00:00 - 05:00,10/26/16,10/29/16,central,
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007,3003 N Joplin St,,,Pittsburg,KS,66762,12:00:00 - 05:00,17:00:00 - 05:00,10/30/16,10/30/16,central,
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007,202 Centennial Dr,,,Pittsburg,KS,66762,11:00:00 - 05:00,19:00:00 - 05:00,10/26/16,10/29/16,central,
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007,202 Centennial Dr,,,Pittsburg,KS,66762,12:00:00 - 05:00,17:00:00 - 05:00,10/30/16,10/30/16,central,
DECATUR,Colleen Geihsler,DC_county_clerk@wan.kdor.state.ks.us,,7854758102,7854758150,120 E Hall St #4,,,Oberlin,KS,67749,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,begin 10-19-2016 . 8 - 5. close at noon on the 7th 
DECATUR,Colleen Geihsler,DC_county_clerk@wan.kdor.state.ks.us,,7854758102,7854758150,120 E Hall St #4,,,Oberlin,KS,67749,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
DECATUR,Colleen Geihsler,DC_county_clerk@wan.kdor.state.ks.us,,7854758102,7854758150,120 E Hall St #4,,,Oberlin,KS,67749,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
DECATUR,Colleen Geihsler,DC_county_clerk@wan.kdor.state.ks.us,,7854758102,7854758150,120 E Hall St #4,,,Oberlin,KS,67749,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
DICKINSON,Barb Jones,DK_county_clerk@wan.kdor.state.ks.us,,7852633774,7852632045,"109 E 1st, Ste. 207",,,Abilene,KS,67410,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,
DICKINSON,Barb Jones,DK_county_clerk@wan.kdor.state.ks.us,,7852633774,7852632045,"109 E 1st, Ste. 207",,,Abilene,KS,67410,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
DICKINSON,Barb Jones,DK_county_clerk@wan.kdor.state.ks.us,,7852633774,7852632045,"109 E 1st, Ste. 207",,,Abilene,KS,67410,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
DICKINSON,Barb Jones,DK_county_clerk@wan.kdor.state.ks.us,,7852633774,7852632045,"109 E 1st, Ste. 207",,,Abilene,KS,67410,9:00:00 - 05:00,12:00:00 - 05:00,11/5/16,11/5/16,central,
DICKINSON,Barb Jones,DK_county_clerk@wan.kdor.state.ks.us,,7852633774,7852632045,"109 E 1st, Ste. 207",,,Abilene,KS,67410,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
DONIPHAN,Peggy Franken,dpcoclerk@rainbowtel.net,,7859853513,7859853723,120 E Chestnut St,,,Troy,KS,66087,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,
DONIPHAN,Peggy Franken,dpcoclerk@rainbowtel.net,,7859853513,7859853723,120 E Chestnut St,,,Troy,KS,66087,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
DONIPHAN,Peggy Franken,dpcoclerk@rainbowtel.net,,7859853513,7859853723,120 E Chestnut St,,,Troy,KS,66087,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
DONIPHAN,Peggy Franken,dpcoclerk@rainbowtel.net,,7859853513,7859853723,120 E Chestnut St,,,Troy,KS,66087,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,1100 Massachusetts St,,,Lawrence,KS,66044,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,1100 Massachusetts St,,,Lawrence,KS,66044,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,1100 Massachusetts St,,,Lawrence,KS,66044,9:00:00 - 05:00,13:00:00 - 05:00,10/29/16,10/29/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,1100 Massachusetts St,,,Lawrence,KS,66044,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,1100 Massachusetts St,,,Lawrence,KS,66044,9:00:00 - 05:00,15:00:00 - 05:00,11/5/16,11/5/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,1100 Massachusetts St,,,Lawrence,KS,66044,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,1421 Research Park Dr.,,,Lawrence,KS,66049,10:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,2120 Harper St,,,Lawrence,KS,66046,10:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,1299 Oread Ave,,,Lawrence,KS,66045,10:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,327 Elmore St,,,Lecompton,KS,66050,09:00:00 - 06:00,15:00:00 - 06:00,11/5/16,11/5/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,4 E. 7th St.,,,Eudora,KS,66025,09:00:00 - 06:00,15:00:00 - 06:00,11/5/16,11/5/16,central,
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,610 High Street,,,Baldwin City,KS,66006,09:00:00 - 06:00,15:00:00 - 06:00,11/5/16,11/5/16,central,
EDWARDS,Gina Schuette,edwardsclerk@edwards.kscoxmail.com,,6206593000,6206592583,312 Massachusetts,,,Kinsley,KS,67547,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,10-19-2016 8 - 5. Close at noon on the 7th 
EDWARDS,Gina Schuette,edwardsclerk@edwards.kscoxmail.com,,6206593000,6206592583,312 Massachusetts,,,Kinsley,KS,67547,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
EDWARDS,Gina Schuette,edwardsclerk@edwards.kscoxmail.com,,6206593000,6206592583,312 Massachusetts,,,Kinsley,KS,67547,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
EDWARDS,Gina Schuette,edwardsclerk@edwards.kscoxmail.com,,6206593000,6206592583,312 Massachusetts,,,Kinsley,KS,67547,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
ELK,Vicky D. Wedman,ekclerk@sktc.net,,6203742490,6203742771,127 N Pine St,,,Howard,KS,67349,7:00:00 - 05:00,17:30:00 - 05:00,10/24/16,10/27/16,central,
ELK,Vicky D. Wedman,ekclerk@sktc.net,,6203742490,6203742771,127 N Pine St,,,Howard,KS,67349,7:00:00 - 05:00,17:30:00 - 05:00,10/31/16,11/3/16,central,
ELK,Vicky D. Wedman,ekclerk@sktc.net,,6203742490,6203742771,127 N Pine St,,,Howard,KS,67349,7:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
ELLIS,Donna Maskus,dclerk@ellisco.net,,7856289410,7856289413,1204 Fort St,,,Hays,KS,67601,8:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,central,
ELLIS,Donna Maskus,dclerk@ellisco.net,,7856289410,7856289413,1204 Fort St,,,Hays,KS,67601,8:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,central,
ELLIS,Donna Maskus,dclerk@ellisco.net,,7856289410,7856289413,1204 Fort St,,,Hays,KS,67601,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
ELLSWORTH,Shelly Vopat,EWCLERK@KANS.COM,,7854724161,7854723818,210 N Kansas,,,Ellsworth,KS,67439,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,
ELLSWORTH,Shelly Vopat,EWCLERK@KANS.COM,,7854724161,7854723818,210 N Kansas,,,Ellsworth,KS,67439,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
ELLSWORTH,Shelly Vopat,EWCLERK@KANS.COM,,7854724161,7854723818,210 N Kansas,,,Ellsworth,KS,67439,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/3/16,central,
ELLSWORTH,Shelly Vopat,EWCLERK@KANS.COM,,7854724161,7854723818,210 N Kansas,,,Ellsworth,KS,67439,8:00:00 - 05:00,19:00:00 - 05:00,11/4/16,11/4/16,central,
ELLSWORTH,Shelly Vopat,EWCLERK@KANS.COM,,7854724161,7854723818,210 N Kansas,,,Ellsworth,KS,67439,8:00:00 - 05:00,12:00:00 - 05:00,11/5/16,11/5/16,central,
ELLSWORTH,Shelly Vopat,EWCLERK@KANS.COM,,7854724161,7854723818,210 N Kansas,,,Ellsworth,KS,67439,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
