spr,title,ocd_division,description,homepage,phone,email,name,adr_1,adr_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk, 205 East Jefferson, #5,,Hamburg,AR,71646,10:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m.",12,"205 East Jefferson,  #5, Hamburg, AR 71646",,10:00 AM - 04:00 PM,,ho94334655,false,true,,,,poll26947986
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk, 205 East Jefferson, #5,,Hamburg,AR,71646,08:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m.",13,"205 East Jefferson,  #5, Hamburg, AR 71646",,08:00 AM - 06:00 PM,,ho94334655,false,true,,,,poll26947986
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk, 205 East Jefferson, #5,,Hamburg,AR,71646,10:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m.",14,"205 East Jefferson,  #5, Hamburg, AR 71646",,10:00 AM - 04:00 PM,,ho94334655,false,true,,,,poll26947986
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk, 205 East Jefferson, #5,,Hamburg,AR,71646,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m.",15,"205 East Jefferson,  #5, Hamburg, AR 71646",,08:00 AM - 05:00 PM,,ho94334655,false,true,,,,poll26947986
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Baxter County Clerk, 1 East 7th St., Suite 103,,Mountain Home,AR,72653,08:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,"1. Yes, early voting takes place in the Courthouse at the Clerk's Office. 2. By law the hours for early voting are 8 a.m. to 6 p.m. M-F, and 10-4 on Saturdays. Early voting (again by law) ends at 5 p.m. on Monday Nov. 7.",16,"1 East 7th St.,  Suite 103, Mountain Home, AR 72653",,08:00 AM - 06:00 PM,,ho84099879,false,true,,,,poll62872226
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Baxter County Clerk, 1 East 7th St., Suite 103,,Mountain Home,AR,72653,10:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,,17,"1 East 7th St.,  Suite 103, Mountain Home, AR 72653",,10:00 AM - 04:00 PM,,ho84099879,false,true,,,,poll62872226
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Baxter County Clerk, 1 East 7th St., Suite 103,,Mountain Home,AR,72653,08:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,,18,"1 East 7th St.,  Suite 103, Mountain Home, AR 72653",,08:00 AM - 06:00 PM,,ho84099879,false,true,,,,poll62872226
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Baxter County Clerk, 1 East 7th St., Suite 103,,Mountain Home,AR,72653,10:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,,19,"1 East 7th St.,  Suite 103, Mountain Home, AR 72653",,10:00 AM - 04:00 PM,,ho84099879,false,true,,,,poll62872226
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Baxter County Clerk, 1 East 7th St., Suite 103,,Mountain Home,AR,72653,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,,20,"1 East 7th St.,  Suite 103, Mountain Home, AR 72653",,08:00 AM - 05:00 PM,,ho84099879,false,true,,,,poll62872226
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Twin Lakes Plaza, 759 Hwy 62,,,Mountain Home,AR,72653,10:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,,21,"759 Hwy 62, Mountain Home, AR 72653",,10:00 AM - 04:00 PM,,ho77559338,false,true,,,,poll8757651
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Twin Lakes Plaza, 759 Hwy 62,,,Mountain Home,AR,72653,10:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,,22,"759 Hwy 62, Mountain Home, AR 72653",,10:00 AM - 04:00 PM,,ho77559338,false,true,,,,poll8757651
Benton County,County Clerk,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,Benton County Clerk's Office, 215 East Central Ave,,,Bentonville,AR,72712,08:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,,23,"215 East Central Ave, Bentonville, AR 72712",,08:00 AM - 06:00 PM,,ho17884193,false,true,,,,poll83807781
Benton County,County Clerk,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,Benton County Clerk's Office, 215 East Central Ave,,,Bentonville,AR,72712,10:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,,24,"215 East Central Ave, Bentonville, AR 72712",,10:00 AM - 04:00 PM,,ho17884193,false,true,,,,poll83807781
Benton County,County Clerk,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,Benton County Clerk's Office, 215 East Central Ave,,,Bentonville,AR,72712,08:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,,25,"215 East Central Ave, Bentonville, AR 72712",,08:00 AM - 06:00 PM,,ho17884193,false,true,,,,poll83807781
Benton County,County Clerk,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,Benton County Clerk's Office, 215 East Central Ave,,,Bentonville,AR,72712,10:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,,26,"215 East Central Ave, Bentonville, AR 72712",,10:00 AM - 04:00 PM,,ho17884193,false,true,,,,poll83807781
Benton County,County Clerk,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,Benton County Clerk's Office, 215 East Central Ave,,,Bentonville,AR,72712,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,,27,"215 East Central Ave, Bentonville, AR 72712",,08:00 AM - 05:00 PM,,ho17884193,false,true,,,,poll83807781
Benton County,County Clerk - Rogers,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,1428 W. Walnut St.,,,Rogers,AR ,72712,08:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,,28,"1428 W. Walnut St., Rogers, AR 72712",,08:00 AM - 06:00 PM,,ho4969780,false,true,,,,poll26025197
Benton County,County Clerk - Rogers,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,1428 W. Walnut St.,,,Rogers,AR ,72712,10:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,,29,"1428 W. Walnut St., Rogers, AR 72712",,10:00 AM - 04:00 PM,,ho4969780,false,true,,,,poll26025197
Benton County,County Clerk - Rogers,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,1428 W. Walnut St.,,,Rogers,AR ,72712,08:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,,30,"1428 W. Walnut St., Rogers, AR 72712",,08:00 AM - 06:00 PM,,ho4969780,false,true,,,,poll26025197
Benton County,County Clerk - Rogers,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,1428 W. Walnut St.,,,Rogers,AR ,72712,10:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,,31,"1428 W. Walnut St., Rogers, AR 72712",,10:00 AM - 04:00 PM,,ho4969780,false,true,,,,poll26025197
Benton County,County Clerk - Rogers,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,1428 W. Walnut St.,,,Rogers,AR ,72712,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,,32,"1428 W. Walnut St., Rogers, AR 72712",,08:00 AM - 05:00 PM,,ho4969780,false,true,,,,poll26025197
Benton County,County Clerk - Siloam Spring,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,707 S. Lincoln St., # C,,Siloam Springs,AR,72761,08:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,,33,"707 S. Lincoln St.,  # C, Siloam Springs, AR 72761",,08:00 AM - 06:00 PM,,ho56541808,false,true,,,,poll83018677
Benton County,County Clerk - Siloam Spring,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,707 S. Lincoln St., # C,,Siloam Springs,AR,72761,10:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,,34,"707 S. Lincoln St.,  # C, Siloam Springs, AR 72761",,10:00 AM - 04:00 PM,,ho56541808,false,true,,,,poll83018677
Benton County,County Clerk - Siloam Spring,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,707 S. Lincoln St., # C,,Siloam Springs,AR,72761,08:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,,35,"707 S. Lincoln St.,  # C, Siloam Springs, AR 72761",,08:00 AM - 06:00 PM,,ho56541808,false,true,,,,poll83018677
Benton County,County Clerk - Siloam Spring,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,707 S. Lincoln St., # C,,Siloam Springs,AR,72761,10:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,,36,"707 S. Lincoln St.,  # C, Siloam Springs, AR 72761",,10:00 AM - 04:00 PM,,ho56541808,false,true,,,,poll83018677
Benton County,County Clerk - Siloam Spring,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,707 S. Lincoln St., # C,,Siloam Springs,AR,72761,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,,37,"707 S. Lincoln St.,  # C, Siloam Springs, AR 72761",,08:00 AM - 05:00 PM,,ho56541808,false,true,,,,poll83018677
Benton County,Iberia Bank - Bentonville,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,706 S. Walton Blvd,,,Bentonville,AR,72712,08:30:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,,38,"706 S. Walton Blvd, Bentonville, AR 72712",,08:30 AM - 05:00 PM,,ho71818225,false,true,,,,poll2912177
Benton County,Iberia Bank - Bentonville,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,706 S. Walton Blvd,,,Bentonville,AR,72712,08:30:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,,39,"706 S. Walton Blvd, Bentonville, AR 72712",,08:30 AM - 05:00 PM,,ho71818225,false,true,,,,poll2912177
Benton County,Riordan Hall,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,3 Riordan Rd. ,,,Bella Visa,AR ,72714,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,,40,"3 Riordan Rd., Bella Visa, AR 72714",,08:00 AM - 05:00 PM,,ho18511442,false,true,,,,poll6329575
Benton County,Riordan Hall,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,3 Riordan Rd. ,,,Bella Visa,AR ,72714,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,,41,"3 Riordan Rd., Bella Visa, AR 72714",,08:00 AM - 05:00 PM,,ho18511442,false,true,,,,poll6329575
Benton County,Intrust Bank,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,330 Market St., Suite 130,,Rogers,AR,72758,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,,42,"330 Market St.,  Suite 130, Rogers, AR 72758",,08:00 AM - 05:00 PM,,ho4278293,false,true,,,,poll22316658
Benton County,Intrust Bank,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,330 Market St., Suite 130,,Rogers,AR,72758,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,,43,"330 Market St.,  Suite 130, Rogers, AR 72758",,08:00 AM - 05:00 PM,,ho4278293,false,true,,,,poll22316658
Benton County,Gravette Civic Center,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,401 Charlotte St. SE,,,Gravette,AR,72736,09:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,,44,"401 Charlotte St. SE, Gravette, AR 72736",,09:00 AM - 06:00 PM,,ho7940164,false,true,,,,poll45827819
Benton County,Gravette Civic Center,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,401 Charlotte St. SE,,,Gravette,AR,72736,09:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,,45,"401 Charlotte St. SE, Gravette, AR 72736",,09:00 AM - 06:00 PM,,ho7940164,false,true,,,,poll45827819
Benton County,Rogers / Lowell Chamber of Commerce,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,506 Enterprise Dr. ,,,Lowell,AR,72745,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,,46,"506 Enterprise Dr., Lowell, AR 72745",,08:00 AM - 05:00 PM,,ho30611508,false,true,,,,poll34443286
Benton County,Rogers / Lowell Chamber of Commerce,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,506 Enterprise Dr. ,,,Lowell,AR,72745,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,,47,"506 Enterprise Dr., Lowell, AR 72745",,08:00 AM - 05:00 PM,,ho30611508,false,true,,,,poll34443286
Benton County,Centerton Fire House,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,755 W. Centerton Blvd. ,,,Centerton,AR,72719,09:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,,48,"755 W. Centerton Blvd., Centerton, AR 72719",,09:00 AM - 06:00 PM,,ho9963740,false,true,,,,poll66012437
Benton County,Centerton Fire House,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,755 W. Centerton Blvd. ,,,Centerton,AR,72719,09:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,,49,"755 W. Centerton Blvd., Centerton, AR 72719",,09:00 AM - 06:00 PM,,ho9963740,false,true,,,,poll66012437
Benton County,NEBCO Community Building,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,17823 Marshall St. ,,,Garfield,AR,72732,09:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,,50,"17823 Marshall St., Garfield, AR 72732",,09:00 AM - 06:00 PM,,ho40356597,false,true,,,,poll40131738
Benton County,NEBCO Community Building,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,17823 Marshall St. ,,,Garfield,AR,72732,09:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,,51,"17823 Marshall St., Garfield, AR 72732",,09:00 AM - 06:00 PM,,ho40356597,false,true,,,,poll40131738
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,,414 W. Central Harrison,,,Harrison,AR,72601,08:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm.",52,"414 W. Central Harrison, Harrison, AR 72601",,08:00 AM - 06:00 PM,,ho28930629,false,true,,,,poll15021816
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,,414 W. Central Harrison,,,Harrison,AR,72601,10:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm.",53,"414 W. Central Harrison, Harrison, AR 72601",,10:00 AM - 04:00 PM,,ho28930629,false,true,,,,poll15021816
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,,414 W. Central Harrison,,,Harrison,AR,72601,08:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm.",54,"414 W. Central Harrison, Harrison, AR 72601",,08:00 AM - 06:00 PM,,ho28930629,false,true,,,,poll15021816
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,,414 W. Central Harrison,,,Harrison,AR,72601,10:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm.",55,"414 W. Central Harrison, Harrison, AR 72601",,10:00 AM - 04:00 PM,,ho28930629,false,true,,,,poll15021816
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,,414 W. Central Harrison,,,Harrison,AR,72601,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm.",56,"414 W. Central Harrison, Harrison, AR 72601",,08:00 AM - 05:00 PM,,ho28930629,false,true,,,,poll15021816
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,,101 East Cedar St.,,,Warren,AR,71671,08:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,"MON. - FRI. 8 a.m. - 6 p.m., SAT. 10 a.m. - 4 p.m",57,"101 East Cedar St., Warren, AR 71671",,08:00 AM - 06:00 PM,,ho37539806,false,true,,,,poll63965051
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,,101 East Cedar St.,,,Warren,AR,71671,10:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,"MON. - FRI. 8 a.m. - 6 p.m., SAT. 10 a.m. - 4 p.m",58,"101 East Cedar St., Warren, AR 71671",,10:00 AM - 04:00 PM,,ho37539806,false,true,,,,poll63965051
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,,101 East Cedar St.,,,Warren,AR,71671,08:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,"MON. - FRI. 8 a.m. - 6 p.m., SAT. 10 a.m. - 4 p.m",59,"101 East Cedar St., Warren, AR 71671",,08:00 AM - 06:00 PM,,ho37539806,false,true,,,,poll63965051
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,,101 East Cedar St.,,,Warren,AR,71671,10:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,"MON. - FRI. 8 a.m. - 6 p.m., SAT. 10 a.m. - 4 p.m",60,"101 East Cedar St., Warren, AR 71671",,10:00 AM - 04:00 PM,,ho37539806,false,true,,,,poll63965051
