countyne,sitene,location_ne,address,address2,address3,city,state,zip,directions,voterservices,start_date,end_date,start_time,end_time
Hillsborough County,,Bruton Memorial Library ,302 W McLendon St,,,Plant City,FL,33563,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,C. Blythe Andrews Jr. Public Library ,2607 E Dr. Martin Luther King Jr. Blvd,,,Tpa,FL,33610,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,Fred B. Karl County Center,601 E Kennedy Blvd,,,Tpa,FL,33602,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,Jan Kinis Platt Regional Library ,3910 S Manhattan Ave,,,Tpa,FL,33611,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,Jimmie B. Keel Regional Library ,2902 West Bearss Avenue,,,Tpa,FL,33618,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,Keystone Community Center,17928 Gunn Hwy,,,Odessa,FL,33556,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,New Tpa Regional Library ,10001 Cross Creek Blvd,,,Tpa,FL,33647,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,North Tpa Branch Library ,8916 North Blvd,,,Tpa,FL,33604,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,Riverview Branch Library ,10509 Riverview Dr,,,Riverview,FL,33578,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,Robert L. Gilder Elections Service Center ,2514 N Falkenburg Rd,,,Tpa,FL,33619,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,SouthShore Regional Library ,15816 Beth Shields Way,,,Ruskin,FL,33573,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,Temple Terrace Public Library ,202 Bullard Parkway,,,Temple Terrace,FL,33617,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,Town `N Country Regional Public Library ,"7606 Paula Drive, Suite 120",,,Tpa,FL,33615,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,Upper Tpa Bay Regional Public Library ,11211 Countryway Blvd,,,Tpa,FL,33626,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,West Tpa Branch Library ,2312 W Union St,,,Tpa,FL,33607,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Leon County,,Dr. B.L. Perry Jr. Branch Library,2817 S. Ads Street,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,11/6/16,11/6/16,10:00  - 05:00,18:00 - 05:00
Leon County,,Eastside Branch Library,1583 Pedrick Road,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,11/6/16,11/6/16,10:00  - 05:00,18:00 - 05:00
Leon County,,Fort Braden Branch Library,16327 Blountstown Highway,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,11/6/16,11/6/16,10:00  - 05:00,18:00 - 05:00
Leon County,,Lake Jackson Community Center,3840 N. Monroe Street,Suite 301,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,11/6/16,11/6/16,10:00  - 05:00,18:00 - 05:00
Leon County,,Leon County Courthouse,301 S. Monroe Street,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,11/6/16,11/6/16,08:00  - 05:00,16:00 - 05:00
Leon County,,Northeast Branch Library,5513 Thomasville Road,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,11/6/16,11/6/16,10:00  - 05:00,18:00 - 05:00
Leon County,,Woodville Community Center,8000 Old Woodville Rd,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,11/6/16,11/6/16,10:00  - 05:00,18:00 - 05:00
Bradford County,County Commission Meeting Room,County Commissinon Meeting Room,945 N Temple Ave,,,Starke,FL,32091,,,10/24/16,11/5/16,09:00  - 04:00,18:00 - 04:00
Broward County,,African erican Research Library,2650 Sistrunk Boulevard (NW 6th Street),,,Fort Lauderdale,FL,33306,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Coral Ridge Mall,3200 N. Federal Highway,,,Fort Lauderdale,FL,33306,North or Northwest Entrance,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Davie/ Cooper City Branch Library,4600 SW 82nd Avenue,,,Davie,FL,33328,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Emma Lou Olson Civic Center,1801 NE 6th Street,,,Pompano Beach,FL,33060,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Fort Lauderdale Branch Library/ Art Serve,"1350 E. Sunrise Boulevard, Room 130",,,Fort Lauderdale,FL,33304,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Hallandale Beach Cultural Community Center,410 SE 3rd Street,,,Hallandale Beach,FL,33009,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Hollywood Branch Library,2600 Hollywood Boulevard,,,Hollywood,FL,33020,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Mirar Branch Library,2050 Civic Center Place,,,Mirar,FL,33025,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,North Regional Library/ BC,1100 Coconut Creek Boulevard,,,Coconut Creek,FL,33066,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Northwest Regional Library,3151 University Drive,,,Coral Springs,FL,33065,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Oveta McKeithen Recreational Complex,445 SW 2nd Street,,,Deerfield Beach,FL,33441,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Parkland Recreation and Enrichment Center,10559 Trails End,,,Parkland,FL,33076,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,South Regional Library/ BC,7300 S. Pines Blvd.,,,Pembroke Pines,FL,33024,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Southwest Regional Library,16835 Sheridan Street,,,Pembroke Pines,FL,33331,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Sunrise Senior Center,10650 W. Oakland Park Boulevard,,,Sunrise,FL,33351,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Tarac Branch Library,8701 W. Commercial Boulevard,,,Tarac,FL,33321,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Weston Branch Library,4205 Bonaventure Boulevard,,,Weston,FL,33332,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,West Regional Library,8601 W. Broward Boulevard,,,Plantation,FL,33324,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,,Wilton Manors City Hall,2020 Wilton Drive,,,Wilton Manors,FL,33305,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,Supervisor of Elections` Branch Office,E. Pat Larkins,520 Martin Luther King Boulevard,,,Pompano Beach,FL,33060,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Broward County,Supervisor of Elections` Branch Office,Lauderhill Mall,1519 NW 40th Avenue,,,Lauderhill,FL,33313,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Charlotte County,Charlotte County Historical Courthouse,Charlotte County Historical Courthouse,226 Taylor St,2nd Floor,,Punta Gorda,FL,33950,,www.soe@charlottevotes.com,10/24/16,11/5/16,7:00  - 04:00,19:00 - 04:00
Charlotte County,Mid County Regional Library,Mid County Regional Library,2050 Forrest Nelson Blvd.,,,Port Charlotte,FL,33952,,soe@charlottevotes.com,10/24/16,11/5/16,7:00  - 04:00,19:00 - 04:00
Charlotte County,West County Annex,West County Annex,6868 San Casa Dr.,,,Englewood,FL,34224,,soe@charlottevotes.com,10/24/16,11/5/16,7:00  - 04:00,19:00 - 04:00
Duval County,,Argyle Branch Library,7973 Old Middleburg Rd S,,,Jacksonville,FL,,,duvalelections.com,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Beaches Branch Library,600 3rd St,,,Neptune Beach,FL,32266,,duvalelections.com,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Bradh Brooks Branch Library,1755 Edgewood Ave W,,,Jacksonville,FL,,,http://www.duvalelections.com,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Gateway Town Center,910 W 44th St,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Highlands Regional Library,1826 Dunn Ave,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Legends Community Center,5130 Soutel Dr,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Mandarin Branch Library,3330 Kori Rd,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Murray Hill Branch Library,918 Edgewood Ave S,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Oceanway Community Center,12215 Sago Ave,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Pablo Creek Regional Library,13295 Beach Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Regency Square Branch Library,9900 Regency Square Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,San Marco Branch Library,1513 LaSalle St,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Southeast Regional Library,10599 Deerwood Park Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,South Mandarin Branch Library,12125 San Jose Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Supervisor of Elections Main Office,105 East Monroe St,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,08:00  - 04:00,17:00 - 04:00
Duval County,,University Park Branch Library,3435 University Blvd N,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,Webb Wesconnett Regional Library,6887 103rd St,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Duval County,,West Branch Library,1425 Chaffee Rd S,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Bloomingdale Regional Public Library ,1906 Bloomingdale Ave ,,,Valrico,FL,33596,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Bruton Memorial Library ,302 W McLendon St,,,Plant City,FL,33563,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,C. Blythe Andrews Jr. Public Library ,2607 E Dr. Martin Luther King Jr. Blvd,,,Tpa,FL,33610,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Fred B. Karl County Center,601 E Kennedy Blvd,,,Tpa,FL,33602,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Jan Kinis Platt Regional Library ,3910 S Manhattan Ave,,,Tpa,FL,33611,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Jimmie B. Keel Regional Library ,2902 West Bearss Avenue,,,Tpa,FL,33618,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Keystone Community Center,17928 Gunn Hwy,,,Odessa,FL,33556,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,New Tpa Regional Library ,10001 Cross Creek Blvd,,,Tpa,FL,33647,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,North Tpa Branch Library ,8916 North Blvd,,,Tpa,FL,33604,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Riverview Branch Library ,10509 Riverview Dr,,,Riverview,FL,33578,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Robert L. Gilder Elections Service Center ,2514 N Falkenburg Rd,,,Tpa,FL,33619,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,SouthShore Regional Library ,15816 Beth Shields Way,,,Ruskin,FL,33573,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Temple Terrace Public Library ,202 Bullard Parkway,,,Temple Terrace,FL,33617,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Town `N Country Regional Public Library ,"7606 Paula Drive, Suite 120",,,Tpa,FL,33615,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,Upper Tpa Bay Regional Public Library ,11211 Countryway Blvd,,,Tpa,FL,33626,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Hillsborough County,,West Tpa Branch Library ,2312 W Union St,,,Tpa,FL,33607,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Leon County,,Dr. B.L. Perry Jr. Branch Library,2817 S. Ads Street,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/5/16,10:00  - 04:00,18:00 - 04:00
Leon County,,Eastside Branch Library,1583 Pedrick Road,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/5/16,10:00  - 04:00,18:00 - 04:00
Leon County,,Fort Braden Branch Library,16327 Blountstown Highway,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/5/16,10:00  - 04:00,18:00 - 04:00
Leon County,,Lake Jackson Community Center,3840 N. Monroe Street,Suite 301,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/5/16,10:00  - 04:00,18:00 - 04:00
Leon County,,Leon County Courthouse,301 S. Monroe Street,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Leon County,,Northeast Branch Library,5513 Thomasville Road,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/5/16,10:00  - 04:00,18:00 - 04:00
Leon County,,Woodville Community Center,8000 Old Woodville Rd,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/5/16,10:00  - 04:00,18:00 - 04:00
Alachua County,Millhopper Branch Library,Millhopper Branch Library,3145 NW 43rd Street,Voting in the meeting room,Enter on the south side.,Gainesville,FL,32606,,http://votealachua.com/,10/24/16,11/5/16,09:00  - 04:00,18:00 - 04:00
Alachua County,Supervisor of Elections Office,Supervisor of Elections Office,515 N Main Street,"1st floor, entrance on south side.",,Gainesville,FL,32601,,http://votealachua.com/,10/24/16,11/5/16,09:00  - 04:00,18:00 - 04:00
Alachua County,Tower Road Branch Library,Tower Road Branch Library,3020 SW 75th Street,Voting in the meeting room,Entrance on west side,Gainesville,FL,32608,,http://votealachua.com/,10/24/16,11/5/16,09:00  - 04:00,18:00 - 04:00
Baker County,,Supervisor of Elections Office,"32 N 5th Street, Suite A",,,Macclenny,FL,32063,,,10/24/16,11/5/16,10:00  - 04:00,18:00 - 04:00
Bay County,Lynn Haven City Hall Annex ,Lynn Haven City Hall Annex ,108 E 9th St,,,Lynn Haven,FL,32444,,,10/29/16,11/5/16,07:00  - 05:00,19:00 - 05:00
Bay County,PCB Senior Center ,PCB Senior Center ,423 Lyndell Ln,,,Pana City Beach,FL,32407,,,10/29/16,11/5/16,07:00  - 05:00,19:00 - 05:00
Bay County,Springfield Community Bldg ,Springfield Community Bldg ,3728 E 3rd St ,,,Pana City,FL,32401,,,10/29/16,11/5/16,07:00  - 05:00,19:00 - 05:00
Bay County,Supervisor of Elections Office ,Supervisor of Elections Office ,830 W 11th St,,,Pana City,FL,32401,,,10/29/16,11/5/16,07:00  - 05:00,19:00 - 05:00
Brevard County,Canova Beach,Canova Beach Park Community Center,2289 A1A,,,Indian Harbour Beach,FL,32937,,,11/5/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Brevard County,Central Reference Library,Central Reference Library,308 Forrest Ave,,,Cocoa,FL,32922,,,11/5/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Brevard County,Kiwanis Park,Kiwanis Island Park Pavilion Carlton Room ,951 Kiwanis Island Park RD ,,,Merritt Island,FL,32952,,,11/5/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Brevard County,Max K. Rodes Park,Max K. Rodes Park Community Center ,3410 Flanagan Ave ,,,West Melbourne,FL,32904,,,11/5/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Brevard County,Palm Bay Community Center,Palm Bay (Tony Rosa) Community Center,1502 Port Malabar RD NE,,,Palm Bay,FL,32905,,,11/5/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Brevard County,Palm Bay Elections Office,Palm Bay Elections Office,450 Cogan Dr SE,,,Palm Bay,FL,32909,,,11/5/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Brevard County,Space Coast Association of Realtors,Space Coast Association of Realtors,1450 Sarno RD ,,,Melbourne,FL,32935,,,11/5/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Brevard County,Titusville Elections Office ,Titusville Elections Office ,400 South St ,,,Titusville,FL,32780,,,11/5/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Brevard County,Viera Regional Park,Viera Regional Community Center ,2300 Judge Fran Jieson Way ,,,Viera,FL,32940,,,11/5/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Brevard County,Wickh Park,Wickh Park Community Center,2815 Leisure Way ,,,Melbourne,FL,32935,,,11/5/16,11/5/16,08:00  - 04:00,16:00 - 04:00
Calhoun County,Supervisor of Elections - Main Office,Calhoun County Courthouse,20859 Central Avenue East,Room 117,1st Floor,Blountstown,FL,32424,,www.votecalhoun.com,10/24/16,11/5/16,08:00  - 04:00,17:30 - 04:00
Citrus County,Beverly Hills Library,Central Ridge Library,425 W Roosevelt Blvd,,,Beverly Hills,FL,34465,Corner of Forest Ridge Blvd and Roosevelt Blvd,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Citrus County,Crystal River Supervisor of Elections Office,West Citrus Government Center,1540 N Meadowcrest Blvd,,,Crystal River,FL,34429,Off Hwy 44 and Meadowcrest ,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Citrus County,Homosassa Public Library,Homosassa Public Library,4100 S Grandmarch Ave,,,Homosassa,FL,34446,Grover Cleveland Blvd to Grandmarch Ave,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Citrus County,Inverness City Hall,Inverness Government Center/City Hall,212 W Main St,,,Inverness ,FL,34450,Downtown Inverness next to the Square,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Clay County,Clay County Elections Office,Clay County Elections Office,500 N. Orange Ave,,Training Room 2,Green Cove Springs,FL,32043,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
Clay County,Eagle Landing at Oakleaf Plantation,Eagle Landing at Oakleaf Plantation,3973 Eagle Landing Pkwy,,,Orange Park,FL,32065,,,10/24/16,11/5/16,07:00  - 04:00,19:00 - 04:00
