Spr,Name,ocd-division,division - description,homepage - url,phone,email,name,address1,address2,city,state,zip,start_time,end_time,start_date,end_date,notes
Benton County,County Clerk - Siloam Spring,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,707 S. Lincoln St.,# C,Siloam Springs,AR,72761,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,
Benton County,County Clerk - Siloam Spring,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,707 S. Lincoln St.,# C,Siloam Springs,AR,72761,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,
Benton County,County Clerk - Siloam Spring,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,707 S. Lincoln St.,# C,Siloam Springs,AR,72761,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Benton County,County Clerk - Siloam Spring,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,707 S. Lincoln St.,# C,Siloam Springs,AR,72761,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,
Benton County,County Clerk - Siloam Spring,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,707 S. Lincoln St.,# C,Siloam Springs,AR,72761,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,
Benton County,Iberia Bank - Bentonville,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,706 S. Walton Blvd,,Bentonville,AR,72712,08:30:00 - 05:00,17:00:00 - 05:00,10/24/2016,10/28/2016,
Benton County,Iberia Bank - Bentonville,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,706 S. Walton Blvd,,Bentonville,AR,72712,08:30:00 - 05:00,17:00:00 - 05:00,10/31/2016,11/4/2016,
Benton County,Riordan Hall,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,3 Riordan Rd.,,Bella Visa,AR,72714,08:00:00 - 05:00,17:00:00 - 05:00,10/24/2016,10/28/2016,
Benton County,Riordan Hall,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,3 Riordan Rd.,,Bella Visa,AR,72714,08:00:00 - 05:00,17:00:00 - 05:00,10/31/2016,11/4/2016,
Benton County,Intrust Bank,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,330 Market St.,Suite 130,Rogers,AR,72758,08:00:00 - 05:00,17:00:00 - 05:00,10/24/2016,10/28/2016,
Benton County,Intrust Bank,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,330 Market St.,Suite 130,Rogers,AR,72758,08:00:00 - 05:00,17:00:00 - 05:00,10/31/2016,11/4/2016,
Benton County,Gravette Civic Center,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,401 Charlotte St. SE,,Gravette,AR,72736,09:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,
Benton County,Gravette Civic Center,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,401 Charlotte St. SE,,Gravette,AR,72736,09:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Benton County,Rogers / Lowell Chamber of Commerce,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,506 Enterprise Dr.,,Lowell,AR,72745,08:00:00 - 05:00,17:00:00 - 05:00,10/24/2016,10/28/2016,
Benton County,Rogers / Lowell Chamber of Commerce,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,506 Enterprise Dr.,,Lowell,AR,72745,08:00:00 - 05:00,17:00:00 - 05:00,10/31/2016,11/4/2016,
Benton County,Centerton Fire House,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,755 W. Centerton Blvd.,,Centerton,AR,72719,09:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,
Benton County,Centerton Fire House,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,755 W. Centerton Blvd.,,Centerton,AR,72719,09:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Benton County,NEBCO Community Building,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,17823 Marshall St.,,Garfield,AR,72732,09:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,
Benton County,NEBCO Community Building,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,17823 Marshall St.,,Garfield,AR,72732,09:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,,414 W. Central Harrison,,Harrison,AR,72601,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm."
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,,414 W. Central Harrison,,Harrison,AR,72601,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm."
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,,414 W. Central Harrison,,Harrison,AR,72601,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm."
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,,414 W. Central Harrison,,Harrison,AR,72601,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm."
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,,414 W. Central Harrison,,Harrison,AR,72601,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm."
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,,101 East Cedar St.,,Warren,AR,71671,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"MON. - FRI. 8 a.m. - 6 p.m., SAT. 10 a.m. - 4 p.m"
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,,101 East Cedar St.,,Warren,AR,71671,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,"MON. - FRI. 8 a.m. - 6 p.m., SAT. 10 a.m. - 4 p.m"
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,,101 East Cedar St.,,Warren,AR,71671,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,"MON. - FRI. 8 a.m. - 6 p.m., SAT. 10 a.m. - 4 p.m"
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,,101 East Cedar St.,,Warren,AR,71671,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,"MON. - FRI. 8 a.m. - 6 p.m., SAT. 10 a.m. - 4 p.m"
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,,101 East Cedar St.,,Warren,AR,71671,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,"MON. - FRI. 8 a.m. - 6 p.m., SAT. 10 a.m. - 4 p.m"
Calhoun County,County Clerk,ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,,309 West Main,,Hampton,AR,71744,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"8-6pm M-F, Saturday 10-4pm, until Monday 7th ends at 5pm."
Calhoun County,County Clerk,ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,,309 West Main,,Hampton,AR,71744,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,
Calhoun County,County Clerk,ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,,309 West Main,,Hampton,AR,71744,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Calhoun County,County Clerk,ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,,309 West Main,,Hampton,AR,71744,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,
Calhoun County,County Clerk,ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,,309 West Main,,Hampton,AR,71744,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,,210 West Church St.,,Berryville,AR,72616,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"Split county, so at both courthouses - -  M-F 8-6pm, Saturday 10-4pm, Monday 7th 8-5pm."
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,,210 West Church St.,,Berryville,AR,72616,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,,210 West Church St.,,Berryville,AR,72616,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,,210 West Church St.,,Berryville,AR,72616,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,,210 West Church St.,,Berryville,AR,72616,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,,,,44 S. Main St,,Eureka Springs,AR,72632,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,,,,44 S. Main St,,Eureka Springs,AR,72632,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,,,,44 S. Main St,,Eureka Springs,AR,72632,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,,,,44 S. Main St,,Eureka Springs,AR,72632,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,,,,44 S. Main St,,Eureka Springs,AR,72632,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,
Chicot County,County Clerk,ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,,108 Main St.,,Lake Village,AR,71653,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"8:00 a.m.- 6:00 p.m. Monday -Friday, Saturday 10:00 a.m.-4:00 p.m. and Monday day before election 8:00 a.m.-5:00 p.m."
Chicot County,County Clerk,ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,,108 Main St.,,Lake Village,AR,71653,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,"8:00 a.m.- 6:00 p.m. Monday -Friday, Saturday 10:00 a.m.-4:00 p.m. and Monday day before election 8:00 a.m.-5:00 p.m."
Chicot County,County Clerk,ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,,108 Main St.,,Lake Village,AR,71653,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,"8:00 a.m.- 6:00 p.m. Monday -Friday, Saturday 10:00 a.m.-4:00 p.m. and Monday day before election 8:00 a.m.-5:00 p.m."
Chicot County,County Clerk,ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,,108 Main St.,,Lake Village,AR,71653,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,"8:00 a.m.- 6:00 p.m. Monday -Friday, Saturday 10:00 a.m.-4:00 p.m. and Monday day before election 8:00 a.m.-5:00 p.m."
Chicot County,County Clerk,ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,,108 Main St.,,Lake Village,AR,71653,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,"8:00 a.m.- 6:00 p.m. Monday -Friday, Saturday 10:00 a.m.-4:00 p.m. and Monday day before election 8:00 a.m.-5:00 p.m."
Clark County,County Clerk,ocd-division/country:us/state:ar/county:clark,Clark County AR,,(870) 246-4491,clarkclerk@arkansasclerks.com,,401 Clay St.,,Arkadelphia,AR,71923,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"8am-6pm Oct. 24th thru Nov. 4th, 8am - 5pm on Nov. 7th and 10am-4pm on Sat. Oct. 29th & Nov 5th"
Clark County,County Clerk,ocd-division/country:us/state:ar/county:clark,Clark County AR,,(870) 246-4491,clarkclerk@arkansasclerks.com,,401 Clay St.,,Arkadelphia,AR,71923,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,"8am-6pm Oct. 24th thru Nov. 4th, 8am - 5pm on Nov. 7th and 10am-4pm on Sat. Oct. 29th & Nov 5th"
Clark County,County Clerk,ocd-division/country:us/state:ar/county:clark,Clark County AR,,(870) 246-4491,clarkclerk@arkansasclerks.com,,401 Clay St.,,Arkadelphia,AR,71923,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,"8am-6pm Oct. 24th thru Nov. 4th, 8am - 5pm on Nov. 7th and 10am-4pm on Sat. Oct. 29th & Nov 5th"
Clark County,County Clerk,ocd-division/country:us/state:ar/county:clark,Clark County AR,,(870) 246-4491,clarkclerk@arkansasclerks.com,,401 Clay St.,,Arkadelphia,AR,71923,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,"8am-6pm Oct. 24th thru Nov. 4th, 8am - 5pm on Nov. 7th and 10am-4pm on Sat. Oct. 29th & Nov 5th"
