office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,owner,contacted?,start_time,end_time,start_date,end_date,notes
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,,7:30:00,12:00:00,10/21/16,10/21/16,
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,,7:30:00,16:30:00,10/24/16,10/27/16,
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,,7:30:00,12:00:00,10/28/16,10/28/16,
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,,7:30:00,16:30:00,10/31/16,11/3/16,
Baileyville Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:baileyville,Baileyville Town ME,,(207) 427-3442,,63 Broadway Street,Baileyville,ME,4694,,yes,8:00:00,16:00:00,9/26/16,9/30/16,
Baileyville Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:baileyville,Baileyville Town ME,,(207) 427-3442,,63 Broadway Street,Baileyville,ME,4694,,,8:00:00,16:00:00,10/3/16,10/7/16,
Baileyville Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:baileyville,Baileyville Town ME,,(207) 427-3442,,63 Broadway Street,Baileyville,ME,4694,,,8:00:00,16:00:00,10/10/16,10/14/16,
Baileyville Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:baileyville,Baileyville Town ME,,(207) 427-3442,,63 Broadway Street,Baileyville,ME,4694,,,8:00:00,16:00:00,10/17/16,10/21/16,
Baileyville Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:baileyville,Baileyville Town ME,,(207) 427-3442,,63 Broadway Street,Baileyville,ME,4694,,,8:00:00,16:00:00,10/24/16,10/28/16,
Baileyville Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:baileyville,Baileyville Town ME,,(207) 427-3442,,63 Broadway Street,Baileyville,ME,4694,,,8:00:00,16:00:00,10/31/16,11/3/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,16:00:00,10/7/16,10/7/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,17:00:00,10/10/16,10/10/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,16:00:00,10/11/16,10/11/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,17:00:00,10/12/16,10/12/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,16:00:00,10/13/16,10/14/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,17:00:00,10/17/16,10/17/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,16:00:00,10/18/16,10/18/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,17:00:00,10/19/16,10/19/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,16:00:00,10/20/16,10/21/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,17:00:00,10/24/16,10/24/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,16:00:00,10/25/16,10/25/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,17:00:00,10/26/16,10/26/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,16:00:00,10/27/16,10/28/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,17:00:00,10/31/16,10/31/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,16:00:00,11/1/16,11/1/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,17:00:00,11/2/16,11/2/16,
Benedicta Township,Municipal Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,4776,,,8:00:00,16:00:00,11/3/16,11/3/16,
Bingham Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:bingham,Bingham Town ME,,(207) 672-6489,,321 Main Street,Bingham,ME,4920,,yes,9:00:00,17:00:00,9/26/16,9/30/16,
Bingham Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:bingham,Bingham Town ME,,(207) 672-6489,,321 Main Street,Bingham,ME,4920,,,9:00:00,17:00:00,10/3/16,10/7/16,
Bingham Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:bingham,Bingham Town ME,,(207) 672-6489,,321 Main Street,Bingham,ME,4920,,,9:00:00,17:00:00,10/10/16,10/14/16,
Bingham Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:bingham,Bingham Town ME,,(207) 672-6489,,321 Main Street,Bingham,ME,4920,,,9:00:00,17:00:00,10/17/16,10/21/16,
Bingham Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:bingham,Bingham Town ME,,(207) 672-6489,,321 Main Street,Bingham,ME,4920,,,9:00:00,17:00:00,10/24/16,10/28/16,
Bingham Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:bingham,Bingham Town ME,,(207) 672-6489,,321 Main Street,Bingham,ME,4920,,,9:00:00,17:00:00,10/31/16,11/4/16,
Bingham Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:bingham,Bingham Town ME,,(207) 672-6489,,321 Main Street,Bingham,ME,4920,,,9:00:00,17:00:00,11/7/16,11/7/16,
Blue Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:blue_hill,Blue Hill Town ME,,(207) 374-2281,,18 Union Street,Blue Hill,ME,4614,,yes,8:00:00,16:00:00,10/7/16,10/7/16,
Blue Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:blue_hill,Blue Hill Town ME,,(207) 374-2281,,18 Union Street,Blue Hill,ME,4614,,,8:00:00,16:00:00,10/10/16,10/14/16,
Blue Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:blue_hill,Blue Hill Town ME,,(207) 374-2281,,18 Union Street,Blue Hill,ME,4614,,,8:00:00,16:00:00,10/17/16,10/21/16,
Blue Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:blue_hill,Blue Hill Town ME,,(207) 374-2281,,18 Union Street,Blue Hill,ME,4614,,,8:00:00,16:00:00,10/24/16,10/28/16,
Blue Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:blue_hill,Blue Hill Town ME,,(207) 374-2281,,18 Union Street,Blue Hill,ME,4614,,,8:00:00,16:00:00,10/31/16,11/4/16,
Blue Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:blue_hill,Blue Hill Town ME,,(207) 374-2281,,18 Union Street,Blue Hill,ME,4614,,,8:00:00,16:00:00,11/7/16,11/7/16,
Boothbay Harbor Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:boothbay_harbor,Boothbay Harbor Town ME,,(207) 633-2051,,1011 Wiscasset Road,Boothbay,ME,4537,,yes,20:30:00,16:30:00,10/7/16,10/7/16,
Boothbay Harbor Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:boothbay_harbor,Boothbay Harbor Town ME,,(207) 633-2051,,1011 Wiscasset Road,Boothbay,ME,4537,,,20:30:00,16:30:00,10/10/16,10/14/16,
Boothbay Harbor Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:boothbay_harbor,Boothbay Harbor Town ME,,(207) 633-2051,,1011 Wiscasset Road,Boothbay,ME,4537,,,20:30:00,16:30:00,10/17/16,10/21/16,
Boothbay Harbor Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:boothbay_harbor,Boothbay Harbor Town ME,,(207) 633-2051,,1011 Wiscasset Road,Boothbay,ME,4537,,,20:30:00,16:30:00,10/24/16,10/28/16,
Boothbay Harbor Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:boothbay_harbor,Boothbay Harbor Town ME,,(207) 633-2051,,1011 Wiscasset Road,Boothbay,ME,4537,,,20:30:00,16:30:00,10/31/16,11/3/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,yes,8:30:00,16:30:00,10/7/16,10/7/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,8:30:00,16:30:00,10/10/16,10/11/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,11:30:00,19:30:00,10/12/16,10/12/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,8:30:00,16:30:00,10/13/16,10/14/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,8:30:00,16:30:00,10/17/16,10/18/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,11:30:00,19:30:00,10/19/16,10/19/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,8:30:00,16:30:00,10/20/16,10/21/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,8:30:00,16:30:00,10/24/16,10/25/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,11:30:00,19:30:00,10/26/16,10/26/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,8:30:00,16:30:00,10/27/16,10/28/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,8:30:00,16:30:00,10/31/16,11/1/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,11:30:00,19:30:00,11/2/16,11/2/16,
Brooklin Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,4616,,,8:30:00,16:30:00,11/3/16,11/3/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,yes,8:30:00,16:30:00,10/7/16,10/7/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,8:30:00,16:30:00,10/10/16,10/11/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,11:30:00,19:30:00,10/12/16,10/12/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,8:30:00,16:30:00,10/13/16,10/14/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,8:30:00,16:30:00,10/17/16,10/18/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,11:30:00,19:30:00,10/19/16,10/19/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,8:30:00,16:30:00,10/20/16,10/21/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,8:30:00,16:30:00,10/24/16,10/25/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,11:30:00,19:30:00,10/26/16,10/26/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,8:30:00,16:30:00,10/27/16,10/28/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,8:30:00,16:30:00,10/31/16,11/1/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,11:30:00,19:30:00,11/2/16,11/2/16,
Buxton Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,4093,,,8:30:00,16:30:00,11/3/16,11/3/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,yes,7:30:00,16:00:00,10/7/16,10/7/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,16:00:00,10/10/16,10/10/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,18:00:00,10/12/16,10/12/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,16:00:00,10/13/16,10/14/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,16:00:00,10/17/16,10/17/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,18:00:00,10/19/16,10/19/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,16:00:00,10/20/16,10/21/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,16:00:00,10/24/16,10/24/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,18:00:00,10/26/16,10/26/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,16:00:00,10/27/16,10/28/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,16:00:00,10/31/16,10/31/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,18:00:00,11/2/16,11/2/16,
Dover-Foxcroft Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,4426,,,7:30:00,16:00:00,11/3/16,11/3/16,
Eddington Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:eddington,Eddington Town ME,,(207) 843-5233,,906 Main Road,Eddington,ME,4428,,yes,7:30:00,16:00:00,9/23/16,9/23/16,
Eddington Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:eddington,Eddington Town ME,,(207) 843-5233,,906 Main Road,Eddington,ME,4428,,,7:30:00,16:00:00,9/26/16,9/30/16,
Eddington Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:eddington,Eddington Town ME,,(207) 843-5233,,906 Main Road,Eddington,ME,4428,,,7:30:00,16:00:00,10/3/16,10/7/16,
Eddington Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:eddington,Eddington Town ME,,(207) 843-5233,,906 Main Road,Eddington,ME,4428,,,7:30:00,16:00:00,10/10/16,10/14/16,
Eddington Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:eddington,Eddington Town ME,,(207) 843-5233,,906 Main Road,Eddington,ME,4428,,,7:30:00,16:00:00,10/17/16,10/21/16,
Eddington Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:eddington,Eddington Town ME,,(207) 843-5233,,906 Main Road,Eddington,ME,4428,,,7:30:00,16:00:00,10/24/16,10/28/16,
Eddington Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:eddington,Eddington Town ME,,(207) 843-5233,,906 Main Road,Eddington,ME,4428,,,7:30:00,16:00:00,10/31/16,11/3/16,
Fayette Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fayette,Fayette Town ME,,(207) 685-4373,,2589 Main Street,Fayette,ME,4349,,yes,7:00:00,16:30:00,10/10/16,10/12/16,
Fayette Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fayette,Fayette Town ME,,(207) 685-4373,,2589 Main Street,Fayette,ME,4349,,,7:30:00,6:30:00,10/13/16,10/13/16,
Fayette Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fayette,Fayette Town ME,,(207) 685-4373,,2589 Main Street,Fayette,ME,4349,,,7:00:00,16:30:00,10/17/16,10/19/16,
Fayette Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fayette,Fayette Town ME,,(207) 685-4373,,2589 Main Street,Fayette,ME,4349,,,7:30:00,6:30:00,10/20/16,10/20/16,
Fayette Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fayette,Fayette Town ME,,(207) 685-4373,,2589 Main Street,Fayette,ME,4349,,,7:00:00,16:30:00,10/24/16,10/26/16,
Fayette Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fayette,Fayette Town ME,,(207) 685-4373,,2589 Main Street,Fayette,ME,4349,,,7:30:00,6:30:00,10/27/16,10/27/16,
Fayette Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fayette,Fayette Town ME,,(207) 685-4373,,2589 Main Street,Fayette,ME,4349,,,7:00:00,16:30:00,10/31/16,11/2/16,
Fayette Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fayette,Fayette Town ME,,(207) 685-4373,,2589 Main Street,Fayette,ME,4349,,,7:30:00,6:30:00,11/3/16,11/3/16,
Fort Fairfield Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fort_fairfield,Fort Fairfield Town ME,,(207) 472-3800,,18 Community Center Drive,Fort Fairfield,ME,4742,,,7:00:00,16:30:00,10/7/16,10/7/16,
Fort Fairfield Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fort_fairfield,Fort Fairfield Town ME,,(207) 472-3800,,18 Community Center Drive,Fort Fairfield,ME,4742,,,7:00:00,16:30:00,10/10/16,10/14/16,
Fort Fairfield Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fort_fairfield,Fort Fairfield Town ME,,(207) 472-3800,,18 Community Center Drive,Fort Fairfield,ME,4742,,,7:00:00,16:30:00,10/17/16,10/21/16,
Fort Fairfield Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fort_fairfield,Fort Fairfield Town ME,,(207) 472-3800,,18 Community Center Drive,Fort Fairfield,ME,4742,,,7:00:00,16:30:00,10/24/16,10/28/16,
Fort Fairfield Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:fort_fairfield,Fort Fairfield Town ME,,(207) 472-3800,,18 Community Center Drive,Fort Fairfield,ME,4742,,,7:00:00,16:30:00,10/31/16,11/3/16,
