office-name,official-title,ocd-division,homepage-url,phone,email,street,city,state,zip,start time,end time,start_date,end_date
Berlin City,City Clerk,ocd-division/country:us/state:nh/place:berlin,www.berlinnh.gov,(603) 752-2340,dpatrick@berlinnh.gov,593 Sullivan St,Berlin,NH,3570,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Bethlehem Town,Town Clerk,ocd-division/country:us/state:nh/place:bethlehem,bethlehemnh.org,(603) 869-2293,townclerk@bethlehemnh.org,"Bethlehem Town Hall, 2155 Main Street",Bethlehem,NH,3574,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Boscawen Town,Town Clerk,ocd-division/country:us/state:nh/place:boscawen,http://www.townofboscawen.org,(603) 753-9188,mbrochu@townofboscawen.org,"Town Hall, 12 High Street",Boscawen,NH,3303,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Bow Town,Town Clerk,ocd-division/country:us/state:nh/place:bow,www.bow-nh.gov,(603) 228-1187,townclerk@bow-nh.gov,"Bow Memorial School, 20 Bow Center Road",Bow,NH,3304,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Bradford Town,Town Clerk,ocd-division/country:us/state:nh/place:bradford,www.bradfordnh.org,(603) 938-2288,tc@bradfordnh.org,75 West Main St.,Bradford,NH,3221,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Brentwood Town,Town Clerk,ocd-division/country:us/state:nh/place:brentwood,www.brentwoodnh.gov,(603) 642-6400,townclerk@brentwoodnh.gov,190 RT 125 ,Brentwood,NH,3833,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Bridgewater Town,Town Clerk,ocd-division/country:us/state:nh/place:bridgewater,http://www.bridgewater-nh.com,(603) 968-7911,cmkenny@plymouth.edu,297 Mayhew Turnpike,Bridgewater,NH,3264,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Bristol Town,Town Clerk,ocd-division/country:us/state:nh/place:bristol,www.townofbristolnh.org,(603) 744-3354,rsimpson@townofbristolnh.org,Marion Center; 17 West Shore Road,Bristol,NH,3222,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Brookfield Town,Town Clerk,ocd-division/country:us/state:nh/place:brookfield,www.brookfieldnh.org,(603) 522-3688,brookfieldnhtc@hotmail.com,267 Wentworth Rd,Brookfield,NH,3872,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Brookline Town,Town Clerk,ocd-division/country:us/state:nh/place:brookline,http://www.brookline.nh.us/,(603) 673-8855,patti@brookline.nh.us,"Captain Samuel Douglass Academy, 24 Townsend Hill Road ",Brookline,NH,3033,07:00:00 - 05:00,19:30:00 - 05:00,11-08-16,11-08-16
Cambridge Township,Town Clerk,ocd-division/country:us/state:nh/place:cambridge,,(603) 482-3351,erroltownclerk@gmail.com,33 Main St,Cambridge,NH,3579,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Campton Town,Town Clerk,ocd-division/country:us/state:nh/place:campton,www.camptonnh.org,(603) 726-3223,toc.hj@camptonnh.org,12 Gearty Way,Campton,NH,3223,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Canaan Town,Town Clerk,ocd-division/country:us/state:nh/place:canaan,www.canaannh.org,(603) 523-7106,vmcalister@canaannh.org,18 Orange Road,Canaan,NH,3741,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Candia Town,Town Clerk,ocd-division/country:us/state:nh/place:candia,www.candianh.org,(603) 483-5573,cdupere@townofcandia.org,12 Deerfield Rd,Candia,NH,3034,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Canterbury Town,Town Clerk,ocd-division/country:us/state:nh/place:canterbury,www.canterbury-nh.org,(603) 783-0153,bbynum@canterbury-nh.org,11 Center Rd ,Canterbury,NH,3224,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Carroll Town,Town Clerk,ocd-division/country:us/state:nh/place:carroll,,(603) 846-5494,townclerk@townofcarroll.org,92 School Street,Twin Mountain,NH,3595,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Center Harbor Town,Town Clerk,ocd-division/country:us/state:nh/place:center_harbor,www.centerharbornh.org,(603) 253-4561,chtownclerk@metrocast.net,36 Main Street,Center Harbor,NH,3226,08:00:00 - 05:00 ,19:00:00 - 05:00,11-08-16,11-08-16
Charlestown Town,Town Clerk,ocd-division/country:us/state:nh/place:charlestown,www.charlestown-nh.gov,(603) 826-5821,deb@charlestown-nh.gov,26 Railroad St,Charlestown,NH,3603,08:00:00 - 05:00 ,19:00:00 - 05:00,11-08-16,11-08-16
Chatham Town,Town Clerk,ocd-division/country:us/state:nh/place:chatham,,(603) 694-2043,mpitman@fairpoint.net,1071 Main Rd ,Chatham,NH,3813,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Chester Town,Town Clerk,ocd-division/country:us/state:nh/place:chester,www.chesternh.org,(603) 887-3636,chester9@gsinet.net,84 Chester Street,Chester,NH,3036,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Chesterfield Town,Town Clerk,ocd-division/country:us/state:nh/place:chesterfield,www.nhchesterfield.com,(603) 363-8071,chesterfieldtownclerk@yahoo.com,"Chesterfield Town Hall, 518 Route 63",Chesterfield,NH,3443,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Chichester Town,Town Clerk,ocd-division/country:us/state:nh/place:chichester,www.chichesternh.org,(603) 798-5808,townclerk@chichesternh.org,54 Main Street,Chichester,NH,3258,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Claremont City,City Clerk,ocd-division/country:us/state:nh/place:claremont,www.claremontnh.com,(603) 542-7003,cityclerk@claremontnh.com,"Claremont Middle School, 107 South St",Claremont,NH,3743,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Claremont City,City Clerk,ocd-division/country:us/state:nh/place:claremont,www.claremontnh.com,(603) 542-7003,cityclerk@claremontnh.com,"Disnard Middle School, 160 Hanover St.",Claremont,NH,3743,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Clarksville Town,Town Clerk,ocd-division/country:us/state:nh/place:clarksville,,(603) 246-7751,twnclark@yahoo.com,408 Nh Route 145,Clarksville,NH,3592,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Colebrook Town,Town Clerk,ocd-division/country:us/state:nh/place:colebrook,www.colebrook-nh.com,(603) 237-5200,sbeauchemin@myfairpoint.net,27 Dumont St,Colebrook,NH,3576,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Columbia Town,Town Clerk,ocd-division/country:us/state:nh/place:columbia,www.columbianh.org,(603) 237-5255,towncolumbia@myfairpoint.net,1919 US RT 3,Columbia,NH,3576,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Concord City,City Clerk,ocd-division/country:us/state:nh/place:concord,www.concordnh.gov,(603) 225-8500,cityclerk@concordnh.gov,9 Bonney Street,Penacook,NH,3303,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Concord City,City Clerk,ocd-division/country:us/state:nh/place:concord,www.concordnh.gov,(603) 225-8500,cityclerk@concordnh.gov,"West Congregational Church, 499 North State Street",Concord,NH,3301,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Concord City,City Clerk,ocd-division/country:us/state:nh/place:concord,www.concordnh.gov,(603) 225-8500,cityclerk@concordnh.gov,1 Beaver Meadow Street,Concord,NH,3301,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Concord City,City Clerk,ocd-division/country:us/state:nh/place:concord,www.concordnh.gov,(603) 225-8500,cityclerk@concordnh.gov,55 Bradley Street,Concord,NH,3301,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Concord City,City Clerk,ocd-division/country:us/state:nh/place:concord,www.concordnh.gov,(603) 225-8500,cityclerk@concordnh.gov,"Green Street Community Center, 39 Green Street",Concord,NH,3301,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Concord City,City Clerk,ocd-division/country:us/state:nh/place:concord,www.concordnh.gov,(603) 225-8500,cityclerk@concordnh.gov,72 S Main St,Concord,NH,3301,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Concord City,City Clerk,ocd-division/country:us/state:nh/place:concord,www.concordnh.gov,(603) 225-8500,cityclerk@concordnh.gov,41 West Street,Concord,NH,3301,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Concord City,City Clerk,ocd-division/country:us/state:nh/place:concord,www.concordnh.gov,(603) 225-8500,cityclerk@concordnh.gov,189 Pembroke Road,Concord,NH,3301,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Concord City,City Clerk,ocd-division/country:us/state:nh/place:concord,www.concordnh.gov,(603) 225-8500,cityclerk@concordnh.gov,33 Christian Avenue,Concord,NH,3301,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Concord City,City Clerk,ocd-division/country:us/state:nh/place:concord,www.concordnh.gov,(603) 225-8500,cityclerk@concordnh.gov,"Broken Ground Elementary School, 123 Portsmouth Street",Concord,NH,3301,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Conway Town,Town Clerk,ocd-division/country:us/state:nh/place:conway,www.conwaynh.org,(603) 447-3811,rquint@conwaynh.org,409 Eagle's Way,North Conway,NH,3860,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Cornish Town,Town Clerk,ocd-division/country:us/state:nh/place:cornish,www.cornishnh.net,(603) 675-5207,cornishtownclerk@comcast.net,994 Town House Rd,Cornish,NH,3745,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Croydon Town,Town Clerk,ocd-division/country:us/state:nh/place:croydon,,(603) 863-7830,croydon@myfairpoint.net,879 Nh Rte 10,Croydon,NH,3773,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Dalton Town,Town Clerk,ocd-division/country:us/state:nh/place:dalton,http://www.townofdalton.com/,(603) 837-2092,town.clerk@townofdalton.com,756 Dalton Road,Dalton,NH,3598,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Danbury Town,Town Clerk,ocd-division/country:us/state:nh/place:danbury,www.townofdanburynh.com,(603) 768-5448,danburyclerk@comcast.net,23 High St,Danbury,NH,3230,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Danville Town,Town Clerk,ocd-division/country:us/state:nh/place:danville,www.townofdanville.org,(603) 382-8253,ctracy@townofdanville.org,169 Main St,Danville,NH,3819,08:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Deerfield Town,Town Clerk,ocd-division/country:us/state:nh/place:deerfield,www.townofdeerfieldnh.com,(603) 463-8811,twn@townofdeerfieldnh.com,10 Church St,Deerfield,NH,3037,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Deering Town,Town Clerk,ocd-division/country:us/state:nh/place:deering,www.deering.nh.us,(603) 464-3224,townclerk@deering.nh.us,762 Deering Center Road,Deering,NH,3244,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Derry Town,Town Clerk,ocd-division/country:us/state:nh/place:derry,www.derrynh.org,(603) 432-6105,townclerk@derrynh.org,14 Manning Street,Derry,NH,3038,07:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Derry Town,Town Clerk,ocd-division/country:us/state:nh/place:derry,www.derrynh.org,(603) 432-6105,townclerk@derrynh.org,5 Hood Rd,Derry,NH,3038,07:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Derry Town,Town Clerk,ocd-division/country:us/state:nh/place:derry,www.derrynh.org,(603) 432-6105,townclerk@derrynh.org,145 Hampstead Rd,Derry,NH,3038,07:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Derry Town,Town Clerk,ocd-division/country:us/state:nh/place:derry,www.derrynh.org,(603) 432-6105,townclerk@derrynh.org,1 West Running Brook Ln,Derry,NH,3038,07:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Dixville Township,Town Clerk,ocd-division/country:us/state:nh/place:dixville,,(603) 255-3851,debtt@tango175.com,1 Wilderness Road,Dixville,NH,3576,12:00:00 - 05:00,12:05:00 - 05:00,11-08-16,11-08-16
Dorchester Town,Town Clerk,ocd-division/country:us/state:nh/place:dorchester,townofdorchester.net,(603) 786-9476,town.clerk@townofdorchester.net,24 Town House Rd,Dorchester,NH,3266,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Dover City,Town Clerk,ocd-division/country:us/state:nh/place:dover,www.dover.nh.gov,(603) 516-6018,k.lavertu@dover.nh.gov,"Church Hall, 21 Chestnut St",Dover,NH,3820,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Dover City,Town Clerk,ocd-division/country:us/state:nh/place:dover,www.dover.nh.gov,(603) 516-6018,k.lavertu@dover.nh.gov,"Congregational Church, 218 Central Ave",Dover,NH,3820,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Dover City,Town Clerk,ocd-division/country:us/state:nh/place:dover,www.dover.nh.gov,(603) 516-6018,k.lavertu@dover.nh.gov,"Langdon Place, 60 Middle Rd",Dover,NH,3820,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Dover City,Town Clerk,ocd-division/country:us/state:nh/place:dover,www.dover.nh.gov,(603) 516-6018,k.lavertu@dover.nh.gov,"Elks Lodge, 282 Durham Rd",Dover,NH,3820,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Dover City,Town Clerk,ocd-division/country:us/state:nh/place:dover,www.dover.nh.gov,(603) 516-6018,k.lavertu@dover.nh.gov,"Saint John's Methodist Church, 28 Cataract Ave",Dover,NH,3820,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Dover City,Town Clerk,ocd-division/country:us/state:nh/place:dover,www.dover.nh.gov,(603) 516-6018,k.lavertu@dover.nh.gov,276 County Farm Rd,Dover,NH,3820,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Dublin Town,Town Clerk,ocd-division/country:us/state:nh/place:dublin,www.townofdublin.org,(603) 563-8859,townclerk@townofdublin.org,1120 Main Street,Dublin,NH,3444,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Dummer Town,Town Clerk,ocd-division/country:us/state:nh/place:dummer,www.dummernh.org,(603) 449-2006,townofdummer@gmail.com,75 Hill Road,Dummer,NH,3588,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Dunbarton Town,Town Clerk,ocd-division/country:us/state:nh/place:dunbarton,http://dunbartonnh.org,(603) 774-3547,townclerk@dunbartonnh.org,20 Robert Rogers Rd,Dunbarton,NH,3046,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Durham Town,Town Clerk,ocd-division/country:us/state:nh/place:durham,http://www.ci.durham.nh.us,(603) 868-5577,lpitt@ci.durham.nh.us,"Oyster River High School, 55 Coe Dr",Durham,NH,3824,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
East Kingston Town,Town Clerk,ocd-division/country:us/state:nh/place:east_kingston,www.eknh.org,(603) 642-8794,ektctc@myfairpoint.net,"East Kingston Elementary School, 5 Andrews Lane",East Kingston,NH,3827,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Easton Town,Town Clerk,ocd-division/country:us/state:nh/place:easton,townofeastonnh.org,(603) 823-8017,eastontownclerk@aaahawk.com,1060 Easton Valley Road,Easton,NH,3580,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Eaton Town,Town Clerk,ocd-division/country:us/state:nh/place:eaton,http://eatonnh.org,(603) 447-2840,eatonnhtc@gmail.com,83 Brownfield Rd,Eaton,NH,3832,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Effingham Town,Town Clerk,ocd-division/country:us/state:nh/place:effingham,effinghamnh.net,(603) 539-7551,townclerk.taxcollector@effinghamnh.net,6 Partridge Cove Road,Effingham,NH,3882,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Ellsworth Town,Town Clerk,ocd-division/country:us/state:nh/place:ellsworth,,(603) 726-3551,dob7159@gmail.com,3 Ellsworth Pond Rd,Ellsworth,NH,3223,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Enfield Town,Town Clerk,ocd-division/country:us/state:nh/place:enfield,www.enfield.nh.us,(603) 632-4201,ceisener@enfield.nh.us,23 Main Street,Enfield,NH,3748,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Epping Town,Town Clerk,ocd-division/country:us/state:nh/place:epping,www.townofepping.com,(603) 679-8288,clerkandtax@townofepping.com,"Epping Middle School, 33 Prescott Road",Epping,NH,3042,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Epsom Town,Town Clerk,ocd-division/country:us/state:nh/place:epsom,www.epsomnh.org,(603) 736-4825,dawnepsom@metrocast.net,"Epsom Central School, 282 Black Hall Rd",Epsom,NH,3234,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Errol Town,Town Clerk,ocd-division/country:us/state:nh/place:errol,,(603) 482-3351,erroltownclerk@gmail.com,Errol Town Hall 33 Main Street,Errol,NH,3579,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Exeter Town,Town Clerk,ocd-division/country:us/state:nh/place:exeter,www.exeternh.gov,(603) 778-0591,akohler@exeternh.gov,"Seacoast School of Technology in the Talbot Gym, 30 Linden Street",Exeter,NH,3833,07:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Farmington Town,Town Clerk,ocd-division/country:us/state:nh/place:farmington,www.farmington.nh.us,(603) 755-3657,tctc@metrocast.net,531 Main Street,Farmington,NH,3835,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Fitzwilliam Town,Town Clerk,ocd-division/country:us/state:nh/place:fitzwilliam,www.fitzwilliam-nh.gov,(603) 585-7214,fitzclerk@fitzwilliam-nh.gov,13 Templeton Tnpk,Fitzwilliam,NH,3447,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Francestown Town,Town Clerk,ocd-division/country:us/state:nh/place:francestown,www.francestown-nh.gov,(603) 547-6251,townclerk@francestownnh.org,27 Main Street,Francestown,NH,3043,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Franconia Town,Town Clerk,ocd-division/country:us/state:nh/place:franconia,www.franconianh.org,(603) 823-5237,townclerk@franconianh.org,421 Main Street,Franconia,NH,3580,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Franklin City,City Clerk,ocd-division/country:us/state:nh/place:franklin,www.franklinnh.org,(603) 934-3109,kgargano@franklinnh.org,316 Central Street,Franklin,NH,3235,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Franklin City,City Clerk,ocd-division/country:us/state:nh/place:franklin,www.franklinnh.org,(603) 934-3109,kgargano@franklinnh.org,"Thompson Hall, 24 S Main St.",Franklin,NH,3235,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Franklin City,City Clerk,ocd-division/country:us/state:nh/place:franklin,www.franklinnh.org,(603) 934-3109,kgargano@franklinnh.org,"Franklin Middle School, 200 Sandborn St. ",Franklin,NH,3235,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Freedom Town,Town Clerk,ocd-division/country:us/state:nh/place:freedom,www.townoffreedom.net,(603) 539-8269,freedomtownclerk@yahoo.com,16 Elm St ,Freedom,NH,3836,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Fremont Town,Town Clerk,ocd-division/country:us/state:nh/place:fremont,www.fremont.nh.gov,(603) 895-8693,fremontclerk@comcast.net,"Ellis Gymnasium, 432 Main St",Fremont,NH,3044,07:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Gilford Town,Town Clerk,ocd-division/country:us/state:nh/place:gilford,http://www.gilfordnh.org,(603) 527-4713,dgonyer@gilfordnh.org,19 Potter Hill Rd,Gilford,NH,3249,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Gilmanton Town,Town Clerk,ocd-division/country:us/state:nh/place:gilmanton,www.gilmantonnh.org,(603) 267-6726,tctx@gilmantonnh.org,503 Province Road,Gilmanton,NH,3237,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Gilsum Town,Town Clerk,ocd-division/country:us/state:nh/place:gilsum,,(603) 357-0320,robin03448@gmail.com,640 Route 10,Gilsum,NH,3448,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Goffstown Town,Town Clerk,ocd-division/country:us/state:nh/place:goffstown,www.goffstown.com,(603) 497-8990,cball@goffstownnh.gov,16 Main Street,Goffstown,NH,3045,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Gorham Town,Town Clerk,ocd-division/country:us/state:nh/place:gorham,www.gorhamnh.org,(603) 466-2744,cporter@gorhamnh.org,20 Park Street,Gorham,NH,3581,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Goshen Town,Town Clerk,ocd-division/country:us/state:nh/place:goshen,www.goshennh.org,(603) 863-5655,townofgoshen@goshennh.org,54 Mill Village Rd N,Goshen,NH,3752,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Grafton Town,Town Clerk,ocd-division/country:us/state:nh/place:grafton,www.townofgraftonnh.com,(603) 523-7270,graftontc2008@hotmail.com,10 Library Road,Grafton,NH,3240,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
