ocd-division,email,County,Location Name,Address 1,Address 2,City,State,coZip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 6:00,17:00:00 - 6:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 7:00,16:30:00 - 7:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 6:00,16:30:00 - 6:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 6:00,17:00:00 - 6:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 6:00,17:00:00 - 6:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 6:00,17:00:00 - 6:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 7:00,17:00:00 - 7:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,12:00:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,12:00:00 - 5:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,12:00:00 - 5:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,12:00:00 - 5:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,12:00:00 - 5:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,12:00:00 - 5:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,12:00:00 - 5:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 6:00,12:00:00 - 5:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,12:30:00 - 5:00,16:30:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,12:30:00 - 5:00,16:30:00 - 5:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,12:30:00 - 5:00,16:30:00 - 5:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,12:30:00 - 5:00,16:30:00 - 5:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,12:30:00 - 5:00,16:30:00 - 5:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,12:30:00 - 5:00,16:30:00 - 5:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,12:30:00 - 5:00,16:30:00 - 5:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,12:30:00 - 5:00,16:30:00 - 6:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 5:00,16:30:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 5:00,16:30:00 - 5:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 5:00,16:30:00 - 5:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 5:00,16:30:00 - 5:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 5:00,16:30:00 - 5:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 5:00,16:30:00 - 5:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 5:00,16:30:00 - 5:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 6:00,16:30:00 - 6:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,13:00:00 - 5:00,17:00:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,12:30:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,17:00:00 - 5:00,9/26/16,9/29/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,13:00:00 - 5:00,17:00:00 - 5:00,9/30/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,12:30:00 - 5:00,9/30/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,17:00:00 - 5:00,10/3/16,10/6/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,13:00:00 - 5:00,17:00:00 - 5:00,10/7/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,12:30:00 - 5:00,10/7/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,17:00:00 - 5:00,10/11/16,10/13/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,13:00:00 - 5:00,17:00:00 - 5:00,10/14/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,12:30:00 - 5:00,10/14/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,17:00:00 - 5:00,10/17/16,10/20/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,13:00:00 - 5:00,17:00:00 - 5:00,10/21/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,12:30:00 - 5:00,10/21/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,17:00:00 - 5:00,10/24/16,10/27/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,13:00:00 - 5:00,17:00:00 - 5:00,10/28/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,12:30:00 - 5:00,10/28/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:clark,,Clark County,Clark County Courthouse,200 Commercial Street,2nd Floor,Clark,SD,57225,7:30:00 - 5:00,17:00:00 - 5:00,10/31/16,11/3/16,FALSE,FALSE,FALSE,FALSE
