office_name,title,ocd_division,description,homepage,phone,email,loc_name,street,city,state,zip,start_time,end_time,start_date,end_date,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Custer County,County Clerk,ocd-division/country:us/state:ok/county:custer,Custer County OK,,580-323-5124,,,633 N 6th St,Clinton,OK,73601,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,45,,"633 N 6th St, Clinton, OK 73601",,08:00 AM - 06:00 PM,,ho24373049,false,true,,,,poll30295774
Custer County,County Clerk,ocd-division/country:us/state:ok/county:custer,Custer County OK,,580-323-5124,,,633 N 6th St,Clinton,OK,73601,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,46,,"633 N 6th St, Clinton, OK 73601",,09:00 AM - 02:00 PM,,ho24373049,false,true,,,,poll30295774
Delaware County,County Clerk,ocd-division/country:us/state:ok/county:delaware,Delaware County OK,,918-253-8762,,,225 S 5th St,Henryetta,OK,74437,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,47,,"225 S 5th St, Henryetta, OK 74437",,08:00 AM - 06:00 PM,,ho50094942,false,true,,,,poll50693548
Delaware County,County Clerk,ocd-division/country:us/state:ok/county:delaware,Delaware County OK,,918-253-8762,,,225 S 5th St,Henryetta,OK,74437,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,48,,"225 S 5th St, Henryetta, OK 74437",,09:00 AM - 02:00 PM,,ho50094942,false,true,,,,poll50693548
Dewey County,County Clerk,ocd-division/country:us/state:ok/county:dewey,Dewey County OK,,580-328-5668,,County Courthouse Basement,RUBLE Ave At S Broadway St,Taloga,OK,73667,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,49,County Courthouse Basement,"RUBLE Ave At S Broadway St, Taloga, OK 73667",,08:00 AM - 06:00 PM,,ho67565897,false,true,,,,poll83443382
Dewey County,County Clerk,ocd-division/country:us/state:ok/county:dewey,Dewey County OK,,580-328-5668,,County Courthouse Basement,RUBLE Ave At S Broadway St,Taloga,OK,73667,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,50,County Courthouse Basement,"RUBLE Ave At S Broadway St, Taloga, OK 73667",,09:00 AM - 02:00 PM,,ho67565897,false,true,,,,poll83443382
Ellis County,County Clerk,ocd-division/country:us/state:ok/county:ellis,Ellis County OK,,580-885-7721,,County Courthouse ,101 S Washington St,Arnett,OK,73832,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,51,County Courthouse ,"101 S Washington St, Arnett, OK 73832",,08:00 AM - 06:00 PM,,ho19769701,false,true,,,,poll48764544
Ellis County,County Clerk,ocd-division/country:us/state:ok/county:ellis,Ellis County OK,,580-885-7721,,County Courthouse ,101 S Washington St,Arnett,OK,73832,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,52,County Courthouse ,"101 S Washington St, Arnett, OK 73832",,09:00 AM - 02:00 PM,,ho19769701,false,true,,,,poll48764544
Garfield County,County Clerk,ocd-division/country:us/state:ok/county:garfield,Garfield County OK,,580-237-6016,,,903 Failing Dr,Enid,OK,73701,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,53,,"903 Failing Dr, Enid, OK 73701",,08:00 AM - 06:00 PM,,ho99590730,false,true,,,,poll71880365
Garfield County,County Clerk,ocd-division/country:us/state:ok/county:garfield,Garfield County OK,,580-237-6016,,,903 Failing Dr,Enid,OK,73701,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,54,,"903 Failing Dr, Enid, OK 73701",,09:00 AM - 02:00 PM,,ho99590730,false,true,,,,poll71880365
Garvin County,County Clerk,ocd-division/country:us/state:ok/county:garvin,Garvin County OK,,405-238-3303,,County Courthouse ,201 W Grant Ave,Pauls Valley,OK,73075,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,55,County Courthouse ,"201 W Grant Ave, Pauls Valley, OK 73075",,08:00 AM - 06:00 PM,,ho85486529,false,true,,,,poll66656361
Garvin County,County Clerk,ocd-division/country:us/state:ok/county:garvin,Garvin County OK,,405-238-3303,,County Courthouse ,201 W Grant Ave,Pauls Valley,OK,73075,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,56,County Courthouse ,"201 W Grant Ave, Pauls Valley, OK 73075",,09:00 AM - 02:00 PM,,ho85486529,false,true,,,,poll66656361
Grady County,County Clerk,ocd-division/country:us/state:ok/county:grady,Grady County OK,,405-224-1430,,,307 W Pennsylvania Ave,Chickasha,OK,73018,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,57,,"307 W Pennsylvania Ave, Chickasha, OK 73018",,08:00 AM - 06:00 PM,,ho78413014,false,true,,,,poll30168086
Grady County,County Clerk,ocd-division/country:us/state:ok/county:grady,Grady County OK,,405-224-1430,,,307 W Pennsylvania Ave,Chickasha,OK,73018,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,58,,"307 W Pennsylvania Ave, Chickasha, OK 73018",,09:00 AM - 02:00 PM,,ho78413014,false,true,,,,poll30168086
Grant County,County Clerk,ocd-division/country:us/state:ok/county:grant,Grant County OK,,580-395-2862,,County Courthouse,112 E Guthrie St,Medford,OK,73759,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,59,County Courthouse,"112 E Guthrie St, Medford, OK 73759",,08:00 AM - 06:00 PM,,ho98275152,false,true,,,,poll74404131
Grant County,County Clerk,ocd-division/country:us/state:ok/county:grant,Grant County OK,,580-395-2862,,County Courthouse,112 E Guthrie St,Medford,OK,73759,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,60,County Courthouse,"112 E Guthrie St, Medford, OK 73759",,09:00 AM - 02:00 PM,,ho98275152,false,true,,,,poll74404131
Greer County,County Clerk,ocd-division/country:us/state:ok/county:greer,Greer County OK,,580-782-2307,,County Courthouse ,106 E Jefferson St,Mangum,OK,73554,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,61,County Courthouse ,"106 E Jefferson St, Mangum, OK 73554",,08:00 AM - 06:00 PM,,ho30178903,false,true,,,,poll69188730
Greer County,County Clerk,ocd-division/country:us/state:ok/county:greer,Greer County OK,,580-782-2307,,County Courthouse ,106 E Jefferson St,Mangum,OK,73554,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,62,County Courthouse ,"106 E Jefferson St, Mangum, OK 73554",,09:00 AM - 02:00 PM,,ho30178903,false,true,,,,poll69188730
Harmon County,County Clerk,ocd-division/country:us/state:ok/county:harmon,Harmon County OK,,580-688-2460,,County Courthouse,114 W Hollis St,Hollis,OK,73550,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,63,County Courthouse,"114 W Hollis St, Hollis, OK 73550",,08:00 AM - 06:00 PM,,ho45022557,false,true,,,,poll73849956
Harmon County,County Clerk,ocd-division/country:us/state:ok/county:harmon,Harmon County OK,,580-688-2460,,County Courthouse,114 W Hollis St,Hollis,OK,73550,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,64,County Courthouse,"114 W Hollis St, Hollis, OK 73550",,09:00 AM - 02:00 PM,,ho45022557,false,true,,,,poll73849956
Harper County,County Clerk,ocd-division/country:us/state:ok/county:harper,Harper County OK,,580-735-2313,,County Courthouse ,311 SE 1st St,Buffalo,OK,73834,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,65,County Courthouse ,"311 SE 1st St, Buffalo, OK 73834",,08:00 AM - 06:00 PM,,ho5988788,false,true,,,,poll44675855
Harper County,County Clerk,ocd-division/country:us/state:ok/county:harper,Harper County OK,,580-735-2313,,County Courthouse ,311 SE 1st St,Buffalo,OK,73834,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,66,County Courthouse ,"311 SE 1st St, Buffalo, OK 73834",,09:00 AM - 02:00 PM,,ho5988788,false,true,,,,poll44675855
Haskell County,County Clerk,ocd-division/country:us/state:ok/county:haskell,Haskell County OK,,918-967-8792,,County Courthouse Annex,202 E Main St,Stigler,OK,74462,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,67,County Courthouse Annex,"202 E Main St, Stigler, OK 74462",,08:00 AM - 06:00 PM,,ho96931975,false,true,,,,poll82539719
Haskell County,County Clerk,ocd-division/country:us/state:ok/county:haskell,Haskell County OK,,918-967-8792,,County Courthouse Annex,202 E Main St,Stigler,OK,74462,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,68,County Courthouse Annex,"202 E Main St, Stigler, OK 74462",,09:00 AM - 02:00 PM,,ho96931975,false,true,,,,poll82539719
Hughes County,County Clerk,ocd-division/country:us/state:ok/county:hughes,Hughes County OK,,405-379-2174,,County Courthouse,200 N Broadway St,Holdenville,OK,74848,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,69,County Courthouse,"200 N Broadway St, Holdenville, OK 74848",,08:00 AM - 06:00 PM,,ho37980498,false,true,,,,poll75653454
Hughes County,County Clerk,ocd-division/country:us/state:ok/county:hughes,Hughes County OK,,405-379-2174,,County Courthouse,200 N Broadway St,Holdenville,OK,74848,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,70,County Courthouse,"200 N Broadway St, Holdenville, OK 74848",,09:00 AM - 02:00 PM,,ho37980498,false,true,,,,poll75653454
Jackson County,County Clerk,ocd-division/country:us/state:ok/county:jackson,Jackson County OK,,580-482-2370,,County Courthouse,101 N Main St,Altus,OK,73521,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,71,County Courthouse,"101 N Main St, Altus, OK 73521",,08:00 AM - 06:00 PM,,ho95593698,false,true,,,,poll86326982
Jackson County,County Clerk,ocd-division/country:us/state:ok/county:jackson,Jackson County OK,,580-482-2370,,County Courthouse,101 N Main St,Altus,OK,73521,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,72,County Courthouse,"101 N Main St, Altus, OK 73521",,09:00 AM - 02:00 PM,,ho95593698,false,true,,,,poll86326982
Jefferson County,County Clerk,ocd-division/country:us/state:ok/county:jefferson,Jefferson County OK,,580-228-3150,,County Courthouse,220 N Main St,Waurika,OK,73573,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,73,County Courthouse,"220 N Main St, Waurika, OK 73573",,08:00 AM - 06:00 PM,,ho43218333,false,true,,,,poll36620450
Jefferson County,County Clerk,ocd-division/country:us/state:ok/county:jefferson,Jefferson County OK,,580-228-3150,,County Courthouse,220 N Main St,Waurika,OK,73573,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,74,County Courthouse,"220 N Main St, Waurika, OK 73573",,09:00 AM - 02:00 PM,,ho43218333,false,true,,,,poll36620450
Johnston County,County Clerk,ocd-division/country:us/state:ok/county:johnston,Johnston County OK,,580-371-3670,,,705 W Main St,Jenks,OK,74037,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,75,,"705 W Main St, Jenks, OK 74037",,08:00 AM - 06:00 PM,,ho42750662,false,true,,,,poll99731595
Johnston County,County Clerk,ocd-division/country:us/state:ok/county:johnston,Johnston County OK,,580-371-3670,,,705 W Main St,Jenks,OK,74037,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,76,,"705 W Main St, Jenks, OK 74037",,09:00 AM - 02:00 PM,,ho42750662,false,true,,,,poll99731595
Kay County,County Clerk,ocd-division/country:us/state:ok/county:kay,Kay County OK,,580-362-2130,,County Courthouse,201 S Main St,Newkirk,OK,74647,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,77,County Courthouse,"201 S Main St, Newkirk, OK 74647",,08:00 AM - 06:00 PM,,ho34931262,false,true,,,,poll11549100
