office-name,title,ocd_division,description,homepage,phone,email,loc_name,street,dirs,city,state,zip,start_time,end_time,start_date,end_date,subject_to_change,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 04:00,16:30:00 - 04:00,10/24/16,10/28/16,FALSE,,15,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 04:30 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 04:00,16:30:00 - 04:00,10/31/16,10/31/16,FALSE,,16,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 04:30 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 04:00,15:00:00 - 04:00,10/29/16,10/29/16,FALSE,,17,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 03:00 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 04:00,21:00:00 - 04:00,11/1/16,11/1/16,FALSE,,18,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 09:00 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 04:00,18:00:00 - 04:00,11/2/16,11/2/16,FALSE,,19,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 06:00 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 04:00,21:00:00 - 04:00,11/3/16,11/3/16,FALSE,,20,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 09:00 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 04:00,18:00:00 - 04:00,11/4/16,11/4/16,FALSE,,21,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 06:00 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,FALSE,,22,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 05:00 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 05:00,12:00:00 - 05:00,11/7/16,11/7/16,FALSE,,23,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 12:00 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
Allen County,Aboite Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,5630 Coventry Lane,,Fort Wayne,IN,46804,10:00:00 - 04:00,21:00:00 - 04:00,11/1/16,11/1/16,FALSE,,24,"5630 Coventry Lane, Fort Wayne, IN 46804",,10:00 AM - 09:00 PM,,ho12228860,FALSE,TRUE,,,,poll52039742
Allen County,Aboite Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,5630 Coventry Lane,,Fort Wayne,IN,46804,10:00:00 - 04:00,18:00:00 - 04:00,11/2/16,11/2/16,FALSE,,25,"5630 Coventry Lane, Fort Wayne, IN 46804",,10:00 AM - 06:00 PM,,ho12228860,FALSE,TRUE,,,,poll52039742
Allen County,Aboite Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,5630 Coventry Lane,,Fort Wayne,IN,46804,10:00:00 - 04:00,21:00:00 - 04:00,11/3/16,11/3/16,FALSE,,26,"5630 Coventry Lane, Fort Wayne, IN 46804",,10:00 AM - 09:00 PM,,ho12228860,FALSE,TRUE,,,,poll52039742
Allen County,Aboite Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,5630 Coventry Lane,,Fort Wayne,IN,46804,10:00:00 - 04:00,18:00:00 - 04:00,11/4/16,11/4/16,FALSE,,27,"5630 Coventry Lane, Fort Wayne, IN 46804",,10:00 AM - 06:00 PM,,ho12228860,FALSE,TRUE,,,,poll52039742
Allen County,Aboite Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,5630 Coventry Lane,,Fort Wayne,IN,46804,10:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,FALSE,,28,"5630 Coventry Lane, Fort Wayne, IN 46804",,10:00 AM - 05:00 PM,,ho12228860,FALSE,TRUE,,,,poll52039742
Allen County,Dupont Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,536 E Dupont Rd. ,,Fort Wayne,IN,46825,10:00:00 - 04:00,21:00:00 - 04:00,11/1/16,11/1/16,FALSE,,29,"536 E Dupont Rd., Fort Wayne, IN 46825",,10:00 AM - 09:00 PM,,ho52790979,FALSE,TRUE,,,,poll64158121
Allen County,Dupont Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,536 E Dupont Rd. ,,Fort Wayne,IN,46825,10:00:00 - 04:00,18:00:00 - 04:00,11/2/16,11/2/16,FALSE,,30,"536 E Dupont Rd., Fort Wayne, IN 46825",,10:00 AM - 06:00 PM,,ho52790979,FALSE,TRUE,,,,poll64158121
Allen County,Dupont Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,536 E Dupont Rd. ,,Fort Wayne,IN,46825,10:00:00 - 04:00,21:00:00 - 04:00,11/3/16,11/3/16,FALSE,,31,"536 E Dupont Rd., Fort Wayne, IN 46825",,10:00 AM - 09:00 PM,,ho52790979,FALSE,TRUE,,,,poll64158121
Allen County,Dupont Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,536 E Dupont Rd. ,,Fort Wayne,IN,46825,10:00:00 - 04:00,18:00:00 - 04:00,11/4/16,11/4/16,FALSE,,32,"536 E Dupont Rd., Fort Wayne, IN 46825",,10:00 AM - 06:00 PM,,ho52790979,FALSE,TRUE,,,,poll64158121
Allen County,Dupont Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,536 E Dupont Rd. ,,Fort Wayne,IN,46825,10:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,FALSE,,33,"536 E Dupont Rd., Fort Wayne, IN 46825",,10:00 AM - 05:00 PM,,ho52790979,FALSE,TRUE,,,,poll64158121
Allen County,Georgetown Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,6600 E. State Blvd,,Fort Wayne,IN,46815,10:00:00 - 04:00,21:00:00 - 04:00,11/1/16,11/1/16,FALSE,,34,"6600 E. State Blvd, Fort Wayne, IN 46815",,10:00 AM - 09:00 PM,,ho55089576,FALSE,TRUE,,,,poll51654258
Allen County,Georgetown Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,6600 E. State Blvd,,Fort Wayne,IN,46815,10:00:00 - 04:00,18:00:00 - 04:00,11/2/16,11/2/16,FALSE,,35,"6600 E. State Blvd, Fort Wayne, IN 46815",,10:00 AM - 06:00 PM,,ho55089576,FALSE,TRUE,,,,poll51654258
Allen County,Georgetown Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,6600 E. State Blvd,,Fort Wayne,IN,46815,10:00:00 - 04:00,21:00:00 - 04:00,11/3/16,11/3/16,FALSE,,36,"6600 E. State Blvd, Fort Wayne, IN 46815",,10:00 AM - 09:00 PM,,ho55089576,FALSE,TRUE,,,,poll51654258
Allen County,Georgetown Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,6600 E. State Blvd,,Fort Wayne,IN,46815,10:00:00 - 04:00,18:00:00 - 04:00,11/4/16,11/4/16,FALSE,,37,"6600 E. State Blvd, Fort Wayne, IN 46815",,10:00 AM - 06:00 PM,,ho55089576,FALSE,TRUE,,,,poll51654258
Allen County,Georgetown Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,6600 E. State Blvd,,Fort Wayne,IN,46815,10:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,FALSE,,38,"6600 E. State Blvd, Fort Wayne, IN 46815",,10:00 AM - 05:00 PM,,ho55089576,FALSE,TRUE,,,,poll51654258
Allen County,Hessen Cassel Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,3030 E. Paulding Rd. ,,Fort Wayne,IN,46816,10:00:00 - 04:00,21:00:00 - 04:00,11/1/16,11/1/16,FALSE,,39,"3030 E. Paulding Rd., Fort Wayne, IN 46816",,10:00 AM - 09:00 PM,,ho80532197,FALSE,TRUE,,,,poll23681946
Allen County,Hessen Cassel Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,3030 E. Paulding Rd. ,,Fort Wayne,IN,46816,10:00:00 - 04:00,18:00:00 - 04:00,11/2/16,11/2/16,FALSE,,40,"3030 E. Paulding Rd., Fort Wayne, IN 46816",,10:00 AM - 06:00 PM,,ho80532197,FALSE,TRUE,,,,poll23681946
Allen County,Hessen Cassel Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,3030 E. Paulding Rd. ,,Fort Wayne,IN,46816,10:00:00 - 04:00,21:00:00 - 04:00,11/3/16,11/3/16,FALSE,,41,"3030 E. Paulding Rd., Fort Wayne, IN 46816",,10:00 AM - 09:00 PM,,ho80532197,FALSE,TRUE,,,,poll23681946
Allen County,Hessen Cassel Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,3030 E. Paulding Rd. ,,Fort Wayne,IN,46816,10:00:00 - 04:00,18:00:00 - 04:00,11/4/16,11/4/16,FALSE,,42,"3030 E. Paulding Rd., Fort Wayne, IN 46816",,10:00 AM - 06:00 PM,,ho80532197,FALSE,TRUE,,,,poll23681946
Allen County,Hessen Cassel Library,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,3030 E. Paulding Rd. ,,Fort Wayne,IN,46816,10:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,FALSE,,43,"3030 E. Paulding Rd., Fort Wayne, IN 46816",,10:00 AM - 05:00 PM,,ho80532197,FALSE,TRUE,,,,poll23681946
Bartholomew County,County Clerk,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,234 Washington Street,,Columbus,IN,47201,08:00:00 - 04:00,17:00:00 - 04:00,10/12/16,10/14/16,FALSE,,44,"234 Washington Street, Columbus, IN 47201",,08:00 AM - 05:00 PM,,ho35427164,FALSE,TRUE,,,,poll26901972
Bartholomew County,County Clerk,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,234 Washington Street,,Columbus,IN,47201,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16,FALSE,,45,"234 Washington Street, Columbus, IN 47201",,08:00 AM - 05:00 PM,,ho35427164,FALSE,TRUE,,,,poll26901972
Bartholomew County,County Clerk,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,234 Washington Street,,Columbus,IN,47201,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16,FALSE,,46,"234 Washington Street, Columbus, IN 47201",,08:00 AM - 05:00 PM,,ho35427164,FALSE,TRUE,,,,poll26901972
Bartholomew County,County Clerk,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,234 Washington Street,,Columbus,IN,47201,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16,FALSE,,47,"234 Washington Street, Columbus, IN 47201",,08:00 AM - 05:00 PM,,ho35427164,FALSE,TRUE,,,,poll26901972
Bartholomew County,County Clerk,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,234 Washington Street,,Columbus,IN,47201,08:00:00 - 05:00,12:00:00 - 05:00,11/7/16,11/7/16,FALSE,,48,"234 Washington Street, Columbus, IN 47201",,08:00 AM - 12:00 PM,,ho35427164,FALSE,TRUE,,,,poll26901972
Bartholomew County,County Clerk,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,234 Washington Street,,Columbus,IN,47201,08:00:00 - 04:00,15:00:00 - 04:00,10/29/16,10/29/16,FALSE,,49,"234 Washington Street, Columbus, IN 47201",,08:00 AM - 03:00 PM,,ho35427164,FALSE,TRUE,,,,poll26901972
Bartholomew County,County Clerk,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,234 Washington Street,,Columbus,IN,47201,08:00:00 - 04:00,15:00:00 - 04:00,11/5/16,11/5/16,FALSE,,50,"234 Washington Street, Columbus, IN 47201",,08:00 AM - 03:00 PM,,ho35427164,FALSE,TRUE,,,,poll26901972
Bartholomew County,Donner Center,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,739 22nd St. ,,Columbus,IN,47201,11:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16,FALSE,,51,"739 22nd St., Columbus, IN 47201",,11:00 AM - 07:00 PM,,ho48273758,FALSE,TRUE,,,,poll90925176
Bartholomew County,Donner Center,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,739 22nd St. ,,Columbus,IN,47201,08:00:00 - 04:00,15:00:00 - 04:00,11/5/16,11/5/16,FALSE,,52,"739 22nd St., Columbus, IN 47201",,08:00 AM - 03:00 PM,,ho48273758,FALSE,TRUE,,,,poll90925176
Bartholomew County,MainSouce Bank (Westside location),ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,2310 W. Jonathan Moore Pike,,Columbus,IN,47201,11:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16,FALSE,,53,"2310 W. Jonathan Moore Pike, Columbus, IN 47201",,11:00 AM - 07:00 PM,,ho62398350,FALSE,TRUE,,,,poll61074992
Bartholomew County,MainSource Bank (West Side Location),ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,2310 W. Jonathan Moore Pike,,Columbus,IN,47201,08:00:00 - 04:00,15:00:00 - 04:00,11/5/16,11/5/16,FALSE,,54,"2310 W. Jonathan Moore Pike, Columbus, IN 47201",,08:00 AM - 03:00 PM,,ho62398350,FALSE,TRUE,,,,poll61074992
Bartholomew County,Flintwood Wesleyan Church,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,5300 25th St. ,,Columbus,IN,47203,11:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16,FALSE,,55,"5300 25th St., Columbus, IN 47203",,11:00 AM - 07:00 PM,,ho8986718,FALSE,TRUE,,,,poll68696075
Bartholomew County,Flintwood Wesleyan Church,ocd-division/country:us/state:in/county:bartholomew,Bartholomew County IN,http://www.bartholomew.in.gov/clerk.html#about-us,(812) 379-1604,voters@bartholomew.in.gov,,5300 25th St. ,,Columbus,IN,47203,08:00:00 - 04:00,15:00:00 - 04:00,11/5/16,11/5/16,FALSE,,56,"5300 25th St., Columbus, IN 47203",,08:00 AM - 03:00 PM,,ho8986718,FALSE,TRUE,,,,poll68696075
Benton County,Circuit Court Clerk,ocd-division/country:us/state:in/county:benton,Benton County IN,http://www.bentoncounty.in.gov/clerk,"(765) 884-0930, ext. 1",jhasser@bentoncounty.in.gov,,706 E. 5th Street,Suite 37,Fowler,IN,47944,08:30:00 - 04:00,16:00:00 - 04:00,10/12/16,10/15/16,FALSE,,57,"706 E. 5th Street, Fowler, IN 47944",Suite 37,08:30 AM - 04:00 PM,,ho94309494,FALSE,TRUE,,,,poll91558952
Benton County,Circuit Court Clerk,ocd-division/country:us/state:in/county:benton,Benton County IN,http://www.bentoncounty.in.gov/clerk,"(765) 884-0930, ext. 1",jhasser@bentoncounty.in.gov,,706 E. 5th Street,Suite 37,Fowler,IN,47944,08:30:00 - 04:00,16:00:00 - 04:00,10/17/16,10/21/16,FALSE,,58,"706 E. 5th Street, Fowler, IN 47944",Suite 37,08:30 AM - 04:00 PM,,ho94309494,FALSE,TRUE,,,,poll91558952
Benton County,Circuit Court Clerk,ocd-division/country:us/state:in/county:benton,Benton County IN,http://www.bentoncounty.in.gov/clerk,"(765) 884-0930, ext. 1",jhasser@bentoncounty.in.gov,,706 E. 5th Street,Suite 37,Fowler,IN,47944,08:30:00 - 04:00,16:00:00 - 04:00,10/24/16,10/28/16,FALSE,,59,"706 E. 5th Street, Fowler, IN 47944",Suite 37,08:30 AM - 04:00 PM,,ho94309494,FALSE,TRUE,,,,poll91558952
Benton County,Circuit Court Clerk,ocd-division/country:us/state:in/county:benton,Benton County IN,http://www.bentoncounty.in.gov/clerk,"(765) 884-0930, ext. 1",jhasser@bentoncounty.in.gov,,706 E. 5th Street,Suite 37,Fowler,IN,47944,08:30:00 - 04:00,16:00:00 - 04:00,10/31/16,11/2/16,FALSE,,60,"706 E. 5th Street, Fowler, IN 47944",Suite 37,08:30 AM - 04:00 PM,,ho94309494,FALSE,TRUE,,,,poll91558952
Benton County,Circuit Court Clerk,ocd-division/country:us/state:in/county:benton,Benton County IN,http://www.bentoncounty.in.gov/clerk,"(765) 884-0930, ext. 1",jhasser@bentoncounty.in.gov,,706 E. 5th Street,Suite 37,Fowler,IN,47944,08:30:00 - 04:00,18:30:00 - 04:00,11/3/16,11/3/16,FALSE,,61,"706 E. 5th Street, Fowler, IN 47944",Suite 37,08:30 AM - 06:30 PM,,ho94309494,FALSE,TRUE,,,,poll91558952
