office_name,ocd_division,description,homepage,phone,email,street,dirs,city,state,zip,start_time,end_time,start_date,end_date,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3150 N. Buffalo Dr.,,Las Vegas,NV,89128,10:00:00 - 07:00,19:00:00 - 07:00,10/31/16,11/1/16,15,"3150 N. Buffalo Dr., Las Vegas, NV 89128",,10:00 AM - 07:00 PM,,ho44766907,false,true,,,,poll8809940
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4421 E BONANZA RD.,,Las Vegas,NV,89110,09:00:00 - 07:00,19:00:00 - 07:00,11/2/16,11/3/16,16,"4421 E BONANZA RD., Las Vegas, NV 89110",,09:00 AM - 07:00 PM,,ho29514497,false,true,,,,poll86991350
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4421 E BONANZA RD.,,Las Vegas,NV,89110,09:00:00 - 07:00,20:00:00 - 07:00,11/4/16,11/4/16,17,"4421 E BONANZA RD., Las Vegas, NV 89110",,09:00 AM - 08:00 PM,,ho29514497,false,true,,,,poll86991350
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8350 W Cheyenne Ave,,Las Vegas,NV,89129,08:00:00 - 07:00,18:00:00 - 07:00,10/22/16,10/24/16,18,"8350 W Cheyenne Ave, Las Vegas, NV 89129",,08:00 AM - 06:00 PM,,ho42599706,false,true,,,,poll58976252
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9600 W Sahara Ave,,Las Vegas,NV,89117,11:00:00 - 07:00,19:00:00 - 07:00,10/25/16,10/25/16,19,"9600 W Sahara Ave, Las Vegas, NV 89117",,11:00 AM - 07:00 PM,,ho54032502,false,true,,,,poll83174147
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9600 W Sahara Ave,,Las Vegas,NV,89117,10:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/27/16,20,"9600 W Sahara Ave, Las Vegas, NV 89117",,10:00 AM - 07:00 PM,,ho54032502,false,true,,,,poll83174147
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10250 West Charleston Blvd,,Las Vegas,NV,89135,08:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/30/16,21,"10250 West Charleston Blvd, Las Vegas, NV 89135",,08:00 AM - 06:00 PM,,ho6714420,false,true,,,,poll40829120
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4055 S Durango Dr,,Las Vegas,NV,89147,08:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/1/16,22,"4055 S Durango Dr, Las Vegas, NV 89147",,08:00 AM - 06:00 PM,,ho3831623,false,true,,,,poll21358340
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1001 S. Rainbow Blvd,,Las Vegas,NV,89145,09:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/2/16,23,"1001 S. Rainbow Blvd, Las Vegas, NV 89145",,09:00 AM - 07:00 PM,,ho32546515,false,true,,,,poll38577627
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1001 S. Rainbow Blvd,,Las Vegas,NV,89145,09:00:00 - 07:00,20:00:00 - 07:00,11/3/16,11/3/16,24,"1001 S. Rainbow Blvd, Las Vegas, NV 89145",,09:00 AM - 08:00 PM,,ho32546515,false,true,,,,poll38577627
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1001 S. Rainbow Blvd,,Las Vegas,NV,89145,09:00:00 - 07:00,19:00:00 - 07:00,11/4/16,11/4/16,25,"1001 S. Rainbow Blvd, Las Vegas, NV 89145",,09:00 AM - 07:00 PM,,ho32546515,false,true,,,,poll38577627
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7151 West Craig Road,,Las Vegas,NV,89129,09:00:00 - 07:00,19:00:00 - 07:00,10/22/16,10/23/16,26,"7151 West Craig Road, Las Vegas, NV 89129",,09:00 AM - 07:00 PM,,ho31536747,false,true,,,,poll84983972
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,280 S Green Valley Pkwy,,Henderson,NV,89012,10:00:00 - 07:00,20:00:00 - 07:00,10/24/16,10/25/16,27,"280 S Green Valley Pkwy, Henderson, NV 89012",,10:00 AM - 08:00 PM,,ho41448920,false,true,,,,poll76527980
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6450 Sky Pointe Dr,,Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/27/16,28,"6450 Sky Pointe Dr, Las Vegas, NV 89131",,09:00 AM - 07:00 PM,,ho28060311,false,true,,,,poll61374261
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8410 Farm Road,,Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/29/16,29,"8410 Farm Road, Las Vegas, NV 89131",,09:00 AM - 07:00 PM,,ho10712647,false,true,,,,poll94624352
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,190 N Boulder Hwy,,Henderson,NV,89015,09:00:00 - 07:00,19:00:00 - 07:00,10/31/16,11/1/16,30,"190 N Boulder Hwy, Henderson, NV 89015",,09:00 AM - 07:00 PM,,ho10113401,false,true,,,,poll92315722
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4025 Allen Ln,,North Las Vegas,NV,89032,09:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/2/16,31,"4025 Allen Ln, North Las Vegas, NV 89032",,09:00 AM - 07:00 PM,,ho33083400,false,true,,,,poll45707452
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8275 Spring Mountain Rd,,Las Vegas,NV,89117,09:00:00 - 07:00,19:00:00 - 07:00,11/3/16,11/3/16,32,"8275 Spring Mountain Rd, Las Vegas, NV 89117",,09:00 AM - 07:00 PM,,ho19829307,false,true,,,,poll59757128
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8275 Spring Mountain Rd,,Las Vegas,NV,89117,09:00:00 - 07:00,20:00:00 - 07:00,11/4/16,11/4/16,33,"8275 Spring Mountain Rd, Las Vegas, NV 89117",,09:00 AM - 08:00 PM,,ho19829307,false,true,,,,poll59757128
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4850 West Craig Road,,Las Vegas,NV,89032,08:00:00 - 07:00,18:00:00 - 07:00,10/22/16,10/24/16,34,"4850 West Craig Road, Las Vegas, NV 89032",,08:00 AM - 06:00 PM,,ho19697040,false,true,,,,poll2590459
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2400 W Deer Springs Way,,North Las Vegas,NV,89084,10:30:00 - 07:00,19:30:00 - 07:00,10/26/16,10/26/16,35,"2400 W Deer Springs Way, North Las Vegas, NV 89084",,10:30 AM - 07:30 PM,,ho42644297,false,true,,,,poll15175672
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2050 Bonnie Lane ,,Las Vegas,NV,89156,08:00:00 - 07:00,18:00:00 - 07:00,10/26/16,10/26/16,36,"2050 Bonnie Lane, Las Vegas, NV 89156",,08:00 AM - 06:00 PM,,ho83917264,false,true,,,,poll2027416
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6200 W Lone Mountain Rd,,Las Vegas,NV,89130,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16,37,"6200 W Lone Mountain Rd, Las Vegas, NV 89130",,09:00 AM - 07:00 PM,,ho94763748,false,true,,,,poll89205836
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3200 East Cheyenne Ave,,North Las Vegas,NV,89030,08:00:00 - 07:00,18:00:00 - 07:00,10/26/16,10/26/16,38,"3200 East Cheyenne Ave, North Las Vegas, NV 89030",,08:00 AM - 06:00 PM,,ho80463747,false,true,,,,poll18628551
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,Dr. William U. Pearson Comm. Ctr. 1625 W. Carey Ave. @ M.L. King Blvd,,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16,39,"Dr. William U. Pearson Comm. Ctr. 1625 W. Carey Ave. @ M.L. King Blvd, Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho12218854,false,true,,,,poll1891662
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,300 S. Racetrack Rd,,Henderson,NV,89015,08:00:00 - 07:00,18:00:00 - 07:00,10/26/16,10/26/16,40,"300 S. Racetrack Rd, Henderson, NV 89015",,08:00 AM - 06:00 PM,,ho20678444,false,true,,,,poll73882570
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6670 W Cheyenne Ave,, Las Vegas,NV,89108,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16,41,"6670 W Cheyenne Ave,  Las Vegas, NV 89108",,09:00 AM - 07:00 PM,,ho34285760,false,true,,,,poll21807256
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 4120 S Rainbow ,, Las Vegas,NV,89103,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16,42,"4120 S Rainbow,  Las Vegas, NV 89103",,09:00 AM - 07:00 PM,,ho10444895,false,true,,,,poll28755055
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4775 McLeod Dr,, Las Vegas,NV,89121,08:00:00 - 07:00,18:00:00 - 07:00,10/26/16,10/26/16,43,"4775 McLeod Dr,  Las Vegas, NV 89121",,08:00 AM - 06:00 PM,,ho84043061,false,true,,,,poll8384784
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9600 W Sahara Ave,, Las Vegas,NV,89117,10:00:00  - 07:00,19:00:00 - 07:00,10/26/16,10/26/16,44,"9600 W Sahara Ave,  Las Vegas, NV 89117",,10:00 AM - 07:00 PM,,ho3687626,false,true,,,,poll20659175
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3050 E Centennial Pkwy,,North Las Vegas,NV,89081,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16,45,"3050 E Centennial Pkwy, North Las Vegas, NV 89081",,09:00 AM - 07:00 PM,,ho5406131,false,true,,,,poll53984982
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1950 Village Center Cir ,, Las Vegas,NV,89134,08:00:00 - 07:00,18:00:00 - 07:00,10/26/16,10/26/16,46,"1950 Village Center Cir,  Las Vegas, NV 89134",,08:00 AM - 06:00 PM,,ho16497012,false,true,,,,poll72500314
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 6450 Sky Pointe Dr ,, Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16,47,"6450 Sky Pointe Dr,  Las Vegas, NV 89131",,09:00 AM - 07:00 PM,,ho80036056,false,true,,,,poll50139465
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"2835 S. Nellis Bl., ",, Las Vegas,NV,89121,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16,48,"2835 S. Nellis Bl.,  Las Vegas, NV 89121",,09:00 AM - 07:00 PM,,ho43427463,false,true,,,,poll15093532
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1755 W Alexander Rd ,(Martin Luther King Blvd),North Las Vegas,NV,89032,10:30:00 - 07:00,19:30:00 - 07:00,10/27/16,10/27/16,49,"1755 W Alexander Rd, North Las Vegas, NV 89032",(Martin Luther King Blvd),10:30 AM - 07:30 PM,,ho41704753,false,true,,,,poll2725245
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2050 Bonnie Lane ,,Las Vegas,NV,89156,08:00:00 - 07:00,18:00:00 - 07:00,10/27/16,10/27/16,50,"2050 Bonnie Lane, Las Vegas, NV 89156",,08:00 AM - 06:00 PM,,ho83917264,false,true,,,,poll2027416
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6200 W Lone Mountain Rd,,Las Vegas,NV,89130,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16,51,"6200 W Lone Mountain Rd, Las Vegas, NV 89130",,09:00 AM - 07:00 PM,,ho94763748,false,true,,,,poll89205836
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3200 East Cheyenne Ave,,North Las Vegas,NV,89030,08:00:00 - 07:00,18:00:00 - 07:00,10/27/16,10/27/16,52,"3200 East Cheyenne Ave, North Las Vegas, NV 89030",,08:00 AM - 06:00 PM,,ho80463747,false,true,,,,poll18628551
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10360 Sun City Blvd,,Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16,53,"10360 Sun City Blvd, Las Vegas, NV 89134",,09:00 AM - 07:00 PM,,ho39720934,false,true,,,,poll91389391
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,Dr. William U. Pearson Comm. Ctr. 1625 W. Carey Ave. @ M.L. King Blvd,,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16,54,"Dr. William U. Pearson Comm. Ctr. 1625 W. Carey Ave. @ M.L. King Blvd, Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho12218854,false,true,,,,poll1891662
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6670 W Cheyenne Ave,,Las Vegas,NV,89108,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16,55,"6670 W Cheyenne Ave, Las Vegas, NV 89108",,09:00 AM - 07:00 PM,,ho32876043,false,true,,,,poll84172029
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 4120 S Rainbow ,, Las Vegas,NV,89103,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16,56,"4120 S Rainbow,  Las Vegas, NV 89103",,09:00 AM - 07:00 PM,,ho10444895,false,true,,,,poll28755055
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9600 W Sahara Ave,, Las Vegas,NV,89117,10:00:00  - 07:00,19:00:00 - 07:00,10/27/16,10/27/16,57,"9600 W Sahara Ave,  Las Vegas, NV 89117",,10:00 AM - 07:00 PM,,ho3687626,false,true,,,,poll20659175
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2401 Somersworth Dr,,Henderson,NV,89044,08:00:00 - 07:00,18:00:00 - 07:00,10/27/16,10/27/16,58,"2401 Somersworth Dr, Henderson, NV 89044",,08:00 AM - 06:00 PM,,ho84448664,false,true,,,,poll26460142
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7390 Aliante Pkwy ,,North Las Vegas,NV,89084,08:00:00 - 07:00,18:00:00 - 07:00,10/27/16,10/27/16,59,"7390 Aliante Pkwy, North Las Vegas, NV 89084",,08:00 AM - 06:00 PM,,ho37566262,false,true,,,,poll89353140
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 6450 Sky Pointe Dr ,, Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16,60,"6450 Sky Pointe Dr,  Las Vegas, NV 89131",,09:00 AM - 07:00 PM,,ho80036056,false,true,,,,poll50139465
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"1970 VILLAGE CENTER CIRCLE, STE. 7, ",, Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/27/16,10/27/16,61,"1970 VILLAGE CENTER CIRCLE, STE. 7,  Las Vegas, NV 89134",,09:00 AM - 07:00 PM,,ho86920050,false,true,,,,poll11013398
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3130 McLeod Dr,, Las Vegas,NV,89121,10:00:00  - 07:00,20:00:00 - 07:00,10/27/16,10/27/16,62,"3130 McLeod Dr,  Las Vegas, NV 89121",,10:00 AM - 08:00 PM,,ho38344358,false,true,,,,poll73231060
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 5881 E. Charleston Blvd,, Las Vegas,NV,89142,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16,63,"5881 E. Charleston Blvd,  Las Vegas, NV 89142",,09:00 AM - 07:00 PM,,ho39120860,false,true,,,,poll12041917
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10250 West Charleston Blvd,, Las Vegas,NV,89135,08:00:00 - 07:00,18:00:00 - 07:00,10/28/16,10/28/16,64,"10250 West Charleston Blvd,  Las Vegas, NV 89135",,08:00 AM - 06:00 PM,,ho8743303,false,true,,,,poll79049591
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,575 College Drive,,Henderson,NV,89015,08:00:00 - 07:00,18:00:00 - 07:00,10/28/16,10/28/16,65,"575 College Drive, Henderson, NV 89015",,08:00 AM - 06:00 PM,,ho4423028,false,true,,,,poll46641654
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 7271 S. Eastern Avenue,, Las Vegas,NV,89119,08:00:00 - 07:00,18:00:00 - 07:00,10/28/16,10/28/16,66,"7271 S. Eastern Avenue,  Las Vegas, NV 89119",,08:00 AM - 06:00 PM,,ho23822181,false,true,,,,poll59800692
