name,county,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,voter_services,start_time,end_time,start_date,end_date,days_times_open,id
Hurricane City Community Center,Washington,Hurricane City Community Center,63 S 100 W,,,Hurricane,UT,84737,,,15:00:00 - 07:00,19:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 03:00 PM to 07:00 PM<br>10/26/2016 03:00 PM to 07:00 PM<br>10/27/2016 03:00 PM to 07:00 PM<br>10/28/2016 03:00 PM to 07:00 PM<br>10/31/2016 09:00 AM to 01:00 PM<br>11/01/2016 09:00 AM to 01:00 PM<br>11/02/2016 09:00 AM to 01:00 PM<br>11/03/2016 09:00 AM to 01:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Hurricane City Community Center,Washington,Hurricane City Community Center,63 S 100 W,,,Hurricane,UT,84737,,,09:00:00 - 07:00,13:00:00 - 07:00,10/31/16,11/3/16,,
Hurricane City Community Center,Washington,Hurricane City Community Center,63 S 100 W,,,Hurricane,UT,84737,,,13:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
County Courthouse,Carbon,County Courthouse,751 E 100 N #1700,,,Price,UT,84501,,,11:00:00 - 07:00,19:00:00 - 07:00,10/25/16,11/4/16,10/25/2016 11:00 AM to 07:00 PM<br>10/26/2016 11:00 AM to 07:00 PM<br>10/27/2016 11:00 AM to 07:00 PM<br>10/28/2016 11:00 AM to 07:00 PM<br>10/31/2016 11:00 AM to 07:00 PM<br>11/01/2016 11:00 AM to 07:00 PM<br>11/02/2016 11:00 AM to 07:00 PM<br>11/03/2016 11:00 AM to 07:00 PM<br>11/04/2016 11:00 AM to 05:00 PM<br>,1.60E+11
County Courthouse,Carbon,County Courthouse,751 E 100 N #1700,,,Price,UT,84501,,,11:00:00 - 07:00,19:00:00 - 07:00,10/31/16,11/3/16,,
County Courthouse,Carbon,County Courthouse,751 E 100 N #1700,,,Price,UT,84501,,,11:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
Eagle Mountain City Hall,Utah,Eagle Mountain City Hall,1650 E Stagecoach Run,,,Eagle Mountain,UT,84005,,,08:00:00 - 07:00,12:00:00 - 07:00,10/25/16,10/25/16,10/25/2016 08:00 AM to 12:00 PM<br>10/26/2016 01:00 PM to 05:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 08:00 AM to 12:00 PM<br>11/02/2016 01:00 PM to 05:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Eagle Mountain City Hall,Utah,Eagle Mountain City Hall,1650 E Stagecoach Run,,,Eagle Mountain,UT,84005,,,13:00:00 - 07:00,17:00:00 - 07:00,10/26/16,10/28/16,,
Eagle Mountain City Hall,Utah,Eagle Mountain City Hall,1650 E Stagecoach Run,,,Eagle Mountain,UT,84005,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,10/31/16,,
Eagle Mountain City Hall,Utah,Eagle Mountain City Hall,1650 E Stagecoach Run,,,Eagle Mountain,UT,84005,,,08:00:00 - 07:00,12:00:00 - 07:00,11/1/16,11/1/16,,
Eagle Mountain City Hall,Utah,Eagle Mountain City Hall,1650 E Stagecoach Run,,,Eagle Mountain,UT,84005,,,13:00:00 - 07:00,17:00:00 - 07:00,11/2/16,11/4/16,,
Orem City Center - RM 100,Utah,Orem City Center,56 N State St,Room 100,,Orem,UT,84057,,,13:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 01:00 PM to 05:00 PM<br>10/26/2016 01:00 PM to 05:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 01:00 PM to 05:00 PM<br>11/02/2016 01:00 PM to 05:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Orem City Center - RM 100,Utah,Orem City Center,56 N State St,Room 100,,Orem,UT,84057,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,
Payson City Municipal Building - Banquet Hall,Utah,Payson City Municipal Building - Banquet Hall,439 W Utah Ave,,,Payson,UT,84651,,,13:00:00 - 07:00,17:00:00 - 07:00,10/25/16,11/4/16,10/25/2016 01:00 PM to 05:00 PM<br>10/26/2016 01:00 PM to 05:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 01:00 PM to 05:00 PM<br>11/02/2016 01:00 PM to 05:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Payson City Municipal Building - Banquet Hall,Utah,Payson City Municipal Building - Banquet Hall,439 W Utah Ave,,,Payson,UT,84651,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,
Provo City Rec Center,Utah,Provo City Rec Center,320 W 500 N,,,Provo,UT,84601,,,10:00:00 - 07:00,18:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 10:00 AM to 06:00 PM<br>10/26/2016 10:00 AM to 06:00 PM<br>10/27/2016 10:00 AM to 06:00 PM<br>10/28/2016 10:00 AM to 06:00 PM<br>10/31/2016 10:00 AM to 06:00 PM<br>11/01/2016 10:00 AM to 06:00 PM<br>11/02/2016 10:00 AM to 06:00 PM<br>11/03/2016 10:00 AM to 06:00 PM<br>11/04/2016 10:00 AM to 05:00 PM<br>,1.60E+11
Provo City Rec Center,Utah,Provo City Rec Center,320 W 500 N,,,Provo,UT,84601,,,10:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/3/16,,
Provo City Rec Center,Utah,Provo City Rec Center,320 W 500 N,,,Provo,UT,84601,,,10:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
American Fork Library,Utah,American Fork Library,64 South 100 East,,,American Fork,UT,84003,,,13:00:00 - 07:00,18:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 01:00 PM to 06:00 PM<br>10/26/2016 01:00 PM to 06:00 PM<br>10/27/2016 01:00 PM to 06:00 PM<br>10/28/2016 01:00 PM to 06:00 PM<br>10/31/2016 01:00 PM to 06:00 PM<br>11/01/2016 01:00 PM to 06:00 PM<br>11/02/2016 01:00 PM to 06:00 PM<br>11/03/2016 01:00 PM to 06:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
American Fork Library,Utah,American Fork Library,64 South 100 East,,,American Fork,UT,84003,,,13:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/3/16,,
American Fork Library,Utah,American Fork Library,64 South 100 East,,,American Fork,UT,84003,,,13:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/25/16,10/25/2016 09:00 AM to 05:00 PM<br>10/26/2016 09:00 AM to 07:00 PM<br>10/27/2016 09:00 AM to 05:00 PM<br>10/28/2016 09:00 AM to 05:00 PM<br>10/31/2016 09:00 AM to 05:00 PM<br>11/01/2016 09:00 AM to 07:00 PM<br>11/02/2016 09:00 AM to 05:00 PM<br>11/03/2016 09:00 AM to 07:00 PM<br>11/04/2016 08:00 AM to 05:00 PM<br>,1.60E+11
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/26/16,,
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,17:00:00 - 07:00,10/27/16,10/28/16,,
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,17:00:00 - 07:00,10/31/16,10/31/16,,
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/1/16,,
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,17:00:00 - 07:00,11/2/16,11/2/16,,
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,19:00:00 - 07:00,11/3/16,11/3/16,,
Daggett County Courthouse,Daggett,Daggett County Courthouse,95 N. 1st W.,,,Manila,UT,84046,,,09:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
Tooele Senior Citizens Center,Tooele,Tooele Senior Citizens Center,59 E. Vine St.,,,Tooele,UT,84074,,,09:00:00 - 07:00,12:00:00 - 07:00,11/2/16,11/2/16,11/02/2016 09:00 AM to 12:00 PM<br>,1.60E+11
Grantsville Senior Citizens Center,Tooele,Grantsville Senior Citizens Center,120 So. Center,,,Grantsville,UT,84029,,,09:30:00 - 07:00,11:30:00 - 07:00,10/26/16,10/26/16,10/26/2016 09:30 AM to 11:30 AM<br>,1.60E+11
Cedar City Council Chambers,Iron,Cedar City Council Chambers,10 North Main St,,,Cedar City,UT,84720,,,09:00:00 - 07:00,13:00:00 - 07:00,10/25/16,10/26/16,10/25/2016 09:00 AM to 01:00 PM<br>10/26/2016 09:00 AM to 01:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 09:00 AM to 01:00 PM<br>11/02/2016 09:00 AM to 01:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Cedar City Council Chambers,Iron,Cedar City Council Chambers,10 North Main St,,,Cedar City,UT,84720,,,13:00:00 - 07:00,17:00:00 - 07:00,10/27/16,10/28/16,,
Cedar City Council Chambers,Iron,Cedar City Council Chambers,10 North Main St,,,Cedar City,UT,84720,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,10/31/16,,
Cedar City Council Chambers,Iron,Cedar City Council Chambers,10 North Main St,,,Cedar City,UT,84720,,,09:00:00 - 07:00,13:00:00 - 07:00,11/1/16,11/2/16,,
Cedar City Council Chambers,Iron,Cedar City Council Chambers,10 North Main St,,,Cedar City,UT,84720,,,13:00:00 - 07:00,17:00:00 - 07:00,11/3/16,11/4/16,11/3/16,11/4/16
Iron County Courthouse,Iron,Iron County Courthouse,68 S 100 E,,,Parowan,UT,84761,,,09:00:00 - 07:00,13:00:00 - 07:00,10/25/16,10/26/16,10/25/2016 09:00 AM to 01:00 PM<br>10/26/2016 09:00 AM to 01:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 09:00 AM to 01:00 PM<br>11/02/2016 09:00 AM to 01:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Iron County Courthouse,Iron,Iron County Courthouse,68 S 100 E,,,Parowan,UT,84761,,,13:00:00 - 07:00,17:00:00 - 07:00,10/27/16,10/28/16,,
Iron County Courthouse,Iron,Iron County Courthouse,68 S 100 E,,,Parowan,UT,84761,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,10/31/16,,
Iron County Courthouse,Iron,Iron County Courthouse,68 S 100 E,,,Parowan,UT,84761,,,09:00:00 - 07:00,13:00:00 - 07:00,11/1/16,11/2/16,,
Iron County Courthouse,Iron,Iron County Courthouse,68 S 100 E,,,Parowan,UT,84761,,,13:00:00 - 07:00,17:00:00 - 07:00,11/3/16,11/4/16,,
Grantsville Fire Station,Tooele,Grantsville Fire Station,26 N. Center St.,,,Grantsville,UT,84029,,,08:00:00 - 07:00,18:00:00 - 07:00,10/28/16,10/28/16,10/28/2016 08:00 AM to 06:00 PM<br>11/04/2016 08:00 AM to 05:00 PM<br>,1.60E+11
Grantsville Fire Station,Tooele,Grantsville Fire Station,26 N. Center St.,,,Grantsville,UT,84029,,,08:00:00 - 07:00,18:00:00 - 07:00,11/4/16,11/4/16,,
Utah Community Credit Union - Saratoga,Utah,Utah Community Credit Union - Saratoga,1364 North Commerce Drive,,,Saratoga Springs,UT,84045,,,13:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 01:00 PM to 05:00 PM<br>10/26/2016 01:00 PM to 05:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/29/2016 09:00 AM to 02:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 01:00 PM to 05:00 PM<br>11/02/2016 01:00 PM to 05:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Utah Community Credit Union - Saratoga,Utah,Utah Community Credit Union - Saratoga,1364 North Commerce Drive,,,Saratoga Springs,UT,84045,,,09:00:00 - 07:00,14:00:00 - 07:00,10/29/16,10/29/16,,
Utah Community Credit Union - Saratoga,Utah,Utah Community Credit Union - Saratoga,1364 North Commerce Drive,,,Saratoga Springs,UT,84045,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,
Washington City Library,Washington,Washington City Library,220 N 300 E,,,Washington,UT,84780,,,12:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 12:00 PM to 05:00 PM<br>10/26/2016 12:00 PM to 05:00 PM<br>10/27/2016 12:00 PM to 05:00 PM<br>10/28/2016 12:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 06:00 PM<br>11/01/2016 01:00 PM to 06:00 PM<br>11/02/2016 01:00 PM to 06:00 PM<br>11/03/2016 01:00 PM to 06:00 PM<br>11/04/2016 12:00 PM to 05:00 PM<br>,1.60E+11
Washington City Library,Washington,Washington City Library,220 N 300 E,,,Washington,UT,84780,,,13:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/3/16,,
Washington City Library,Washington,Washington City Library,220 N 300 E,,,Washington,UT,84780,,,12:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
Emery County Courthouse,Emery,Emery County Courthouse,75 East Main,,,Castle Dale,UT,84513,,,08:30:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 08:30 AM to 05:00 PM<br>10/26/2016 08:30 AM to 05:00 PM<br>10/27/2016 08:30 AM to 05:00 PM<br>10/28/2016 08:30 AM to 05:00 PM<br>10/31/2016 08:30 AM to 05:00 PM<br>11/01/2016 08:30 AM to 05:00 PM<br>11/02/2016 08:30 AM to 05:00 PM<br>11/03/2016 08:30 AM to 05:00 PM<br>11/04/2016 08:30 AM to 05:00 PM<br>,1.60E+11
Emery County Courthouse,Emery,Emery County Courthouse,75 East Main,,,Castle Dale,UT,84513,,,08:30:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,
Springville Civic Center,Utah,Springville Civic Center,110 S Main St,,,Springville,UT,84663,,,13:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 01:00 PM to 05:00 PM<br>10/26/2016 01:00 PM to 05:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 01:00 PM to 05:00 PM<br>11/02/2016 01:00 PM to 05:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Springville Civic Center,Utah,Springville Civic Center,110 S Main St,,,Springville,UT,84663,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,
Box Elder County Courthouse,Box Elder,Box Elder County Courthouse,01 South Main Street,,,Brigham City,UT,84302,,,08:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 08:00 AM to 05:00 PM<br>10/26/2016 08:00 AM to 05:00 PM<br>10/27/2016 08:00 AM to 05:00 PM<br>10/28/2016 08:00 AM to 05:00 PM<br>10/31/2016 08:00 AM to 05:00 PM<br>11/01/2016 08:00 AM to 05:00 PM<br>11/02/2016 08:00 AM to 05:00 PM<br>11/03/2016 08:00 AM to 05:00 PM<br>11/04/2016 08:00 AM to 05:00 PM<br>,1.60E+11
Box Elder County Courthouse,Box Elder,Box Elder County Courthouse,01 South Main Street,,,Brigham City,UT,84302,,,08:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,
Tremonton Senior Center,Box Elder,Tremonton Senior Center,510 West 1000 North,,,Tremonton,UT,84337,,,08:00:00 - 07:00,17:00:00 - 07:00,11/1/16,11/3/16,11/01/2016 08:00 AM to 05:00 PM<br>11/02/2016 08:00 AM to 05:00 PM<br>11/03/2016 08:00 AM to 05:00 PM<br>,1.60E+11
Sanpete County Clerk's Office,Sanpete,Sanpete County Clerk's Office,160 North Main,Room 202,,Manti,UT,84642,,,07:10:00 - 07:00,17:50:00 - 07:00,10/8/14,9/9/14,10/08/2014 07:10 AM to 05:50 PM<br>10/09/2014 07:10 AM to 05:50 PM<br>10/14/2014 07:10 AM to 05:50 PM<br>10/15/2014 07:10 AM to 05:50 PM<br>10/16/2014 07:10 AM to 05:50 PM<br>10/20/2014 07:10 AM to 05:50 PM<br>10/21/2014 07:10 AM to 05:50 PM<br>10/22/2014 07:10 AM to 05:50 PM<br>10/23/2014 07:10 AM to 05:50 PM<br>10/27/2014 07:10 AM to 05:50 PM<br>10/28/2014 07:10 AM to 05:50 PM<br>10/29/2014 07:10 AM to 05:50 PM<br>10/30/2014 07:10 AM to 05:50 PM<br>,1.60E+11
Sanpete County Clerk's Office,Sanpete,Sanpete County Clerk's Office,160 North Main,Room 202,,Manti,UT,84642,,,07:10:00 - 07:00,17:50:00 - 07:00,10/14/16,10/16/16,,
Sanpete County Clerk's Office,Sanpete,Sanpete County Clerk's Office,160 North Main,Room 202,,Manti,UT,84642,,,07:10:00 - 07:00,17:50:00 - 07:00,10/20/16,10/23/16,,
Sanpete County Clerk's Office,Sanpete,Sanpete County Clerk's Office,160 North Main,Room 202,,Manti,UT,84642,,,07:10:00 - 07:00,17:50:00 - 07:00,10/27/16,10/30/16,,
St George City Office,Washington,St George City Office,175 E 200 N,,,Saint George,UT,84770,,,09:00:00 - 07:00,16:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 09:00 AM to 04:00 PM<br>10/26/2016 09:00 AM to 04:00 PM<br>10/27/2016 09:00 AM to 04:00 PM<br>10/28/2016 09:00 AM to 04:00 PM<br>10/31/2016 10:00 AM to 05:00 PM<br>11/01/2016 10:00 AM to 05:00 PM<br>11/02/2016 10:00 AM to 05:00 PM<br>11/03/2016 10:00 AM to 05:00 PM<br>11/04/2016 10:00 AM to 05:00 PM<br>,1.60E+11
St George City Office,Washington,St George City Office,175 E 200 N,,,Saint George,UT,84770,,,10:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,
Enoch City Offices,Iron,Enoch City Offices,900 E Midvalley Rd,,,Enoch,UT,84721,,,13:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 09:00 AM to 01:00 PM<br>10/26/2016 09:00 AM to 01:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 09:00 AM to 01:00 PM<br>11/02/2016 09:00 AM to 01:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Enoch City Offices,Iron,Enoch City Offices,900 E Midvalley Rd,,,Enoch,UT,84721,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,10/31/16,,
Enoch City Offices,Iron,Enoch City Offices,900 E Midvalley Rd,,,Enoch,UT,84721,,,09:00:00 - 07:00,13:00:00 - 07:00,11/1/16,11/2/16,,
Enoch City Offices,Iron,Enoch City Offices,900 E Midvalley Rd,,,Enoch,UT,84721,,,13:00:00 - 07:00,17:00:00 - 07:00,11/3/16,11/4/16,,
Spanish Fork City Hall,Utah,Spanish Fork City Hall,40 S Main St,,,Spanish Fork,UT,84660,,,12:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 12:00 PM to 05:00 PM<br>10/26/2016 12:00 PM to 05:00 PM<br>10/27/2016 12:00 PM to 05:00 PM<br>10/28/2016 12:00 PM to 05:00 PM<br>10/31/2016 12:00 PM to 05:00 PM<br>11/01/2016 12:00 PM to 05:00 PM<br>11/02/2016 12:00 PM to 05:00 PM<br>11/03/2016 12:00 PM to 05:00 PM<br>11/04/2016 12:00 PM to 05:00 PM<br>,1.60E+11
Spanish Fork City Hall,Utah,Spanish Fork City Hall,40 S Main St,,,Spanish Fork,UT,84660,,,12:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,
Highland City Hall,Utah,Highland City Hall,5400 W Civic Center Dr,,,Highland,UT,84003,,,10:00:00 - 07:00,19:00:00 - 07:00,10/25/16,10/27/16,10/25/2016 10:00 AM to 07:00 PM<br>10/26/2016 10:00 AM to 07:00 PM<br>10/27/2016 10:00 AM to 07:00 PM<br>10/28/2016 10:00 AM to 05:00 PM<br>10/29/2016 09:00 AM to 02:00 PM<br>10/31/2016 10:00 AM to 07:00 PM<br>11/01/2016 10:00 AM to 07:00 PM<br>11/02/2016 10:00 AM to 07:00 PM<br>11/03/2016 10:00 AM to 07:00 PM<br>11/04/2016 10:00 AM to 05:00 PM<br>,1.60E+11
Highland City Hall,Utah,Highland City Hall,5400 W Civic Center Dr,,,Highland,UT,84003,,,10:00:00 - 07:00,17:00:00 - 07:00,10/28/16,10/28/16,,
Highland City Hall,Utah,Highland City Hall,5400 W Civic Center Dr,,,Highland,UT,84003,,,09:00:00 - 07:00,14:00:00 - 07:00,10/29/16,10/29/16,,
Highland City Hall,Utah,Highland City Hall,5400 W Civic Center Dr,,,Highland,UT,84003,,,10:00:00 - 07:00,19:00:00 - 07:00,10/31/16,11/3/16,,
Highland City Hall,Utah,Highland City Hall,5400 W Civic Center Dr,,,Highland,UT,84003,,,10:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
Dixie State University (Gardner Center),Washington,Dixie State University (Gardner Center),225 S 700 E,,,St George,UT,84770,,,12:00:00 - 07:00,16:00:00 - 07:00,11/1/16,11/3/16,11/01/2016 12:00 PM to 04:00 PM<br>11/02/2016 12:00 PM to 04:00 PM<br>11/03/2016 12:00 PM to 04:00 PM<br>,1.60E+11
Piute County Courthouse,Piute,Piute County Courthouse,550 N Main,,,Junction,UT,84723,,,09:00:00 - 07:00,16:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 09:00 AM to 04:00 PM<br>10/26/2016 09:00 AM to 04:00 PM<br>10/27/2016 09:00 AM to 04:00 PM<br>10/28/2016 09:00 AM to 04:00 PM<br>10/31/2016 09:00 AM to 04:00 PM<br>11/01/2016 09:00 AM to 04:00 PM<br>11/02/2016 09:00 AM to 04:00 PM<br>11/03/2016 09:00 AM to 04:00 PM<br>11/04/2016 09:00 AM to 05:00 PM<br>,1.60E+11
Piute County Courthouse,Piute,Piute County Courthouse,550 N Main,,,Junction,UT,84723,,,09:00:00 - 07:00,16:00:00 - 07:00,10/31/16,11/3/16,,
Piute County Courthouse,Piute,Piute County Courthouse,550 N Main,,,Junction,UT,84723,,,09:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
