office-name,official-title,ocd-division,homepage-url,phone,email,Preceinct (if noted),Location Name,street,directions,city,state,zip,start_time,end_time,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,GLA,Anderson County High,130 Maverick Circle,,Clinton,TN,37716,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,GLW,Glenwood Elementary School,125 Audubon Rd.,,Oak Ridge,TN,37830,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,HCR,Emory Valley Center,715 Emory Valley Rd.,,Oak Ridge,TN,37830,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,HVW,Midtown Community Center (Wildcat Den),102 Robertsville Road,,Oak Ridge,TN,37830,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,LCC,Lake City Community Center,916 N. Main St.,,Lake City,TN,37769,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,LMS,Lake City Middle School,1132 S. Main St.,,Lake City,TN,37769,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,MRL,Grand Oaks Elementary School,1033 Oliver Springs Highway,,Clinton,TN,37716,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,NCL,National Guard Armory,185 JD Yarnell Pkwy,,Clinton,TN,37716,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,NOR,Norris Community Center,20 Chesnut Dr.,,Norris,TN,37828,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,NRW,Norwood Middle School,655 Tri-County Blvd.,,Oliver Springs,TN,37840,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,OCH,Municipal Building,200 S. Tulane Ave.,,Oak Ridge,TN,37380,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,PVL,School Admin Building,304 New York Avenue,,Oak Ridge,TN,37380,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,ROB,Robertsville Middle School,245 Robertsville Road,,Oak Ridge,TN,37380,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,ROS,Scotty Phillips Grocery,6441 New River Highway,,Briceville,TN,37710,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,SCL,South Clinton Elementary School,242 Hiway Drive,,Clinton,TN,37716,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,WDL,Woodland Elementary School,168 Manhattan Dr.,,Oak Ridge,TN,37830,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,WHL,Linden Elementary School,700 Robertsville Rd.,,Oak Ridge,TN,37380,,,
Bedford County,County Election Commission,ocd-division/country:us/state:tn/county:bedford,http://www.bedfordcountytn.org/election.html,(931) 684-0531,summer.leverette@bedfordcountytn.org,101,Wartrace Baptist Church,105 Vine St. N,,Wartrace,TN,37183,,,confirmed via website
Bedford County,County Election Commission,ocd-division/country:us/state:tn/county:bedford,http://www.bedfordcountytn.org/election.html,(931) 684-0531,summer.leverette@bedfordcountytn.org,203,Fair Haven Baptist Church,2726 Hwy 231 N,,Shelbyville,TN,37160,,,confirmed via website
Bedford County,County Election Commission,ocd-division/country:us/state:tn/county:bedford,http://www.bedfordcountytn.org/election.html,(931) 684-0531,summer.leverette@bedfordcountytn.org,502,Flat Creek Community Center,115 New Herman Rd,,Shelbyville,TN,37160,,,confirmed via website
Bedford County,County Election Commission,ocd-division/country:us/state:tn/county:bedford,http://www.bedfordcountytn.org/election.html,(931) 684-0531,summer.leverette@bedfordcountytn.org,601,East Side School,421 Elliot St.,,Shelbyville,TN,37160,,,confirmed via website
Bedford County,County Election Commission,ocd-division/country:us/state:tn/county:bedford,http://www.bedfordcountytn.org/election.html,(931) 684-0531,summer.leverette@bedfordcountytn.org,701,Deery Eakin School,1100 Glen Oaks Rd.,,Shelbyville,TN,37160,,,confirmed via website
Bedford County,County Election Commission,ocd-division/country:us/state:tn/county:bedford,http://www.bedfordcountytn.org/election.html,(931) 684-0531,summer.leverette@bedfordcountytn.org,801,Thomas School,515 Tate Avenue,,Shelbyville,TN,37160,,,confirmed via website
Bedford County,County Election Commission,ocd-division/country:us/state:tn/county:bedford,http://www.bedfordcountytn.org/election.html,(931) 684-0531,summer.leverette@bedfordcountytn.org,902,South Side School,903 South Cannon Blvd.,,Shelbyville,TN,37160,,,confirmed via website
Bedford County,County Election Commission,ocd-division/country:us/state:tn/county:bedford,http://www.bedfordcountytn.org/election.html,(931) 684-0531,summer.leverette@bedfordcountytn.org,201,Barton Gym at Webb Schl,319 Webb Rd E,,Bell Buckle,TN,37020,,,confirmed via website
Bedford County,County Election Commission,ocd-division/country:us/state:tn/county:bedford,http://www.bedfordcountytn.org/election.html,(931) 684-0531,summer.leverette@bedfordcountytn.org,505,Normandy First Baptist Church,100 Center St,,Normandy,TN,37360,,,confirmed via website
Bedford County,County Election Commission,ocd-division/country:us/state:tn/county:bedford,http://www.bedfordcountytn.org/election.html,(931) 684-0531,summer.leverette@bedfordcountytn.org,303,Unionville Fire Dept,3372 Hwy 41-A N.,,Unionville,TN,37180,,,confirmed via website
Benton County,County Election Commission,ocd-division/country:us/state:tn/county:benton,http://bentoncountytnelectioncommission.com/,(731) 584-6144,becoelections@gmail.com,1,Holladay School,148 Stokes Road,,Holladay,TN,38341,,,
Benton County,County Election Commission,ocd-division/country:us/state:tn/county:benton,http://bentoncountytnelectioncommission.com/,(731) 584-6144,becoelections@gmail.com,2,Camden Jr. High School,75 Schools Drive,,Camden,TN,38320,,,
Benton County,County Election Commission,ocd-division/country:us/state:tn/county:benton,http://bentoncountytnelectioncommission.com/,(731) 584-6144,becoelections@gmail.com,3,Camden City Hall ,110 Highway 641 S,,Camden,TN,38320,,,
Benton County,County Election Commission,ocd-division/country:us/state:tn/county:benton,http://bentoncountytnelectioncommission.com/,(731) 584-6144,becoelections@gmail.com,4,Camden Elementary School,208 Washington Avenue,,Camden,TN,38320,,,
Benton County,County Election Commission,ocd-division/country:us/state:tn/county:benton,http://bentoncountytnelectioncommission.com/,(731) 584-6144,becoelections@gmail.com,5,Camden Public Library,124 S. Church Avenue,,Camden,TN,38320,,,
Benton County,County Election Commission,ocd-division/country:us/state:tn/county:benton,http://bentoncountytnelectioncommission.com/,(731) 584-6144,becoelections@gmail.com,6,Big Sandy School,13305 Highway 69 A,,Big Sandy,TN,38221,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,1,Old Dill School,8320 Brockdell Rd,,Pikeville,TN,37367,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,2,Griffith Fire Dept.,5619 Griffith Rd.,,Pikeville,TN,37367,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,3,Mary V. Wheeler School,33073 SR 30 West,,Pikeville,TN,37367,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,4,Cold Springs Community Bldg.,15396 Old State Hwy 28,,Pikeville,TN,37367,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,5,Luminary Community Bldg.,13002 Summer City Rd.,,Spring CIty,TN,37381,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,6,Brayton Community Bldg.,10657 Hendon Rd.,,Graysville,TN,37338,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,7,Cecil B. Rigsby School,8231 New Harmony Rd.,,Pikeville,TN,37367,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,8,Bledsoe County Courthouse,3150 Main Street,,Pikeville,TN,37367,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,10,Bellview Community Bldg.,3141 Bellview Rd.,,Pikeville,TN,37367,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,11,Nine Mile Fire Dept.,21008 Old State Hwy 28,,Pikeville,TN,37367,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,12,Bledsoe County Middle School,857 Main Street,,Pikeville,TN,37367,,,
Bledsoe County,County Election Commission,ocd-division/country:us/state:tn/county:bledsoe,,(423) 447-2776,bledsoe.commission@tn.gov,13,Lusk Community Bldg.,5049 Old State Hwy 28,,Dunlap,TN,37327,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,1,Alcoa High School Auxillary Gym,1205 Lodge St.,,Alcoa,TN,37701,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,2,Beech Grove Baptist Church Family Life Center,1519 Topside Rd.,,Louisville,TN,37777,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,3,Big Springs Community Building Club,802 Kirk Rd.,,Greenback,TN,37742,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,4,Blount County Board of Education Building,831 Grandview Dr.,,Maryville,TN,37803,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,5,Carpenter Middle School,722 Huffstetler Road,,Maryville,TN,37803,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,6,Chilhowee View Community Club Building,3229 Wilkinson Pike,,Maryville,TN,37803,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,7,Eagleton Middle School Cafeteria,2610 Cinema Dr.,,Maryville,TN,37804,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,8,Eagleton Middle School Gym,2610 Cinema Dr.,,Maryville,TN,37804,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,9,Everett Recreation Center,318 S. Everett High Rd.,,Maryville,TN,37804,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,10,Fairview Elementary School,2130 Old Niles Ferry Rd.,,Maryville,TN,37804,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,11,Friendsville Elementary School,210 East Fourth Ave.,,Friendsville,TN,37737,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,12,Happy Valley Community Building,6468 Happy Valley Rd.,,Tallassee,TN,37878,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,13,Heritage Middle School,3737 East Lamar Alexander Pkwy,,Maryville,TN,37804,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,14,John Sevier Elementary School,2001 Sequoyah Ave,,Maryville,TN,37804,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,15,Lanier Elementary School,6006 Lanier Rd.,,Maryville,TN,37801,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,16,Louisville Town Hall,3623 Louisville Rd.,,Louisville,TN,37777,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,26,Oakview Community Club,2680 Ellejoy Rd.,,Walland,TN,37882,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,17,Martin Luther King Center,209 East Franklin St.,,Alcoa,TN,37701,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,18,Maryville College Alumni Gym,502 East Lamar Alexander Parkway,,Maryville,TN,37803,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,19,Maryville High School,825 Lawrence Avenue,,Maryville,TN,37803,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,20,Maryville Jr. High School,805 Montvale Station Rd.,,Maryville,TN,37803,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,21,Maryville Municipal Building,400 West Broadway Avenue,,Maryville,TN,37801,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,22,Immanuel United Methodist Church,2349 Mentor Rd.,,Louisville,TN,37777,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,23,Middlesettlements Elementary School,3105 Miser Station Rd.,,Louisville,TN,37777,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,24,Emmanuel Nazarene Church,1015 North Union Grove Rd.,,Friendsville,TN,37737,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,25,Montvale Elementary School,3128 Montvale Rd.,,Maryville,TN,37803,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,27,Oak Street Baptist Church,218 Oakdale St.,,Maryville,TN,37801,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,28,"Pellissippi State Community College, Room 144",2731 West Lamar Alexander Pkwy,,Friendsville,TN,37737,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,29,Porter Elementary School,4520 Wilwood Springs Rd.,,Maryville,TN,37804,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,30,Rockford Elementary School,3728 Williams Mill Rd.,,Rockford,TN,37853,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,31,Prospect Elementary School,1535 Burnett Station Rd.,,Seymour,TN,37865,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,32,Townsend Elementary School,140 Tiger Drive,,Townsend,TN,37822,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,33,Walland Elementary School,247 East Miller's Cove Rd.,,Walland,TN,37886,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,34,William Blount High School,219 County Farm Rd.,,Maryville,TN,37801,,,
Blount County,County Election Commission,ocd-division/country:us/state:tn/county:blount,http://www.blounttn.org/election/,(865) 273-5920,elections@blounttn.org,35,William Blount Ninth Grade Academy,1126 William Blount Drive,,Maryville,TN,37801,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,101,McDonald Ruritan Club,170 McDonald School Rd.,,McDonald,TN,37353,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,102,Prospect High School,2450 Prospect School Road,,Cleveland,TN,37311,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,103,Hopewell Elementary School,5350 Freewill Rd. NW,,Cleveland,TN,37312,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,201,Elementary School,4340 Mouse Creek Road NW,,Cleveland,TN,37312,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,202,Walker Valley High School,750 Lauderdale Memorial Hwy,,Cleveland,TN,37312,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,301,Lee University Administratin Building,1120 North Ocoee Street,,Cleveland,TN,37311,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,302,Senior Center,230 Urbane Rd.,,Cleveland,TN,37311,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,401,Oak Grove Elementary School,400 DURKEE RD SE,,Cleveland,TN,37323,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,402,Michigan Avenue School,188 Michigan Ave School Rd,,Cleveland,TN,37323,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,501,Blythe-Bower Elementary School,604 20th Street SE,,Cleveland,TN,37311,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,502,Museum at 5ive Points,200 Inman St. East,,Cleveland,TN,37311,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,601,Valley View Elementary School,5607 Spring Place Rd SE,,Cleveland,TN,37323,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,602,Old Blue Springs School Gym,4832 Blue Springs Rd,,Cleveland,TN,37311,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,603,Waterville Elementary School,4081 Dalton Pike SE,,Cleveland,TN,37311,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,604,Black Fox Elementary School,3119 Varnell Rd SW,,Cleveland,TN,37311,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,701,Stuart Elementary School,"802 20th St., NW",,Cleveland,TN,37311,,,
Bradley County,County Election Commission,ocd-division/country:us/state:tn/county:bradley,http://bradleyelections.com/,(423) 728-7115,fgreen@bradleyelections.com,702,Cleveland High School,850 Raider Drive,,Cleveland,TN,37311,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,ALSP,"Rural Fire Station #4, Alder Springs",4422 Victory Rd,,Lafollette,TN,37766,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,CARY,Caryville Elementary School,120 Cardinal Circle,,Caryville,TN,37714,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,CCHS,Campbell County High School,150 Cougar Ln.,,Lafollette,TN,37766,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,CLMR,Stoney Fork Fire Station,129 Clinchmore Rd,,Caryville,TN,37714,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,COHL,Cedar Hill Baptist Church,636 Demory Road,,Lafollette,TN,37766,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,DAVC,Davis Chapel Community Center,1073 Davis Chapel Rd,,Lafollette,TN,37766,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,DEMR,Stooksbury Lodge Building,131 Shanghai Rd.,,Lafollette,TN,37766,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,ELAF,Lafollette Middle School,"1309 E. Central Ave.,",,Lafollette,TN,37766,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,ELKV,Elk Valley School,6691 Highway 297,,Pioneer,TN,37847,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,HABR,Wynn-Habersham School,174 Habersham RD,,Duff,TN,37729,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,JACK,Jacksboro Middle School,150 Eagle Circle,,Jacksboro,TN,37757,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,JELL,Jellico Elementary School,551 Sunset Trail,,Jellico,TN,37762,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,JSTA,Nation Guard Armory,301 Industrial Parkway,,Jacksboro,TN,37757,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,LELM,Lafollette Elem. School,195 Myers Ln.,,Lafollette,TN,37766,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,NEWC,Newcomb Baptist Church Fellowship Hall,151 Wooldridge Pike,,Newcomb,TN,37819,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,PNCR,Pinecrest Volunteer Fire Dept.,120 Firehouse Lane,,Jacksboro,TN,37757,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,RDGW,Lake City Church of Christ,2817 Highway 116,,Caryville,TN,37714,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,VALV,Valley View School,1187 Old Middlesboro Hwy.,,Lafollette,TN,37766,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,WHTO,White Oak School,5634 White Oak Rd,,Duff,TN,37729,,,
Campbell County,County Election Commission,ocd-division/country:us/state:tn/county:campbell,http://www.campbellelections.com/,(423) 562-9777,annayers@campbellcountygov.com,WLAF,West Lafollette School,250 W. Beech S,,Lafollette,TN,37766,,,
