office-name,official-title,ocd-division,division - description,homepage - url,phone,email,location name,street,city,state,zip,start_time,end_time,start_date,end_date
Canadian County,County Clerk,ocd-division/country:us/state:ok/county:canadian,Canadian County OK,,405-422-2422,,,200 S Bickford Ave,El Reno,OK,73036,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Carter County,County Clerk,ocd-division/country:us/state:ok/county:carter,Carter County OK,,580-223-5290,,Courthouse Annex #1,106 Hinkle St SW,El Reno,OK,73036,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Carter County,County Clerk,ocd-division/country:us/state:ok/county:carter,Carter County OK,,580-223-5290,,Courthouse Annex #1,106 Hinkle St SW,El Reno,OK,73036,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Cherokee County,County Clerk,ocd-division/country:us/state:ok/county:cherokee,Cherokee County OK,,918-456-2261,,,914 S College Ave,Tahlequah,OK,74464,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Cherokee County,County Clerk,ocd-division/country:us/state:ok/county:cherokee,Cherokee County OK,,918-456-2261,,,914 S College Ave,Tahlequah,OK,74464,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Choctaw County,County Clerk,ocd-division/country:us/state:ok/county:choctaw,Choctaw County OK ,,580-326-5164,,County Courthouse,300 E Duke St,Hugo,OK,74743,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Choctaw County,County Clerk,ocd-division/country:us/state:ok/county:choctaw,Choctaw County OK ,,580-326-5164,,County Courthouse,300 E Duke St,Hugo,OK,74743,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Cimarron County,County Clerk,ocd-division/country:us/state:ok/county:cimarron,Cimarron County OK,,580-544-3377,,County Courthouse,1 Courthouse Square,Boise City,OK,73933,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Cimarron County,County Clerk,ocd-division/country:us/state:ok/county:cimarron,Cimarron County OK,,580-544-3377,,County Courthouse,1 Courthouse Square,Boise City,OK,73933,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Cleveland County,County Clerk,ocd-division/country:us/state:ok/county:cleveland,Cleveland County OK,,405-366-0210,,,641 E Robinson St,Norman,OK,73071,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Cleveland County,County Clerk,ocd-division/country:us/state:ok/county:cleveland,Cleveland County OK,,405-366-0210,,,641 E Robinson St,Norman,OK,73071,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Coal County,County Clerk,ocd-division/country:us/state:ok/county:coal,Coal County OK,,580-927-3456,,,18 N Michigan St,Coalgate,OK,74538,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Coal County,County Clerk,ocd-division/country:us/state:ok/county:coal,Coal County OK,,580-927-3456,,,18 N Michigan St,Coalgate,OK,74538,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Comanche County,County Clerk,ocd-division/country:us/state:ok/county:comanche,Comanche County OK,,580-353-1880,,County Courthouse,315 SW 5th St,Lawton,OK,73501,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Comanche County,County Clerk,ocd-division/country:us/state:ok/county:comanche,Comanche County OK,,580-353-1880,,County Courthouse,315 SW 5th St,Lawton,OK,73501,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Cotton County,County Clerk,ocd-division/country:us/state:ok/county:cotton,Cotton County OK,,580-875-3403,,County Courthouse,301 N Broadway St,Walters,OK,73572,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Cotton County,County Clerk,ocd-division/country:us/state:ok/county:cotton,Cotton County OK,,580-875-3403,,County Courthouse,301 N Broadway St,Walters,OK,73572,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Craig County,County Clerk,ocd-division/country:us/state:ok/county:craig,Craig County OK,,918-256-7559,,,210 W Delaware Ave,Vinita,OK,74301,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Craig County,County Clerk,ocd-division/country:us/state:ok/county:craig,Craig County OK,,918-256-7559,,,210 W Delaware Ave,Vinita,OK,74301,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Creek County,County Clerk,ocd-division/country:us/state:ok/county:creek,Creek County OK,,918-224-3529,,,230 E Hobson Ave,Sapulpa,OK,74066,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Creek County,County Clerk,ocd-division/country:us/state:ok/county:creek,Creek County OK,,918-224-3529,,,230 E Hobson Ave,Sapulpa,OK,74066,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Custer County,County Clerk,ocd-division/country:us/state:ok/county:custer,Custer County OK,,580-323-5124,,,633 N 6th St,Clinton,OK,73601,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Custer County,County Clerk,ocd-division/country:us/state:ok/county:custer,Custer County OK,,580-323-5124,,,633 N 6th St,Clinton,OK,73601,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Delaware County,County Clerk,ocd-division/country:us/state:ok/county:delaware,Delaware County OK,,918-253-8762,,,225 S 5th St,Henryetta,OK,74437,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Delaware County,County Clerk,ocd-division/country:us/state:ok/county:delaware,Delaware County OK,,918-253-8762,,,225 S 5th St,Henryetta,OK,74437,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Dewey County,County Clerk,ocd-division/country:us/state:ok/county:dewey,Dewey County OK,,580-328-5668,,County Courthouse Basement,RUBLE Ave At S Broadway St,Taloga,OK,73667,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Dewey County,County Clerk,ocd-division/country:us/state:ok/county:dewey,Dewey County OK,,580-328-5668,,County Courthouse Basement,RUBLE Ave At S Broadway St,Taloga,OK,73667,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Ellis County,County Clerk,ocd-division/country:us/state:ok/county:ellis,Ellis County OK,,580-885-7721,,County Courthouse ,101 S Washington St,Arnett,OK,73832,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Ellis County,County Clerk,ocd-division/country:us/state:ok/county:ellis,Ellis County OK,,580-885-7721,,County Courthouse ,101 S Washington St,Arnett,OK,73832,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Garfield County,County Clerk,ocd-division/country:us/state:ok/county:garfield,Garfield County OK,,580-237-6016,,,903 Failing Dr,Enid,OK,73701,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Garfield County,County Clerk,ocd-division/country:us/state:ok/county:garfield,Garfield County OK,,580-237-6016,,,903 Failing Dr,Enid,OK,73701,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Garvin County,County Clerk,ocd-division/country:us/state:ok/county:garvin,Garvin County OK,,405-238-3303,,County Courthouse ,201 W Grant Ave,Pauls Valley,OK,73075,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Garvin County,County Clerk,ocd-division/country:us/state:ok/county:garvin,Garvin County OK,,405-238-3303,,County Courthouse ,201 W Grant Ave,Pauls Valley,OK,73075,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Grady County,County Clerk,ocd-division/country:us/state:ok/county:grady,Grady County OK,,405-224-1430,,,307 W Pennsylvania Ave,Chickasha,OK,73018,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Grady County,County Clerk,ocd-division/country:us/state:ok/county:grady,Grady County OK,,405-224-1430,,,307 W Pennsylvania Ave,Chickasha,OK,73018,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Grant County,County Clerk,ocd-division/country:us/state:ok/county:grant,Grant County OK,,580-395-2862,,County Courthouse,112 E Guthrie St,Medford,OK,73759,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Grant County,County Clerk,ocd-division/country:us/state:ok/county:grant,Grant County OK,,580-395-2862,,County Courthouse,112 E Guthrie St,Medford,OK,73759,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Greer County,County Clerk,ocd-division/country:us/state:ok/county:greer,Greer County OK,,580-782-2307,,County Courthouse ,106 E Jefferson St,Mangum,OK,73554,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Greer County,County Clerk,ocd-division/country:us/state:ok/county:greer,Greer County OK,,580-782-2307,,County Courthouse ,106 E Jefferson St,Mangum,OK,73554,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Harmon County,County Clerk,ocd-division/country:us/state:ok/county:harmon,Harmon County OK,,580-688-2460,,County Courthouse,114 W Hollis St,Hollis,OK,73550,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Harmon County,County Clerk,ocd-division/country:us/state:ok/county:harmon,Harmon County OK,,580-688-2460,,County Courthouse,114 W Hollis St,Hollis,OK,73550,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Harper County,County Clerk,ocd-division/country:us/state:ok/county:harper,Harper County OK,,580-735-2313,,County Courthouse ,311 SE 1st St,Buffalo,OK,73834,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Harper County,County Clerk,ocd-division/country:us/state:ok/county:harper,Harper County OK,,580-735-2313,,County Courthouse ,311 SE 1st St,Buffalo,OK,73834,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Haskell County,County Clerk,ocd-division/country:us/state:ok/county:haskell,Haskell County OK,,918-967-8792,,County Courthouse Annex,202 E Main St,Stigler,OK,74462,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Haskell County,County Clerk,ocd-division/country:us/state:ok/county:haskell,Haskell County OK,,918-967-8792,,County Courthouse Annex,202 E Main St,Stigler,OK,74462,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Hughes County,County Clerk,ocd-division/country:us/state:ok/county:hughes,Hughes County OK,,405-379-2174,,County Courthouse,200 N Broadway St,Holdenville,OK,74848,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Hughes County,County Clerk,ocd-division/country:us/state:ok/county:hughes,Hughes County OK,,405-379-2174,,County Courthouse,200 N Broadway St,Holdenville,OK,74848,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Jackson County,County Clerk,ocd-division/country:us/state:ok/county:jackson,Jackson County OK,,580-482-2370,,County Courthouse,101 N Main St,Altus,OK,73521,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Jackson County,County Clerk,ocd-division/country:us/state:ok/county:jackson,Jackson County OK,,580-482-2370,,County Courthouse,101 N Main St,Altus,OK,73521,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Jefferson County,County Clerk,ocd-division/country:us/state:ok/county:jefferson,Jefferson County OK,,580-228-3150,,County Courthouse,220 N Main St,Waurika,OK,73573,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Jefferson County,County Clerk,ocd-division/country:us/state:ok/county:jefferson,Jefferson County OK,,580-228-3150,,County Courthouse,220 N Main St,Waurika,OK,73573,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Johnston County,County Clerk,ocd-division/country:us/state:ok/county:johnston,Johnston County OK,,580-371-3670,,,705 W Main St,Jenks,OK,74037,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Johnston County,County Clerk,ocd-division/country:us/state:ok/county:johnston,Johnston County OK,,580-371-3670,,,705 W Main St,Jenks,OK,74037,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Kay County,County Clerk,ocd-division/country:us/state:ok/county:kay,Kay County OK,,580-362-2130,,County Courthouse,201 S Main St,Newkirk,OK,74647,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Kay County,County Clerk,ocd-division/country:us/state:ok/county:kay,Kay County OK,,580-362-2130,,County Courthouse,201 S Main St,Newkirk,OK,74647,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Kingfisher County,County Clerk,ocd-division/country:us/state:ok/county:kingfisher,Kingfisher County OK,,405-375-3895,,County Courthouse,101 S Main St,Kingfisher,OK,73750,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Kingfisher County,County Clerk,ocd-division/country:us/state:ok/county:kingfisher,Kingfisher County OK,,405-375-3895,,County Courthouse,101 S Main St,Kingfisher,OK,73750,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Kiowa County,County Clerk,ocd-division/country:us/state:ok/county:kiowa,Kiowa County OK,,580-726-2509,,,215 N Lincoln St,Hobart,OK,73651,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Kiowa County,County Clerk,ocd-division/country:us/state:ok/county:kiowa,Kiowa County OK,,580-726-2509,,,215 N Lincoln St,Hobart,OK,73651,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Latimer County,County Clerk,ocd-division/country:us/state:ok/county:latimer,Latimer County OK,,918-465-3703,,County Courthouse,109 N Central St,Wilburton,OK,74578,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Latimer County,County Clerk,ocd-division/country:us/state:ok/county:latimer,Latimer County OK,,918-465-3703,,County Courthouse,109 N Central St,Wilburton,OK,74578,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
LeFlore County,County Clerk,ocd-division/country:us/state:ok/county:le_flore,LeFlore County OK,,918-647-3701,,,103 N Church St,Poteau,OK,74953,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
LeFlore County,County Clerk,ocd-division/country:us/state:ok/county:le_flore,LeFlore County OK,,918-647-3701,,,103 N Church St,Poteau,OK,74953,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Lincoln County,County Clerk,ocd-division/country:us/state:ok/county:lincoln,Lincoln County OK,,405-258-1349,,County Courthouse,811 Manvel Ave,Chandler,OK,74834,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Lincoln County,County Clerk,ocd-division/country:us/state:ok/county:lincoln,Lincoln County OK,,405-258-1349,,County Courthouse,811 Manvel Ave,Chandler,OK,74834,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Logan County,County Clerk,ocd-division/country:us/state:ok/county:logan,Logan County OK,,405-282-1900,,,224 E Vilas Ave,Guthrie,OK,73044,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Logan County,County Clerk,ocd-division/country:us/state:ok/county:logan,Logan County OK,,405-282-1900,,,224 E Vilas Ave,Guthrie,OK,73044,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Love County,County Clerk,ocd-division/country:us/state:ok/county:love,Love County OK,,580-276-2242,,County Courthouse,405 W Main St,Marietta,OK,73448,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Love County,County Clerk,ocd-division/country:us/state:ok/county:love,Love County OK,,580-276-2242,,County Courthouse,405 W Main St,Marietta,OK,73448,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
McClain County,County Clerk,ocd-division/country:us/state:ok/county:mcclain,McClain County OK,,405-527-3121,,County Courthouse,121 N 2nd Ave,Purcell,OK,73080,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
McClain County,County Clerk,ocd-division/country:us/state:ok/county:mcclain,McClain County OK,,405-527-3121,,County Courthouse,121 N 2nd Ave,Purcell,OK,73080,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
McCurtain County,County Clerk,ocd-division/country:us/state:ok/county:mccurtain,McCurtain County OK,,580-286-7405,,,104 N Central Ave,Idabel,OK,74745,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
McCurtain County,County Clerk,ocd-division/country:us/state:ok/county:mccurtain,McCurtain County OK,,580-286-7405,,,104 N Central Ave,Idabel,OK,74745,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
McIntosh County,County Clerk,ocd-division/country:us/state:ok/county:mcintosh,McIntosh County OK,,918-689-2452,,County Courthouse,110 N 1st St,Eufaula,OK,74432,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
McIntosh County,County Clerk,ocd-division/country:us/state:ok/county:mcintosh,McIntosh County OK,,918-689-2452,,County Courthouse,110 N 1st St,Eufaula,OK,74432,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Major County,County Clerk,ocd-division/country:us/state:ok/county:major,Major County OK,,580-227-4520,,,500 E Broadway,Allen,OK,74825,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Major County,County Clerk,ocd-division/country:us/state:ok/county:major,Major County OK,,580-227-4520,,,500 E Broadway,Allen,OK,74825,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Marshall County,County Clerk,ocd-division/country:us/state:ok/county:marshall,Marshall County OK,,580-795-5460,,County Courthouse,100 E Main St,Madill,OK,73446,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Marshall County,County Clerk,ocd-division/country:us/state:ok/county:marshall,Marshall County OK,,580-795-5460,,County Courthouse,100 E Main St,Madill,OK,73446,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Mayes County,County Clerk,ocd-division/country:us/state:ok/county:mayes,Mayes County OK,,918-825-1826,,County Courthouse,1 Court Pl,Pryor,OK,74361,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Mayes County,County Clerk,ocd-division/country:us/state:ok/county:mayes,Mayes County OK,,918-825-1826,,County Courthouse,1 Court Pl,Pryor,OK,74361,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Murray County,County Clerk,ocd-division/country:us/state:ok/county:murray,Murray County OK,,580-622-3800,,County Courthouse,1001 W Wyandotte Ave,Sulphur,OK,73086,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Murray County,County Clerk,ocd-division/country:us/state:ok/county:murray,Murray County OK,,580-622-3800,,County Courthouse,1001 W Wyandotte Ave,Sulphur,OK,73086,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Muskogee County,County Clerk,ocd-division/country:us/state:ok/county:muskogee,Muskogee County OK,,918-687-8151,,,400 W Broadway St,Muskogee,OK,74401,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Muskogee County,County Clerk,ocd-division/country:us/state:ok/county:muskogee,Muskogee County OK,,918-687-8151,,,400 W Broadway St,Muskogee,OK,74401,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Noble County,County Clerk,ocd-division/country:us/state:ok/county:noble,Noble County OK,,580-336-3527,,County Courthouse,300 Courthouse Dr,Perry,OK,73077,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Noble County,County Clerk,ocd-division/country:us/state:ok/county:noble,Noble County OK,,580-336-3527,,County Courthouse,300 Courthouse Dr,Perry,OK,73077,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Nowata County,County Clerk,ocd-division/country:us/state:ok/county:nowata,Nowata County OK,,918-273-0710,,,228 N Maple St,Nowata,OK,74048,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Nowata County,County Clerk,ocd-division/country:us/state:ok/county:nowata,Nowata County OK,,918-273-0710,,,228 N Maple St,Nowata,OK,74048,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Okfuskee County,County Clerk,ocd-division/country:us/state:ok/county:okfuskee,Okfuskee County OK,,918-623-0105,,County Courthouse,209 N 3rd St,Okemah,OK,74859,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Okfuskee County,County Clerk,ocd-division/country:us/state:ok/county:okfuskee,Okfuskee County OK,,918-623-0105,,County Courthouse,209 N 3rd St,Okemah,OK,74859,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Oklahoma County,County Clerk,ocd-division/country:us/state:ok/county:oklahoma,Oklahoma County OK,,405-713-1515,,,4201 N Lincoln Blvd,Oklahoma City,OK,73105,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Oklahoma County,County Clerk,ocd-division/country:us/state:ok/county:oklahoma,Oklahoma County OK,,405-713-1515,,,4201 N Lincoln Blvd,Oklahoma City,OK,73105,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Okmulgee County,County Clerk,ocd-division/country:us/state:ok/county:okmulgee,Okmulgee County OK,,918-756-2365,,County Courthouse,314 W 7th St,Okmulgee,OK,74447,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Okmulgee County,County Clerk,ocd-division/country:us/state:ok/county:okmulgee,Okmulgee County OK,,918-756-2365,,County Courthouse,314 W 7th St,Okmulgee,OK,74447,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Osage County,County Clerk,ocd-division/country:us/state:ok/county:osage,Osage County OK,,918-287-3036,,,630 Kihekah Ave,Pawhuska,OK,74056,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Osage County,County Clerk,ocd-division/country:us/state:ok/county:osage,Osage County OK,,918-287-3036,,,630 Kihekah Ave,Pawhuska,OK,74056,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Ottawa County,County Clerk,ocd-division/country:us/state:ok/county:ottawa,Ottawa County OK,,918-542-2893,,County Courthouse,123 E Central Ave,Miami,OK,74354,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Ottawa County,County Clerk,ocd-division/country:us/state:ok/county:ottawa,Ottawa County OK,,918-542-2893,,County Courthouse,123 E Central Ave,Miami,OK,74354,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Pawnee County,County Clerk,ocd-division/country:us/state:ok/county:pawnee,Pawnee County OK,,918-762-2125,,County Courthouse,500 Harrison St,Pawnee,OK,74058,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Pawnee County,County Clerk,ocd-division/country:us/state:ok/county:pawnee,Pawnee County OK,,918-762-2125,,County Courthouse,500 Harrison St,Pawnee,OK,74058,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
