office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,mailing-street,mailing-city,mailing-state,mailing-zip
Baileyville Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:baileyville,Baileyville Town ME,,(207) 427-3442,,63 Broadway Street,Baileyville,ME,04694,PO Box 370,Baileyville,ME,04694
Baldwin Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:baldwin,Baldwin Town ME,,(207) 625-3581,,534 Pequawket Trail,West Baldwin,ME,04091,,,,
Bancroft Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bancroft,Bancroft Town ME,,(207) 456-7542,,18 Schoolhouse Rd,Bancroft,ME,04497,,,,
Bangor City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bangor,Bangor City ME,,(207) 992-4200,,73 Harlow Street,Bangor,ME,04401,,,,
Bar Harbor Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bar_harbor,Bar Harbor Town ME,,(207) 288-4098,,93 Cottage St Suite I,Barharbor,ME,04609,,,,
Baring Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:baring,Baring Plantation ME,,(207) 454-2107,,39 Front,Baring Plt,ME,04694,,,,
Bath City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bath,Bath City ME,,(207) 443-8332,,55 Front Street,Bath,ME,04530,,,,
Beals Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:beals,Beals Town ME,,(207) 497-2589,,11 Big Pond Road,Beals,ME,04611,PO Box 189,Beals,ME,04611
Beaver Cove Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:beaver_cove,Beaver Cove Town ME,,(207) 695-2880,,795 Lily Bay Rd 101,Beaver Cove,ME,04441,,,,
Beddington Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:beddington,Beddington Town ME,,(207) 638-2514,,1951 State Hwy 193,Beddington,ME,04622,,,,
Belfast City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:belfast,Belfast City ME,,(207) 338-3370,,131 Church Street,Belfast,ME,04915,,,,
Belgrade Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:belgrade,Belgrade Town ME,,(207) 495-2258,,6 Manchester Rd,Belgrade,ME,04917,,,,
Belmont Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:belmont,Belmont Town ME,,(207) 342-5722,,245 Fenwick Road,Belmont,ME,04952,,,,
Benedicta Township,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:benedicta,Benedicta Township ME,,(207) 365-4260,,36 School Street Suite 1,Sherman,ME,04776,,,,
Benton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:benton,Benton Town ME,,(207) 453-7191,,1279 Clinton Ave,Benton,ME,04901,,,,
Berwick Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:berwick,Berwick Town ME,,(207) 698-1101,,11 Sullivan Street,Berwick,ME,03901,,,,
Bethel Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bethel,Bethel Town ME,,(207) 824-2669,,19 Main St.,Bethel,ME,04217,PO Box 1660,Bethel,ME,04217
Biddeford City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:biddeford,Biddeford City ME,,(207) 284-9307,,205 Main Street,Biddeford,ME,04005,,,,
Big Lake Township,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:big_lake,Big Lake Township ME,,(207) 796-2744,,,,ME,,PO Box 408,Princeton,ME,04668
Bingham Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:bingham,Bingham Town ME,,(207) 672-6489,,321 Main Street,Bingham,ME,04920,PO Box 136,Bingham,ME,04920
Bingham Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:bingham,Bingham Town ME,,(207) 672-6489,,321 Main Street,Bingham,ME,04920,PO Box 136,Bingham,ME,04920
Blaine Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:blaine,Blaine Town ME,,(207) 425-2611,,,,ME,,PO Box 190,Blaine,ME,04734
Blue Hill Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:blue_hill,Blue Hill Town ME,,(207) 374-2281,,18 Union Street,Blue Hill,ME,04614,PO Box 412,Blue Hill,ME,04614
Blue Hill Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:blue_hill,Blue Hill Town ME,,(207) 374-2281,,18 Union St,Blue Hill,ME,04614,PO Box 412,Blue Hill,ME,04614
Boothbay Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:boothbay,Boothbay Town ME,,(207) 633-7714,,11 Howard Street,Boothbay Harbor,ME,04538,,,,
Boothbay Harbor Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:boothbay_harbor,Boothbay Harbor Town ME,,(207) 633-2051,,1011 Wiscasset Road,Boothbay,ME,04537,PO Box 106,Boothbay,ME,04537
Boothbay Harbor Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:boothbay_harbor,Boothbay Harbor Town ME,,(207) 633-2051,,1011 Wiscasset Road,Boothbay,ME,04537,PO Box 106,Boothbay,ME,04537
Bowdoin Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bowdoin,Bowdoin Town ME,,(207) 212-6244,,23 Cornish Drive,Bowdoin,ME,04287,,,,
Bowdoinham Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bowdoinham,Bowdoinham Town ME,,(207) 666-5531,,13 School,Bowdoinham,ME,04008,,,,
Bowerbank Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bowerbank,Bowerbank Town ME,,(207) 564-0590,,25 Ram Island Road,Bowerbank,ME,04426,,,,
Bradford Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bradford,Bradford Town ME,,(207) 327-2121,,345 East Road,Bradford,ME,04410,PO Box 26,Bradford,ME,04410
Bradley Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bradley,Bradley Town ME,,(207) 827-7725,,165 B Main St,Bradley,ME,04411,PO Box 517,Bradley,ME,04411
Bremen Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bremen,Bremen Town ME,,(207) 529-5945,,208 Waldoboro Rd,Bremen,ME,04551,PO Box 171,Bremen,ME,04551
Brewer City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:brewer,Brewer City ME,,(207) 989-7050,,80 N Main St,Brewer,ME,04412,,,,
Bridgewater Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bridgewater,Bridgewater Town ME,,(207) 429-9856,,,,ME,,PO Box 215,Bridgewater,ME,04735
Bridgton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bridgton,Bridgton Town ME,,(207) 647-8786,,3 Chase Street Suite 1,Bridgton,ME,04009,,,,
Brighton Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:brighton,Brighton Plantation ME,,(207) 654-2172,,,,ME,,PO Box 126,Athens,ME,04913
Bristol City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bristol,Bristol City ME,,(207) 563-5270,,1268 Bristol Road,Bristol,ME,04539,PO Box 339,Bristol,ME,04539
Brooklin Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,04616,PO Box 219,Brooklin,ME,04616
Brooklin Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:brooklin,Brooklin Town ME,,(207) 359-8394,,23 Bay Road,Brooklin,ME,04616,PO Box 219,Brooklin,ME,04616
Brooks Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:brooks,Brooks Town ME,,(207) 722-3254,,15 Veterans Hwy,Brooks,ME,04921,PO Box 5,Brooks,ME,04921
Brooksville Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:brooksville,Brooksville Town ME,,(207) 326-4518,,,,ME,,PO Box 314,Brooksville,ME,04617
Brookton Township,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:brookton,Brookton Township ME,,(207) 448-2321,,18 Central Street,Danforth,ME,04424,,,,
Brownfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:brownfield,Brownfield Town ME,,(207) 935-2007,,82 Main Street,Brownfield,ME,04010,,,,
Brownville Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:brownville,Brownville Town ME,,(207) 965-2561,,586 Main Rd,Brownville,ME,04414,,,,
Brunswick Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:brunswick,Brunswick Town ME,,(207) 725-6658,,85 Union Street,Brunswick,ME,04011,,,,
Buckfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:buckfield,Buckfield Town ME,,(207) 336-2521,,,,ME,,PO Box 179,Buckfield,ME,04220
Bucksport Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:bucksport,Bucksport Town ME,,(207) 469-7368,,50 Main Street,Bucksport,ME,04416,PO Drawer X,Bucksport,ME,04416
Burlington Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:burlington,Burlington Town ME,,(207) 732-3985,,Long Ridge Road,Burlington,ME,04417,PO Box 70,Burlington,ME,04417
Burnham Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:burnham,Burnham Town ME,,(207) 948-2369,,247 South Horseback Road,Burnham,ME,04922,,,,
Buxton Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,04093,,,,
Buxton Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:buxton,Buxton Town ME,,(207) 929-6171,,185 Portland Road,Buxton,ME,04093,,,,
Byron Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:byron,Byron Town ME,,(207) 364-3194,,1 Byron Village Road,Byron,ME,04275,,,,
Calais City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:calais,Calais City ME,,(207) 454-2521,,11 Church St,Calais,ME,04619,PO Box 413,Calais,ME,04619
Cambridge Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cambridge,Cambridge Town ME,,(207) 277-3241,,202 Ripley Rd.,Cambridge,ME,04923,,,,
Camden Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:camden,Camden Town ME,,(207) 236-3353,,,,ME,,PO Box 1207,Camden,ME,04843
Canaan Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:canaan,Canaan Town ME,,(207) 474-8682,,277 Main Street,Canaan,ME,04924,PO Box 68,Canaan,ME,04924
Canton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:canton,Canton Town ME,,(207) 597-2920,,9 Staples Hill Road,Canton,ME,04221,,,,
Cape Elizabeth Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cape_elizabeth,Cape Elizabeth Town ME,,(207) 799-7665,,,,ME,,PO Box 6260,Cape Elizabeth,ME,04107
Caratunk Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:caratunk,Caratunk Town ME,,(207) 672-3562,,,,ME,,PO Box 180,Caratunk,ME,04925
Caribou City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:caribou,Caribou City ME,,(207) 493-3324,,25 High Street,Caribou,ME,04736,,,,
Carmel Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:carmel,Carmel Town ME,,(207) 848-3361,,Safety Lane,Carmel,ME,04419,PO Box 114,Carmel,ME,04419
Carrabassett Valley Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:carrabassett_valley,Carrabassett Valley Town ME,,(207) 235-2645,,1001 Carriage Rd,Carrabassett Valley,ME,04947,,,,
Carroll Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:carroll,Carroll Plantation ME,,(207) 738-4841,,306 Osgood Road,Carroll Plantation,ME,04487,,,,
Carthage Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:carthage,Carthage Town ME,,(207) 562-8874,,703 A Carthage Road,Carthage,ME,04224,,,,
Cary Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cary,Cary Plantation ME,,(207) 694-4399,,1846 US Hwy 1,Cary Plantation,ME,04471,,,,
Casco Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:casco,Casco Town ME,,(207) 627-4515,,635 Meadow Road,Casco,ME,04015,,,,
Casco Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:casco,Casco Town ME,,(207) 627-4515,,635 Meadow Road,Casco,ME,04015,,,,
Castine Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:castine,Castine Town ME,,(207) 326-4502,,67 Court,Castine,ME,04421,PO Box 204,Castine,ME,04421
Castle Hill Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:castle_hill,Castle Hill Town ME,,(207) 764-3754,,,,ME,,PO Box 500,Mapleton,ME,04757
Castle Hill Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:castle_hill,Castle Hill Town ME,,(207) 764-3754,,,,ME,,PO Box 500,Mapleton,ME,04757
Caswell Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:caswell,Caswell Town ME,,(207) 325-4604,,1025 Van Buren Rd.,Caswell,ME,04750,,,,
Chapman Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:chapman,Chapman Town ME,,(207) 764-3754,,,,ME,,PO Box 500,Mapleton,ME,04757
Chapman Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:chapman,Chapman Town ME,,(207) 764-3754,,,,ME,,PO Box 500,Mapleton,ME,04757
Charleston Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:charleston,Charleston Town ME,,(207) 285-3637,,125 School Road,Charleston,ME,04422,PO Box 120,Charleston,ME,04422
Charlotte Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:charlotte,Charlotte Town ME,,(207) 726-4490,,71 Front St,Pembroke,ME,04666,,,,
Chebeague Island Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:chebeague_island,Chebeague Island Town ME,,(207) 846-3148,,192 North Road,Chebeague Island,ME,04017,,,,
Chelsea Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:chelsea,Chelsea Town ME,,(207) 582-4802,,560 Togus Rd,Chelsea,ME,04330,,,,
Cherryfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cherryfield,Cherryfield Town ME,,(207) 546-2376,,Municipal Way,Cherryfield,ME,04622,PO Box 58,Cherryfield,ME,04622
Chester Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:chester,Chester Town ME,,(207) 794-0052,,43 South Chester Rd,Chester,ME,04457,,,,
Chesterville Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:chesterville,Chesterville Town ME,,(207) 778-2433,,409 Dutch Gap Road,Chesterville,ME,04938,,,,
China Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:china,China Town ME,,(207) 445-2014,,571 Lakeview Drive,China,ME,04358,,,,
Clifton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:clifton,Clifton Town ME,,(207) 843-0709,,135 Airline Road,Clifton,ME,04428,,,,
Clinton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:clinton,Clinton Town ME,,(207) 426-8511,,27 Baker St,Clinton,ME,04927,,,,
Codyville Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:codyville,Codyville Plantation ME,,(207) 796-5157,,North Road,Topsfield,ME,04490,PO Box 59,Topsfield,ME,04490
Columbia Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:columbia,Columbia Town ME,,(207) 483-4067,,8 Point Street,Columbia Falls,ME,04623,PO Box 100,Columbia Falls,ME,04623
Columbia Falls Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:columbia_falls,Columbia Falls Town ME,,(207) 483-2365,,106 Epping Road,Columbia,ME,04623,,,,
Connor Township,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:connor,Connor Township ME,,(207) 493-3324,,25 High Street,Caribou,ME,04736,,,,
Cooper Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cooper,Cooper Town ME,,(207) 454-3448,,296 Cooper Highway,Cooper,ME,04657,,,,
Coplin Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:coplin,Coplin Plantation ME,,(207) 246-5141,,5 Currie Street,Coplin Plantation,ME,04982,PO Box 319,Coplin Plantation,ME,04982
Corinna Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:corinna,Corinna Town ME,,(207) 278-4183,,8 Levi Stewart Drive,Corinna,ME,04928,,,,
Corinth Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:corinth,Corinth Town ME,,(207) 285-3271,,,,ME,,PO Box 309,Corinth,ME,04427
Corinth Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:corinth,Corinth Town ME,,(207) 285-3271,,,,ME,,PO Box 309,Corinth,ME,04427
Cornish Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cornish,Cornish Town ME,,(207) 625-4324,,17 Maple St.,Cornish,ME,04020,,,,
Cornville Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cornville,Cornville Town ME,,(207) 474-3275,,910 Molunkus Road,Cornville,ME,04976,,,,
Cranberry Isles Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cranberry_isles,Cranberry Isles Town ME,,(207) 244-4475,,59 Main Rd,Islesford,ME,04646,PO Box 56,Islesford,ME,04646
Crawford Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:crawford,Crawford Town ME,,(207) 454-8639,,2252 Airline Road,Crawford,ME,04694,,,,
Crawford Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:crawford,Crawford Town ME,,(207) 454-7105,,359 Crawford Arm Road,Crawford,ME,04694,,,,
Cross Lake Township,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cross_lake,Cross Lake Township ME,,(207) 834-4004,,1809 Caribou Road,New Canada,ME,04743,,,,
Crystal Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:crystal,Crystal Town ME,,(207) 463-2770,,272 Crystal Rd.,Crystal,ME,04747,,,,
Cumberland Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cumberland,Cumberland Town ME,,(207) 829-5559,,290 Tuttle Road,Cumberland,ME,04021,,,,
Cushing Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cushing,Cushing Town ME,,(207) 354-2375,,39 Cross Road,Cushing,ME,04563,,,,
Cutler Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cutler,Cutler Town ME,,(207) 259-3693,,2655 Cutler Road,Cutler,ME,04626,PO Box 236,Cutler,ME,04626
Cyr Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:cyr,Cyr Plantation ME,,(207) 868-5403,,537 Caribou Road,Cyr Plantation,ME,04785,,,,
Dallas Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:dallas,Dallas Plantation ME,,(207) 864-5991,,436 Dallas Hill Road,Rangeley,ME,04970,PO Box 460,Rangeley,ME,04970
Damariscotta Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:damariscotta,Damariscotta Town ME,,(207) 563-5168,,21 School Street,Damariscotta,ME,04543,,,,
Danforth Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:danforth,Danforth Town ME,,(207) 448-2321,,18 Central St.,Danforth,ME,04424,PO Box 117,Danforth,ME,04424
Dayton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:dayton,Dayton Town ME,,(207) 499-7526,,33 Clarks Mills Road,Dayton,ME,04005,,,,
Deblois Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:deblois,Deblois Town ME,,(201) 638-3801,,8 Lane Road,Deblois,ME,04622,,,,
Dedham Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:dedham,Dedham Town ME,,(207) 843-6217,,2073 Main Road Ste A,Dedham,ME,04429,,,,
Deer Isle Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:deer_isle,Deer Isle Town ME,,(207) 348-9398,,,,ME,,PO Box 46,Deer Isle,ME,04627
Denmark Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:denmark,Denmark Town ME,,(207) 452-2163,,62 East Main Street,Denmark,ME,04022,,,,
Dennistown Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:dennistown,Dennistown Plantation ME,,(207) 668-4019,,705 Main Street,Jackman,ME,04945,PO Box 267,Jackman,ME,04945
Dennysville Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:dennysville,Dennysville Town ME,,(207) 726-3904,,99 Shipyard Rd.,Dennysville,ME,04628,,,,
Detroit Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:detroit,Detroit Town ME,,(207) 257-4488,,35 South Main Street,Detroit,ME,04929,,,,
Dexter Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:dextwe,Dexter Town ME,,(207) 924-7351,,23 Main,Dexter,ME,04930,,,,
Dixfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:dixfield,Dixfield Town ME,,(207) 562-8151,,46 Main Street,Dixfield,ME,04224,PO Box 808,Dixfield,ME,04224
Dixmont Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:dixmont,Dixmont Town ME,,(207) 234-2294,,758 Western Ave,Dixmont,ME,04932,PO Box 100,Dixmont,ME,04932
Dover-Foxcroft Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,04426,,,,
