officename,Name,Address,Address2,directions,city,state,zip,start time,end time,Start date,End date,Is by appointment,ocdid
KETCHIKAN,KETCHIKAN BOROUGH CLERK'S OFFICE,"1900 FIRST AVE, STE 115",,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:36
KETCHIKAN,KETCHIKAN BOROUGH CLERK'S OFFICE,"1900 FIRST AVE, STE 115",,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:36
KETCHIKAN,KETCHIKAN BOROUGH CLERK'S OFFICE,"1900 FIRST AVE, STE 115",,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:36
KETCHIKAN,KETCHIKAN CITY CLERK'S OFFICE,334 FRONT STREET,,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:36
KETCHIKAN,KETCHIKAN CITY CLERK'S OFFICE,334 FRONT STREET,,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:36
KETCHIKAN,KETCHIKAN CITY CLERK'S OFFICE,334 FRONT STREET,,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:36
METLAKATLA,METLAKATLA SECRETARY'S OFFICE,5 Milton St,,,METLAKATLA,AK,99926,08:00:00 - 08:00,16:30:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:36
METLAKATLA,METLAKATLA SECRETARY'S OFFICE,5 Milton St,,,METLAKATLA,AK,99926,08:00:00 - 08:00,16:30:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:36
METLAKATLA,METLAKATLA SECRETARY'S OFFICE,5 Milton St,,,METLAKATLA,AK,99926,08:00:00 - 08:00,16:30:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:36
Adak City,Adak City Clerk's Office, 100 Mechanical Street,,,Adak,AK,99546,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Adak City,Adak City Clerk's Office, 100 Mechanical Street,,,Adak,AK,99546,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Adak City,Adak City Clerk's Office, 100 Mechanical Street,,,Adak,AK,99546,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Akutan City,AKUTAN CITY HALL, 109 WINDY WAY,,,Akutan,AK,99553,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Akutan City,AKUTAN CITY HALL, 109 WINDY WAY,,,Akutan,AK,99553,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Akutan City,AKUTAN CITY HALL, 109 WINDY WAY,,,Akutan,AK,99553,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Aleknagik City,ALEKNAGIK TRADITIONAL COUNCIL BUILDING, LAKE STREET,,,Aleknagik,AK,99555,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Aleknagik City,ALEKNAGIK TRADITIONAL COUNCIL BUILDING, LAKE STREET,,,Aleknagik,AK,99555,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Aleknagik City,ALEKNAGIK TRADITIONAL COUNCIL BUILDING, LAKE STREET,,,Aleknagik,AK,99555,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Chignik City,CHIGNIK BAY CITY OFFICE, 125 TSUNAMI RD,,,Chignik,AK,99564,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Chignik City,CHIGNIK BAY CITY OFFICE, 125 TSUNAMI RD,,,Chignik,AK,99564,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Chignik City,CHIGNIK BAY CITY OFFICE, 125 TSUNAMI RD,,,Chignik,AK,99564,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Chignik Lagoon City,Chignik Lagoon Village Council, 427 Airport Rd,,,Chignik Lagoon,AK,99565,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Chignik Lagoon City,Chignik Lagoon Village Council, 427 Airport Rd,,,Chignik Lagoon,AK,99565,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Chignik Lagoon City,Chignik Lagoon Village Council, 427 Airport Rd,,,Chignik Lagoon,AK,99565,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Chignik Lake City,Chignik Lake Village Council, 33 Lake Front Dr,,,Chignik Lake,AK,99548,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Chignik Lake City,Chignik Lake Village Council, 33 Lake Front Dr,,,Chignik Lake,AK,99548,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Chignik Lake City,Chignik Lake Village Council, 33 Lake Front Dr,,,Chignik Lake,AK,99548,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Grayling City ,City of Grayling City Office,1 Postal Way,,,Grayling,AK,99590-9800,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Grayling City ,City of Grayling City Office,1 Postal Way,,,Grayling,AK,99590-9800,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Grayling City ,City of Grayling City Office,1 Postal Way,,,Grayling,AK,99590-9800,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
SHAGELUK,CITY OF SHAGELUK,100 Main St,,,SHAGELUK,AK,99665,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
SHAGELUK,CITY OF SHAGELUK,100 Main St,,,SHAGELUK,AK,99665,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
SHAGELUK,CITY OF SHAGELUK,100 Main St,,,SHAGELUK,AK,99665,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Clark's Point City,Clark's Point Village Council,11 MAIN ST ,,,Clark's Point,AK,99569-9800,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Clark's Point City,Clark's Point Village Council,11 MAIN ST ,,,Clark's Point,AK,99569-9800,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Clark's Point City,Clark's Point Village Council,11 MAIN ST ,,,Clark's Point,AK,99569-9800,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Cold Bay City,COLD BAY CITY CLERK'S OFFICE,10 Baranov Road,,Cold Bay is 634 miles south of�Anchorage.,Cold Bay,AK,99571,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Cold Bay City,COLD BAY CITY CLERK'S OFFICE,10 Baranov Road,,Cold Bay is 634 miles south of�Anchorage.,Cold Bay,AK,99571,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Cold Bay City,COLD BAY CITY CLERK'S OFFICE,10 Baranov Road,,Cold Bay is 634 miles south of�Anchorage.,Cold Bay,AK,99571,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Dillingham City,DILLINGHAM CITY CLERK'S OFFICE, 141 MAIN ST,,,Dillingham,AK,99576,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Dillingham City,DILLINGHAM CITY CLERK'S OFFICE, 141 MAIN ST,,,Dillingham,AK,99576,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Dillingham City,DILLINGHAM CITY CLERK'S OFFICE, 141 MAIN ST,,,Dillingham,AK,99576,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Ekwok City,Ekwok City Halll, 101 MAIN ST,,,Ekwok,AK,99580,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Ekwok City,Ekwok City Halll, 101 MAIN ST,,,Ekwok,AK,99580,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Ekwok City,Ekwok City Halll, 101 MAIN ST,,,Ekwok,AK,99580,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
False Pass City,FALSE PASS CITY CLERK'S OFFICE, 180 UNIMAK DR,,,False Pass City,AK,99583,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
False Pass City,FALSE PASS CITY CLERK'S OFFICE, 180 UNIMAK DR,,,False Pass City,AK,99583,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
False Pass City,FALSE PASS CITY CLERK'S OFFICE, 180 UNIMAK DR,,,False Pass City,AK,99583,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Igiugig City ,IGIUGIG VILLAGE COUNCIL BUILDING,1 MAIN ST,,,Igiugig,AK,99613,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Igiugig City ,IGIUGIG VILLAGE COUNCIL BUILDING,1 MAIN ST,,,Igiugig,AK,99613,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Igiugig City ,IGIUGIG VILLAGE COUNCIL BUILDING,1 MAIN ST,,,Igiugig,AK,99613,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
King Cove,KING COVE CITY OFFICE,37 MAIN STREET,,,King Kove,AK,99612,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
King Cove,KING COVE CITY OFFICE,37 MAIN STREET,,,King Kove,AK,99612,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
King Cove,KING COVE CITY OFFICE,37 MAIN STREET,,,King Kove,AK,99612,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Iliamna City ,NEWHALEN CITY CLERK'S OFFICE,101 FIRE LANE,,,Newhalen,AK,99606,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37
Iliamna City ,NEWHALEN CITY CLERK'S OFFICE,101 FIRE LANE,,,Newhalen,AK,99606,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37
Iliamna City ,NEWHALEN CITY CLERK'S OFFICE,101 FIRE LANE,,,Newhalen,AK,99606,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37
Akiachak City,AKIACHAK IRA OFFICE, 1ST MAIN STREET,,,Akiachak,AK,99551,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:38
Akiachak City,AKIACHAK IRA OFFICE, 1ST MAIN STREET,,,Akiachak,AK,99551,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:38
Akiachak City,AKIACHAK IRA OFFICE, 1ST MAIN STREET,,,Akiachak,AK,99551,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:38
Akiak City,AKIAK NATIVE COMMUNITY BUILDING, 81 AIRPORT RD,,,Akiak,AK,99552,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:38
Akiak City,AKIAK NATIVE COMMUNITY BUILDING, 81 AIRPORT RD,,,Akiak,AK,99552,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:38
Akiak City,AKIAK NATIVE COMMUNITY BUILDING, 81 AIRPORT RD,,,Akiak,AK,99552,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:38
Atmautluak City,ATMAUTLUAK TRIBAL COUNCIL BUILDING, 101 BOARDWALK LANE,,,Atmautluak,AK,99559,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:38
Atmautluak City,ATMAUTLUAK TRIBAL COUNCIL BUILDING, 101 BOARDWALK LANE,,,Atmautluak,AK,99559,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:38
Atmautluak City,ATMAUTLUAK TRIBAL COUNCIL BUILDING, 101 BOARDWALK LANE,,,Atmautluak,AK,99559,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:38
Bethel City,BETHEL CITY HALL, 300 CHIEF EDDIE HOFFMAN HIGHWAY,,,Bethel,AK,99559,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:38
Bethel City,BETHEL CITY HALL, 300 CHIEF EDDIE HOFFMAN HIGHWAY,,,Bethel,AK,99559,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:38
Bethel City,BETHEL CITY HALL, 300 CHIEF EDDIE HOFFMAN HIGHWAY,,,Bethel,AK,99559,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:38
Crooked Creek City,CROOKED CREEK TRADITIONAL COUNCIL BUILDING, 401 MAIN STREET, STE 201,,Crooked Creek,AK,99575,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:38
Crooked Creek City,CROOKED CREEK TRADITIONAL COUNCIL BUILDING, 401 MAIN STREET, STE 201,,Crooked Creek,AK,99575,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:38
Crooked Creek City,CROOKED CREEK TRADITIONAL COUNCIL BUILDING, 401 MAIN STREET, STE 201,,Crooked Creek,AK,99575,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:38
Aniak City,Kuspuk School District, 100 Airport Way,,,Aniak,AK,99557,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:38
Aniak City,Kuspuk School District, 100 Airport Way,,,Aniak,AK,99557,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:38
Aniak City,Kuspuk School District, 100 Airport Way,,,Aniak,AK,99557,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:38
