office-name,official-title,ocd-division,homepage-url,phone,email,directions,precinct name,name,street,City,state,zip,start time,end time
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,7,Rock Springs Fellowship Hall,747 Rock Springs Road,Lula,GA,30554,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,8,Grove River Precinct Building,2610 Hwy 323,Gillsville,GA,30543,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,9,Hollingsworth Fire Dept.,4173 Hwy 441 North,Baldwin,GA,30511,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,10,Homer City Hall,943 Historic Homer Hwy,Homer,GA,30547,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,11,Hickory Flay Fellowship Hall,3409 Hwy 51 South,Lula,GA,30554,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,12,Grady Fire Dept.,2348 Damascus Road,Homer,GA,30547,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,13,"Nails Creek Baptist Church, Fellowship Hall",2743 Hwy 51 North,Homer,GA,30547,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,1,Bethlehem Community Center,750 Manger Avenue,Bethlehem,GA,30620,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,2,Bethabra Baptist Church,1061 Old Thompson Mill Road,Hoschton,GA,30548,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,3,Bramlett Elementary School,622 Freeman-Brock Road,Auburn,GA,30011,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,4,Westside Middle School,240 Matthews School Road,Winder,GA,30680,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,5,Fire Station 1 (Statham),1625 Bethlehem Road,Statham,GA,30666,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,6,Winder-Barrow High School,272 N Fifth Avenue,Winder,GA,30680,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,7,Statham Elementary School,1970 Broad Street,Statham,GA,30666,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,8,First Baptist Church Winder,625 Jefferson Hwy,Winder,GA,30680,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,9,Lions Club,354 E Broad Street,Winder,GA,30680,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,10,Leisure Services Center,175 Second Street,Winder,GA,30680,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,11,Apalachee High School,940 Haymon Morris Road,Winder,GA,30680,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,12,Midway United Methodist Church,215 Kilcrease Road,Auburn,GA,30011,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,13,Winder Community Center,113 E Athens Street,Winder,GA,30680,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,14,Cedar Creek Baptist Church,403 Cedar Creek Road,Winder,GA,30680,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,15,County Line Elementary School,334 Rockwell Church Road,Winder,GA,30680,07:00:00 - 05:00,19:00:00 - 05:00
Barrow County,County Election Supervisor,ocd-division/country:us/state:ga/county:barrow,http://www.barrowga.org/government/volunteer-boards-and-current-vacancies/board-of-elections-registration/board-of-elections-registration/,(770) 307-3110,mfranklin@barrowga.org,,16,The Church at Winder,546 Treadwell Road,Bethlehem,GA,30620,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,1,Manning Mill Park Facility,163B Manning Mill Rd,Adairsville,GA,30103,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,2,Allatoona Resource Center,6503 Glade Rd,Acworth,GA,30102,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,5,Beavers Drive Senior Center,33 Beavers Drive,Cartersville,GA,30120,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,3,Chamber of Commerce,122 West Main St,Cartersville,GA,30120,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,4,Cartersville Civic Center,435 West Main St,Cartersville,GA,30120,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,17,Hamilton CroSaint Simons Islandng Gym,35 Beavers Drive,Cartersville,GA,30120,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,6,Center Community Center,684 Center Rd,Cartersville,GA,30121,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,7,Emerson City Hall,700 HWY 293,Emerson,GA,30137,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,8,Euharlee City Hall,30 Burges Rd,Euharlee,GA,30145,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,9,Folsom Fire Department,2124 SR 140,Adairsville,GA,30103,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,10,Kingston City Hall,30 West Main St,Kingston,GA,30145,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,11,MiSaint Simons Islandon Road Elementary School,1100 MiSaint Simons Islandon Road,Cartersville,GA,30120,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,12,Pine Log Fire Department,189 Olive Vine Church Road,Rydal,GA,30171,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,14,Taylorsville Fire Department,11 Euharlee St,Taylorsville,GA,30178,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,15,White United Methodist Church,3411 Highway 411 NE,White,GA,30184,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,18,Creekside Fellowship Church,585 Old Alabama Rd SE,Cartersville,GA,30120,07:00:00 - 05:00,19:00:00 - 05:00
Bartow County,County Election Supervisor,ocd-division/country:us/state:ga/county:bartow,http://www.bartowga.org/departments/elections/index.php,(770) 387-5098,kirkj@bartowga.org,,16,Zena Drive Senior Center,102 Zena Drive,Cartersville,GA,30120,07:00:00 - 05:00,19:00:00 - 05:00
Ben Hill County,County Election Supervisor,ocd-division/country:us/state:ga/county:ben_hill,http://www.benhillcounty.com/departments/elections.htm,(229) 426-5151,electionsbenhill@aol.com,,2,,1137 N Merrimac Dr,Fitzgerald,GA,31750,07:00:00 - 05:00,19:00:00 - 05:00
Ben Hill County,County Election Supervisor,ocd-division/country:us/state:ga/county:ben_hill,http://www.benhillcounty.com/departments/elections.htm,(229) 426-5151,electionsbenhill@aol.com,,1,,502 S Monitor Dr,Fitzgerald,GA,31750,07:00:00 - 05:00,19:00:00 - 05:00
Berrien County,County Election Supervisor,ocd-division/country:us/state:ga/county:berrien,http://www.berriencountygeorgia.com/index.php?option=com_content&task=view&id=17&Itemid=34,(229) 686-5213,belections@windstream.net,,1157,AG Center,516 A County Farm Rd.,Nashville,GA,31639,07:00:00 - 05:00,19:00:00 - 05:00
Berrien County,County Election Supervisor,ocd-division/country:us/state:ga/county:berrien,http://www.berriencountygeorgia.com/index.php?option=com_content&task=view&id=17&Itemid=34,(229) 686-5213,belections@windstream.net,,518,City Hall Alapaha,112 N.W. Railroad St.,Alapaha,GA,31622,07:00:00 - 05:00,19:00:00 - 05:00
Berrien County,County Election Supervisor,ocd-division/country:us/state:ga/county:berrien,http://www.berriencountygeorgia.com/index.php?option=com_content&task=view&id=17&Itemid=34,(229) 686-5213,belections@windstream.net,,1642,City Hall Enigma,569 Main St.,Enigma,GA,31749,07:00:00 - 05:00,19:00:00 - 05:00
Berrien County,County Election Supervisor,ocd-division/country:us/state:ga/county:berrien,http://www.berriencountygeorgia.com/index.php?option=com_content&task=view&id=17&Itemid=34,(229) 686-5213,belections@windstream.net,,1144,City Hall Ray City,8151 Main St.,Ray City,GA,31645,07:00:00 - 05:00,19:00:00 - 05:00
Berrien County,County Election Supervisor,ocd-division/country:us/state:ga/county:berrien,http://www.berriencountygeorgia.com/index.php?option=com_content&task=view&id=17&Itemid=34,(229) 686-5213,belections@windstream.net,,11062,Fire Department,11062 N. Hwy 125,Nashville,GA,31639,07:00:00 - 05:00,19:00:00 - 05:00
Bleckley County,County Chief Registrar,ocd-division/country:us/state:ga/county:bleckley,,(478) 934-3212,bleckleyvr@bleckley.org,,1,JC Fairgounds,Ash Street,Cochran,GA,31014,07:00:00 - 05:00,19:00:00 - 05:00
Brantley County,County Election Supervisor,ocd-division/country:us/state:ga/county:brantley,,(912) 462-6159,voterreg@btconline.net,,1,Hoboken Community Center,235 Chicago Avenue,Hoboken,GA,31542,07:00:00 - 05:00,19:00:00 - 05:00
Brantley County,County Election Supervisor,ocd-division/country:us/state:ga/county:brantley,,(912) 462-6159,voterreg@btconline.net,,2,Senior Community Center,789 Burton St.,Nahunta,GA,31553,07:00:00 - 05:00,19:00:00 - 05:00
Brantley County,County Election Supervisor,ocd-division/country:us/state:ga/county:brantley,,(912) 462-6159,voterreg@btconline.net,,3,Waynesville Baptist Church,25530 Hwy-82,Waynesville,GA,31566,07:00:00 - 05:00,19:00:00 - 05:00
