ocd_division,email,county,location_name,address_1,address_2,city,state,zip_code,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,10-31-2016,11-04-2016,False,False,False,False,23,"202 Main St., Martin, SD 57551",,08:00 AM-04:30 PM,,ho99602215,false,false,,,,poll25369937
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 7:00,16:30:00 - 7:00,11-07-2016,11-07-2016,False,False,False,False,24,"202 Main St., Martin, SD 57551",,08:00 AM-04:30 PM,,ho99602215,false,false,,,,poll25369937
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,09-23-2016,09-23-2016,False,False,False,False,25,"300 W. 18th Ave., Tyndall, SD 57066",,08:00 AM-04:30 PM,,ho77675093,false,false,,,,poll25943541
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,09-26-2016,09-30-2016,False,False,False,False,26,"300 W. 18th Ave., Tyndall, SD 57066",,08:00 AM-04:30 PM,,ho77675093,false,false,,,,poll25943541
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,10-03-2016,10-07-2016,False,False,False,False,27,"300 W. 18th Ave., Tyndall, SD 57066",,08:00 AM-04:30 PM,,ho77675093,false,false,,,,poll25943541
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,10-10-2016,10-14-2016,False,False,False,False,28,"300 W. 18th Ave., Tyndall, SD 57066",,08:00 AM-04:30 PM,,ho77675093,false,false,,,,poll25943541
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,10-17-2016,10-21-2016,False,False,False,False,29,"300 W. 18th Ave., Tyndall, SD 57066",,08:00 AM-04:30 PM,,ho77675093,false,false,,,,poll25943541
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,10-24-2016,10-28-2016,False,False,False,False,30,"300 W. 18th Ave., Tyndall, SD 57066",,08:00 AM-04:30 PM,,ho77675093,false,false,,,,poll25943541
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 5:00,16:30:00 - 5:00,10-31-2016,11-04-2016,False,False,False,False,31,"300 W. 18th Ave., Tyndall, SD 57066",,08:00 AM-04:30 PM,,ho77675093,false,false,,,,poll25943541
ocd-division/country:us/state:sd/county:bon_homme,tamara.brunken@state.sd.us,Bon Homme County,Bon Homme County Courthouse,300 W. 18th Ave.,,Tyndall,SD,57066,8:00:00 - 6:00,16:30:00 - 6:00,11-07-2016,11-07-2016,False,False,False,False,32,"300 W. 18th Ave., Tyndall, SD 57066",,08:00 AM-04:30 PM,,ho77675093,false,false,,,,poll25943541
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,09-23-2016,09-23-2016,False,False,False,False,33,"520 Third St Ste. 100, Brookings, SD 57006",,08:00 AM-05:00 PM,,ho56491884,false,false,,,,poll70985769
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,09-26-2016,09-30-2016,False,False,False,False,34,"520 Third St Ste. 100, Brookings, SD 57006",,08:00 AM-05:00 PM,,ho56491884,false,false,,,,poll70985769
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,10-03-2016,10-07-2016,False,False,False,False,35,"520 Third St Ste. 100, Brookings, SD 57006",,08:00 AM-05:00 PM,,ho56491884,false,false,,,,poll70985769
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,10-10-2016,10-14-2016,False,False,False,False,36,"520 Third St Ste. 100, Brookings, SD 57006",,08:00 AM-05:00 PM,,ho56491884,false,false,,,,poll70985769
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,10-17-2016,10-21-2016,False,False,False,False,37,"520 Third St Ste. 100, Brookings, SD 57006",,08:00 AM-05:00 PM,,ho56491884,false,false,,,,poll70985769
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,10-24-2016,10-28-2016,False,False,False,False,38,"520 Third St Ste. 100, Brookings, SD 57006",,08:00 AM-05:00 PM,,ho56491884,false,false,,,,poll70985769
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 5:00,17:00:00 - 5:00,10-31-2016,11-04-2016,False,False,False,False,39,"520 Third St Ste. 100, Brookings, SD 57006",,08:00 AM-05:00 PM,,ho56491884,false,false,,,,poll70985769
ocd-division/country:us/state:sd/county:brookings,vbuseth@brookingscountysd.gov,Brookings County,Brookings County Finance Office,520 Third St,Ste. 100,Brookings,SD,57006,8:00:00 - 6:00,17:00:00 - 6:00,11-07-2016,11-07-2016,False,False,False,False,40,"520 Third St Ste. 100, Brookings, SD 57006",,08:00 AM-05:00 PM,,ho56491884,false,false,,,,poll70985769
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,09-23-2016,09-23-2016,False,False,False,False,41,"25 Market St Ste 1, Aberdeen, SD 57401",,08:00 AM-05:00 PM,,ho28316302,false,false,,,,poll96423012
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,09-26-2016,09-30-2016,False,False,False,False,42,"25 Market St Ste 1, Aberdeen, SD 57401",,08:00 AM-05:00 PM,,ho28316302,false,false,,,,poll96423012
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,10-03-2016,10-07-2016,False,False,False,False,43,"25 Market St Ste 1, Aberdeen, SD 57401",,08:00 AM-05:00 PM,,ho28316302,false,false,,,,poll96423012
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,10-10-2016,10-14-2016,False,False,False,False,44,"25 Market St Ste 1, Aberdeen, SD 57401",,08:00 AM-05:00 PM,,ho28316302,false,false,,,,poll96423012
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,10-17-2016,10-21-2016,False,False,False,False,45,"25 Market St Ste 1, Aberdeen, SD 57401",,08:00 AM-05:00 PM,,ho28316302,false,false,,,,poll96423012
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,10-24-2016,10-28-2016,False,False,False,False,46,"25 Market St Ste 1, Aberdeen, SD 57401",,08:00 AM-05:00 PM,,ho28316302,false,false,,,,poll96423012
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 5:00,17:00:00 - 5:00,10-31-2016,11-04-2016,False,False,False,False,47,"25 Market St Ste 1, Aberdeen, SD 57401",,08:00 AM-05:00 PM,,ho28316302,false,false,,,,poll96423012
ocd-division/country:us/state:sd/county:brown,maxine.fischer@browncounty.sd.gov,Brown County,Brown County Courthouse,25 Market St,Ste 1,Aberdeen,SD,57401,8:00:00 - 6:00,17:00:00 - 6:00,11-07-2016,11-07-2016,False,False,False,False,48,"25 Market St Ste 1, Aberdeen, SD 57401",,08:00 AM-05:00 PM,,ho28316302,false,false,,,,poll96423012
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,09-23-2016,09-23-2016,False,False,False,False,49,"300 South Courtland 3rd Floor, Chamberlain, SD 57325",,08:00 AM-05:00 PM,,ho19480704,false,false,,,,poll80445745
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,09-26-2016,09-30-2016,False,False,False,False,50,"300 South Courtland 3rd Floor, Chamberlain, SD 57325",,08:00 AM-05:00 PM,,ho19480704,false,false,,,,poll80445745
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,10-03-2016,10-07-2016,False,False,False,False,51,"300 South Courtland 3rd Floor, Chamberlain, SD 57325",,08:00 AM-05:00 PM,,ho19480704,false,false,,,,poll80445745
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,10-10-2016,10-14-2016,False,False,False,False,52,"300 South Courtland 3rd Floor, Chamberlain, SD 57325",,08:00 AM-05:00 PM,,ho19480704,false,false,,,,poll80445745
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,10-17-2016,10-21-2016,False,False,False,False,53,"300 South Courtland 3rd Floor, Chamberlain, SD 57325",,08:00 AM-05:00 PM,,ho19480704,false,false,,,,poll80445745
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,10-24-2016,10-28-2016,False,False,False,False,54,"300 South Courtland 3rd Floor, Chamberlain, SD 57325",,08:00 AM-05:00 PM,,ho19480704,false,false,,,,poll80445745
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 5:00,17:00:00 - 5:00,10-31-2016,11-04-2016,False,False,False,False,55,"300 South Courtland 3rd Floor, Chamberlain, SD 57325",,08:00 AM-05:00 PM,,ho19480704,false,false,,,,poll80445745
ocd-division/country:us/state:sd/county:brule,brulaud@midstatesd.net,Brule County,Brule County Courthouse,300 South Courtland,3rd Floor,Chamberlain,SD,57325,8:00:00 - 6:00,17:00:00 - 6:00,11-07-2016,11-07-2016,False,False,False,False,56,"300 South Courtland 3rd Floor, Chamberlain, SD 57325",,08:00 AM-05:00 PM,,ho19480704,false,false,,,,poll80445745
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,09-23-2016,09-23-2016,False,False,False,False,57,"839 5th Ave., Belle Fourche, SD 57717",,08:00 AM-05:00 PM,,ho64861556,false,false,,,,poll40066420
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,09-26-2016,09-30-2016,False,False,False,False,58,"839 5th Ave., Belle Fourche, SD 57717",,08:00 AM-05:00 PM,,ho64861556,false,false,,,,poll40066420
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,10-03-2016,10-07-2016,False,False,False,False,59,"839 5th Ave., Belle Fourche, SD 57717",,08:00 AM-05:00 PM,,ho64861556,false,false,,,,poll40066420
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,10-10-2016,10-14-2016,False,False,False,False,60,"839 5th Ave., Belle Fourche, SD 57717",,08:00 AM-05:00 PM,,ho64861556,false,false,,,,poll40066420
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,10-17-2016,10-21-2016,False,False,False,False,61,"839 5th Ave., Belle Fourche, SD 57717",,08:00 AM-05:00 PM,,ho64861556,false,false,,,,poll40066420
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,10-24-2016,10-28-2016,False,False,False,False,62,"839 5th Ave., Belle Fourche, SD 57717",,08:00 AM-05:00 PM,,ho64861556,false,false,,,,poll40066420
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 6:00,17:00:00 - 6:00,10-31-2016,11-04-2016,False,False,False,False,63,"839 5th Ave., Belle Fourche, SD 57717",,08:00 AM-05:00 PM,,ho64861556,false,false,,,,poll40066420
ocd-division/country:us/state:sd/county:butte,auditor@buttesd.org,Butte County,Butte County Courthouse,839 5th Ave.,,Belle Fourche,SD,57717,8:00:00 - 7:00,17:00:00 - 7:00,11-07-2016,11-07-2016,False,False,False,False,64,"839 5th Ave., Belle Fourche, SD 57717",,08:00 AM-05:00 PM,,ho64861556,false,false,,,,poll40066420
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,16:30:00 - 5:00,09-23-2016,09-23-2016,False,False,False,False,65,"111 2nd Street NE, Mound City, SD 57646",,08:00 AM-04:30 PM,,ho45665851,false,false,,,,poll75983125
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,16:30:00 - 5:00,09-26-2016,09-30-2016,False,False,False,False,66,"111 2nd Street NE, Mound City, SD 57646",,08:00 AM-04:30 PM,,ho45665851,false,false,,,,poll75983125
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,16:30:00 - 5:00,10-03-2016,10-07-2016,False,False,False,False,67,"111 2nd Street NE, Mound City, SD 57646",,08:00 AM-04:30 PM,,ho45665851,false,false,,,,poll75983125
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,16:30:00 - 5:00,10-10-2016,10-14-2016,False,False,False,False,68,"111 2nd Street NE, Mound City, SD 57646",,08:00 AM-04:30 PM,,ho45665851,false,false,,,,poll75983125
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,16:30:00 - 5:00,10-17-2016,10-21-2016,False,False,False,False,69,"111 2nd Street NE, Mound City, SD 57646",,08:00 AM-04:30 PM,,ho45665851,false,false,,,,poll75983125
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,16:30:00 - 5:00,10-24-2016,10-28-2016,False,False,False,False,70,"111 2nd Street NE, Mound City, SD 57646",,08:00 AM-04:30 PM,,ho45665851,false,false,,,,poll75983125
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 5:00,16:30:00 - 5:00,10-31-2016,11-04-2016,False,False,False,False,71,"111 2nd Street NE, Mound City, SD 57646",,08:00 AM-04:30 PM,,ho45665851,false,false,,,,poll75983125
ocd-division/country:us/state:sd/county:campbell,lisa.schaefbauer@state.sd.us,Campbell County,Campbell County Courthouse,111 2nd Street NE,,Mound City,SD,57646,8:00:00 - 6:00,16:30:00 - 6:00,11-07-2016,11-07-2016,False,False,False,False,72,"111 2nd Street NE, Mound City, SD 57646",,08:00 AM-04:30 PM,,ho45665851,false,false,,,,poll75983125
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 5:00,16:30:00 - 5:00,09-23-2016,09-23-2016,False,False,False,False,73,"400 E Main St, Lake Andes, SD 57356",,08:00 AM-04:30 PM,,ho66320576,false,false,,,,poll6134743
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 5:00,16:30:00 - 5:00,09-26-2016,09-30-2016,False,False,False,False,74,"400 E Main St, Lake Andes, SD 57356",,08:00 AM-04:30 PM,,ho66320576,false,false,,,,poll6134743
ocd-division/country:us/state:sd/county:charles_mix,cmixaud@hcinet.net,Charles Mix County,Charles Mix County Courthouse,400 E Main St,,Lake Andes,SD,57356,8:00:00 - 5:00,16:30:00 - 5:00,10-03-2016,10-07-2016,False,False,False,False,75,"400 E Main St, Lake Andes, SD 57356",,08:00 AM-04:30 PM,,ho66320576,false,false,,,,poll6134743
