address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,County,voter_services,start_date,end_date,start_time,end_time
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012,,Araphahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012,,Araphahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012,,Araphahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012,,Araphahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012,,Araphahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012,,Araphahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013,,Araphahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013,,Araphahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013,,Araphahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013,,Araphahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013,,Araphahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013,,Araphahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Cherokee High School,25901 E Arapahoe Rd ,,,Aurora,CO,80016,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Cherokee High School,25901 E Arapahoe Rd ,,,Aurora,CO,80016,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
City of Aurora,15151 E Alameda Parkway,,,Aurora,CO,80012,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
City of Aurora,15151 E Alameda Parkway,,,Aurora,CO,80012,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Mississippi Avenue Baptist Church,13231 E Mississippi Ave,,,Aurora,CO,80012,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Mississippi Avenue Baptist Church,13231 E Mississippi Ave,,,Aurora,CO,80012,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
New Life Community Church,17690 E Iliff Ave,,,Aurora,CO,80013,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
New Life Community Church,17690 E Iliff Ave,,,Aurora,CO,80013,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
St Andrew‰Ûªs Village,13801 E Yale Ave,,,Aurora,CO,80014,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
St Andrew‰Ûªs Village,13801 E Yale Ave,,,Aurora,CO,80014,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Tallyn's Reach Library,23911 E Arapahoe Rd,,,Aurora,CO,80016,,Araphahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
Tallyn's Reach Library,23911 E Arapahoe Rd,,,Aurora,CO,80016,,Araphahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
Tallyn's Reach Library,23911 E Arapahoe Rd,,,Aurora,CO,80016,,Araphahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
Tallyn's Reach Library,23911 E Arapahoe Rd,,,Aurora,CO,80016,,Araphahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00
Tallyn's Reach Library,23911 E Arapahoe Rd,,,Aurora,CO,80016,,Araphahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
Tallyn's Reach Library,23911 E Arapahoe Rd,,,Aurora,CO,80016,,Araphahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
Tallyn's Reach Library,23911 E Arapahoe Rd,,,Aurora,CO,80016,,Araphahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
Tallyn's Reach Library,23911 E Arapahoe Rd,,,Aurora,CO,80016,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Tallyn's Reach Library,23911 E Arapahoe Rd,,,Aurora,CO,80016,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Kelver Library,404 E Front St,,,Byers,CO,80103,,Araphahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
Kelver Library,404 E Front St,,,Byers,CO,80103,,Araphahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
Kelver Library,404 E Front St,,,Byers,CO,80103,,Araphahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
Kelver Library,404 E Front St,,,Byers,CO,80103,,Araphahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00
Kelver Library,404 E Front St,,,Byers,CO,80103,,Araphahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
Kelver Library,404 E Front St,,,Byers,CO,80103,,Araphahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
Kelver Library,404 E Front St,,,Byers,CO,80103,,Araphahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
Kelver Library,404 E Front St,,,Byers,CO,80103,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Kelver Library,404 E Front St,,,Byers,CO,80103,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Vista PEAK Preparatory School,24500 E 6th Ave,,,Aurora,CO,80018,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Vista PEAK Preparatory School,24500 E 6th Ave,,,Aurora,CO,80018,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Cherry Creek Instructional Support Facility,5416 S Riviera Way,,,Centennial,CO,80015,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Cherry Creek Instructional Support Facility,5416 S Riviera Way,,,Centennial,CO,80015,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Clerk and Recorder Centennial Branch,6954 S Lima St,,,Centennial,CO,80112,,Araphahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
Clerk and Recorder Centennial Branch,6954 S Lima St,,,Centennial,CO,80112,,Araphahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
Clerk and Recorder Centennial Branch,6954 S Lima St,,,Centennial,CO,80112,,Araphahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
Clerk and Recorder Centennial Branch,6954 S Lima St,,,Centennial,CO,80112,,Araphahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00
Clerk and Recorder Centennial Branch,6954 S Lima St,,,Centennial,CO,80112,,Araphahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
Clerk and Recorder Centennial Branch,6954 S Lima St,,,Centennial,CO,80112,,Araphahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
Clerk and Recorder Centennial Branch,6954 S Lima St,,,Centennial,CO,80112,,Araphahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
Clerk and Recorder Centennial Branch,6954 S Lima St,,,Centennial,CO,80112,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Clerk and Recorder Centennial Branch,6954 S Lima St,,,Centennial,CO,80112,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Smoky Hill Library,5428 S Biscay Cir,,,Centennial ,CO,80015,,Arapahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
Smoky Hill Library,5428 S Biscay Cir,,,Centennial ,CO,80015,,Arapahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
Smoky Hill Library,5428 S Biscay Cir,,,Centennial ,CO,80015,,Arapahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
Smoky Hill Library,5428 S Biscay Cir,,,Centennial ,CO,80015,,Arapahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00
Smoky Hill Library,5428 S Biscay Cir,,,Centennial ,CO,80015,,Arapahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
Smoky Hill Library,5428 S Biscay Cir,,,Centennial ,CO,80015,,Arapahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
Smoky Hill Library,5428 S Biscay Cir,,,Centennial ,CO,80015,,Arapahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
Smoky Hill Library,5428 S Biscay Cir,,,Centennial ,CO,80015,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Smoky Hill Library,5428 S Biscay Cir,,,Centennial ,CO,80015,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Southglenn Library,6972 South Vine Street,,,Centennial ,CO,80122,,Arapahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
Southglenn Library,6972 South Vine Street,,,Centennial ,CO,80122,,Arapahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
Southglenn Library,6972 South Vine Street,,,Centennial ,CO,80122,,Arapahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
Southglenn Library,6972 South Vine Street,,,Centennial ,CO,80122,,Arapahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00
Southglenn Library,6972 South Vine Street,,,Centennial ,CO,80122,,Arapahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
Southglenn Library,6972 South Vine Street,,,Centennial ,CO,80122,,Arapahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
Southglenn Library,6972 South Vine Street,,,Centennial ,CO,80122,,Arapahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
Southglenn Library,6972 South Vine Street,,,Centennial ,CO,80122,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Southglenn Library,6980 South Vine Street,,,Centennial ,CO,80122,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
St Thomas Moore Catholic Parish,8035 S Quebeck St,,,Centennial,CO,80112,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
St Thomas Moore Catholic Parish,8035 S Quebeck St,,,Centennial,CO,80112,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Potter's House of Denver,9495 E Florida Ave,,,Denver,CO,80247,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Potter's House of Denver,9495 E Florida Ave,,,Denver,CO,80247,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Englewood Civic Center,1000 Englewood Pkwy,,,Englewood,CO,80110,,Arapahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
Englewood Civic Center,1000 Englewood Pkwy,,,Englewood,CO,80110,,Arapahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
Englewood Civic Center,1000 Englewood Pkwy,,,Englewood,CO,80110,,Arapahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
Englewood Civic Center,1000 Englewood Pkwy,,,Englewood,CO,80110,,Arapahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00
Englewood Civic Center,1000 Englewood Pkwy,,,Englewood,CO,80110,,Arapahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
Englewood Civic Center,1000 Englewood Pkwy,,,Englewood,CO,80110,,Arapahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
Englewood Civic Center,1000 Englewood Pkwy,,,Englewood,CO,80110,,Arapahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
Englewood Civic Center,1000 Englewood Pkwy,,,Englewood,CO,80110,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Englewood Civic Center,1000 Englewood Pkwy,,,Englewood,CO,80110,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
City of Glendale,950 S Birch St,,,Glendale,CO,80246,,Arapahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
City of Glendale,950 S Birch St,,,Glendale,CO,80246,,Arapahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
City of Glendale,950 S Birch St,,,Glendale,CO,80246,,Arapahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
City of Glendale,950 S Birch St,,,Glendale,CO,80246,,Arapahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00
City of Glendale,950 S Birch St,,,Glendale,CO,80246,,Arapahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
City of Glendale,950 S Birch St,,,Glendale,CO,80246,,Arapahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
City of Glendale,950 S Birch St,,,Glendale,CO,80246,,Arapahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
City of Glendale,950 S Birch St,,,Glendale,CO,80246,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
City of Glendale,950 S Birch St,,,Glendale,CO,80246,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
City of Greenwood Village,6060 S Quebec St ,,,Greenwood Village,CO,80111,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
City of Greenwood Village,6060 S Quebec St ,,,Greenwood Village,CO,80111,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Hope United Methodist Church,5101 S Dayton St ,,,Greenwood Village,CO,80111,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Hope United Methodist Church,5101 S Dayton St ,,,Greenwood Village,CO,80111,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Arapahoe County Administration Bldg.,5334 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
Arapahoe County Administration Bldg.,5334 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
Arapahoe County Administration Bldg.,5334 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
Arapahoe County Administration Bldg.,5334 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00
Arapahoe County Administration Bldg.,5334 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
Arapahoe County Administration Bldg.,5334 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
Arapahoe County Administration Bldg.,5334 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
Arapahoe County Administration Bldg.,5334 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Arapahoe County Administration Bldg.,5334 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Arapahoe County Elections Facility,5251 S Federal Blvd,,,Littleton,CO,80123,,Arapahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
Arapahoe County Elections Facility,5251 S Federal Blvd,,,Littleton,CO,80123,,Arapahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00
Arapahoe County Elections Facility,5251 S Federal Blvd,,,Littleton,CO,80123,,Arapahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00
